                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/object_reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/object_reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_class0_prompt_accuracy,p2/P3_class0_prompt_correlation,p2/P3_class1_prompt_accuracy,p2/P3_class1_prompt_correlation,p2/P3_class2_prompt_accuracy,p2/P3_class2_prompt_correlation,p2/P3_class3_prompt_accuracy,p2/P3_class3_prompt_correlation,p2/P3_class4_prompt_accuracy,p2/P3_class4_prompt_correlation,p2/P3_gate_direction_loss,    p2/P3_ir_win_recall,p2/P3_object_balanced_loss,p2/P3_object_calibrated_loss,p2/P3_object_class_winner_balanced_loss,p2/P3_object_hard_winner_loss,p2/P3_object_prompt_accuracy,p2/P3_object_prompt_correlation,p2/P3_object_prompt_mae,p2/P3_object_prompt_rgb, p2/P3_object_rank_loss,p2/P3_object_target_rgb,   p2/P3_rgb_win_recall,p2/P4_class0_prompt_accuracy,p2/P4_class0_prompt_correlation,p2/P4_class1_prompt_accuracy,p2/P4_class1_prompt_correlation,p2/P4_class2_prompt_accuracy,p2/P4_class2_prompt_correlation,p2/P4_class3_prompt_accuracy,p2/P4_class3_prompt_correlation,p2/P4_class4_prompt_accuracy,p2/P4_class4_prompt_correlation,p2/P4_gate_direction_loss,    p2/P4_ir_win_recall,p2/P4_object_balanced_loss,p2/P4_object_calibrated_loss,p2/P4_object_class_winner_balanced_loss,p2/P4_object_hard_winner_loss,p2/P4_object_prompt_accuracy,p2/P4_object_prompt_correlation,p2/P4_object_prompt_mae,p2/P4_object_prompt_rgb, p2/P4_object_rank_loss,p2/P4_object_target_rgb,   p2/P4_rgb_win_recall,p2/object_cross_scale_consistency,p2/object_gate_raw_loss,p2/object_prompt_raw_loss,  p2/teacher_ir_quality,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/teacher_rgb_win_rate, p2/teacher_ir_win_rate,p2/teacher_majority_baseline,p2/object_reliability_warmup_factor
                     11,                0.75266,                0.52715,                 1.3951,                0.08665,                0.76846,                0.77686,                0.79403,                0.63624,                0.70762,                0.47752,                 1.4801,                0.09314,                0.00901,                0.00901,                0.00901,                0.64984,                 0.3602,                0.60658,                0.45247,                0.71316,                0.38289,                0.65468,                0.38185,                0.67986,                0.40959,                      0,                0.65966,                 0.6791,                0.66017,                0.75125,                0.58672,                0.65123,                0.37006,                0.17241,                0.45519,                0.61635,                0.41128,                0.62821,                0.64218,                0.40685,                0.61291,                0.47265,                0.72157,                0.38026,                0.66262,                 0.4238,                0.68219,                0.42549,                      0,                0.62542,                0.67241,                0.65739,                0.73256,                0.55611,                0.64567,                0.41201,                0.17995,                0.46312,                0.59017,                0.41128,                0.70095,              0.0087758,                      0,                0.74502,                0.58568,                0.31684,                  0.484,                0.26814,                0.73186,                0.73186,                      1
                     12,                0.75135,                0.52212,                 1.3895,                0.08714,                0.73829,                0.77379,                0.78858,                0.63107,                0.70973,                0.48112,                 1.4836,                 0.0925,               0.008911,               0.008911,               0.008911,                 0.6556,                0.35688,                0.59438,                0.44235,                0.69568,                0.35003,                0.64103,                 0.3665,                0.67882,                0.38822,                      0,                0.66829,                0.68028,                0.66105,                0.75529,                0.58632,                0.65453,                 0.3625,                0.17146,                0.45297,                0.61593,                0.41254,                0.61731,                0.64547,                0.40394,                0.60596,                0.45984,                0.70006,                0.36195,                0.62989,                0.40092,                0.67646,                0.42433,                      0,                 0.6293,                0.67246,                0.65733,                0.73864,                0.55542,                0.64636,                0.40765,                0.17898,                0.46147,                0.59308,                0.41254,                0.69251,              0.0088196,                      0,                0.74974,                0.58096,                0.31278,                0.48099,                0.26996,                0.73004,                0.73004,                      1
                     13,                0.74619,                0.51777,                 1.3937,                0.08704,                0.78229,                0.74366,                0.80509,                0.63976,                0.70985,                0.48464,                 1.4739,                0.09286,               0.008812,               0.008812,               0.008812,                0.66357,                0.35901,                0.60678,                0.45453,                0.70543,                0.39095,                0.66834,                0.37041,                0.69488,                0.38241,                      0,                0.68701,                0.68043,                0.65673,                0.75544,                0.59056,                0.66359,                0.36672,                 0.1703,                 0.4462,                0.61376,                0.40976,                0.59802,                0.64257,                0.41006,                0.61615,                0.46693,                0.70575,                0.38964,                0.65862,                0.39904,                 0.6825,                0.41407,                      0,                0.63227,                 0.6721,                0.65289,                0.73679,                0.55984,                 0.6455,                0.41536,                0.17779,                0.45752,                0.59083,                0.40976,                0.68257,              0.0084198,                      0,                0.74922,                 0.5842,                0.31812,                0.48102,                0.26312,                0.73688,                0.73688,                      1
                     14,                0.74386,                0.51854,                 1.3814,                0.08571,                0.72168,                0.78158,                0.78048,                0.62953,                0.70198,                0.47267,                 1.4722,                0.09218,               0.008713,               0.008713,               0.008713,                 0.6663,                0.36963,                0.61027,                0.47739,                0.71718,                0.38398,                0.67065,                0.38072,                0.69777,                 0.4069,                      0,                0.68521,                0.67747,                 0.6574,                0.74345,                0.57623,                0.66678,                0.37913,                0.16978,                0.44919,                0.60169,                0.41092,                0.61548,                 0.6506,                0.41241,                0.61819,                0.48855,                0.71973,                0.37783,                0.64814,                0.39384,                0.69588,                0.43911,                      0,                0.63651,                 0.6726,                0.65756,                0.72808,                0.54717,                0.65343,                0.41894,                0.17901,                0.45997,                0.57777,                0.41092,                 0.7005,              0.0086003,                      0,                0.73833,                0.58655,                0.31289,                0.48549,                0.26434,                0.73566,                0.73566,                      1
                     15,                 0.7403,                0.51202,                 1.3877,                0.08646,                0.76845,                 0.7856,                0.81497,                0.66049,                0.69196,                0.45749,                 1.4581,                0.09247,               0.008614,               0.008614,               0.008614,                0.66593,                0.37049,                0.62041,                 0.4424,                0.71695,                0.34563,                0.66929,                0.36925,                0.69071,                0.40021,                      0,                0.68899,                0.67692,                0.65683,                0.75208,                0.57645,                0.66645,                0.37783,                0.17075,                0.44781,                 0.5992,                 0.4106,                0.60354,                0.65266,                0.41191,                0.62713,                0.45807,                0.72717,                0.35758,                0.65602,                0.37309,                0.69125,                0.43342,                      0,                0.64501,                 0.6728,                0.65628,                0.73523,                0.54874,                0.65565,                0.41637,                0.18001,                0.45658,                 0.5742,                 0.4106,                0.68533,              0.0087094,                      0,                0.74646,                 0.5856,                0.31765,                0.48426,                0.26381,                0.73619,                0.73619,                      1
                     16,                   0.74,                0.51163,                 1.3812,                0.08637,                0.77881,                0.77838,                0.81869,                0.66315,                 0.6928,                0.46003,                 1.4766,                0.09227,               0.008515,               0.008515,               0.008515,                0.66382,                0.36548,                0.60998,                0.45087,                0.71925,                0.37968,                0.66927,                 0.3984,                0.66927,                 0.3819,                      0,                0.68796,                0.67958,                 0.6588,                0.75244,                0.58063,                0.66355,                0.37092,                0.17209,                0.44707,                0.60007,                0.41236,                0.59697,                0.65014,                0.41381,                0.61828,                0.46801,                0.71979,                0.39478,                0.64739,                0.42902,                0.67916,                0.39159,                      0,                0.64145,                0.67388,                0.65808,                0.73124,                 0.5487,                0.65211,                0.41621,                0.18128,                0.45703,                0.57479,                0.41236,                0.68119,               0.008772,                      0,                0.74537,                0.58123,                0.31533,                0.48155,                0.26825,                0.73175,                0.73175,                      1
                     17,                0.73623,                0.50439,                 1.3866,                0.08567,                0.79926,                 0.7906,                0.82965,                0.66852,                  0.695,                0.45742,                 1.4679,                0.09267,               0.008416,               0.008416,               0.008416,                0.66609,                0.37821,                0.60781,                0.44439,                0.72646,                0.34801,                0.66289,                 0.3747,                0.69831,                0.38797,                      0,                0.68883,                0.67329,                0.65421,                0.74606,                0.56994,                0.66617,                0.38422,                 0.1707,                0.44857,                0.60202,                0.41182,                0.60537,                0.65203,                0.42038,                0.61589,                0.46183,                0.73134,                0.36358,                0.65608,                0.41026,                0.69831,                0.42249,                      0,                0.64135,                0.66917,                0.65384,                0.72231,                0.54182,                0.65473,                0.42414,                0.18006,                0.45767,                0.57362,                0.41182,                0.69062,              0.0085846,                      0,                0.73815,                0.58096,                0.31421,                0.47986,                0.27155,                0.72845,                0.72845,                      1
                     18,                0.73109,                0.49967,                 1.3702,                0.08473,                 0.8044,                0.77779,                0.83479,                0.67439,                0.69616,                0.45482,                 1.4558,                0.09176,               0.008317,               0.008317,               0.008317,                0.67213,                0.38298,                  0.624,                0.48603,                0.71918,                0.39967,                0.65774,                0.37526,                0.70739,                0.41726,                      0,                0.69494,                0.67415,                 0.6512,                0.73418,                0.56662,                0.67219,                 0.3943,                0.17225,                0.44321,                0.58953,                0.40969,                0.60908,                0.65818,                0.41923,                 0.6251,                0.48803,                0.72241,                0.39964,                0.63762,                0.41845,                0.69248,                0.42572,                      0,                0.65028,                0.67022,                0.65166,                0.72377,                0.54252,                0.65952,                0.42595,                0.18063,                0.45383,                0.56931,                0.40969,                0.68518,              0.0084288,                      0,                0.73071,                 0.5827,                0.32068,                0.47864,                0.26495,                0.73505,                0.73505,                      1
                     19,                0.72984,                0.49802,                 1.3773,                0.08575,                0.78037,                0.77927,                0.81395,                0.66153,                0.69558,                0.45958,                 1.4604,                0.09196,               0.008218,               0.008218,               0.008218,                0.67688,                 0.3821,                 0.6069,                0.46751,                0.72072,                0.35586,                0.66541,                0.39375,                0.69517,                0.40042,                      0,                0.70131,                0.67618,                0.65288,                0.74484,                0.56932,                0.67537,                0.38711,                0.17173,                0.44154,                 0.5978,                0.41019,                0.60426,                0.65819,                0.42493,                0.61036,                0.49217,                0.72774,                0.36435,                0.67205,                0.42505,                0.68726,                0.41171,                      0,                0.64753,                0.66994,                0.65201,                0.72882,                0.54204,                0.65994,                0.42823,                 0.1801,                0.45479,                0.57498,                0.41019,                0.69398,              0.0085243,                      0,                 0.7395,                0.58532,                0.31768,                0.48241,                0.26725,                0.73275,                0.73275,                      1
                     20,                  0.728,                0.49725,                 1.3745,                0.08578,                0.77337,                0.78495,                 0.8122,                0.65922,                0.68842,                 0.4544,                 1.4875,                 0.0922,               0.008119,               0.008119,               0.008119,                0.66891,                0.37592,                0.59626,                0.44299,                0.69917,                0.36743,                0.64752,                0.35128,                0.68834,                 0.4031,                      0,                0.68624,                0.67586,                0.65685,                0.74677,                0.56827,                0.66666,                0.38015,                0.17269,                0.44954,                0.59965,                0.41197,                 0.6135,                0.65124,                0.42261,                0.59707,                0.47475,                0.71068,                0.37514,                0.64963,                0.38659,                0.68587,                0.42523,                      0,                0.63552,                0.67029,                0.65551,                0.72492,                0.53959,                0.65204,                0.42467,                0.18147,                0.46025,                0.57561,                0.41197,                0.69689,               0.008441,                      0,                0.73948,                0.58195,                0.31557,                0.48117,                0.26921,                0.73079,                0.73079,                      1
