                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss,  train/rgb_prompt_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,    val/rgb_prompt_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,  p2/P3_rgb_prompt_mean,   p2/P3_rgb_prompt_mse,   p2/P3_rgb_prompt_std,p2/P4_gder_attention_weight,p2/P4_gder_modality_weight,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,  p2/P4_rgb_prompt_mean,   p2/P4_rgb_prompt_mse,   p2/P4_rgb_prompt_std,p2/prompt_warmup_factor
                     48,                0.66879,                0.43287,                 1.3681,                0.02981,                0.00045,                0.82162,                0.82997,                0.85972,                0.72155,                 0.6488,                0.40226,                 1.4471,                0.02798,                0.00039,               0.005347,               0.005347,               0.005347,                0.04047,                 0.4423,                0.48277,               0.053971,                0.14341,                0.51867,               0.045013,             0.00026764,                0.50008,                0.49992,               0.029777,                0.50237,                0.53215,               0.045191,                0.14632,                0.51725,                0.04498,             0.00090578,                      1
                     49,                0.66564,                0.42816,                 1.3631,                0.02963,                0.00045,                0.83007,                0.82657,                0.86142,                0.72341,                0.64926,                 0.4012,                 1.4508,                0.02795,                0.00039,               0.005248,               0.005248,               0.005248,               0.040162,                0.44675,                0.48691,                0.05375,                0.14387,                0.51853,               0.044871,             0.00025649,                0.50009,                0.49991,               0.029152,                0.50528,                0.53444,               0.044584,                0.14631,                0.51722,               0.044864,              0.0008576,                      1
                     50,                0.65967,                0.42349,                 1.3618,                0.02977,                0.00045,                 0.8239,                0.83169,                0.86287,                0.72449,                0.64888,                0.39995,                 1.4512,                0.02793,                0.00039,               0.005149,               0.005149,               0.005149,               0.039912,                0.44589,                 0.4858,               0.053704,                 0.1441,                0.51857,               0.044859,             0.00024499,                0.50009,                0.49991,               0.029342,                0.50365,                0.53299,               0.045001,                 0.1467,                0.51729,               0.044834,             0.00082116,                      1
                     51,                0.66338,                0.42797,                 1.3619,                0.02966,                0.00045,                0.82772,                 0.8295,                0.86251,                0.72455,                0.64837,                0.39994,                 1.4498,                0.02789,                0.00039,                0.00505,                0.00505,                0.00505,               0.040416,                0.44657,                0.48699,               0.054134,                0.14456,                0.51847,               0.044815,             0.00023541,                 0.5001,                 0.4999,               0.028969,                0.50339,                0.53236,               0.044517,                0.14596,                0.51732,               0.044812,             0.00078385,                      1
                     52,                0.65956,                0.42357,                 1.3655,                0.02946,                0.00045,                 0.8345,                0.82394,                0.86321,                0.72499,                0.64831,                0.39948,                 1.4502,                0.02786,                0.00039,               0.004951,               0.004951,               0.004951,               0.039355,                0.44672,                0.48607,               0.052853,                0.14284,                0.51878,               0.045238,             0.00022547,                 0.5001,                 0.4999,               0.028908,                0.50425,                0.53316,               0.044229,                 0.1456,                0.51757,               0.045271,             0.00075187,                      1
                     53,                 0.6569,                0.42032,                 1.3646,                0.02949,                0.00045,                0.83539,                0.82272,                0.86272,                0.72427,                0.64827,                0.39943,                 1.4504,                0.02784,                0.00039,               0.004852,               0.004852,               0.004852,               0.039705,                0.45009,                0.48979,               0.053364,                0.14396,                0.51876,                0.04478,             0.00021645,                0.50011,                0.49989,               0.028942,                0.50714,                0.53608,               0.044427,                0.14612,                0.51758,               0.044795,             0.00071568,                      1
                     54,                 0.6552,                0.41925,                 1.3678,                0.02938,                0.00045,                0.83456,                0.82319,                0.86091,                0.72315,                 0.6479,                0.39992,                 1.4523,                0.02782,                0.00039,               0.004753,               0.004753,               0.004753,               0.039473,                0.44987,                0.48934,               0.053127,                0.14387,                0.51858,               0.044672,             0.00020707,                0.50011,                0.49989,                0.02856,                 0.5085,                0.53706,               0.044081,                0.14632,                0.51766,                0.04467,             0.00068736,                      1
                     55,                0.65634,                 0.4162,                  1.358,                0.02943,                0.00045,                0.83416,                0.82278,                 0.8597,                0.72191,                 0.6477,                0.39974,                 1.4521,                 0.0278,                0.00039,               0.004654,               0.004654,               0.004654,               0.039916,                0.45113,                0.49104,               0.053671,                0.14461,                 0.5186,               0.044609,             0.00019946,                0.50012,                0.49988,               0.028954,                0.50939,                0.53835,               0.044573,                0.14673,                0.51763,               0.044617,             0.00065854,                      1
                     56,                0.65224,                0.41632,                 1.3593,                0.02952,                0.00045,                0.82972,                0.82829,                0.86081,                0.72292,                0.64765,                0.39931,                 1.4532,                0.02778,                0.00039,               0.004555,               0.004555,               0.004555,                0.03921,                0.44939,                 0.4886,               0.053043,                0.14407,                0.51873,               0.045061,             0.00019238,                0.50012,                0.49988,               0.028874,                0.50569,                0.53456,               0.044526,                0.14621,                0.51775,               0.045081,             0.00063565,                      1
                     57,                0.64902,                0.41256,                 1.3563,                0.02942,                0.00045,                0.83165,                0.82539,                0.86084,                0.72336,                 0.6477,                0.39933,                 1.4533,                0.02776,                0.00039,               0.004456,               0.004456,               0.004456,               0.039445,                0.45274,                0.49218,               0.053401,                0.14501,                0.51864,               0.044671,             0.00018438,                0.50013,                0.49987,               0.028594,                0.50965,                0.53824,               0.044377,                0.14655,                0.51777,               0.044682,             0.00061158,                      1
                     58,                0.65515,                0.41355,                 1.3527,                0.02933,                0.00045,                0.83298,                0.82255,                0.86014,                0.72209,                0.64745,                0.39954,                 1.4537,                0.02774,                0.00039,               0.004357,               0.004357,               0.004357,               0.039285,                0.44997,                0.48925,               0.052976,                0.14389,                0.51881,               0.044834,             0.00017764,                0.50013,                0.49987,               0.028888,                0.50839,                0.53728,               0.044439,                0.14603,                 0.5179,               0.044842,             0.00058181,                      1
                     59,                0.65589,                0.41402,                 1.3658,                0.02939,                0.00045,                0.83468,                0.82038,                0.85907,                0.72167,                0.64736,                0.39987,                 1.4533,                0.02772,                0.00039,               0.004258,               0.004258,               0.004258,               0.038347,                0.44744,                0.48579,               0.051915,                0.14281,                0.51859,               0.044537,             0.00017161,                0.50014,                0.49986,                0.02833,                0.51003,                0.53836,                0.04388,                0.14615,                0.51789,               0.044532,             0.00056108,                      1
                     60,                0.65373,                0.41133,                 1.3576,                0.02939,                0.00045,                0.83229,                0.82146,                 0.8591,                0.72175,                0.64723,                0.39938,                  1.454,                 0.0277,                0.00039,               0.004159,               0.004159,               0.004159,               0.039153,                0.45129,                0.49044,               0.053027,                0.14455,                0.51864,               0.044844,             0.00016379,                0.50015,                0.49985,               0.028542,                0.50855,                0.53709,                0.04426,                0.14669,                0.51801,               0.044843,             0.00054597,                      1
                     61,                0.64818,                0.40727,                 1.3536,                0.02928,                0.00045,                0.83149,                0.82431,                0.85902,                0.72148,                0.64717,                0.39905,                  1.454,                0.02768,                0.00039,                0.00406,                0.00406,                0.00406,               0.039055,                0.45159,                0.49064,               0.052888,                0.14411,                0.51876,               0.045146,             0.00015808,                0.50015,                0.49985,               0.028133,                0.51169,                0.53982,               0.043899,                0.14657,                0.51814,                0.04515,             0.00052468,                      1
                     62,                0.64514,                0.40603,                 1.3563,                0.02926,                0.00045,                0.83009,                0.82656,                0.85842,                0.72141,                0.64708,                 0.3992,                 1.4538,                0.02767,                0.00039,               0.003961,               0.003961,               0.003961,               0.038549,                0.45164,                0.49019,               0.052371,                0.14392,                0.51856,               0.045009,             0.00015285,                0.50016,                0.49984,               0.028099,                0.51081,                0.53891,               0.043813,                0.14637,                0.51817,               0.045009,             0.00050371,                      1
                     63,                0.64825,                0.40785,                 1.3581,                0.02923,                0.00045,                 0.8297,                0.82785,                0.85839,                0.72144,                0.64705,                0.39928,                 1.4533,                0.02766,                0.00039,               0.003862,               0.003862,               0.003862,               0.038294,                0.45245,                0.49074,               0.051981,                0.14326,                0.51843,               0.044761,             0.00014846,                0.50016,                0.49984,               0.027955,                0.51027,                0.53823,               0.043465,                0.14541,                0.51809,               0.044755,              0.0004858,                      1
                     64,                0.64782,                0.40804,                 1.3574,                0.02896,                0.00045,                 0.8268,                0.83146,                0.85802,                0.72126,                0.64695,                0.39941,                 1.4534,                0.02764,                0.00039,               0.003763,               0.003763,               0.003763,               0.037885,                0.45387,                0.49176,               0.051399,                0.14289,                0.51844,               0.044512,              0.0001443,                0.50017,                0.49983,               0.028036,                0.51217,                0.54021,               0.043354,                0.14498,                0.51815,               0.044519,             0.00046754,                      1
                     65,                0.64085,                0.40047,                 1.3568,                0.02927,                0.00045,                 0.8247,                0.83028,                0.85785,                0.72099,                0.64688,                0.39942,                 1.4541,                0.02763,                0.00039,               0.003664,               0.003664,               0.003664,               0.038372,                0.45511,                0.49349,                0.05246,                0.14479,                0.51847,               0.044941,             0.00014042,                0.50017,                0.49983,               0.028286,                0.51036,                0.53864,               0.044167,                0.14657,                0.51817,               0.044952,             0.00045451,                      1
                     66,                0.64033,                0.40057,                 1.3591,                0.02913,                0.00045,                0.82213,                0.83057,                0.85736,                0.72036,                0.64694,                0.39941,                 1.4543,                0.02762,                0.00039,               0.003565,               0.003565,               0.003565,               0.037857,                0.45287,                0.49073,               0.051638,                0.14324,                0.51833,               0.045144,             0.00013521,                0.50018,                0.49982,               0.027868,                0.51137,                0.53924,               0.043512,                0.14579,                0.51816,               0.045136,             0.00043947,                      1
                     67,                 0.6459,                0.40022,                 1.3484,                0.02925,                0.00045,                0.82287,                0.82989,                 0.8572,                0.72037,                 0.6469,                0.39929,                 1.4546,                0.02761,                0.00039,               0.003466,               0.003466,               0.003466,               0.038175,                0.45058,                0.48876,               0.051935,                0.14379,                0.51837,               0.044803,             0.00013179,                0.50018,                0.49982,               0.027642,                0.50977,                0.53741,               0.043282,                0.14579,                 0.5182,               0.044801,             0.00042704,                      1
                     68,                0.63787,                 0.3958,                 1.3541,                  0.029,                0.00045,                 0.8236,                0.83037,                0.85711,                0.72052,                0.64696,                0.39921,                 1.4547,                 0.0276,                0.00039,               0.003367,               0.003367,               0.003367,               0.038174,                0.45669,                0.49487,                0.05209,                0.14443,                0.51823,                0.04509,             0.00012766,                0.50019,                0.49981,               0.027862,                0.51428,                0.54214,               0.043624,                0.14618,                0.51816,               0.045074,             0.00041169,                      1
                     69,                0.63829,                0.39544,                 1.3544,                0.02898,                0.00045,                0.82506,                0.82897,                  0.857,                0.72059,                0.64691,                0.39904,                 1.4546,                0.02759,                0.00039,               0.003268,               0.003268,               0.003268,               0.037832,                0.45639,                0.49422,               0.051899,                0.14431,                0.51822,               0.044808,             0.00012348,                 0.5002,                 0.4998,               0.027563,                0.51495,                0.54252,               0.043512,                 0.1467,                0.51826,                 0.0448,             0.00040204,                      1
                     70,                0.63672,                0.39302,                 1.3478,                0.02898,                0.00045,                 0.8252,                0.82811,                0.85685,                0.72054,                0.64686,                0.39911,                 1.4551,                0.02757,                0.00039,               0.003169,               0.003169,               0.003169,               0.038234,                0.45621,                0.49444,               0.052267,                0.14433,                0.51814,               0.045004,             0.00012145,                 0.5002,                 0.4998,                0.02799,                0.51343,                0.54142,               0.043876,                0.14627,                0.51826,               0.045024,             0.00039103,                      1
                     71,                0.63595,                0.39466,                 1.3477,                 0.0289,                0.00045,                0.82661,                0.82705,                0.85673,                0.72026,                 0.6468,                0.39907,                 1.4553,                0.02756,                0.00039,                0.00307,                0.00307,                0.00307,               0.037548,                 0.4541,                0.49165,               0.051257,                0.14323,                0.51814,                0.04514,             0.00011879,                0.50021,                0.49979,               0.027596,                  0.513,                0.54059,               0.043147,                0.14538,                0.51834,               0.045147,             0.00037858,                      1
                     72,                0.63324,                0.39026,                 1.3459,                0.02912,                0.00045,                0.82848,                0.82634,                0.85617,                0.71949,                0.64672,                0.39901,                 1.4557,                0.02755,                0.00039,               0.002971,               0.002971,               0.002971,               0.037781,                0.45365,                0.49143,               0.051769,                  0.144,                0.51818,               0.044882,             0.00011527,                0.50021,                0.49979,               0.027719,                0.51228,                   0.54,                 0.0436,                 0.1463,                0.51839,               0.044883,             0.00036874,                      1
                     73,                0.63082,                0.38832,                 1.3523,                0.02885,                0.00045,                0.82881,                0.82595,                0.85606,                0.71941,                0.64676,                 0.3989,                  1.456,                0.02754,                0.00039,               0.002872,               0.002872,               0.002872,               0.037038,                0.45609,                0.49313,               0.050984,                0.14329,                0.51819,               0.045081,             0.00011245,                0.50022,                0.49978,               0.027162,                0.51652,                0.54368,               0.043032,                0.14612,                0.51842,               0.045058,             0.00035576,                      1
                     74,                0.62905,                0.38637,                 1.3475,                0.02889,                0.00045,                0.83098,                0.82399,                0.85582,                0.71953,                0.64688,                0.39898,                 1.4562,                0.02753,                0.00039,               0.002773,               0.002773,               0.002773,               0.037664,                0.45772,                0.49539,                0.05158,                0.14419,                0.51821,                0.04468,             0.00010915,                0.50022,                0.49978,               0.027404,                0.51613,                0.54354,               0.043183,                0.14602,                0.51847,                0.04468,             0.00034564,                      1
                     75,                0.62904,                0.38664,                 1.3417,                0.02885,                0.00045,                0.83295,                0.82109,                0.85575,                0.71935,                0.64685,                0.39909,                 1.4561,                0.02752,                0.00039,               0.002674,               0.002674,               0.002674,               0.037436,                0.45666,                 0.4941,               0.051311,                0.14364,                0.51822,               0.044822,             0.00010701,                0.50023,                0.49977,                0.02729,                0.51751,                 0.5448,               0.043087,                0.14614,                0.51848,               0.044846,             0.00033669,                      1
                     76,                0.62698,                0.38454,                 1.3418,                0.02874,                0.00045,                0.83435,                0.82025,                0.85542,                0.71916,                0.64677,                  0.399,                 1.4563,                0.02751,                0.00039,               0.002575,               0.002575,               0.002575,               0.037008,                0.45722,                0.49423,               0.050847,                0.14326,                0.51826,               0.045008,             0.00010513,                0.50023,                0.49977,               0.026903,                0.51758,                0.54448,                0.04264,                0.14577,                0.51848,               0.045022,             0.00032995,                      1
                     77,                0.62589,                 0.3822,                 1.3402,                0.02879,                0.00045,                0.83408,                 0.8204,                0.85475,                0.71868,                0.64672,                0.39905,                 1.4567,                 0.0275,                0.00039,               0.002476,               0.002476,               0.002476,               0.037372,                0.46033,                 0.4977,               0.051418,                0.14454,                0.51831,               0.044746,             0.00010253,                0.50024,                0.49976,               0.027452,                0.51686,                0.54431,               0.043308,                0.14621,                0.51855,               0.044755,             0.00032062,                      1
                     78,                0.62503,                0.38019,                 1.3426,                0.02866,                0.00045,                0.83243,                0.82145,                0.85441,                 0.7184,                0.64662,                0.39908,                 1.4569,                0.02749,                0.00039,               0.002377,               0.002377,               0.002377,               0.037504,                0.46051,                0.49801,                0.05149,                0.14445,                0.51826,               0.045005,             0.00010062,                0.50024,                0.49976,               0.027343,                0.51858,                0.54593,               0.043178,                 0.1462,                0.51857,               0.045005,             0.00031572,                      1
                     79,                0.62629,                0.38133,                 1.3463,                0.02872,                0.00045,                0.83251,                0.82093,                0.85389,                 0.7178,                0.64668,                0.39916,                 1.4572,                0.02748,                0.00039,               0.002278,               0.002278,               0.002278,               0.037267,                0.45793,                 0.4952,               0.051084,                0.14372,                0.51821,               0.044835,              9.822e-05,                0.50025,                0.49975,               0.027268,                0.51961,                0.54688,               0.043042,                0.14617,                0.51857,               0.044822,             0.00030979,                      1
                     80,                0.62061,                0.37895,                  1.339,                0.02862,                0.00045,                0.83317,                0.82184,                0.85337,                0.71755,                0.64666,                0.39934,                 1.4572,                0.02748,                0.00039,               0.002179,               0.002179,               0.002179,               0.036986,                   0.46,                0.49698,               0.050969,                 0.1439,                0.51832,               0.044754,             9.6326e-05,                0.50025,                0.49975,               0.027045,                0.51682,                0.54386,               0.042844,                0.14571,                0.51863,               0.044737,             0.00030296,                      1
                     81,                0.62025,                0.37536,                  1.344,                 0.0289,                0.00045,                0.83359,                0.82099,                0.85335,                0.71732,                0.64665,                0.39938,                 1.4574,                0.02747,                0.00039,                0.00208,                0.00208,                0.00208,               0.036925,                0.45863,                0.49556,               0.051027,                0.14439,                0.51834,               0.045126,             9.4113e-05,                0.50025,                0.49975,               0.026971,                0.51768,                0.54465,               0.042987,                0.14652,                 0.5187,               0.045139,             0.00029631,                      1
                     82,                 0.6225,                0.37647,                  1.335,                 0.0288,                0.00045,                0.83297,                0.82141,                 0.8528,                0.71715,                0.64664,                0.39947,                 1.4574,                0.02746,                0.00039,               0.001981,               0.001981,               0.001981,               0.037047,                0.45759,                0.49463,               0.050992,                 0.1439,                0.51825,               0.044865,             9.2927e-05,                0.50026,                0.49974,               0.027122,                0.51654,                0.54366,               0.042957,                0.14594,                0.51868,               0.044865,             0.00029214,                      1
                     83,                0.61571,                0.37113,                 1.3338,                0.02881,                0.00045,                0.83266,                0.82158,                0.85271,                0.71706,                0.64654,                0.39971,                 1.4576,                0.02745,                0.00039,               0.001882,               0.001882,               0.001882,               0.036812,                 0.4586,                0.49542,               0.051085,                0.14436,                0.51818,               0.044981,              9.146e-05,                0.50026,                0.49974,               0.026926,                0.51874,                0.54567,               0.043149,                0.14697,                0.51865,               0.044967,             0.00028789,                      1
                     84,                 0.6175,                0.37479,                 1.3387,                0.02867,                0.00045,                0.83238,                0.82076,                0.85241,                0.71698,                0.64662,                0.39992,                 1.4579,                0.02744,                0.00039,               0.001783,               0.001783,               0.001783,               0.037053,                0.45766,                0.49471,               0.050863,                0.14368,                 0.5182,               0.044704,             8.9833e-05,                0.50026,                0.49974,               0.026963,                0.51849,                0.54545,               0.042693,                0.14591,                0.51871,               0.044712,             0.00028249,                      1
                     85,                0.61877,                0.37222,                  1.336,                0.02875,                0.00045,                 0.8318,                  0.821,                0.85187,                0.71639,                0.64679,                0.40019,                 1.4581,                0.02743,                0.00039,               0.001684,               0.001684,               0.001684,               0.036612,                0.45931,                0.49593,                0.05059,                0.14425,                0.51815,                0.04472,             8.8368e-05,                0.50027,                0.49973,               0.026995,                0.51814,                0.54514,               0.042835,                0.14613,                 0.5187,               0.044727,             0.00027855,                      1
                     86,                0.61357,                0.36888,                 1.3366,                 0.0286,                0.00044,                0.83067,                0.82131,                 0.8514,                0.71607,                0.64679,                0.40038,                 1.4583,                0.02742,                0.00039,               0.001585,               0.001585,               0.001585,               0.037196,                0.46387,                0.50106,               0.051389,                0.14537,                0.51818,               0.044402,              8.682e-05,                0.50027,                0.49973,               0.027001,                0.52208,                0.54908,               0.043044,                0.14674,                0.51872,               0.044409,             0.00027475,                      1
                     87,                0.61118,                0.36597,                   1.33,                0.02871,                0.00045,                0.82957,                 0.8202,                0.85115,                0.71604,                0.64686,                0.40048,                 1.4589,                0.02741,                0.00039,               0.001486,               0.001486,               0.001486,               0.036488,                0.46042,                0.49691,               0.050683,                0.14433,                0.51818,               0.044689,             8.5702e-05,                0.50027,                0.49973,               0.026615,                0.52033,                0.54694,               0.042749,                0.14638,                0.51872,               0.044694,             0.00027023,                      1
                     88,                0.61154,                0.36845,                 1.3345,                 0.0288,                0.00045,                0.83008,                0.82058,                 0.8508,                 0.7155,                0.64687,                0.40067,                 1.4592,                0.02741,                0.00039,               0.001387,               0.001387,               0.001387,               0.037215,                0.45895,                0.49617,                0.05121,                0.14469,                0.51821,               0.044508,             8.4764e-05,                0.50027,                0.49973,               0.027236,                0.51799,                0.54522,               0.043113,                0.14636,                0.51873,               0.044533,             0.00026615,                      1
                     89,                0.60928,                0.36538,                 1.3313,                0.02873,                0.00045,                0.82986,                0.82011,                0.85033,                0.71526,                0.64687,                0.40097,                 1.4593,                 0.0274,                0.00039,               0.001288,               0.001288,               0.001288,               0.036724,                0.45999,                0.49671,               0.050964,                0.14442,                0.51821,               0.044722,             8.3957e-05,                0.50028,                0.49972,               0.026772,                0.51902,                0.54579,               0.042916,                0.14644,                0.51875,               0.044719,             0.00026272,                      1
                     90,                0.60659,                 0.3639,                 1.3268,                 0.0285,                0.00045,                0.82957,                0.82095,                 0.8501,                0.71504,                0.64689,                0.40115,                 1.4596,                0.02739,                0.00039,               0.001189,               0.001189,               0.001189,               0.036984,                0.46204,                0.49903,               0.051036,                0.14444,                0.51817,                0.04475,             8.2596e-05,                0.50028,                0.49972,               0.026894,                0.52214,                0.54903,               0.042859,                0.14638,                0.51874,               0.044753,             0.00025977,                      1
                     91,                0.60677,                0.36057,                 1.3248,                0.02864,                0.00045,                0.82815,                0.82201,                0.84978,                0.71487,                0.64697,                0.40146,                   1.46,                0.02738,                0.00039,                0.00109,                0.00109,                0.00109,               0.036646,                0.46267,                0.49932,               0.050895,                0.14465,                0.51819,               0.044647,             8.1774e-05,                0.50028,                0.49972,               0.026382,                0.52243,                0.54881,               0.042558,                0.14653,                0.51874,               0.044647,             0.00025841,                      1
                     92,                0.60515,                0.35791,                 1.3288,                0.02845,                0.00045,                0.82708,                0.82271,                0.84919,                0.71441,                0.64697,                0.40165,                 1.4604,                0.02737,                0.00039,               0.000991,               0.000991,               0.000991,               0.036101,                0.46356,                0.49967,               0.050264,                0.14393,                0.51822,               0.044862,             8.0961e-05,                0.50029,                0.49971,               0.026126,                0.52299,                0.54911,               0.042179,                0.14597,                0.51875,               0.044844,             0.00025487,                      1
                     93,                0.60292,                0.35573,                 1.3289,                0.02848,                0.00045,                0.82923,                 0.8217,                0.84888,                0.71407,                0.64706,                0.40191,                 1.4606,                0.02736,                0.00039,               0.000892,               0.000892,               0.000892,                0.03595,                0.46337,                0.49932,               0.050111,                0.14407,                0.51818,               0.045071,             8.0236e-05,                0.50029,                0.49971,               0.026301,                0.52345,                0.54975,               0.042371,                0.14621,                0.51875,               0.045074,             0.00025295,                      1
                     94,                0.60261,                0.35768,                 1.3267,                0.02857,                0.00045,                0.83109,                 0.8203,                0.84869,                0.71406,                0.64717,                0.40198,                 1.4611,                0.02736,                0.00039,               0.000793,               0.000793,               0.000793,               0.036107,                0.46332,                0.49943,               0.050421,                0.14451,                0.51816,               0.045165,             7.9771e-05,                0.50029,                0.49971,               0.026382,                0.52118,                0.54756,               0.042549,                0.14616,                0.51874,               0.045155,             0.00025178,                      1
                     95,                0.60053,                0.35737,                 1.3212,                 0.0283,                0.00045,                0.83149,                0.81993,                0.84827,                0.71401,                0.64733,                 0.4023,                 1.4614,                0.02735,                0.00039,               0.000694,               0.000694,               0.000694,               0.035746,                0.46635,                0.50209,               0.049943,                0.14403,                0.51815,               0.044751,             7.9295e-05,                0.50029,                0.49971,               0.026264,                 0.5238,                0.55007,               0.042283,                0.14591,                0.51874,               0.044739,              0.0002498,                      1
                     96,                0.59829,                0.35347,                 1.3183,                0.02822,                0.00045,                0.83058,                0.82005,                0.84815,                0.71398,                0.64746,                0.40248,                 1.4616,                0.02734,                0.00039,               0.000595,               0.000595,               0.000595,               0.035877,                 0.4636,                0.49947,               0.049759,                0.14321,                0.51814,               0.044978,             7.9044e-05,                0.50029,                0.49971,               0.026252,                0.52465,                 0.5509,               0.042053,                0.14541,                0.51875,               0.045001,             0.00024868,                      1
                     97,                 0.5957,                0.35226,                 1.3151,                0.02846,                0.00045,                0.82804,                0.82141,                0.84754,                0.71342,                0.64751,                 0.4026,                  1.462,                0.02733,                0.00039,               0.000496,               0.000496,               0.000496,               0.035998,                0.46494,                0.50093,               0.050383,                0.14462,                0.51812,               0.044716,             7.8411e-05,                 0.5003,                 0.4997,               0.026218,                0.52303,                0.54925,               0.042474,                0.14648,                0.51875,                0.04473,             0.00024756,                      1
                     98,                0.59724,                0.35177,                 1.3272,                0.02827,                0.00045,                0.82597,                0.82261,                0.84732,                 0.7133,                0.64755,                0.40281,                 1.4624,                0.02733,                0.00039,               0.000397,               0.000397,               0.000397,               0.035977,                0.46345,                0.49943,               0.049981,                0.14348,                 0.5181,               0.044947,             7.8249e-05,                 0.5003,                 0.4997,                0.02618,                 0.5233,                0.54948,               0.042082,                0.14554,                0.51875,               0.044955,             0.00024644,                      1
                     99,                 0.5958,                0.35024,                 1.3204,                0.02837,                0.00045,                0.82569,                0.82203,                0.84704,                0.71326,                0.64765,                0.40303,                 1.4629,                0.02732,                0.00039,               0.000298,               0.000298,               0.000298,               0.035889,                0.46395,                0.49984,               0.049908,                0.14375,                0.51809,               0.044966,             7.8034e-05,                 0.5003,                 0.4997,               0.025967,                0.52373,                 0.5497,               0.041853,                0.14549,                0.51875,               0.044953,             0.00024524,                      1
                    100,                0.59467,                0.35118,                 1.3183,                0.02864,                0.00045,                0.82524,                0.82137,                0.84672,                0.71287,                0.64773,                0.40314,                 1.4634,                0.02731,                0.00039,               0.000199,               0.000199,               0.000199,               0.036344,                0.46279,                0.49913,               0.050568,                0.14503,                0.51809,               0.045014,             7.7886e-05,                 0.5003,                 0.4997,               0.026303,                0.52193,                0.54823,               0.042437,                0.14634,                0.51875,               0.045024,             0.00024458,                      1
