                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss,  train/rgb_prompt_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,    val/rgb_prompt_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,  p2/P3_rgb_prompt_mean,   p2/P3_rgb_prompt_mse,   p2/P3_rgb_prompt_std,p2/P4_gder_attention_weight,p2/P4_gder_modality_weight,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,  p2/P4_rgb_prompt_mean,   p2/P4_rgb_prompt_mse,   p2/P4_rgb_prompt_std,p2/prompt_warmup_factor
                     12,                0.73968,                0.51643,                 1.3846,                0.03585,                0.00045,                0.76129,                0.77741,                0.79669,                0.65135,                0.69513,                0.47556,                  1.435,                0.03388,                 0.0004,               0.008911,               0.008911,               0.008911,               0.091904,                0.35118,                0.44308,                0.10269,                 0.1299,                0.51708,               0.045215,              0.0023003,                0.50001,                0.49999,                0.11126,                0.32463,                0.43589,                0.12128,                0.12063,                0.51529,               0.045251,               0.007329,                      1
                     13,                0.73571,                0.51645,                 1.3821,                0.03511,                0.00045,                0.77596,                0.77724,                0.81576,                0.66665,                0.69264,                0.46453,                 1.4532,                0.03331,                 0.0004,               0.008812,               0.008812,               0.008812,               0.078383,                0.37232,                 0.4507,               0.089888,                0.13458,                0.51737,               0.045005,              0.0021257,                0.50001,                0.49999,               0.094567,                0.35376,                0.44833,                0.10555,                0.12583,                0.51493,               0.045057,              0.0068821,                      1
                     14,                0.73109,                0.51218,                 1.3809,                0.03435,                0.00045,                0.74454,                0.77211,                0.79433,                0.64857,                 0.6916,                0.46683,                 1.4795,                0.03286,                 0.0004,               0.008713,               0.008713,               0.008713,               0.070081,                0.38717,                0.45725,               0.081976,                0.13717,                0.51791,               0.045069,              0.0019623,                0.50001,                0.49999,               0.081999,                0.37853,                0.46053,               0.093689,                0.13055,                0.51489,               0.045103,              0.0064138,                      1
                     15,                0.73038,                0.50782,                 1.3824,                0.03383,                0.00045,                0.76859,                0.76626,                0.80816,                0.66191,                0.69127,                0.47414,                 1.4741,                0.03225,                 0.0004,               0.008614,               0.008614,               0.008614,               0.065699,                 0.3959,                 0.4616,               0.077784,                0.13904,                0.51802,               0.044706,              0.0018224,                0.50001,                0.49999,               0.072573,                0.39763,                 0.4702,               0.084783,                0.13422,                0.51475,               0.044745,              0.0059913,                      1
                     16,                0.72615,                0.50151,                 1.3776,                0.03329,                0.00045,                0.81759,                0.77483,                0.83913,                0.68974,                0.67906,                0.44709,                 1.4629,                0.03161,                 0.0004,               0.008515,               0.008515,               0.008515,               0.061902,                0.40314,                0.46504,               0.074232,                0.14021,                0.51827,               0.044704,              0.0016841,                0.50001,                0.49999,               0.063882,                0.41585,                0.47973,               0.076663,                0.13746,                0.51475,               0.044761,              0.0056113,                      1
                     17,                0.72326,                  0.499,                 1.3836,                0.03302,                0.00045,                0.79171,                 0.7822,                0.82645,                0.68071,                0.68095,                0.45374,                 1.4694,                0.03123,                 0.0004,               0.008416,               0.008416,               0.008416,               0.058432,                0.40534,                0.46377,               0.070875,                0.14055,                0.51872,               0.044655,              0.0015783,                0.50001,                0.49999,               0.055259,                 0.4276,                0.48285,               0.068456,                0.13975,                0.51492,               0.044691,              0.0052958,                      1
                     18,                0.71921,                0.49516,                 1.3747,                0.03285,                0.00045,                0.78493,                0.77039,                0.82028,                0.67076,                0.68591,                0.45788,                 1.4715,                0.03098,                 0.0004,               0.008317,               0.008317,               0.008317,               0.057066,                0.40537,                0.46244,               0.069677,                0.14096,                0.51862,               0.045313,              0.0014633,                0.50001,                0.49999,               0.048721,                0.43665,                0.48537,               0.062389,                0.14178,                0.51485,               0.045295,              0.0049445,                      1
                     19,                 0.7176,                0.49339,                 1.3806,                0.03264,                0.00045,                0.80352,                0.77462,                0.83094,                0.68589,                0.67954,                0.45014,                 1.4689,                0.03066,                 0.0004,               0.008218,               0.008218,               0.008218,               0.054952,                0.40762,                0.46257,               0.067566,                0.14189,                 0.5187,               0.045096,              0.0013722,                0.50001,                0.49999,               0.043724,                0.44775,                0.49147,               0.057656,                0.14332,                 0.5148,               0.045088,              0.0046253,                      1
                     20,                0.71749,                0.49314,                 1.3757,                0.03206,                0.00045,                 0.8032,                0.78971,                0.83611,                0.69003,                0.67457,                0.44448,                 1.4466,                0.03037,                 0.0004,               0.008119,               0.008119,               0.008119,               0.053103,                0.41494,                0.46804,               0.065716,                0.14159,                0.51897,               0.044678,                0.00129,                0.50001,                0.49999,               0.040496,                0.45823,                0.49872,               0.054507,                0.14395,                  0.515,               0.044685,              0.0043549,                      1
                     21,                0.71672,                0.48857,                 1.3814,                0.03171,                0.00045,                0.79938,                0.79439,                 0.8376,                0.68888,                0.67675,                0.44204,                 1.4623,                0.03022,                 0.0004,                0.00802,                0.00802,                0.00802,               0.051634,                0.41682,                0.46846,               0.064172,                  0.141,                0.51897,               0.044849,              0.0011993,                0.50002,                0.49998,               0.038826,                0.46563,                0.50445,               0.052917,                0.14421,                0.51506,               0.044873,              0.0040935,                      1
                     22,                0.70854,                 0.4856,                 1.3788,                0.03172,                0.00045,                0.80742,                0.81208,                0.84843,                0.70211,                0.66766,                0.42919,                 1.4454,                0.02982,                 0.0004,               0.007921,               0.007921,               0.007921,               0.051241,                0.42011,                0.47135,               0.064154,                0.14269,                0.51905,               0.044876,              0.0011302,                0.50002,                0.49998,               0.037542,                0.47034,                0.50788,               0.052077,                0.14557,                0.51509,               0.044889,              0.0038369,                      1
                     23,                0.71083,                0.48429,                  1.382,                0.03147,                0.00045,                0.80757,                 0.8042,                0.84813,                0.70295,                0.66816,                0.43196,                 1.4369,                0.02992,                 0.0004,               0.007822,               0.007822,               0.007822,               0.049967,                0.42023,                0.47019,               0.062623,                0.14196,                 0.5187,               0.044784,              0.0010571,                0.50002,                0.49998,               0.036455,                0.47129,                0.50775,               0.050728,                 0.1449,                0.51491,               0.044793,              0.0036371,                      1
                     24,                0.70733,                0.48182,                 1.3774,                0.03147,                0.00045,                0.82194,                 0.7916,                 0.8547,                0.70974,                0.66823,                0.42742,                 1.4385,                0.02958,                 0.0004,               0.007723,               0.007723,               0.007723,               0.048716,                0.42306,                0.47178,               0.061719,                0.14261,                0.51853,               0.044999,             0.00099923,                0.50002,                0.49998,               0.035412,                0.47514,                0.51055,               0.050085,                 0.1458,                0.51493,               0.045009,              0.0034137,                      1
                     25,                0.70374,                0.47303,                 1.3774,                0.03153,                0.00045,                0.81291,                0.83118,                0.85892,                0.71295,                0.66255,                0.42416,                 1.4439,                0.02949,                 0.0004,               0.007624,               0.007624,               0.007624,               0.048598,                0.42388,                0.47247,               0.061733,                0.14327,                0.51863,               0.044681,             0.00093672,                0.50002,                0.49998,               0.035182,                0.47559,                0.51077,               0.050014,                0.14651,                0.51501,               0.044687,              0.0032275,                      1
                     26,                0.70152,                0.47194,                 1.3749,                0.03096,                0.00045,                0.80273,                0.80802,                0.84667,                 0.7045,                0.66379,                0.42421,                 1.4431,                0.02941,                 0.0004,               0.007525,               0.007525,               0.007525,               0.047953,                 0.4297,                0.47765,               0.060994,                0.14316,                0.51856,               0.044723,             0.00087901,                0.50002,                0.49998,               0.034579,                0.48235,                0.51693,               0.049306,                0.14635,                0.51503,               0.044709,              0.0030489,                      1
                     27,                0.69742,                0.47237,                 1.3701,                0.03132,                0.00045,                0.81583,                0.79407,                0.84905,                0.70675,                0.66056,                0.42362,                 1.4476,                0.02928,                 0.0004,               0.007426,               0.007426,               0.007426,               0.047989,                0.42532,                0.47331,                 0.0612,                0.14394,                0.51847,               0.044824,             0.00081858,                0.50002,                0.49998,               0.034437,                0.48033,                0.51477,               0.049445,                0.14719,                0.51505,               0.044819,              0.0028572,                      1
                     28,                0.69833,                0.46912,                 1.3704,                0.03096,                0.00045,                0.81443,                0.79338,                0.84131,                0.69986,                0.66275,                0.42436,                 1.4507,                0.02924,                 0.0004,               0.007327,               0.007327,               0.007327,               0.047023,                0.42817,                0.47519,               0.060086,                0.14338,                0.51846,               0.044975,             0.00077359,                0.50003,                0.49997,               0.033892,                0.48577,                0.51966,               0.048808,                 0.1467,                0.51511,                0.04497,              0.0026571,                      1
                     29,                0.69837,                0.46857,                 1.3778,                0.03083,                0.00045,                0.80159,                0.81661,                0.84864,                 0.7072,                0.65943,                 0.4177,                 1.4476,                0.02908,                 0.0004,               0.007228,               0.007228,               0.007228,               0.046209,                0.43145,                0.47766,               0.059317,                0.14318,                0.51826,               0.045005,             0.00073048,                0.50003,                0.49997,                0.03335,                0.48579,                0.51914,               0.048184,                0.14604,                0.51504,                  0.045,               0.002511,                      1
                     30,                0.69523,                0.46513,                 1.3707,                0.03075,                0.00045,                0.81317,                0.81929,                0.85628,                0.71238,                0.65864,                0.41484,                 1.4529,                0.02903,                 0.0004,               0.007129,               0.007129,               0.007129,               0.045966,                0.43255,                0.47851,                0.05912,                0.14331,                0.51809,                0.04511,             0.00068052,                0.50003,                0.49997,               0.033032,                 0.4868,                0.51984,               0.047922,                0.14596,                0.51498,               0.045119,               0.002366,                      1
                     31,                0.69829,                0.46701,                 1.3756,                0.03075,                0.00045,                0.82527,                 0.8135,                0.85609,                0.71408,                 0.6562,                 0.4151,                 1.4418,                0.02888,                 0.0004,                0.00703,                0.00703,                0.00703,               0.045054,                0.42961,                0.47467,               0.058124,                0.14316,                0.51845,               0.044937,             0.00064312,                0.50003,                0.49997,               0.032469,                0.48611,                0.51858,               0.047335,                0.14582,                0.51522,               0.044961,              0.0022472,                      1
                     32,                0.69183,                0.46097,                 1.3741,                0.03068,                0.00045,                0.81426,                0.81679,                0.85847,                0.71608,                0.65857,                0.41151,                 1.4468,                0.02884,                 0.0004,               0.006931,               0.006931,               0.006931,               0.045596,                0.43178,                0.47738,               0.058801,                0.14368,                0.51854,               0.044822,             0.00060537,                0.50003,                0.49997,               0.032928,                 0.4889,                0.52183,                0.04798,                0.14646,                 0.5153,                0.04483,              0.0021202,                      1
                     33,                0.69286,                0.46123,                 1.3713,                0.03055,                0.00045,                0.81354,                0.82169,                0.85686,                0.71537,                0.65487,                0.41065,                 1.4567,                0.02877,                 0.0004,               0.006832,               0.006832,               0.006832,               0.044542,                0.43258,                0.47712,               0.057657,                 0.1431,                 0.5187,               0.044733,             0.00057331,                0.50004,                0.49996,               0.032036,                0.48907,                0.52111,               0.046934,                0.14585,                0.51551,               0.044737,              0.0019799,                      1
                     34,                0.68836,                0.45599,                 1.3689,                0.03044,                0.00044,                0.81407,                0.81737,                0.85818,                 0.7174,                0.65492,                0.41262,                 1.4485,                0.02866,                 0.0004,               0.006733,               0.006733,               0.006733,               0.043837,                0.43506,                 0.4789,               0.057097,                 0.1433,                0.51876,               0.044475,             0.00054072,                0.50004,                0.49996,               0.031626,                0.49261,                0.52424,               0.046718,                 0.1461,                0.51571,               0.044492,              0.0018764,                      1
                     35,                0.69042,                0.45741,                 1.3716,                0.03045,                0.00045,                0.83411,                 0.8153,                0.86322,                 0.7216,                0.65577,                0.40896,                 1.4471,                 0.0286,                 0.0004,               0.006634,               0.006634,               0.006634,               0.044063,                0.43503,                0.47909,               0.057231,                0.14328,                0.51869,               0.044765,             0.00051037,                0.50004,                0.49996,                0.03182,                0.49424,                0.52606,               0.046876,                0.14657,                0.51581,               0.044776,               0.001787,                      1
                     36,                0.68447,                0.45249,                 1.3595,                0.03049,                0.00045,                0.84232,                0.79943,                0.86477,                0.72418,                0.65346,                0.40785,                 1.4422,                0.02852,                0.00039,               0.006535,               0.006535,               0.006535,               0.043661,                0.43408,                0.47774,               0.056986,                0.14326,                0.51886,               0.045142,             0.00048625,                0.50004,                0.49996,               0.031519,                0.49153,                0.52305,               0.046699,                0.14623,                0.51598,               0.045152,              0.0016819,                      1
                     37,                0.67952,                0.44877,                  1.364,                0.03018,                0.00045,                0.83579,                0.81171,                0.86689,                0.72572,                0.65186,                0.40646,                 1.4455,                0.02845,                 0.0004,               0.006436,               0.006436,               0.006436,                0.04261,                0.43791,                0.48052,               0.055964,                 0.1432,                0.51873,               0.045148,             0.00046301,                0.50005,                0.49995,               0.030874,                0.49583,                0.52671,               0.046076,                0.14608,                0.51601,               0.045137,              0.0015953,                      1
