                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss, train/rgb_spatial_loss,  train/rgb_global_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,   val/rgb_spatial_loss,    val/rgb_global_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,  p2/P3_rgb_global_mean,   p2/P3_rgb_global_mse,   p2/P3_rgb_global_std, p2/P3_rgb_spatial_mean,  p2/P3_rgb_spatial_mse,  p2/P3_rgb_spatial_std,p2/P4_gder_attention_weight,p2/P4_gder_modality_weight,p2/P4_gder_modality_weight_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,  p2/P4_rgb_global_mean,   p2/P4_rgb_global_mse,   p2/P4_rgb_global_std, p2/P4_rgb_spatial_mean,  p2/P4_rgb_spatial_mse,  p2/P4_rgb_spatial_std,p2/P5_gder_attention_weight,p2/P5_gder_modality_weight,p2/P5_gder_modality_weight_std,  p2/P5_rgb_global_mean,   p2/P5_rgb_global_mse,   p2/P5_rgb_global_std,p2/rgb_global_teacher_max,p2/rgb_global_teacher_mean,p2/rgb_global_teacher_min,p2/rgb_global_teacher_std,p2/prompt_warmup_factor
                     11,                0.74471,                0.52378,                 1.3879,                0.03768,                0.00045,                  4e-05,                0.71996,                0.75422,                0.77413,                0.62238,                0.72141,                0.52507,                 1.5301,                0.03615,                 0.0004,                  7e-05,                0.00901,                0.00901,                0.00901,                 0.1331,                0.27793,                0.41103,                0.14154,                0.11885,                0.52122,              0.0048211,               0.040405,                0.51861,               0.045095,              0.0022027,                0.50002,                0.49998,             1.9632e-05,                0.14587,                0.26826,                0.41413,                0.15406,                0.10974,                0.51692,                0.01794,                0.10928,                0.51305,               0.045053,              0.0071315,                0.50011,                0.49989,             0.00012908,                0.51876,              0.0050481,               0.061844,                0.69495,                0.52101,                0.32102,               0.095068,                      1
                     12,                0.73899,                0.51697,                 1.3839,                0.03636,                0.00045,                  4e-05,                0.77877,                 0.7704,                 0.8088,                0.65886,                0.69923,                0.47751,                 1.4439,                0.03456,                 0.0004,                  6e-05,               0.008911,               0.008911,               0.008911,                0.10412,                0.32759,                0.43171,                0.11418,                0.12721,                0.52104,              0.0043387,               0.044369,                0.51935,               0.045258,              0.0019793,                0.50002,                0.49998,             2.0193e-05,                0.11849,                0.32075,                0.43924,                0.12838,                0.11932,                0.52083,               0.019594,                0.11495,                 0.5136,               0.045202,              0.0065879,                0.50011,                0.49989,             0.00013336,                0.52127,              0.0046524,               0.065458,                 0.6942,                0.51973,                0.32147,               0.094245,                      1
                     13,                 0.7355,                0.51613,                 1.3838,                0.03551,                0.00045,                  5e-05,                0.76982,                0.75665,                0.80343,                 0.6557,                0.69506,                0.47029,                 1.4883,                0.03371,                 0.0004,                  5e-05,               0.008812,               0.008812,               0.008812,               0.086802,                0.35612,                0.44292,               0.097811,                0.13175,                0.52108,              0.0040998,               0.046275,                0.51931,               0.045035,              0.0017648,                0.50002,                0.49998,             2.1316e-05,                0.10192,                0.34974,                0.45166,                0.11279,                0.12484,                0.52607,               0.023962,                0.12577,                0.51388,               0.044994,              0.0060577,                0.50011,                0.49989,             0.00013711,                0.51893,              0.0049082,               0.059401,                0.69492,                0.52032,                0.32212,               0.094499,                      1
                     14,                0.73088,                0.51179,                 1.3795,                0.03465,                0.00045,                  5e-05,                0.75581,                0.77606,                0.81084,                 0.6685,                0.68628,                0.46073,                 1.4736,                0.03296,                 0.0004,                  5e-05,               0.008713,               0.008713,               0.008713,               0.075322,                0.37654,                0.45186,               0.086896,                0.13499,                0.52199,              0.0043559,               0.044806,                0.51953,                 0.0451,              0.0015975,                0.50002,                0.49998,             2.2514e-05,               0.087336,                0.37772,                0.46506,               0.099007,                0.12937,                0.51844,               0.023391,                0.13261,                0.51452,               0.045056,              0.0056104,                0.50011,                0.49989,             0.00014093,                0.52107,              0.0050795,               0.060207,                  0.695,                0.51955,                0.31969,               0.095327,                      1
                     15,                0.73023,                0.50799,                 1.3815,                0.03409,                0.00045,                  5e-05,                0.79618,                0.77989,                0.82715,                0.68181,                0.68363,                0.45737,                   1.45,                0.03237,                 0.0004,                  5e-05,               0.008614,               0.008614,               0.008614,               0.069108,                0.38788,                0.45699,               0.080948,                0.13743,                 0.5207,              0.0039951,               0.045574,                0.51953,               0.044732,              0.0014381,                0.50002,                0.49998,             2.3543e-05,               0.076993,                0.39749,                0.47449,                 0.0892,                0.13314,                0.51415,               0.021974,                0.12677,                0.51464,               0.044703,              0.0050519,                0.50012,                0.49988,             0.00014502,                0.51906,              0.0044882,               0.056258,                0.69397,                0.52098,                0.32659,               0.092129,                      1
                     16,                0.72612,                0.50167,                 1.3764,                0.03351,                0.00045,                  6e-05,                0.81887,                0.76913,                0.83825,                0.68902,                0.67807,                0.44629,                 1.4469,                0.03191,                 0.0004,                  5e-05,               0.008515,               0.008515,               0.008515,               0.063894,                0.39824,                0.46213,               0.076074,                0.13937,                0.52144,              0.0038111,               0.049342,                0.51953,               0.044729,              0.0013127,                0.50002,                0.49998,             2.5159e-05,               0.069428,                0.41388,                0.48331,               0.082156,                0.13608,                0.51745,               0.028854,                 0.1332,                0.51489,               0.044714,              0.0046456,                0.50012,                0.49988,             0.00014906,                0.52092,               0.004443,                 0.0605,                0.69233,                0.51997,                0.32144,               0.094417,                      1
                     17,                0.72447,                0.50047,                 1.3802,                0.03328,                0.00045,                  5e-05,                0.77904,                0.77083,                0.81341,                0.66913,                0.68323,                 0.4619,                 1.4679,                0.03167,                0.00039,                  5e-05,               0.008416,               0.008416,               0.008416,               0.059884,                0.40049,                0.46038,                0.07218,                0.13956,                0.52361,              0.0037242,               0.049528,                0.51993,               0.044679,              0.0012014,                0.50002,                0.49998,             2.7622e-05,               0.062968,                0.42279,                0.48576,               0.076016,                0.13814,                0.49577,               0.027159,                0.13552,                0.51535,               0.044656,              0.0042841,                0.50012,                0.49988,             0.00015336,                0.52104,              0.0045009,                0.05613,                0.69206,                0.52021,                0.32377,                0.09321,                      1
                     18,                0.71917,                0.49534,                 1.3752,                0.03316,                0.00045,                  5e-05,                0.79832,                0.79453,                0.83767,                 0.6899,                0.67716,                0.44438,                 1.4325,                0.03114,                0.00039,                  5e-05,               0.008317,               0.008317,               0.008317,               0.058329,                0.40231,                0.46064,               0.070848,                0.14056,                0.51931,              0.0036086,               0.052159,                0.51961,               0.045342,              0.0010875,                0.50002,                0.49998,             3.0843e-05,               0.058319,                0.43007,                0.48839,               0.071786,                0.14037,                0.51886,               0.025947,                 0.1327,                0.51554,               0.045263,               0.003966,                0.50012,                0.49988,              0.0001573,                0.51743,              0.0046809,               0.056324,                0.68909,                0.51668,                0.31885,               0.094386,                      1
                     19,                0.71778,                0.49372,                 1.3818,                0.03299,                0.00045,                  6e-05,                0.80356,                 0.7855,                0.83276,                0.68493,                0.67979,                0.44559,                 1.4711,                0.03122,                0.00039,                  5e-05,               0.008218,               0.008218,               0.008218,               0.055614,                 0.4049,                0.46051,               0.068142,                0.14111,                0.52186,              0.0035342,               0.052643,                0.51955,               0.045118,              0.0010066,                0.50003,                0.49997,             3.3335e-05,               0.053174,                0.43734,                0.49052,               0.066783,                0.14142,                0.49567,               0.031335,                0.14363,                0.51551,               0.045036,              0.0036194,                0.50012,                0.49988,             0.00016074,                 0.5201,              0.0045128,               0.056418,                0.69168,                0.51898,                0.32157,               0.094757,                      1
                     20,                0.71847,                0.49471,                 1.3754,                0.03239,                0.00045,                  5e-05,                0.80681,                0.75305,                0.82367,                0.67627,                0.68029,                0.45497,                 1.4631,                0.03081,                0.00039,                  6e-05,               0.008119,               0.008119,               0.008119,               0.053806,                0.41216,                0.46596,               0.066335,                0.14101,                0.52299,              0.0037596,               0.049072,                0.51983,               0.044693,             0.00092266,                0.50003,                0.49997,             3.6643e-05,                0.04838,                0.44797,                0.49635,               0.062079,                0.14241,                0.50881,               0.027277,                0.13715,                0.51582,               0.044648,              0.0033748,                0.50012,                0.49988,             0.00016492,                0.52218,              0.0042879,                0.05633,                0.69356,                 0.5208,                0.32525,                0.09318,                      1
