                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss, train/rgb_spatial_loss,  train/rgb_global_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,   val/rgb_spatial_loss,    val/rgb_global_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,  p2/P3_rgb_global_mean,   p2/P3_rgb_global_mse,   p2/P3_rgb_global_std, p2/P3_rgb_spatial_mean,  p2/P3_rgb_spatial_mse,  p2/P3_rgb_spatial_std,p2/P4_gder_attention_weight,p2/P4_gder_modality_weight,p2/P4_gder_modality_weight_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,  p2/P4_rgb_global_mean,   p2/P4_rgb_global_mse,   p2/P4_rgb_global_std, p2/P4_rgb_spatial_mean,  p2/P4_rgb_spatial_mse,  p2/P4_rgb_spatial_std,p2/P5_gder_attention_weight,p2/P5_gder_modality_weight,p2/P5_gder_modality_weight_std,  p2/P5_rgb_global_mean,   p2/P5_rgb_global_mse,   p2/P5_rgb_global_std,p2/rgb_global_teacher_max,p2/rgb_global_teacher_mean,p2/rgb_global_teacher_min,p2/rgb_global_teacher_std,p2/prompt_warmup_factor
                     31,                0.69857,                0.46705,                 1.3724,                0.03081,                0.00045,                  6e-05,                0.81952,                0.81988,                0.85321,                0.71084,                0.65826,                0.41777,                 1.4415,                0.02896,                 0.0004,                  5e-05,                0.00703,                0.00703,                0.00703,               0.044272,                0.42944,                0.47371,                0.05733,                0.14278,                0.52115,              0.0032595,               0.053541,                 0.5185,               0.044947,             0.00041072,                0.50006,                0.49994,             8.3837e-05,               0.033464,                 0.4847,                0.51816,               0.048287,                 0.1463,                0.49231,               0.030993,                0.14303,                0.51611,               0.044944,              0.0014926,                0.50014,                0.49986,             0.00019371,                0.51815,              0.0046858,               0.048786,                0.69088,                  0.521,                0.32444,               0.092914,                      1
                     32,                0.69225,                0.46113,                  1.375,                 0.0308,                0.00045,                  6e-05,                0.82978,                0.80721,                0.85645,                0.71411,                0.65872,                0.41319,                 1.4422,                0.02895,                 0.0004,                  5e-05,               0.006931,               0.006931,               0.006931,               0.045286,                0.43142,                 0.4767,               0.058468,                0.14357,                0.52182,              0.0034404,               0.053999,                0.51855,               0.044831,             0.00038338,                0.50006,                0.49994,             8.9291e-05,               0.033697,                 0.4873,                0.52099,               0.048694,                0.14691,                0.51305,               0.032266,                0.15487,                0.51615,               0.044815,              0.0014083,                0.50015,                0.49985,             0.00019629,                0.51994,              0.0048228,               0.049508,                0.69565,                  0.521,                0.32257,               0.094856,                      1
                     33,                0.69294,                 0.4616,                 1.3656,                0.03063,                0.00045,                  6e-05,                0.81128,                0.81298,                0.85202,                0.71137,                 0.6561,                 0.4165,                 1.4424,                0.02881,                0.00039,                  5e-05,               0.006832,               0.006832,               0.006832,               0.044004,                 0.4311,                 0.4751,               0.057076,                0.14259,                0.52375,               0.003369,               0.053444,                0.51886,               0.044743,             0.00036658,                0.50006,                0.49994,               9.54e-05,               0.032671,                0.48791,                0.52058,               0.047532,                0.14602,                0.49091,               0.033001,                0.15544,                0.51658,               0.044725,               0.001314,                0.50015,                0.49985,             0.00019852,                0.52098,              0.0046167,               0.050431,                0.69494,                0.52061,                0.32435,               0.093526,                      1
                     34,                0.68786,                0.45582,                  1.368,                0.03053,                0.00044,                  6e-05,                0.81595,                0.81173,                0.85149,                0.71082,                0.65732,                0.41774,                 1.4461,                0.02872,                0.00039,                  5e-05,               0.006733,               0.006733,               0.006733,               0.043339,                0.43449,                0.47783,               0.056575,                0.14305,                 0.5211,              0.0033626,               0.052909,                0.51904,               0.044483,             0.00033988,                0.50007,                0.49993,             0.00010011,               0.032361,                0.49027,                0.52263,               0.047377,                 0.1462,                0.49542,               0.032927,                0.14823,                 0.5166,               0.044479,                0.00123,                0.50015,                0.49985,             0.00020086,                0.51968,              0.0045967,               0.052085,                 0.6939,                 0.5225,                0.32289,                0.09398,                      1
                     35,                0.69084,                0.45695,                 1.3708,                0.03054,                0.00045,                  6e-05,                0.81154,                0.81372,                0.85286,                0.71275,                0.65627,                0.41399,                 1.4438,                0.02863,                0.00039,                  5e-05,               0.006634,               0.006634,               0.006634,               0.043658,                0.43375,                0.47741,               0.056782,                0.14278,                 0.5207,              0.0035206,               0.052306,                 0.5189,               0.044772,             0.00032753,                0.50007,                0.49993,             0.00010674,               0.032445,                0.49287,                0.52532,               0.047456,                0.14678,                0.49795,               0.031152,                0.15014,                 0.5166,               0.044771,              0.0011573,                0.50015,                0.49985,             0.00020345,                0.51685,              0.0046928,               0.048375,                0.69302,                0.51973,                0.32142,               0.094232,                      1
                     36,                0.68555,                0.45196,                 1.3637,                0.03053,                0.00045,                  5e-05,                0.81063,                0.81118,                0.85194,                0.71183,                0.65508,                0.41326,                 1.4445,                0.02858,                0.00039,                  5e-05,               0.006535,               0.006535,               0.006535,               0.043134,                0.43425,                0.47738,               0.056466,                0.14306,                 0.5223,              0.0034612,               0.050997,                  0.519,               0.045148,             0.00030391,                0.50007,                0.49993,             0.00011324,               0.031866,                 0.4913,                0.52317,               0.047032,                0.14649,                0.50323,               0.029096,                0.14497,                0.51694,               0.045143,              0.0010825,                0.50015,                0.49985,             0.00020602,                0.52149,              0.0047853,               0.047765,                0.69587,                0.52121,                0.32621,               0.093516,                      1
                     37,                0.67944,                0.44872,                 1.3637,                0.03021,                0.00045,                  5e-05,                0.82768,                0.80222,                0.85444,                0.71507,                0.65358,                0.40992,                 1.4481,                0.02848,                0.00039,                  5e-05,               0.006436,               0.006436,               0.006436,                0.04182,                0.43726,                0.47908,               0.055152,                0.14257,                0.51997,               0.003458,                0.05179,                0.51904,               0.045156,             0.00030067,                0.50007,                0.49993,             0.00012135,               0.031335,                0.49481,                0.52614,               0.046508,                 0.1462,                0.50184,               0.028271,                0.14477,                0.51685,               0.045137,              0.0010164,                0.50016,                0.49984,             0.00020831,                0.51949,              0.0050761,               0.047883,                0.69287,                0.51935,                0.32481,               0.093947,                      1
                     38,                0.68326,                0.44902,                 1.3716,                0.03024,                0.00045,                  5e-05,                 0.8224,                0.81998,                0.85451,                0.71453,                0.65285,                 0.4078,                 1.4523,                0.02842,                0.00039,                  5e-05,               0.006337,               0.006337,               0.006337,               0.041472,                0.43888,                0.48036,               0.054844,                0.14283,                0.51809,              0.0034454,               0.051161,                0.51864,               0.044581,              0.0002915,                0.50008,                0.49992,             0.00012893,               0.031017,                0.49651,                0.52753,                0.04623,                0.14637,                0.52158,               0.027951,                0.14211,                0.51663,               0.044587,             0.00094316,                0.50016,                0.49984,             0.00021021,                0.51786,              0.0048896,               0.046888,                0.69092,                0.51767,                0.32209,               0.093687,                      1
                     39,                0.67959,                0.44461,                 1.3698,                 0.0301,                0.00045,                  6e-05,                0.82828,                0.82284,                0.86009,                0.72097,                0.65255,                0.40659,                 1.4476,                0.02834,                0.00039,                  5e-05,               0.006238,               0.006238,               0.006238,               0.041945,                 0.4393,                0.48125,                0.05541,                 0.1432,                0.52298,              0.0034122,               0.050698,                0.51855,               0.044711,             0.00026825,                0.50008,                0.49992,             0.00013823,               0.030932,                 0.4979,                0.52883,               0.046278,                 0.1466,                0.49604,               0.029465,                0.14547,                0.51682,               0.044703,             0.00089561,                0.50016,                0.49984,             0.00021194,                0.52121,              0.0046459,               0.049359,                0.69384,                0.52096,                0.32313,               0.093824,                      1
                     40,                0.67778,                 0.4458,                 1.3666,                0.03019,                0.00045,                  6e-05,                0.82651,                0.82679,                0.86278,                0.72192,                0.65233,                0.40543,                 1.4501,                0.02828,                0.00039,                  5e-05,               0.006139,               0.006139,               0.006139,               0.041198,                0.43859,                0.47979,               0.054593,                0.14313,                  0.521,              0.0034516,               0.051664,                0.51871,               0.044822,             0.00026721,                0.50008,                0.49992,             0.00014458,               0.030401,                0.49638,                0.52678,                0.04565,                0.14617,                0.48819,               0.032838,                0.15391,                0.51709,               0.044819,             0.00084429,                0.50016,                0.49984,             0.00021306,                0.51914,              0.0048231,               0.048747,                0.69644,                  0.522,                0.32219,               0.094501,                      1
                     41,                  0.677,                0.44093,                 1.3723,                0.03023,                0.00045,                  6e-05,                0.83356,                0.81765,                0.85971,                0.71921,                0.65304,                 0.4054,                 1.4519,                0.02827,                0.00039,                  5e-05,                0.00604,                0.00604,                0.00604,               0.042474,                0.44081,                0.48328,                0.05601,                0.14412,                0.52146,               0.003353,               0.051323,                0.51904,               0.045145,             0.00025011,                0.50009,                0.49991,              0.0001497,               0.030886,                0.49798,                0.52887,               0.046257,                 0.1469,                0.49809,               0.031865,                0.15354,                0.51709,               0.045119,             0.00081049,                0.50016,                0.49984,              0.0002141,                0.51919,               0.004713,               0.048407,                0.69175,                0.51807,                0.32289,               0.093041,                      1
                     42,                0.67557,                0.44104,                 1.3652,                0.03009,                0.00045,                  6e-05,                0.82763,                0.82056,                0.85946,                0.71932,                0.65158,                0.40459,                  1.449,                0.02819,                0.00039,                  5e-05,               0.005941,               0.005941,               0.005941,               0.041534,                0.43995,                0.48148,               0.054975,                0.14302,                0.52017,              0.0035915,               0.050043,                 0.5187,               0.045141,             0.00025173,                0.50009,                0.49991,             0.00015871,               0.030704,                0.49884,                0.52955,               0.046022,                0.14647,                 0.5074,               0.029882,                0.14975,                0.51709,               0.045146,             0.00076386,                0.50017,                0.49983,             0.00021614,                0.51921,              0.0048884,                0.04816,                0.69407,                0.52006,                0.32236,               0.094717,                      1
                     43,                0.67008,                0.43729,                 1.3684,                0.02995,                0.00045,                  6e-05,                0.82238,                0.82588,                0.85934,                0.71985,                0.64967,                0.40288,                 1.4503,                0.02814,                0.00039,                  5e-05,               0.005842,               0.005842,               0.005842,               0.040629,                0.44286,                0.48349,               0.054179,                0.14292,                0.52132,              0.0035904,               0.049781,                0.51899,               0.045041,              0.0002397,                0.50009,                0.49991,             0.00016558,               0.029836,                0.49875,                0.52859,               0.045197,                0.14574,                0.51146,               0.033403,                0.15635,                0.51757,               0.045028,             0.00071934,                0.50017,                0.49983,             0.00021829,                0.52219,              0.0047514,               0.049469,                0.69436,                0.51917,                0.32457,                0.09438,                      1
                     44,                0.67224,                0.43582,                 1.3667,                0.03005,                0.00045,                  6e-05,                0.82558,                0.82584,                 0.8626,                0.72314,                0.64902,                0.40221,                 1.4468,                0.02812,                0.00039,                  5e-05,               0.005743,               0.005743,               0.005743,               0.041369,                0.44299,                0.48436,               0.055039,                0.14406,                0.52004,              0.0035927,               0.049362,                0.51904,               0.045146,             0.00019857,                 0.5001,                 0.4999,              0.0001727,               0.030345,                0.49802,                0.52836,               0.045802,                 0.1466,                0.50157,               0.035113,                0.15962,                0.51758,                0.04513,             0.00067909,                0.50017,                0.49983,             0.00022028,                0.52121,              0.0048687,                0.04735,                0.69071,                0.51894,                 0.3252,               0.093898,                      1
                     45,                0.67494,                0.43748,                 1.3708,                0.02991,                0.00045,                  6e-05,                0.82531,                0.82799,                0.86291,                0.72467,                0.64934,                0.40082,                 1.4492,                0.02809,                0.00039,                  5e-05,               0.005644,               0.005644,               0.005644,               0.040798,                 0.4414,                 0.4822,               0.054236,                0.14292,                0.52302,              0.0035493,               0.051938,                0.51904,                0.04489,             0.00018967,                0.50011,                0.49989,             0.00018269,               0.030089,                0.50034,                0.53043,               0.045391,                0.14595,                0.50055,               0.032315,                0.15564,                0.51766,               0.044888,             0.00064899,                0.50017,                0.49983,             0.00022204,                0.52133,              0.0050701,               0.047385,                0.69797,                0.52175,                0.32213,               0.095581,                      1
                     46,                0.67104,                0.43581,                 1.3717,                0.02988,                0.00045,                  6e-05,                0.82317,                0.82512,                0.86144,                0.72338,                0.64963,                0.40159,                 1.4492,                0.02805,                0.00039,                  5e-05,               0.005545,               0.005545,               0.005545,               0.040366,                0.44259,                0.48296,               0.053781,                 0.1431,                0.52033,              0.0034849,               0.050983,                0.51904,               0.044947,             0.00017321,                0.50011,                0.49989,             0.00018993,               0.029843,                0.49986,                 0.5297,               0.045072,                0.14589,                0.49242,                 0.0313,                0.15446,                0.51766,               0.044936,             0.00061613,                0.50017,                0.49983,             0.00022326,                0.52286,               0.005027,               0.046563,                0.69346,                0.52076,                0.32123,               0.094035,                      1
                     47,                0.67039,                0.43224,                 1.3642,                0.02984,                0.00045,                  6e-05,                0.83301,                 0.8198,                0.86163,                0.72404,                0.64932,                 0.4016,                 1.4476,                0.02802,                0.00039,                  5e-05,               0.005446,               0.005446,               0.005446,               0.040495,                0.44463,                0.48513,               0.054031,                0.14362,                0.51987,              0.0034195,                0.05147,                0.51904,               0.044728,             0.00023024,                0.50012,                0.49988,             0.00019987,               0.030026,                0.50243,                0.53246,               0.045402,                0.14658,                0.47633,               0.033227,                  0.152,                0.51783,               0.044726,             0.00057631,                0.50017,                0.49983,             0.00022458,                0.51956,              0.0050947,               0.046227,                0.69541,                0.51913,                0.32451,               0.094042,                      1
                     48,                0.66963,                0.43422,                 1.3644,                0.02983,                0.00045,                  6e-05,                0.83341,                0.81764,                0.86002,                  0.722,                  0.649,                0.40251,                 1.4448,                0.02799,                0.00039,                  5e-05,               0.005347,               0.005347,               0.005347,               0.040471,                0.44319,                0.48366,               0.053996,                0.14331,                0.51883,              0.0035744,               0.050048,                0.51876,               0.045018,             0.00020257,                0.50012,                0.49988,             0.00020511,               0.029657,                0.50228,                0.53193,               0.045067,                0.14641,                0.48118,               0.033442,                0.14827,                0.51771,                0.04498,             0.00054528,                0.50018,                0.49982,             0.00022623,                0.51944,              0.0050849,               0.046598,                0.69201,                0.51925,                0.32336,                0.09376,                      1
                     49,                 0.6663,                 0.4289,                 1.3606,                0.02969,                0.00045,                  6e-05,                0.83039,                0.82041,                0.86001,                0.72164,                 0.6491,                 0.4019,                 1.4478,                0.02796,                0.00039,                  5e-05,               0.005248,               0.005248,               0.005248,                0.03976,                0.44557,                0.48533,               0.053305,                0.14307,                0.52081,              0.0034404,               0.048906,                0.51855,               0.044876,             0.00015579,                0.50013,                0.49987,             0.00021142,               0.029227,                0.50497,                0.53419,               0.044647,                0.14624,                0.51026,               0.031304,                0.15087,                 0.5176,               0.044862,             0.00052174,                0.50018,                0.49982,              0.0002284,                0.52243,              0.0048385,               0.046347,                0.69137,                0.52059,                0.32835,               0.092633,                      1
                     50,                0.65992,                 0.4247,                 1.3626,                0.02983,                0.00045,                  6e-05,                0.83178,                0.81595,                 0.8598,                 0.7218,                0.64879,                0.40127,                 1.4498,                0.02793,                0.00039,                  5e-05,               0.005149,               0.005149,               0.005149,               0.040031,                0.44603,                0.48606,               0.053825,                0.14434,                0.51994,              0.0035281,               0.051106,                0.51855,               0.044864,             0.00014512,                0.50013,                0.49987,             0.00021892,                0.02909,                0.50337,                0.53246,               0.044741,                0.14662,                0.51161,               0.031536,                0.15517,                0.51758,               0.044834,             0.00049868,                0.50018,                0.49982,             0.00022979,                0.52366,              0.0048997,               0.047829,                0.69214,                0.51944,                0.32249,               0.094446,                      1
                     51,                0.66397,                0.42771,                 1.3633,                 0.0297,                0.00045,                  6e-05,                0.83096,                0.82043,                0.85978,                0.72216,                0.64878,                 0.4012,                 1.4485,                0.02789,                0.00039,                  5e-05,                0.00505,                0.00505,                0.00505,                0.04014,                0.44538,                0.48553,               0.053823,                0.14402,                0.51955,               0.003458,               0.052066,                0.51855,                0.04482,             0.00010686,                0.50014,                0.49986,             0.00023008,               0.028898,                0.50352,                0.53242,               0.044452,                0.14598,                0.53432,               0.031286,                0.15073,                0.51761,               0.044813,             0.00047982,                0.50018,                0.49982,             0.00023133,                0.52402,              0.0052483,               0.046896,                0.69345,                0.51989,                0.32636,               0.095056,                      1
                     52,                0.65965,                0.42416,                 1.3667,                0.02947,                0.00045,                  6e-05,                0.82583,                0.82458,                0.85927,                0.72116,                0.64838,                0.40131,                 1.4478,                0.02787,                0.00039,                  5e-05,               0.004951,               0.004951,               0.004951,               0.039332,                0.44711,                0.48644,               0.052838,                0.14266,                0.52058,              0.0034434,               0.052349,                0.51875,               0.045242,             0.00021278,                0.50015,                0.49985,             0.00023877,               0.028906,                0.50517,                0.53408,               0.044252,                0.14569,                0.50312,               0.031089,                0.15197,                0.51807,                0.04527,             0.00046083,                0.50018,                0.49982,             0.00023265,                 0.5219,              0.0053235,                 0.0446,                0.69447,                0.52055,                0.32259,               0.093735,                      1
                     53,                0.65578,                0.41978,                 1.3641,                0.02949,                0.00045,                  6e-05,                0.81842,                0.83356,                0.85974,                 0.7212,                0.64815,                 0.4004,                 1.4483,                0.02784,                0.00039,                  5e-05,               0.004852,               0.004852,               0.004852,               0.039914,                0.44973,                0.48965,               0.053559,                0.14399,                0.52005,              0.0033871,               0.052334,                0.51872,               0.044784,             0.00021305,                0.50015,                0.49985,             0.00024742,               0.028533,                0.50734,                0.53588,               0.044021,                0.14597,                0.49862,               0.030334,                0.14677,                0.51807,               0.044792,             0.00043148,                0.50019,                0.49981,              0.0002338,                0.52004,              0.0052488,               0.044752,                0.69566,                0.52147,                0.32213,               0.093981,                      1
                     54,                0.65404,                0.41736,                 1.3681,                0.02937,                0.00045,                  6e-05,                0.82101,                0.83208,                0.86002,                0.72185,                0.64782,                0.40049,                 1.4491,                0.02783,                0.00039,                  5e-05,               0.004753,               0.004753,               0.004753,               0.039194,                0.45011,                 0.4893,               0.052855,                0.14354,                0.52043,              0.0033186,                0.05225,                0.51855,               0.044676,             0.00014696,                0.50016,                0.49984,             0.00026006,               0.028722,                0.50809,                0.53682,               0.044235,                0.14612,                0.50771,               0.032585,                0.15427,                0.51807,               0.044671,             0.00041081,                0.50019,                0.49981,             0.00023493,                0.52112,              0.0050251,                0.04607,                0.69424,                0.51925,                 0.3225,               0.093443,                      1
                     55,                0.65651,                0.41725,                 1.3558,                0.02942,                0.00045,                  6e-05,                0.81867,                0.83287,                0.86033,                0.72218,                0.64769,                0.40052,                 1.4485,                 0.0278,                0.00039,                  5e-05,               0.004654,               0.004654,               0.004654,               0.039636,                 0.4511,                0.49074,               0.053381,                0.14418,                0.52267,              0.0033588,               0.052354,                0.51855,               0.044614,             0.00010822,                0.50016,                0.49984,              0.0002652,                0.02867,                0.51041,                0.53908,               0.044317,                0.14656,                0.49561,                0.03135,                0.15511,                0.51807,               0.044615,             0.00039168,                0.50019,                0.49981,             0.00023619,                0.52127,              0.0053445,                0.04382,                0.69565,                0.52146,                0.32589,               0.093873,                      1
                     56,                0.65254,                0.41683,                 1.3569,                0.02954,                0.00045,                  6e-05,                0.82324,                0.82659,                0.86024,                0.72271,                0.64758,                0.40031,                 1.4489,                0.02778,                0.00039,                  5e-05,               0.004555,               0.004555,               0.004555,               0.039272,                0.44866,                0.48793,               0.053092,                0.14384,                0.52043,              0.0033706,               0.051593,                0.51861,               0.045066,             0.00019099,                0.50017,                0.49983,             0.00027306,               0.028515,                 0.5068,                0.53532,               0.044202,                 0.1462,                0.49241,               0.031343,                0.15423,                0.51807,               0.045083,              0.0003817,                0.50019,                0.49981,             0.00023757,                0.51892,              0.0051913,               0.043187,                0.68955,                0.51734,                0.32106,               0.093326,                      1
                     57,                0.64937,                0.41195,                 1.3541,                0.02944,                0.00045,                  6e-05,                0.82776,                0.82491,                 0.8601,                0.72266,                0.64741,                0.40018,                 1.4489,                0.02776,                0.00039,                  5e-05,               0.004456,               0.004456,               0.004456,               0.039433,                0.45172,                0.49115,               0.053359,                0.14482,                0.51967,              0.0033268,               0.052257,                0.51855,               0.044676,             0.00010265,                0.50018,                0.49982,             0.00028271,               0.028649,                0.50971,                0.53836,               0.044431,                 0.1465,                0.50573,               0.031516,                0.15174,                0.51807,               0.044681,             0.00036948,                0.50019,                0.49981,             0.00023878,                0.52107,              0.0053753,               0.042456,                0.69394,                  0.522,                0.32153,               0.094107,                      1
                     58,                0.65593,                0.41472,                 1.3528,                0.02937,                0.00045,                  6e-05,                0.82813,                0.82141,                0.85956,                0.72238,                0.64731,                 0.4001,                 1.4502,                0.02774,                0.00039,                  5e-05,               0.004357,               0.004357,               0.004357,               0.039572,                0.44883,                0.48841,               0.053229,                0.14367,                0.52021,              0.0034286,               0.051558,                0.51874,               0.044838,             0.00020459,                0.50018,                0.49982,             0.00029193,               0.028961,                 0.5081,                0.53706,               0.044502,                0.14621,                0.49231,               0.032642,                0.15283,                0.51833,               0.044843,             0.00037317,                 0.5002,                 0.4998,             0.00023937,                0.52105,              0.0053938,               0.042294,                0.69437,                0.52003,                0.32054,               0.094338,                      1
                     59,                0.65563,                0.41313,                 1.3692,                0.02945,                0.00045,                  6e-05,                0.82854,                0.82155,                0.85856,                0.72131,                0.64713,                0.39992,                 1.4508,                0.02773,                0.00039,                  5e-05,               0.004258,               0.004258,               0.004258,                0.03865,                0.44664,                0.48529,               0.052179,                0.14271,                0.51952,              0.0034765,               0.051931,                0.51855,                0.04454,             9.3218e-05,                0.50019,                0.49981,             0.00030116,               0.028174,                0.50972,                0.53789,               0.043712,                0.14607,                0.49348,               0.032208,                0.15496,                0.51813,               0.044531,             0.00035984,                 0.5002,                 0.4998,             0.00024075,                0.51673,              0.0054618,               0.042291,                0.69405,                0.52222,                0.32321,               0.094266,                      1
                     60,                0.65448,                0.41262,                 1.3564,                0.02944,                0.00045,                  6e-05,                0.82983,                0.82029,                0.85748,                0.72081,                0.64709,                0.39992,                 1.4518,                0.02771,                0.00039,                  5e-05,               0.004159,               0.004159,               0.004159,               0.039262,                0.44937,                0.48863,               0.053075,                0.14424,                0.51942,              0.0034452,               0.050513,                0.51855,               0.044846,             7.6069e-05,                 0.5002,                 0.4998,             0.00030771,               0.028333,                 0.5093,                0.53763,               0.044075,                0.14668,                 0.5165,               0.031287,                0.15084,                0.51807,               0.044844,             0.00034851,                 0.5002,                 0.4998,             0.00024194,                0.52202,              0.0051923,               0.043227,                0.69143,                0.51803,                0.32413,               0.093001,                      1
                     61,                0.64754,                 0.4063,                 1.3563,                0.02928,                0.00045,                  6e-05,                0.83283,                0.81724,                0.85701,                0.72055,                 0.6468,                0.39978,                 1.4529,                0.02769,                0.00039,                  5e-05,                0.00406,                0.00406,                0.00406,               0.039181,                0.45202,                 0.4912,               0.053026,                0.14411,                0.52042,              0.0034693,               0.051339,                0.51855,               0.045149,             9.7877e-05,                0.50021,                0.49979,             0.00031493,                0.02797,                0.51212,                0.54009,               0.043749,                0.14651,                0.50199,               0.031027,                0.14949,                0.51836,               0.045152,             0.00033807,                 0.5002,                 0.4998,             0.00024306,                 0.5208,              0.0055321,               0.041125,                0.69351,                0.51955,                0.32481,               0.094413,                      1
                     62,                0.64493,                0.40557,                 1.3573,                0.02929,                0.00045,                  6e-05,                0.83091,                0.81753,                0.85589,                0.71969,                0.64671,                0.40028,                 1.4531,                0.02767,                0.00039,                  5e-05,               0.003961,               0.003961,               0.003961,               0.039166,                 0.4513,                0.49047,               0.052973,                0.14416,                0.51812,              0.0034826,               0.051638,                0.51855,               0.045011,             9.2245e-05,                0.50021,                0.49979,             0.00031583,               0.028028,                0.51188,                 0.5399,               0.043774,                0.14656,                0.51114,               0.029387,                 0.1476,                0.51808,               0.045011,             0.00032934,                 0.5002,                 0.4998,             0.00024385,                 0.5199,               0.005575,               0.040798,                  0.691,                0.51823,                0.32261,               0.094407,                      1
                     63,                0.64757,                 0.4071,                 1.3561,                0.02928,                0.00045,                  6e-05,                0.83236,                0.81501,                0.85544,                0.71966,                0.64651,                0.40035,                  1.453,                0.02765,                0.00039,                  5e-05,               0.003862,               0.003862,               0.003862,                 0.0387,                0.45148,                0.49018,               0.052356,                0.14341,                0.52014,              0.0033992,               0.051274,                0.51814,               0.044764,              0.0001986,                0.50021,                0.49979,             0.00032403,               0.027775,                0.51053,                 0.5383,               0.043297,                0.14568,                0.50065,               0.030497,                 0.1501,                0.51807,               0.044757,             0.00031922,                 0.5002,                 0.4998,             0.00024464,                0.51931,              0.0053972,               0.041593,                0.69138,                0.51974,                 0.3219,               0.093595,                      1
                     64,                0.64687,                0.40734,                 1.3568,                  0.029,                0.00045,                  5e-05,                 0.8349,                 0.8134,                0.85459,                0.71894,                0.64643,                0.40042,                 1.4536,                0.02764,                0.00039,                  5e-05,               0.003763,               0.003763,               0.003763,               0.038174,                0.45285,                0.49102,               0.051645,                0.14275,                0.52011,              0.0034315,               0.051168,                0.51845,               0.044515,             0.00020494,                0.50022,                0.49978,             0.00033397,               0.027755,                0.51283,                0.54059,               0.043095,                0.14516,                0.50687,               0.028394,                0.14495,                0.51842,                0.04452,              0.0003142,                 0.5002,                 0.4998,             0.00024542,                0.51966,              0.0052608,               0.042477,                0.69273,                0.52004,                0.32423,               0.093255,                      1
                     65,                0.64139,                0.40081,                 1.3549,                0.02932,                0.00045,                  5e-05,                0.83512,                0.81394,                0.85421,                0.71875,                0.64633,                0.40031,                  1.454,                0.02763,                0.00039,                  5e-05,               0.003664,               0.003664,               0.003664,               0.038443,                0.45397,                0.49242,               0.052496,                0.14461,                0.51878,              0.0034758,               0.050143,                0.51831,               0.044944,             0.00019598,                0.50022,                0.49978,             0.00034184,               0.028075,                0.51034,                0.53842,               0.043956,                0.14671,                0.51347,               0.028834,                0.14797,                0.51823,               0.044953,              0.0003104,                0.50021,                0.49979,             0.00024626,                0.51978,              0.0053336,               0.042844,                 0.6909,                0.51816,                0.32112,               0.094004,                      1
                     66,                0.64006,                0.40012,                 1.3562,                0.02913,                0.00045,                  6e-05,                 0.8353,                0.81405,                0.85372,                0.71837,                0.64635,                0.40049,                 1.4544,                0.02761,                0.00039,                  5e-05,               0.003565,               0.003565,               0.003565,               0.037967,                0.45361,                0.49157,               0.051769,                 0.1435,                0.51947,              0.0035589,                0.04999,                0.51807,               0.045147,             7.7987e-05,                0.50023,                0.49977,             0.00034818,               0.027438,                 0.5125,                0.53994,               0.043115,                0.14578,                0.49262,               0.029705,                0.14737,                0.51825,               0.045137,             0.00030373,                0.50021,                0.49979,             0.00024708,                0.51989,              0.0054876,               0.042279,                0.69299,                0.51896,                0.32482,               0.093844,                      1
                     67,                0.64532,                0.40032,                 1.3488,                 0.0293,                0.00045,                  6e-05,                0.83294,                0.81539,                0.85334,                0.71817,                0.64631,                0.40058,                 1.4552,                 0.0276,                0.00039,                  5e-05,               0.003466,               0.003466,               0.003466,               0.038101,                0.44951,                0.48761,               0.051828,                0.14347,                0.52144,              0.0034454,               0.050618,                0.51831,               0.044806,             0.00016712,                0.50023,                0.49977,              0.0003571,               0.027682,                0.50995,                0.53763,               0.043326,                0.14598,                0.48582,               0.029639,                0.14638,                0.51855,               0.044801,             0.00027383,                0.50021,                0.49979,             0.00024811,                0.52036,              0.0054144,               0.041969,                0.69123,                0.52147,                 0.3264,               0.092713,                      1
                     68,                0.63776,                0.39482,                 1.3566,                0.02901,                0.00045,                  6e-05,                0.83332,                0.81515,                0.85266,                0.71765,                 0.6462,                 0.4004,                 1.4557,                0.02759,                0.00039,                  5e-05,               0.003367,               0.003367,               0.003367,                0.03833,                0.45663,                0.49496,               0.052245,                0.14444,                0.51936,                0.00356,               0.050106,                0.51812,               0.045093,             0.00010355,                0.50024,                0.49976,             0.00036629,                0.02774,                0.51498,                0.54272,               0.043521,                0.14635,                0.50917,               0.029732,                0.14667,                0.51835,               0.045075,             0.00028997,                0.50021,                0.49979,             0.00024868,                 0.5205,              0.0055754,               0.042203,                0.69603,                0.51948,                0.32023,               0.094953,                      1
