                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,    train/saliency_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,      val/saliency_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                 0.6976,                0.46652,                 1.3732,                0.04676,                0.82653,                0.80855,                0.85786,                0.71159,                0.66213,                 0.4173,                 1.4435,                0.04958,               0.006931,               0.006931,               0.006931
                     33,                 0.6975,                0.46558,                 1.3675,                0.04688,                0.80579,                0.83467,                0.86125,                0.71644,                0.65812,                0.41488,                 1.4468,                0.04931,               0.006832,               0.006832,               0.006832
                     34,                0.69303,                0.46087,                 1.3682,                0.04631,                0.81679,                0.83037,                0.86738,                0.72141,                0.65835,                0.41363,                 1.4454,                 0.0492,               0.006733,               0.006733,               0.006733
                     35,                0.69472,                0.45974,                 1.3718,                0.04642,                0.82375,                0.83812,                0.86853,                0.72207,                0.65809,                0.41068,                 1.4517,                0.04879,               0.006634,               0.006634,               0.006634
                     36,                0.68868,                 0.4542,                 1.3639,                0.04602,                 0.8244,                0.82623,                0.86542,                0.72055,                0.65727,                0.41008,                 1.4438,                0.04879,               0.006535,               0.006535,               0.006535
                     37,                0.68379,                0.45248,                 1.3626,                0.04573,                0.82437,                0.82607,                0.86612,                0.71971,                0.65553,                0.40947,                 1.4406,                0.04858,               0.006436,               0.006436,               0.006436
                     38,                 0.6864,                0.45229,                 1.3706,                0.04592,                0.83494,                0.83234,                 0.8715,                0.72579,                0.65366,                0.40614,                 1.4452,                0.04846,               0.006337,               0.006337,               0.006337
                     39,                0.68395,                0.44903,                 1.3682,                0.04538,                 0.8389,                0.82407,                0.87219,                0.72666,                 0.6552,                  0.407,                 1.4423,                0.04834,               0.006238,               0.006238,               0.006238
                     40,                0.68119,                0.44938,                 1.3656,                0.04538,                0.82418,                0.83912,                0.87155,                0.72655,                0.65426,                0.40719,                 1.4444,                0.04817,               0.006139,               0.006139,               0.006139
                     41,                0.68065,                0.44402,                 1.3744,                0.04551,                0.82726,                0.83069,                0.86833,                0.72456,                0.65401,                0.40717,                 1.4494,                0.04813,                0.00604,                0.00604,                0.00604
                     42,                0.67907,                 0.4447,                 1.3649,                0.04521,                0.83364,                0.83404,                0.87087,                0.72696,                0.65405,                 0.4056,                 1.4494,                0.04792,               0.005941,               0.005941,               0.005941
                     43,                0.67399,                0.44062,                 1.3697,                0.04505,                0.84159,                0.82262,                0.87083,                 0.7276,                0.65423,                0.40492,                 1.4473,                0.04789,               0.005842,               0.005842,               0.005842
                     44,                0.67503,                0.43876,                 1.3654,                0.04497,                0.83966,                0.82962,                0.87155,                  0.728,                0.65335,                0.40319,                 1.4486,                0.04785,               0.005743,               0.005743,               0.005743
                     45,                0.67831,                0.44196,                  1.369,                0.04493,                0.84567,                0.82776,                0.87314,                0.73016,                0.65358,                0.40196,                 1.4504,                0.04776,               0.005644,               0.005644,               0.005644
                     46,                0.67479,                0.43931,                 1.3721,                0.04526,                0.83914,                0.83602,                 0.8736,                0.73078,                 0.6539,                0.40261,                 1.4499,                0.04767,               0.005545,               0.005545,               0.005545
                     47,                0.67343,                0.43557,                 1.3654,                0.04488,                0.84006,                0.83712,                0.87441,                0.73161,                0.65288,                0.40139,                 1.4507,                 0.0476,               0.005446,               0.005446,               0.005446
                     48,                0.67292,                0.43746,                 1.3671,                0.04482,                0.83573,                0.84192,                0.87303,                0.73132,                0.65183,                0.40046,                  1.451,                0.04752,               0.005347,               0.005347,               0.005347
                     49,                0.66934,                0.43359,                 1.3552,                 0.0445,                0.83927,                0.84138,                0.87381,                 0.7313,                0.65198,                 0.4007,                 1.4473,                0.04745,               0.005248,               0.005248,               0.005248
                     50,                0.66369,                0.42717,                 1.3637,                0.04417,                0.83756,                0.84116,                0.87292,                0.73065,                0.65178,                0.39991,                  1.449,                0.04738,               0.005149,               0.005149,               0.005149
                     51,                0.66788,                0.43126,                 1.3644,                0.04436,                0.83436,                0.84561,                0.87313,                0.73133,                0.65155,                0.39979,                 1.4495,                0.04734,                0.00505,                0.00505,                0.00505
                     52,                0.66378,                0.42817,                 1.3642,                0.04443,                0.83558,                0.84698,                 0.8736,                0.73177,                0.65122,                0.39964,                 1.4474,                0.04727,               0.004951,               0.004951,               0.004951
                     53,                0.66091,                 0.4243,                 1.3639,                0.04411,                0.83678,                0.84369,                0.87482,                0.73287,                0.65111,                0.39891,                 1.4466,                0.04722,               0.004852,               0.004852,               0.004852
                     54,                0.65838,                0.42265,                 1.3676,                 0.0439,                0.84291,                0.83959,                0.87431,                0.73261,                0.65107,                0.39859,                 1.4479,                 0.0472,               0.004753,               0.004753,               0.004753
                     55,                0.65989,                0.41946,                 1.3593,                0.04388,                0.84677,                0.83586,                0.87502,                0.73323,                0.65103,                0.39797,                 1.4488,                0.04718,               0.004654,               0.004654,               0.004654
                     56,                0.65606,                0.41976,                 1.3588,                0.04405,                0.85123,                0.83363,                 0.8755,                0.73406,                0.65068,                0.39761,                 1.4491,                0.04718,               0.004555,               0.004555,               0.004555
                     57,                0.65347,                0.41502,                 1.3576,                0.04364,                0.85282,                0.83147,                0.87479,                 0.7331,                0.65042,                0.39796,                 1.4503,                0.04716,               0.004456,               0.004456,               0.004456
                     58,                0.65982,                0.41825,                 1.3524,                0.04384,                0.85292,                0.83102,                0.87451,                0.73241,                0.65028,                0.39803,                 1.4502,                0.04715,               0.004357,               0.004357,               0.004357
                     59,                0.65853,                0.41643,                 1.3702,                0.04384,                0.85115,                0.83088,                0.87396,                0.73219,                 0.6501,                  0.398,                  1.451,                0.04714,               0.004258,               0.004258,               0.004258
                     60,                0.65683,                0.41548,                 1.3596,                0.04371,                0.85135,                0.83044,                0.87361,                0.73183,                0.64997,                0.39806,                 1.4518,                0.04712,               0.004159,               0.004159,               0.004159
                     61,                0.65154,                0.41103,                 1.3559,                 0.0434,                0.85163,                 0.8325,                0.87359,                  0.732,                0.64992,                0.39792,                 1.4521,                0.04709,                0.00406,                0.00406,                0.00406
                     62,                0.64912,                0.40946,                 1.3598,                0.04325,                0.85246,                 0.8306,                0.87313,                0.73182,                0.64976,                0.39789,                 1.4524,                0.04708,               0.003961,               0.003961,               0.003961
                     63,                 0.6516,                0.40994,                 1.3625,                0.04372,                0.84886,                0.83281,                0.87294,                0.73174,                0.64969,                0.39761,                  1.453,                0.04706,               0.003862,               0.003862,               0.003862
                     64,                0.65071,                0.41053,                 1.3604,                 0.0437,                0.84719,                0.83553,                0.87309,                0.73168,                0.64954,                0.39752,                 1.4536,                0.04704,               0.003763,               0.003763,               0.003763
                     65,                0.64564,                0.40466,                 1.3566,                0.04324,                0.84942,                0.83293,                0.87336,                0.73205,                0.64946,                 0.3971,                 1.4539,                0.04702,               0.003664,               0.003664,               0.003664
                     66,                0.64455,                0.40445,                 1.3583,                 0.0432,                0.84746,                0.83474,                0.87332,                0.73188,                0.64935,                0.39704,                 1.4541,                  0.047,               0.003565,               0.003565,               0.003565
                     67,                0.65027,                0.40709,                 1.3462,                0.04343,                0.84991,                0.83206,                0.87352,                 0.7319,                 0.6494,                0.39705,                  1.454,                0.04698,               0.003466,               0.003466,               0.003466
                     68,                0.64188,                0.39908,                 1.3576,                0.04296,                0.84703,                0.83291,                 0.8733,                0.73192,                0.64932,                0.39694,                 1.4548,                0.04695,               0.003367,               0.003367,               0.003367
                     69,                0.64172,                0.39867,                 1.3548,                0.04275,                 0.8489,                 0.8289,                0.87259,                 0.7315,                0.64933,                0.39715,                 1.4552,                0.04693,               0.003268,               0.003268,               0.003268
                     70,                0.64034,                0.39738,                 1.3444,                0.04257,                0.84844,                0.82812,                0.87211,                0.73101,                0.64915,                0.39707,                 1.4554,                0.04691,               0.003169,               0.003169,               0.003169
                     71,                0.63937,                0.39835,                 1.3503,                0.04297,                0.84987,                0.82646,                0.87186,                0.73057,                0.64913,                0.39707,                 1.4558,                0.04689,                0.00307,                0.00307,                0.00307
                     72,                 0.6377,                0.39387,                 1.3457,                 0.0428,                0.85171,                 0.8256,                0.87162,                0.73074,                0.64913,                0.39707,                 1.4561,                0.04687,               0.002971,               0.002971,               0.002971
                     73,                0.63501,                0.39108,                 1.3531,                0.04236,                0.85705,                0.82294,                0.87136,                0.73043,                0.64911,                0.39699,                 1.4565,                0.04685,               0.002872,               0.002872,               0.002872
                     74,                0.63319,                0.38992,                 1.3534,                0.04264,                0.85835,                0.81875,                0.87116,                0.73061,                0.64897,                0.39684,                  1.457,                0.04683,               0.002773,               0.002773,               0.002773
                     75,                0.63281,                0.38885,                 1.3474,                0.04268,                0.85789,                0.81837,                0.87077,                0.72989,                0.64887,                0.39671,                 1.4574,                0.04681,               0.002674,               0.002674,               0.002674
