                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss, train/rgb_spatial_loss,  train/rgb_global_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,   val/rgb_spatial_loss,    val/rgb_global_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,p2/P4_gder_attention_weight,    p2/P4_gder_gate_std,p2/P4_gder_modality_weight,p2/P4_gder_modality_weight_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,p2/P5_gder_attention_weight,    p2/P5_gder_gate_std,p2/P5_gder_modality_weight,p2/P5_gder_modality_weight_std,p2/prompt_warmup_factor
                     83,                0.61608,                0.37063,                 1.3358,                0.02875,                      0,                      0,                0.84098,                 0.8144,                 0.8566,                0.72141,                0.64408,                0.39966,                 1.4601,                0.02736,                      0,                      0,               0.001882,               0.001882,               0.001882,               0.036652,                0.46029,                0.49694,               0.050983,                 0.1446,                0.50073,              0.0014413,                0.49927,              0.0012406,               0.026736,                0.52017,                0.54691,               0.042998,                0.14685,                0.50021,             0.00027361,                0.49979,             0.00018013,                      1
                     84,                0.61784,                0.37409,                 1.3415,                0.02862,                      0,                      0,                0.84234,                0.81375,                 0.8564,                 0.7213,                0.64407,                0.39969,                 1.4605,                0.02736,                      0,                      0,               0.001783,               0.001783,               0.001783,               0.036703,                0.45906,                0.49576,               0.050553,                 0.1439,                0.50074,              0.0014494,                0.49926,              0.0012466,               0.026864,                0.52089,                0.54775,               0.042667,                0.14626,                0.50021,             0.00027451,                0.49979,              0.0001805,                      1
                     85,                0.61856,                0.37175,                 1.3396,                0.02869,                      0,                      0,                0.84367,                 0.8127,                0.85618,                0.72112,                0.64398,                0.39986,                  1.461,                0.02735,                      0,                      0,               0.001684,               0.001684,               0.001684,               0.036545,                0.45969,                0.49624,               0.050533,                0.14413,                0.50075,              0.0014565,                0.49925,              0.0012508,               0.026726,                0.51971,                0.54644,               0.042605,                0.14623,                0.50021,             0.00027495,                0.49979,             0.00018032,                      1
                     86,                0.61301,                0.36918,                 1.3365,                0.02855,                      0,                      0,                0.84416,                0.81174,                0.85583,                0.72112,                  0.644,                0.39988,                  1.461,                0.02734,                      0,                      0,               0.001585,               0.001585,               0.001585,               0.037023,                0.46486,                0.50189,               0.051245,                0.14536,                0.50075,               0.001458,                0.49925,              0.0012503,               0.026773,                0.52354,                0.55031,                0.04286,                0.14693,                0.50021,              0.0002756,                0.49979,             0.00018033,                      1
                     87,                0.61114,                0.36605,                 1.3292,                0.02863,                      0,                      0,                0.84434,                0.81137,                 0.8555,                0.72069,                0.64394,                0.40026,                 1.4612,                0.02734,                      0,                      0,               0.001486,               0.001486,               0.001486,               0.036294,                0.46281,                 0.4991,               0.050558,                0.14472,                0.50075,              0.0014596,                0.49925,                0.00125,               0.026409,                0.52362,                0.55003,               0.042639,                0.14699,                0.50021,             0.00027644,                0.49979,             0.00018033,                      1
                     88,                0.61146,                0.36841,                 1.3348,                0.02871,                      0,                      0,                0.84482,                0.81172,                0.85525,                0.72086,                0.64406,                0.40044,                 1.4614,                0.02733,                      0,                      0,               0.001387,               0.001387,               0.001387,               0.037507,                 0.4616,                0.49911,               0.051582,                0.14529,                0.50076,              0.0014681,                0.49924,              0.0012556,               0.026941,                0.52085,                0.54779,               0.042897,                0.14673,                0.50021,             0.00027704,                0.49979,             0.00018018,                      1
                     89,                0.60913,                0.36348,                 1.3357,                0.02867,                      0,                      0,                0.84123,                0.81442,                 0.8551,                0.72048,                0.64402,                0.40068,                 1.4618,                0.02732,                      0,                      0,               0.001288,               0.001288,               0.001288,               0.036677,                0.46294,                0.49962,               0.051007,                0.14508,                0.50076,              0.0014754,                0.49924,              0.0012616,               0.026681,                0.52029,                0.54697,               0.042855,                0.14665,                0.50021,             0.00027781,                0.49979,              0.0001803,                      1
                     90,                0.60599,                0.36349,                 1.3271,                0.02842,                      0,                      0,                0.84166,                 0.8142,                0.85489,                0.72038,                0.64402,                0.40076,                 1.4622,                0.02732,                      0,                      0,               0.001189,               0.001189,               0.001189,               0.036538,                0.46502,                0.50156,               0.050675,                0.14479,                0.50077,              0.0014784,                0.49923,              0.0012628,               0.026639,                0.52556,                 0.5522,                 0.0427,                0.14675,                0.50021,              0.0002785,                0.49979,             0.00018042,                      1
                     91,                 0.6064,                0.36118,                 1.3249,                0.02858,                      0,                      0,                0.84289,                0.81364,                0.85428,                0.72005,                0.64401,                0.40088,                 1.4624,                0.02731,                      0,                      0,                0.00109,                0.00109,                0.00109,               0.036431,                0.46506,                0.50149,               0.050757,                0.14508,                0.50077,              0.0014859,                0.49923,               0.001268,               0.026291,                0.52376,                0.55005,               0.042499,                0.14667,                0.50021,             0.00027912,                0.49979,             0.00018061,                      1
                     92,                0.60547,                0.35858,                 1.3249,                0.02839,                      0,                      0,                0.84426,                  0.814,                0.85414,                0.72005,                0.64403,                0.40106,                 1.4625,                0.02731,                      0,                      0,               0.000991,               0.000991,               0.000991,               0.036066,                 0.4655,                0.50156,               0.050287,                0.14421,                0.50078,              0.0014896,                0.49922,              0.0012701,               0.026124,                0.52521,                0.55134,               0.042235,                0.14621,                0.50021,             0.00027967,                0.49979,             0.00018085,                      1
                     93,                0.60231,                0.35572,                 1.3304,                0.02841,                      0,                      0,                0.84345,                0.81535,                0.85384,                0.71952,                0.64401,                0.40118,                 1.4626,                 0.0273,                      0,                      0,               0.000892,               0.000892,               0.000892,               0.035966,                0.46446,                0.50042,                0.05016,                0.14422,                0.50078,               0.001494,                0.49922,              0.0012728,               0.026244,                0.52541,                0.55166,               0.042368,                 0.1465,                0.50021,             0.00028042,                0.49979,             0.00018109,                      1
                     94,                0.60291,                0.35799,                  1.326,                 0.0285,                      0,                      0,                0.84402,                0.81471,                 0.8537,                0.71943,                0.64407,                0.40127,                 1.4629,                0.02729,                      0,                      0,               0.000793,               0.000793,               0.000793,               0.036365,                0.46596,                0.50233,               0.050759,                 0.1453,                0.50079,                 0.0015,                0.49921,              0.0012776,               0.026334,                0.52406,                0.55039,               0.042583,                0.14658,                0.50021,             0.00028076,                0.49979,             0.00018109,                      1
                     95,                0.60112,                0.35822,                 1.3204,                0.02824,                      0,                      0,                0.84443,                0.81534,                0.85337,                0.71939,                0.64404,                0.40152,                  1.463,                0.02729,                      0,                      0,               0.000694,               0.000694,               0.000694,               0.035641,                  0.468,                0.50365,                0.04989,                0.14432,                0.50079,              0.0015038,                0.49921,              0.0012801,               0.025954,                0.52618,                0.55213,               0.042045,                0.14614,                0.50021,             0.00028091,                0.49979,             0.00018094,                      1
                     96,                0.59757,                0.35241,                  1.318,                0.02816,                      0,                      0,                0.84481,                0.81481,                0.85324,                0.71938,                0.64399,                 0.4016,                 1.4631,                0.02728,                      0,                      0,               0.000595,               0.000595,               0.000595,               0.035966,                0.46539,                0.50136,               0.049905,                0.14369,                0.50079,              0.0015028,                0.49921,              0.0012774,               0.026148,                0.52745,                 0.5536,                0.04203,                0.14593,                0.50022,             0.00028111,                0.49978,             0.00018085,                      1
                     97,                0.59533,                0.35134,                 1.3172,                0.02838,                      0,                      0,                0.84404,                0.81376,                0.85278,                0.71933,                0.64396,                0.40185,                 1.4635,                0.02727,                      0,                      0,               0.000496,               0.000496,               0.000496,               0.036142,                0.46646,                 0.5026,                0.05057,                0.14502,                0.50079,              0.0015053,                0.49921,              0.0012795,               0.026042,                 0.5251,                0.55114,               0.042353,                0.14654,                0.50022,              0.0002814,                0.49978,             0.00018087,                      1
                     98,                0.59727,                0.35103,                 1.3295,                 0.0282,                      0,                      0,                0.84049,                0.81813,                0.85271,                0.71907,                0.64397,                0.40191,                  1.464,                0.02727,                      0,                      0,               0.000397,               0.000397,               0.000397,               0.035621,                0.46432,                0.49995,               0.049648,                0.14332,                0.50079,              0.0015065,                0.49921,              0.0012799,               0.025997,                0.52607,                0.55207,               0.041972,                0.14583,                0.50022,              0.0002816,                0.49978,             0.00018087,                      1
                     99,                 0.5958,                0.34947,                  1.322,                0.02831,                      0,                      0,                0.84011,                0.81912,                0.85238,                0.71915,                0.64398,                0.40194,                 1.4645,                0.02726,                      0,                      0,               0.000298,               0.000298,               0.000298,                0.03563,                0.46416,                0.49979,               0.049653,                0.14357,                 0.5008,              0.0015078,                 0.4992,              0.0012802,               0.026028,                0.52512,                0.55114,               0.041945,                0.14574,                0.50022,             0.00028171,                0.49978,             0.00018087,                      1
                    100,                0.59446,                0.35047,                 1.3201,                0.02857,                      0,                      0,                0.84005,                0.81868,                0.85184,                0.71881,                0.64399,                0.40192,                 1.4648,                0.02725,                      0,                      0,               0.000199,               0.000199,               0.000199,                0.03622,                 0.4644,                0.50062,               0.050491,                0.14525,                 0.5008,              0.0015082,                 0.4992,              0.0012804,               0.026218,                0.52388,                0.55009,               0.042402,                0.14645,                0.50022,             0.00028183,                0.49978,             0.00018091,                      1
