                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss, train/rgb_spatial_loss,  train/rgb_global_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,   val/rgb_spatial_loss,    val/rgb_global_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,p2/P4_gder_attention_weight,    p2/P4_gder_gate_std,p2/P4_gder_modality_weight,p2/P4_gder_modality_weight_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,p2/prompt_warmup_factor
                     14,                0.77417,                0.56082,                 1.3962,                0.03589,                      0,                      0,                0.73888,                0.74473,                0.77328,                0.62496,                0.71597,                  0.503,                 1.4931,                0.03436,                      0,                      0,               0.008713,               0.008713,               0.008713,                0.10559,                0.31853,                0.42412,                0.11538,                0.13822,                0.50079,              0.0015858,                0.49921,              0.0013768,               0.093236,                0.36298,                0.45621,                0.10445,                0.13072,                      1
                     15,                0.77283,                0.55549,                 1.3986,                0.03527,                      0,                      0,                 0.7608,                0.75753,                0.79376,                 0.6414,                0.71554,                 0.4996,                 1.4387,                0.03358,                      0,                      0,               0.008614,               0.008614,               0.008614,               0.093468,                0.33915,                0.43262,                0.10382,                0.14028,                0.50077,              0.0016538,                0.49923,              0.0014642,               0.084459,                0.38075,                0.46521,               0.096152,                  0.134,                      1
                     16,                0.76851,                0.54823,                  1.392,                0.03467,                      0,                      0,                0.76396,                0.77575,                0.81351,                0.66196,                0.70695,                0.48156,                 1.4707,                0.03316,                      0,                      0,               0.008515,               0.008515,               0.008515,               0.083783,                0.35731,                 0.4411,               0.094712,                0.14015,                0.50072,              0.0017111,                0.49928,                0.00155,               0.077368,                0.39561,                0.47298,               0.089531,                0.13657,                      1
                     17,                0.76594,                0.54691,                  1.397,                0.03442,                      0,                      0,                 0.7499,                0.75195,                0.78728,                0.63675,                 0.7065,                 0.4867,                 1.4741,                0.03279,                      0,                      0,               0.008416,               0.008416,               0.008416,               0.076895,                0.36486,                0.44176,               0.088091,                0.14046,                0.50072,              0.0018074,                0.49928,              0.0016596,               0.071498,                0.40391,                0.47541,               0.083974,                0.13833,                      1
                     18,                0.75995,                0.54101,                 1.3908,                0.03426,                      0,                      0,                0.78979,                0.74901,                0.81363,                0.66202,                0.69885,                 0.4786,                 1.4552,                0.03249,                      0,                      0,               0.008317,               0.008317,               0.008317,               0.072341,                0.37101,                0.44335,                0.08388,                0.14053,                 0.5007,              0.0019187,                 0.4993,              0.0017868,                0.06702,                0.41045,                0.47747,               0.079875,                 0.1398,                      1
                     19,                0.75951,                0.54022,                  1.398,                0.03411,                      0,                      0,                0.77325,                0.77821,                0.82091,                0.67049,                0.69696,                0.47182,                 1.4467,                0.03213,                      0,                      0,               0.008218,               0.008218,               0.008218,               0.068304,                0.37433,                0.44263,                0.07989,                0.14099,                0.50071,              0.0020453,                0.49929,              0.0019188,               0.062423,                0.41727,                0.47969,                0.07541,                0.14071,                      1
                     20,                0.76131,                0.54179,                  1.392,                0.03356,                      0,                      0,                0.76903,                0.77815,                 0.8159,                0.66147,                0.70569,                0.47852,                 1.4541,                0.03195,                      0,                      0,               0.008119,               0.008119,               0.008119,               0.065333,                0.38422,                0.44955,               0.077006,                0.14112,                0.50073,              0.0021792,                0.49927,              0.0020529,               0.058747,                0.42852,                0.48727,               0.071852,                0.14169,                      1
                     21,                0.75864,                0.53492,                 1.3974,                0.03327,                      0,                      0,                 0.7804,                0.78442,                0.82055,                0.66689,                0.69828,                0.47375,                 1.4648,                0.03176,                      0,                      0,                0.00802,                0.00802,                0.00802,                0.06332,                0.38569,                0.44901,               0.074924,                 0.1401,                0.50076,              0.0023445,                0.49924,              0.0022191,               0.055995,                0.43413,                0.49013,               0.069132,                0.14232,                      1
                     22,                0.75093,                0.53541,                 1.3914,                 0.0333,                      0,                      0,                0.79202,                0.77643,                0.82774,                0.67845,                0.69069,                 0.4638,                 1.4568,                0.03155,                      0,                      0,               0.007921,               0.007921,               0.007921,               0.062281,                 0.3897,                0.45198,               0.074268,                0.14185,                0.50081,              0.0025762,                0.49919,              0.0024453,               0.053793,                0.43845,                0.49224,               0.067348,                0.14354,                      1
                     23,                0.75421,                0.53522,                 1.3958,                0.03306,                      0,                      0,                0.77094,                0.76135,                0.81009,                0.66256,                0.69812,                0.46472,                 1.5022,                0.03154,                      0,                      0,               0.007822,               0.007822,               0.007822,                0.06074,                0.38882,                0.44956,               0.072451,                0.14085,                0.50083,              0.0027634,                0.49917,              0.0026354,               0.051987,                0.44219,                0.49418,               0.065374,                0.14424,                      1
                     24,                0.75086,                 0.5314,                 1.3925,                0.03308,                      0,                      0,                0.78073,                0.77242,                0.82163,                0.67283,                0.69125,                0.46485,                 1.4693,                0.03128,                      0,                      0,               0.007723,               0.007723,               0.007723,               0.059476,                0.39256,                0.45203,               0.071546,                0.14182,                0.50091,              0.0030082,                0.49909,              0.0028686,               0.049858,                0.44666,                0.49652,               0.063655,                0.14468,                      1
                     25,                0.74719,                0.52291,                 1.3908,                0.03307,                      0,                      0,                0.78433,                0.79284,                0.83206,                 0.6818,                0.69018,                0.46352,                 1.4343,                0.03112,                      0,                      0,               0.007624,               0.007624,               0.007624,                  0.059,                0.39475,                0.45375,               0.071231,                0.14206,                0.50098,              0.0032968,                0.49902,              0.0031486,               0.048485,                0.44912,                 0.4976,               0.062485,                0.14538,                      1
                     26,                0.74425,                 0.5201,                 1.3938,                0.03245,                      0,                      0,                0.77343,                0.79914,                0.82935,                0.68174,                0.68625,                0.45687,                 1.4551,                  0.031,                      0,                      0,               0.007525,               0.007525,               0.007525,               0.057914,                0.40137,                0.45928,                 0.0701,                0.14208,                0.50101,              0.0035098,                0.49899,              0.0033604,               0.046937,                0.45787,                0.50481,               0.060917,                0.14537,                      1
                     27,                0.73964,                0.51955,                  1.387,                0.03283,                      0,                      0,                0.78351,                0.78493,                  0.827,                0.67973,                0.68497,                0.45474,                 1.4594,                0.03089,                      0,                      0,               0.007426,               0.007426,               0.007426,               0.057677,                0.39648,                0.45416,                0.06999,                0.14254,                0.50108,              0.0037316,                0.49892,              0.0035712,               0.045886,                0.45747,                0.50336,               0.060175,                0.14654,                      1
                     28,                0.74003,                0.51862,                 1.3856,                0.03254,                      0,                      0,                0.79191,                0.77798,                0.82775,                0.68062,                0.68264,                0.45454,                  1.432,                 0.0308,                      0,                      0,               0.007327,               0.007327,               0.007327,                0.05739,                 0.3988,                0.45619,                0.06955,                0.14284,                0.50114,              0.0039549,                0.49886,               0.003786,               0.044689,                0.46263,                0.50732,               0.058886,                0.14621,                      1
                     29,                0.74106,                0.51859,                 1.3924,                0.03242,                      0,                      0,                0.78836,                 0.7925,                0.83793,                0.69002,                 0.6817,                0.44742,                 1.4447,                0.03071,                      0,                      0,               0.007228,               0.007228,               0.007228,               0.055628,                0.39994,                0.45556,               0.067773,                0.14193,                0.50118,              0.0042139,                0.49882,              0.0040455,               0.043422,                0.46468,                 0.5081,                0.05761,                0.14629,                      1
                     30,                 0.7391,                 0.5166,                 1.3844,                 0.0323,                      0,                      0,                0.80138,                0.78772,                0.84049,                 0.6925,                0.68083,                0.44919,                 1.4335,                 0.0306,                      0,                      0,               0.007129,               0.007129,               0.007129,               0.055823,                0.40151,                0.45734,               0.068027,                0.14188,                0.50126,               0.004457,                0.49874,              0.0042738,               0.042912,                0.46545,                0.50836,               0.057153,                0.14641,                      1
                     31,                 0.7416,                0.51704,                 1.3928,                0.03226,                      0,                      0,                0.81514,                0.79084,                0.84364,                0.69554,                0.67866,                0.44369,                 1.4441,                 0.0305,                      0,                      0,                0.00703,                0.00703,                0.00703,               0.054857,                0.39853,                0.45339,               0.066973,                0.14151,                0.50135,              0.0047113,                0.49865,               0.004515,               0.041896,                0.46578,                0.50767,               0.056149,                0.14653,                      1
                     32,                0.73541,                 0.5109,                 1.3894,                0.03225,                      0,                      0,                0.79616,                0.80561,                0.84509,                0.69641,                0.67936,                0.44095,                 1.4434,                0.03044,                      0,                      0,               0.006931,               0.006931,               0.006931,               0.055455,                0.40175,                0.45721,               0.067745,                0.14283,                0.50148,                0.00508,                0.49852,              0.0048582,               0.041854,                0.46824,                0.51009,               0.056275,                0.14687,                      1
                     33,                0.73621,                0.51282,                   1.38,                0.03211,                      0,                      0,                0.80819,                0.80524,                0.85121,                0.70355,                 0.6759,                0.44225,                 1.4374,                0.03038,                      0,                      0,               0.006832,               0.006832,               0.006832,               0.054621,                0.40253,                0.45715,               0.066824,                0.14258,                0.50159,              0.0054063,                0.49841,               0.005168,               0.040687,                0.46813,                0.50881,               0.054955,                0.14639,                      1
                     34,                0.73123,                0.50712,                 1.3823,                0.03205,                      0,                      0,                0.78646,                0.79839,                0.83611,                0.69207,                0.67702,                0.44436,                  1.439,                0.03033,                      0,                      0,               0.006733,               0.006733,               0.006733,               0.053746,                0.40427,                0.45801,               0.066063,                0.14256,                0.50173,              0.0057178,                0.49827,              0.0054514,               0.039546,                0.47195,                 0.5115,               0.053999,                0.14638,                      1
                     35,                 0.7341,                0.50862,                 1.3842,                0.03207,                      0,                      0,                0.79624,                0.80664,                0.84441,                0.69929,                0.67595,                0.44086,                 1.4286,                0.03023,                      0,                      0,               0.006634,               0.006634,               0.006634,               0.053994,                0.40476,                0.45875,               0.066241,                0.14265,                0.50184,              0.0060446,                0.49816,              0.0057568,               0.039572,                0.47553,                 0.5151,               0.054054,                0.14732,                      1
                     36,                  0.729,                0.50278,                 1.3769,                0.03212,                      0,                      0,                0.81277,                0.78538,                0.84165,                0.69774,                0.67598,                0.44089,                 1.4306,                 0.0302,                      0,                      0,               0.006535,               0.006535,               0.006535,               0.053074,                0.40214,                0.45521,               0.065421,                0.14192,                 0.5019,              0.0062449,                 0.4981,              0.0059497,               0.039128,                0.47359,                0.51272,                0.05375,                0.14706,                      1
                     37,                0.72286,                0.49846,                 1.3794,                0.03184,                      0,                      0,                0.80086,                0.79081,                0.84116,                 0.6954,                0.67353,                0.43836,                 1.4409,                0.03015,                      0,                      0,               0.006436,               0.006436,               0.006436,               0.052371,                0.40775,                0.46012,                 0.0648,                0.14239,                0.50202,              0.0065613,                0.49798,              0.0062437,               0.037983,                0.47648,                0.51446,               0.052606,                0.14669,                      1
                     38,                0.72682,                0.50073,                 1.3833,                0.03188,                      0,                      0,                 0.8084,                0.79838,                0.84641,                0.70062,                0.67212,                 0.4367,                 1.4458,                 0.0301,                      0,                      0,               0.006337,               0.006337,               0.006337,               0.052322,                0.40761,                0.45993,               0.064744,                0.14253,                0.50213,               0.006815,                0.49787,               0.006473,               0.037819,                0.47752,                0.51534,               0.052454,                0.14689,                      1
                     39,                0.72341,                0.49615,                 1.3841,                0.03176,                      0,                      0,                0.83258,                0.78458,                0.84918,                0.70329,                0.67228,                0.43424,                 1.4402,                0.03002,                      0,                      0,               0.006238,               0.006238,               0.006238,               0.052085,                0.40723,                0.45932,               0.064568,                0.14257,                0.50224,              0.0070666,                0.49776,              0.0067012,               0.037085,                0.48002,                0.51711,                0.05188,                0.14692,                      1
                     40,                0.72097,                0.49706,                 1.3802,                0.03188,                      0,                      0,                0.81672,                0.78887,                0.84977,                0.70388,                0.67168,                0.43365,                 1.4427,                0.02997,                      0,                      0,               0.006139,               0.006139,               0.006139,                0.05207,                0.40521,                0.45728,               0.064449,                0.14234,                0.50238,              0.0073599,                0.49762,              0.0069658,               0.036806,                 0.4766,                 0.5134,               0.051451,                0.14634,                      1
                     41,                0.72242,                0.49354,                 1.3858,                 0.0319,                      0,                      0,                 0.8106,                0.80676,                0.85379,                0.70771,                0.67123,                0.43206,                 1.4424,                0.02994,                      0,                      0,                0.00604,                0.00604,                0.00604,               0.052796,                0.40919,                0.46199,               0.065358,                0.14358,                 0.5025,              0.0076081,                 0.4975,              0.0071863,               0.037395,                0.47898,                0.51637,               0.052171,                0.14747,                      1
                     42,                 0.7205,                0.49275,                 1.3815,                0.03172,                      0,                      0,                0.80916,                0.79973,                0.85182,                0.70672,                0.67048,                0.43193,                 1.4461,                0.02987,                      0,                      0,               0.005941,               0.005941,               0.005941,               0.051516,                0.40978,                0.46129,               0.064039,                0.14289,                0.50255,              0.0078372,                0.49745,              0.0074092,               0.037079,                 0.4795,                0.51658,               0.051804,                0.14714,                      1
                     43,                0.71536,                0.49154,                 1.3835,                0.03165,                      0,                      0,                0.82138,                0.78087,                0.84618,                0.70163,                0.67042,                0.43277,                 1.4424,                0.02983,                      0,                      0,               0.005842,               0.005842,               0.005842,               0.050659,                0.41051,                0.46117,                0.06322,                 0.1422,                0.50266,              0.0081173,                0.49734,              0.0076696,               0.035733,                0.48173,                0.51746,               0.050571,                 0.1467,                      1
