                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,    train/saliency_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,      val/saliency_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                0.69625,                0.46505,                 1.3779,                0.04595,                0.82705,                0.81914,                0.86242,                0.71668,                0.66093,                0.41504,                 1.4501,                0.04885,               0.006931,               0.006931,               0.006931
                     33,                0.69708,                0.46517,                 1.3696,                0.04615,                0.82447,                0.81597,                0.86316,                0.71704,                0.65844,                  0.415,                 1.4499,                0.04864,               0.006832,               0.006832,               0.006832
                     34,                 0.6927,                0.46005,                 1.3708,                0.04576,                0.84489,                0.81554,                0.87164,                0.72578,                0.65791,                0.41174,                 1.4483,                0.04856,               0.006733,               0.006733,               0.006733
                     35,                0.69455,                0.45976,                 1.3739,                0.04576,                0.83643,                0.82103,                0.86738,                0.72294,                0.65832,                0.41071,                  1.455,                0.04842,               0.006634,               0.006634,               0.006634
                     36,                0.68806,                 0.4546,                 1.3659,                0.04537,                0.84057,                0.81301,                0.86644,                0.72118,                0.65689,                0.41012,                 1.4525,                0.04827,               0.006535,               0.006535,               0.006535
                     37,                0.68422,                  0.452,                 1.3652,                0.04518,                0.84699,                0.81094,                0.86547,                0.72052,                0.65495,                 0.4096,                 1.4491,                0.04815,               0.006436,               0.006436,               0.006436
                     38,                0.68725,                0.45341,                 1.3695,                0.04524,                0.82446,                0.83581,                 0.8653,                  0.722,                0.65489,                 0.4094,                 1.4439,                0.04799,               0.006337,               0.006337,               0.006337
                     39,                0.68456,                0.44976,                 1.3716,                0.04479,                0.84338,                0.82353,                0.86879,                0.72594,                0.65469,                0.40845,                 1.4427,                0.04791,               0.006238,               0.006238,               0.006238
                     40,                0.68063,                0.44813,                 1.3697,                0.04475,                 0.8219,                0.84018,                0.86976,                0.72578,                0.65376,                0.40466,                 1.4524,                0.04776,               0.006139,               0.006139,               0.006139
                     41,                0.68088,                0.44397,                 1.3739,                0.04485,                0.84331,                0.82671,                0.86784,                0.72388,                0.65403,                 0.4052,                 1.4536,                0.04766,                0.00604,                0.00604,                0.00604
                     42,                0.67874,                0.44443,                 1.3668,                0.04466,                0.83613,                0.82743,                0.86901,                0.72593,                0.65342,                0.40373,                 1.4522,                0.04751,               0.005941,               0.005941,               0.005941
                     43,                0.67415,                  0.441,                 1.3689,                0.04445,                0.83732,                0.83012,                0.87161,                0.72842,                0.65269,                0.40297,                 1.4493,                0.04742,               0.005842,               0.005842,               0.005842
                     44,                0.67554,                0.43887,                 1.3681,                0.04431,                0.84162,                0.82648,                0.87357,                0.73061,                0.65319,                0.40193,                 1.4521,                0.04735,               0.005743,               0.005743,               0.005743
                     45,                0.67841,                0.44113,                 1.3696,                0.04428,                0.84926,                0.82337,                0.87275,                0.73111,                0.65267,                0.40083,                 1.4531,                0.04727,               0.005644,               0.005644,               0.005644
                     46,                0.67477,                0.43977,                 1.3711,                0.04459,                0.83791,                 0.8351,                0.87237,                0.73016,                0.65318,                0.40157,                 1.4491,                0.04716,               0.005545,               0.005545,               0.005545
                     47,                  0.673,                0.43445,                  1.367,                0.04435,                0.84017,                0.83543,                0.87295,                0.73137,                0.65199,                0.40049,                  1.451,                0.04712,               0.005446,               0.005446,               0.005446
                     48,                0.67252,                0.43753,                 1.3672,                0.04425,                0.84692,                0.83029,                0.87169,                0.73042,                0.65087,                0.40026,                 1.4496,                0.04702,               0.005347,               0.005347,               0.005347
                     49,                0.66889,                0.43183,                 1.3602,                0.04396,                  0.849,                0.82693,                0.87228,                0.73121,                0.65062,                0.39956,                 1.4486,                0.04698,               0.005248,               0.005248,               0.005248
                     50,                0.66432,                 0.4276,                 1.3627,                0.04361,                0.85251,                0.82403,                0.87272,                0.73197,                0.65044,                0.39922,                 1.4489,                0.04695,               0.005149,               0.005149,               0.005149
                     51,                0.66825,                0.43177,                 1.3635,                0.04376,                0.85531,                 0.8212,                0.87327,                0.73276,                0.65011,                0.39929,                 1.4486,                 0.0469,                0.00505,                0.00505,                0.00505
                     52,                0.66369,                0.42815,                 1.3655,                0.04388,                0.83755,                0.84285,                0.87465,                0.73341,                0.64999,                0.39904,                 1.4485,                0.04687,               0.004951,               0.004951,               0.004951
                     53,                0.66106,                0.42368,                 1.3661,                0.04354,                0.84082,                0.84027,                0.87481,                 0.7335,                0.64965,                 0.3983,                 1.4493,                0.04682,               0.004852,               0.004852,               0.004852
                     54,                0.65828,                0.42168,                 1.3684,                 0.0434,                0.84917,                0.83294,                0.87471,                0.73349,                0.64957,                 0.3977,                 1.4501,                0.04681,               0.004753,               0.004753,               0.004753
                     55,                0.66003,                0.41919,                 1.3629,                0.04334,                0.85011,                0.83179,                0.87376,                0.73247,                0.64954,                0.39728,                 1.4525,                0.04676,               0.004654,               0.004654,               0.004654
                     56,                0.65617,                0.41914,                 1.3651,                0.04343,                0.85145,                 0.8322,                0.87404,                0.73293,                0.64941,                0.39678,                 1.4544,                0.04673,               0.004555,               0.004555,               0.004555
                     57,                0.65299,                0.41455,                 1.3564,                0.04302,                0.85098,                0.83127,                0.87384,                0.73264,                0.64936,                0.39688,                 1.4546,                0.04668,               0.004456,               0.004456,               0.004456
                     58,                0.65963,                0.41761,                 1.3557,                0.04325,                0.84582,                0.83696,                0.87394,                0.73314,                0.64922,                0.39674,                 1.4549,                0.04664,               0.004357,               0.004357,               0.004357
                     59,                 0.6583,                0.41613,                 1.3667,                0.04321,                0.84565,                0.83578,                0.87331,                0.73247,                0.64921,                0.39708,                 1.4543,                0.04661,               0.004258,               0.004258,               0.004258
                     60,                0.65748,                0.41568,                 1.3571,                0.04309,                0.83986,                0.84101,                0.87253,                 0.7318,                0.64916,                0.39698,                 1.4546,                0.04659,               0.004159,               0.004159,               0.004159
                     61,                 0.6517,                0.41013,                 1.3573,                0.04275,                 0.8401,                0.84113,                0.87259,                0.73238,                0.64894,                0.39672,                 1.4549,                0.04658,                0.00406,                0.00406,                0.00406
                     62,                 0.6487,                0.40835,                 1.3594,                 0.0426,                0.84576,                0.83619,                 0.8725,                0.73212,                0.64885,                0.39672,                 1.4549,                0.04656,               0.003961,               0.003961,               0.003961
                     63,                0.65117,                0.41092,                 1.3591,                0.04318,                0.84677,                0.83416,                0.87218,                0.73222,                0.64861,                0.39672,                 1.4544,                0.04653,               0.003862,               0.003862,               0.003862
                     64,                0.65106,                0.41084,                 1.3568,                0.04313,                0.84911,                0.83123,                 0.8719,                0.73213,                0.64844,                0.39682,                 1.4545,                 0.0465,               0.003763,               0.003763,               0.003763
                     65,                0.64533,                0.40532,                 1.3546,                 0.0427,                0.84892,                0.83311,                0.87187,                 0.7324,                 0.6483,                0.39656,                 1.4546,                0.04647,               0.003664,               0.003664,               0.003664
                     66,                0.64421,                0.40412,                 1.3572,                0.04268,                0.85215,                0.83031,                0.87154,                0.73232,                 0.6481,                0.39678,                 1.4544,                0.04645,               0.003565,               0.003565,               0.003565
                     67,                0.64925,                0.40391,                 1.3528,                0.04286,                0.85407,                0.82944,                 0.8712,                0.73232,                0.64808,                 0.3968,                  1.455,                0.04643,               0.003466,               0.003466,               0.003466
                     68,                0.64169,                0.39857,                  1.357,                0.04237,                0.85726,                0.82668,                0.87076,                0.73226,                0.64798,                0.39673,                 1.4551,                0.04641,               0.003367,               0.003367,               0.003367
                     69,                0.64173,                 0.3984,                 1.3561,                0.04217,                0.85791,                0.82625,                 0.8708,                0.73234,                0.64784,                0.39689,                 1.4551,                0.04638,               0.003268,               0.003268,               0.003268
                     70,                0.64029,                0.39736,                 1.3441,                0.04206,                0.85679,                0.82517,                0.87078,                0.73242,                0.64774,                0.39685,                 1.4549,                0.04637,               0.003169,               0.003169,               0.003169
                     71,                0.64028,                0.39997,                 1.3472,                0.04242,                0.85488,                0.82671,                0.87047,                0.73218,                0.64763,                0.39685,                 1.4548,                0.04634,                0.00307,                0.00307,                0.00307
                     72,                0.63802,                0.39504,                 1.3427,                0.04225,                0.85732,                 0.8235,                0.87004,                0.73187,                0.64764,                0.39703,                 1.4549,                0.04633,               0.002971,               0.002971,               0.002971
                     73,                0.63397,                0.39067,                 1.3521,                0.04182,                 0.8567,                0.82321,                0.86982,                0.73164,                0.64755,                0.39692,                 1.4552,                0.04631,               0.002872,               0.002872,               0.002872
                     74,                0.63267,                0.38939,                 1.3483,                0.04208,                0.85567,                0.82409,                0.86925,                  0.731,                0.64748,                0.39686,                 1.4553,                0.04629,               0.002773,               0.002773,               0.002773
                     75,                0.63236,                0.38885,                  1.348,                0.04208,                0.85836,                0.82208,                0.86881,                0.73047,                0.64734,                0.39692,                 1.4557,                0.04628,               0.002674,               0.002674,               0.002674
                     76,                0.63113,                0.38763,                 1.3448,                0.04198,                0.85197,                0.82687,                0.86898,                0.73053,                0.64732,                0.39699,                 1.4559,                0.04627,               0.002575,               0.002575,               0.002575
                     77,                0.63003,                0.38638,                 1.3419,                0.04199,                0.85408,                0.82515,                0.86865,                0.73022,                 0.6471,                0.39682,                 1.4563,                0.04625,               0.002476,               0.002476,               0.002476
                     78,                0.62877,                0.38372,                  1.344,                0.04187,                0.85152,                0.82772,                0.86833,                0.73018,                0.64703,                0.39689,                 1.4566,                0.04624,               0.002377,               0.002377,               0.002377
                     79,                0.63001,                0.38496,                 1.3446,                0.04189,                0.85316,                0.82674,                 0.8684,                0.72971,                0.64705,                0.39708,                 1.4569,                0.04622,               0.002278,               0.002278,               0.002278
                     80,                0.62466,                0.38157,                 1.3459,                0.04169,                0.85284,                0.82772,                0.86806,                0.73012,                0.64694,                0.39704,                 1.4573,                 0.0462,               0.002179,               0.002179,               0.002179
                     81,                0.62441,                0.37895,                 1.3457,                0.04163,                0.85121,                0.82884,                0.86821,                0.73019,                0.64682,                0.39685,                 1.4574,                0.04619,                0.00208,                0.00208,                0.00208
                     82,                0.62639,                 0.3803,                 1.3368,                0.04176,                 0.8534,                0.82669,                0.86804,                0.73004,                0.64691,                0.39699,                 1.4576,                0.04617,               0.001981,               0.001981,               0.001981
                     83,                0.61938,                 0.3743,                 1.3394,                0.04115,                0.85026,                0.82984,                0.86797,                0.73008,                0.64685,                0.39696,                 1.4581,                0.04616,               0.001882,               0.001882,               0.001882
                     84,                 0.6215,                0.37764,                 1.3414,                 0.0418,                0.85428,                0.82572,                0.86788,                0.72969,                0.64685,                0.39698,                 1.4582,                0.04614,               0.001783,               0.001783,               0.001783
                     85,                0.62257,                0.37522,                 1.3396,                0.04167,                0.85492,                0.82516,                0.86787,                0.73015,                 0.6468,                0.39703,                 1.4585,                0.04613,               0.001684,               0.001684,               0.001684
                     86,                0.61748,                0.37308,                  1.339,                0.04115,                0.85207,                0.82718,                0.86777,                0.72966,                 0.6469,                0.39701,                 1.4586,                0.04611,               0.001585,               0.001585,               0.001585
                     87,                0.61572,                0.37001,                 1.3322,                0.04124,                0.85441,                0.82549,                0.86777,                0.72995,                0.64689,                0.39701,                 1.4588,                 0.0461,               0.001486,               0.001486,               0.001486
                     88,                0.61524,                0.37089,                 1.3408,                0.04153,                0.85595,                0.82517,                0.86746,                0.72992,                0.64684,                0.39694,                  1.459,                0.04608,               0.001387,               0.001387,               0.001387
                     89,                0.61211,                0.36669,                 1.3397,                0.04111,                0.85732,                 0.8243,                0.86713,                0.72951,                0.64679,                0.39702,                 1.4592,                0.04607,               0.001288,               0.001288,               0.001288
