                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss, train/rgb_spatial_loss,  train/rgb_global_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,   val/rgb_spatial_loss,    val/rgb_global_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,p2/prompt_warmup_factor
                     16,                0.73995,                  0.507,                 1.3822,                0.03332,                      0,                      0,                0.77048,                0.79202,                0.82671,                0.66863,                0.69219,                0.45389,                 1.4728,                0.03167,                      0,                      0,               0.008515,               0.008515,               0.008515,               0.066043,                0.39611,                0.46215,               0.078152,                0.13937,               0.060584,                0.42606,                0.48664,               0.073681,                  0.138,                      1
                     17,                0.73566,                0.50494,                 1.3844,                0.03302,                      0,                      0,                0.78573,                0.77994,                0.81203,                0.65859,                0.69691,                0.46228,                 1.4726,                0.03127,                      0,                      0,               0.008416,               0.008416,               0.008416,               0.061273,                0.40012,                0.46139,               0.073543,                 0.1398,               0.053443,                 0.4368,                0.49024,               0.066918,                0.14043,                      1
                     18,                 0.7313,                0.50154,                 1.3776,                 0.0328,                      0,                      0,                0.78573,                0.78574,                0.83066,                0.67522,                0.68855,                0.45017,                 1.4532,                0.03083,                      0,                      0,               0.008317,               0.008317,               0.008317,               0.059317,                0.40246,                0.46177,               0.071831,                0.14079,               0.047555,                0.44587,                0.49343,               0.061511,                0.14289,                      1
                     19,                0.72977,                 0.4977,                 1.3854,                0.03265,                      0,                      0,                0.78386,                0.76364,                0.81675,                 0.6627,                 0.7035,                0.46912,                 1.4695,                0.03074,                      0,                      0,               0.008218,               0.008218,               0.008218,               0.056341,                0.40334,                0.45968,               0.068812,                0.14072,               0.042946,                0.45323,                0.49617,               0.057035,                0.14368,                      1
                     20,                0.72983,                0.49905,                 1.3805,                0.03204,                      0,                      0,                0.80182,                0.79929,                0.84009,                0.68477,                0.68378,                0.44407,                 1.4517,                0.03029,                      0,                      0,               0.008119,               0.008119,               0.008119,               0.054384,                0.41271,                0.46709,               0.066917,                0.14154,               0.040148,                 0.4634,                0.50355,               0.054304,                0.14408,                      1
                     21,                0.72766,                0.49267,                 1.3827,                0.03169,                      0,                      0,                0.80012,                0.80315,                0.84085,                0.68209,                0.68876,                 0.4445,                 1.4675,                0.03019,                      0,                      0,                0.00802,                0.00802,                0.00802,               0.052731,                0.41325,                0.46598,               0.065156,                0.14036,               0.038033,                 0.4708,                0.50883,               0.052266,                0.14419,                      1
                     22,                0.72082,                0.49106,                 1.3795,                0.03172,                      0,                      0,                0.79399,                0.79779,                0.83319,                0.67878,                0.68118,                0.44377,                 1.4571,                 0.0299,                      0,                      0,               0.007921,               0.007921,               0.007921,               0.052309,                0.41758,                0.46989,               0.065136,                0.14257,               0.036944,                 0.4751,                0.51204,               0.051622,                0.14577,                      1
                     23,                0.72159,                0.48849,                 1.3894,                0.03147,                      0,                      0,                0.80405,                0.80188,                0.84384,                0.69076,                0.67826,                0.43149,                 1.4589,                0.02984,                      0,                      0,               0.007822,               0.007822,               0.007822,               0.050766,                0.41728,                0.46805,               0.063325,                0.14147,               0.035506,                 0.4758,                0.51131,               0.049901,                0.14461,                      1
                     24,                 0.7201,                0.48845,                 1.3811,                0.03149,                      0,                      0,                0.80169,                0.80598,                 0.8474,                0.69528,                0.67751,                 0.4291,                  1.463,                0.02962,                      0,                      0,               0.007723,               0.007723,               0.007723,                0.04972,                0.42021,                0.46993,               0.062629,                0.14233,                  0.035,                0.47804,                0.51304,               0.049758,                0.14551,                      1
                     25,                0.71638,                0.47951,                 1.3785,                0.03155,                      0,                      0,                0.81825,                0.79249,                0.83932,                0.68912,                0.67533,                 0.4369,                 1.4382,                0.02945,                      0,                      0,               0.007624,               0.007624,               0.007624,               0.049501,                 0.4214,                 0.4709,               0.062556,                0.14305,               0.034288,                0.47929,                0.51358,               0.049217,                0.14595,                      1
