                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/object_reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/object_reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_gate_direction_loss,p2/P3_gate_prompt_direction_agreement,    p2/P3_ir_win_recall,p2/P3_object_balanced_loss,p2/P3_object_calibrated_loss,p2/P3_object_gate_accuracy,p2/P3_object_prompt_accuracy,p2/P3_object_prompt_correlation,p2/P3_object_prompt_mae,p2/P3_object_prompt_rgb, p2/P3_object_rank_loss,p2/P3_object_target_rgb,  p2/P3_prompt_strength,   p2/P3_rgb_win_recall,p2/P4_gate_direction_loss,p2/P4_gate_prompt_direction_agreement,    p2/P4_ir_win_recall,p2/P4_object_balanced_loss,p2/P4_object_calibrated_loss,p2/P4_object_gate_accuracy,p2/P4_object_prompt_accuracy,p2/P4_object_prompt_correlation,p2/P4_object_prompt_mae,p2/P4_object_prompt_rgb, p2/P4_object_rank_loss,p2/P4_object_target_rgb,  p2/P4_prompt_strength,   p2/P4_rgb_win_recall,p2/object_cross_scale_consistency,p2/object_gate_raw_loss,p2/object_prompt_raw_loss,  p2/teacher_ir_quality,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/teacher_rgb_win_rate, p2/teacher_ir_win_rate,p2/teacher_majority_baseline,p2/object_reliability_warmup_factor
                     31,                0.71075,                0.47414,                 1.3759,                0.04226,                0.82562,                0.82971,                0.86771,                0.71619,                0.66757,                0.41777,                 1.4433,                 0.0429,                0.00703,                0.00703,                0.00703,                0.69666,                0.62226,                0.67656,                0.67094,                0.63947,                0.72849,                0.63498,                0.36595,                0.13996,                0.43591,                0.63858,                0.41353,                0.62662,                0.52342,                 1.0201,                0.27092,                0.79121,                0.67228,                0.63992,                0.28167,                0.68403,                0.39469,                0.13428,                0.43398,                0.60102,                0.41353,                  0.537,                0.39644,              0.0037144,                0.12689,                 0.6555,                0.58411,                0.31215,                0.48683,                0.27151,                0.72849,                0.72849,                      1
                     32,                0.70339,                0.46605,                 1.3768,                0.04221,                0.82845,                0.81175,                0.85978,                 0.7076,                0.66942,                  0.418,                 1.4439,                0.04293,               0.006931,               0.006931,               0.006931,                 0.6986,                0.61306,                0.66618,                0.66996,                0.63826,                0.72991,                0.62954,                 0.3693,                0.13988,                0.43682,                0.64002,                0.41267,                0.62492,                0.53051,                 1.0118,                0.27527,                0.78629,                0.67141,                0.63896,                0.27868,                0.68393,                0.39558,                0.13419,                 0.4327,                0.60161,                0.41267,                0.52437,                 0.4073,              0.0038003,                0.12687,                0.65447,                0.58191,                0.31099,                 0.4821,                0.27009,                0.72991,                0.72991,                      1
                     33,                0.70374,                0.46761,                 1.3694,                0.04198,                0.81319,                0.82831,                0.86224,                0.71043,                0.66764,                0.41831,                 1.4439,                0.04292,               0.006832,               0.006832,               0.006832,                0.69336,                0.61542,                0.67335,                 0.6688,                0.63524,                0.73086,                0.63797,                0.37737,                 0.1409,                 0.4338,                0.63557,                0.41145,                0.62809,                0.54189,                0.99391,                0.32249,                0.75454,                0.66774,                0.63472,                0.28483,                0.67767,                 0.4145,                0.13528,                0.43254,                0.59136,                0.41145,                0.51492,                0.46891,               0.004014,                0.12558,                0.65175,                0.58508,                0.31604,                0.48374,                0.26914,                0.73086,                0.73086,                      1
                     34,                 0.6998,                0.46255,                 1.3704,                0.04219,                0.82896,                 0.8079,                0.85911,                0.70938,                0.66765,                0.41948,                 1.4501,                0.04287,               0.006733,               0.006733,               0.006733,                0.69245,                0.60314,                0.65556,                0.67051,                0.64003,                0.73547,                0.62568,                0.36664,                0.14014,                0.43961,                0.63673,                0.41267,                0.63442,                0.54261,                 1.0167,                0.31323,                0.75336,                0.67034,                0.63926,                0.27397,                0.67581,                0.39903,                0.13364,                0.43653,                0.59819,                0.41267,                0.50444,                0.46018,              0.0036673,                0.12622,                0.65511,                0.58807,                0.30975,                0.48939,                0.26453,                0.73547,                0.73547,                      1
                     35,                0.70199,                0.46311,                 1.3735,                0.04203,                0.82443,                0.82817,                0.86624,                0.71497,                0.66714,                0.41294,                 1.4523,                0.04287,               0.006634,               0.006634,               0.006634,                0.69142,                0.62726,                0.68533,                0.66958,                0.63539,                0.73395,                0.64479,                0.37726,                0.14046,                0.43458,                0.63785,                 0.4107,                0.63912,                0.53294,                0.99931,                0.31686,                0.75598,                 0.6691,                0.63523,                0.27884,                0.67903,                0.40885,                0.13568,                0.43212,                0.59921,                 0.4107,                 0.4952,                0.46676,              0.0038971,                 0.1255,                0.65238,                 0.5855,                 0.3166,                0.48359,                0.26605,                0.73395,                0.73395,                      1
                     36,                0.69608,                  0.458,                 1.3627,                0.04198,                0.82625,                0.82113,                0.86356,                 0.7132,                0.66715,                0.41442,                 1.4394,                0.04281,               0.006535,               0.006535,               0.006535,                0.68815,                0.61762,                 0.6746,                0.66802,                0.63653,                0.72869,                0.63684,                0.37405,                0.14147,                0.43687,                0.63694,                0.41276,                0.64371,                0.53541,                0.99671,                0.33596,                0.73852,                 0.6674,                0.63575,                0.28337,                0.67084,                0.40935,                0.13563,                0.43607,                0.59745,                0.41276,                0.48729,                0.48907,              0.0035662,                0.12498,                0.65204,                0.58016,                0.31457,                0.48024,                0.27131,                0.72869,                0.72869,                      1
                     37,                0.69048,                0.45449,                 1.3668,                0.04186,                0.82375,                0.82025,                0.85961,                0.70932,                0.66308,                0.41338,                 1.4492,                0.04281,               0.006436,               0.006436,               0.006436,                  0.692,                0.60215,                0.66174,                0.66713,                0.63484,                0.73042,                0.63413,                 0.3811,                0.14276,                0.43724,                0.62785,                0.41213,                0.64236,                0.55931,                0.98686,                0.35144,                0.72693,                0.66686,                0.63281,                0.28342,                0.66809,                0.41547,                0.13798,                0.43208,                0.58244,                0.41213,                0.47997,                0.50865,               0.003936,                0.12516,                 0.6506,                0.58323,                0.31809,                0.48254,                0.26958,                0.73042,                0.73042,                      1
                     38,                0.69384,                 0.4553,                 1.3714,                0.04209,                0.83016,                0.82831,                0.86483,                0.71455,                  0.663,                0.41038,                 1.4487,                0.04281,               0.006337,               0.006337,               0.006337,                0.69014,                0.62136,                 0.6779,                 0.6699,                0.63806,                0.73503,                0.64016,                0.36658,                0.14243,                0.43643,                0.63501,                0.41175,                0.64312,                0.53548,                 1.0141,                0.35257,                0.71711,                0.66898,                0.63746,                0.27387,                0.66208,                0.40118,                 0.1386,                0.43592,                0.59216,                0.41175,                0.47404,                0.50941,              0.0039197,                0.12582,                0.65373,                0.58481,                0.31648,                0.48446,                0.26497,                0.73503,                0.73503,                      1
                     39,                0.69001,                0.45121,                 1.3698,                0.04201,                0.83829,                0.81728,                0.86598,                0.71527,                0.66437,                0.41064,                 1.4441,                0.04277,               0.006238,               0.006238,               0.006238,                0.68861,                 0.6107,                0.66962,                0.66871,                0.63841,                 0.7235,                0.63473,                0.36779,                0.14134,                0.43816,                0.63301,                0.41424,                0.64589,                0.54346,                0.99532,                0.32424,                0.74662,                0.66795,                0.63591,                0.28479,                0.67217,                0.41131,                0.13451,                0.43362,                0.59158,                0.41424,                0.46626,                0.47736,              0.0039106,                0.12499,                0.65302,                 0.5808,                0.31082,                0.48319,                 0.2765,                 0.7235,                 0.7235,                      1
                     40,                0.68918,                0.45233,                 1.3679,                 0.0418,                 0.8362,                0.81949,                0.86705,                0.71674,                0.66351,                0.40962,                  1.445,                0.04277,               0.006139,               0.006139,               0.006139,                0.67749,                0.60518,                 0.6643,                0.66662,                0.63602,                0.73264,                0.63557,                0.38023,                0.14104,                0.43775,                0.62881,                0.41111,                0.64534,                0.55685,                 1.0035,                0.36377,                0.70983,                0.66455,                0.63334,                0.27708,                0.66107,                0.42307,                0.13529,                0.43592,                0.58642,                0.41111,                0.45922,                0.52746,              0.0038215,                0.12378,                0.65053,                0.58941,                0.31381,                0.48782,                0.26736,                0.73264,                0.73264,                      1
                     41,                0.68841,                0.44722,                  1.374,                0.04202,                 0.8386,                0.82018,                0.86729,                0.71747,                  0.664,                0.40885,                 1.4448,                0.04278,                0.00604,                0.00604,                0.00604,                0.68979,                0.61777,                0.67411,                0.66994,                0.63723,                0.73439,                0.63795,                0.37269,                0.14147,                 0.4361,                0.63294,                0.41164,                0.64516,                0.53799,                 1.0114,                0.36565,                0.70636,                0.66784,                0.63467,                0.27293,                0.66074,                0.41247,                0.13701,                0.43437,                0.58776,                0.41164,                0.45383,                 0.5346,              0.0040332,                0.12568,                0.65281,                0.58428,                0.31387,                0.48399,                0.26561,                0.73439,                0.73439,                      1
                     42,                0.68685,                 0.4482,                 1.3655,                0.04179,                0.84905,                0.81823,                0.87011,                0.71946,                0.66268,                0.40844,                 1.4451,                 0.0428,               0.005941,               0.005941,               0.005941,                0.68192,                0.62268,                0.68613,                0.66621,                0.63469,                0.73249,                0.64999,                0.38424,                0.14097,                0.43757,                0.62688,                0.41059,                0.64747,                0.55105,                 1.0092,                0.37983,                0.69993,                0.66479,                0.63268,                0.27847,                0.66111,                0.42074,                  0.138,                 0.4348,                 0.5816,                0.41059,                 0.4506,                0.55481,              0.0039085,                0.12456,                0.64988,                0.58698,                0.31749,                 0.4847,                0.26751,                0.73249,                0.73249,                      1
                     43,                0.68157,                0.44508,                 1.3676,                0.04199,                0.83936,                0.82679,                0.86939,                0.71989,                0.66216,                0.40813,                 1.4434,                0.04278,               0.005842,               0.005842,               0.005842,                0.68669,                0.61696,                0.67952,                 0.6664,                0.63652,                0.72835,                0.64455,                0.38278,                0.14101,                0.43918,                 0.6364,                0.41273,                 0.6465,                0.55078,                 1.0207,                0.35966,                0.71551,                0.66722,                0.63683,                0.27756,                0.66729,                0.40665,                0.13752,                0.43669,                0.59698,                0.41273,                0.44519,                  0.538,              0.0038044,                0.12558,                0.65165,                0.58307,                0.31414,                0.48378,                0.27165,                0.72835,                0.72835,                      1
                     44,                0.68332,                0.44231,                 1.3669,                0.04185,                0.84281,                0.82854,                0.87082,                0.72089,                0.66218,                0.40631,                 1.4456,                0.04277,               0.005743,               0.005743,               0.005743,                0.68565,                0.62571,                0.68721,                0.66737,                0.63459,                0.73225,                0.64846,                0.38131,                0.14214,                0.43516,                 0.6328,                0.41076,                0.64195,                0.54249,                 1.0089,                0.37544,                0.70257,                0.66444,                0.63216,                0.27637,                0.66294,                0.42216,                0.13869,                0.43398,                 0.5848,                0.41076,                0.44157,                0.55455,              0.0038495,                0.12505,                0.65009,                 0.5845,                0.31797,                0.48238,                0.26775,                0.73225,                0.73225,                      1
                     45,                0.68653,                0.44389,                 1.3731,                0.04186,                0.84645,                0.83073,                0.87058,                0.72159,                0.66173,                0.40539,                 1.4492,                0.04275,               0.005644,               0.005644,               0.005644,                0.68166,                0.60834,                0.66664,                0.66726,                0.63609,                0.73335,                0.63608,                 0.3811,                0.14174,                0.43792,                0.63027,                0.41177,                0.64672,                0.55201,                 1.0085,                0.37618,                0.69534,                0.66521,                0.63387,                0.27464,                0.65436,                0.41744,                0.13726,                0.43585,                0.58439,                0.41177,                0.43737,                0.54165,              0.0038004,                 0.1245,                0.65096,                0.58417,                0.31455,                0.48407,                0.26665,                0.73335,                0.73335,                      1
                     46,                0.68241,                0.44272,                 1.3746,                0.04178,                  0.845,                0.83344,                0.87334,                0.72421,                0.66206,                0.40368,                 1.4489,                0.04275,               0.005545,               0.005545,               0.005545,                0.67632,                0.62606,                0.68861,                0.66658,                0.63494,                0.73567,                0.65145,                0.38639,                0.14069,                 0.4372,                0.62692,                0.41022,                0.65003,                0.54803,                 1.0179,                0.36467,                0.70966,                0.66477,                0.63263,                0.27126,                0.66569,                0.42344,                0.13673,                0.43436,                0.58474,                0.41022,                 0.4355,                0.54333,              0.0039872,                0.12411,                0.65007,                0.58842,                0.31642,                0.48644,                0.26433,                0.73567,                0.73567,                      1
                     47,                0.68056,                0.43806,                 1.3678,                0.04175,                0.84497,                0.83308,                0.87336,                0.72532,                0.66068,                0.40277,                 1.4519,                0.04274,               0.005446,               0.005446,               0.005446,                0.67928,                0.61851,                0.67846,                0.66576,                0.63397,                0.73543,                0.64398,                 0.3854,                0.14219,                0.43735,                0.62974,                0.40971,                 0.6482,                0.54812,                  1.009,                0.38374,                0.69183,                0.66368,                0.63144,                0.27356,                0.65642,                0.42293,                0.13818,                 0.4355,                0.58638,                0.40971,                 0.4324,                  0.558,              0.0039548,                 0.1242,                 0.6491,                0.58445,                0.31771,                0.48138,                0.26457,                0.73543,                0.73543,                      1
                     48,                0.67962,                0.43867,                 1.3709,                0.04186,                0.83514,                0.84058,                0.87198,                0.72388,                0.66008,                0.40268,                  1.452,                0.04272,               0.005347,               0.005347,               0.005347,                 0.6735,                0.62988,                0.69023,                0.66747,                0.63692,                 0.7314,                0.64839,                0.38103,                0.13963,                 0.4389,                0.63624,                 0.4125,                0.64296,                0.53446,                 1.0172,                 0.3769,                0.69581,                0.66442,                0.63402,                0.27444,                0.65724,                0.42307,                0.13508,                0.43822,                 0.5888,                 0.4125,                0.42707,                0.55222,              0.0037924,                 0.1237,                 0.6512,                 0.5855,                0.31155,                0.48605,                 0.2686,                 0.7314,                 0.7314,                      1
                     49,                0.67652,                 0.4348,                 1.3599,                0.04179,                0.83341,                0.84356,                0.87221,                0.72339,                0.65954,                0.40235,                 1.4506,                0.04273,               0.005248,               0.005248,               0.005248,                0.67824,                0.62285,                  0.685,                0.66614,                0.63493,                0.73247,                0.64817,                0.38711,                0.14013,                0.43804,                0.63258,                0.41145,                0.64289,                0.54732,                 1.0095,                0.39632,                0.68213,                0.66417,                 0.6332,                0.27634,                0.65369,                0.42004,                0.13827,                0.43671,                0.58368,                0.41145,                0.42545,                0.57583,              0.0041998,                0.12408,                0.64992,                 0.5864,                0.31304,                0.48536,                0.26753,                0.73247,                0.73247,                      1
                     50,                0.67215,                0.43082,                  1.365,                0.04176,                0.83587,                 0.8388,                0.87103,                0.72326,                0.65951,                0.40226,                 1.4514,                0.04271,               0.005149,               0.005149,               0.005149,                0.67572,                0.62616,                0.68856,                0.66604,                0.63538,                0.73434,                0.65077,                0.38518,                0.14157,                 0.4377,                0.63097,                0.41178,                0.64182,                0.54631,                  1.002,                0.39177,                0.68819,                0.66439,                0.63301,                0.27407,                0.65915,                0.41911,                0.13888,                0.43577,                0.58444,                0.41178,                0.42501,                0.57887,              0.0040712,                 0.1235,                0.65004,                0.58711,                0.31598,                0.48687,                0.26566,                0.73434,                0.73434,                      1
                     51,                0.67438,                0.43399,                 1.3684,                0.04181,                 0.8387,                0.83618,                0.87113,                 0.7236,                0.65945,                0.40148,                 1.4539,                 0.0427,                0.00505,                0.00505,                0.00505,                0.66709,                0.62107,                0.68242,                0.66707,                0.63631,                0.73435,                0.64684,                0.38511,                0.14006,                0.43924,                  0.635,                0.41128,                0.64674,                 0.5485,                 1.0099,                0.39157,                0.68224,                0.66569,                0.63524,                0.27146,                0.65307,                0.41706,                 0.1369,                 0.4383,                0.59445,                0.41128,                 0.4218,                0.57242,              0.0039812,                0.12261,                0.65128,                0.58864,                0.31115,                0.48808,                0.26565,                0.73435,                0.73435,                      1
                     52,                 0.6707,                 0.4294,                 1.3708,                 0.0417,                0.83961,                0.83644,                0.87018,                  0.723,                0.65921,                0.40135,                 1.4547,                0.04269,               0.004951,               0.004951,               0.004951,                0.67317,                0.63295,                0.69677,                0.66516,                0.63415,                0.73055,                0.65456,                0.39162,                0.14065,                0.43799,                0.62952,                0.41096,                0.64317,                 0.5401,                 1.0128,                 0.4051,                0.67423,                0.66248,                0.63228,                0.27713,                0.65157,                 0.4278,                0.13839,                0.43816,                0.58525,                0.41096,                0.42012,                0.59013,              0.0038269,                0.12352,                 0.6489,                0.58642,                0.31671,                0.48459,                0.26945,                0.73055,                0.73055,                      1
                     53,                0.66651,                0.42412,                   1.37,                 0.0418,                0.84002,                0.83325,                0.86926,                0.72191,                0.65949,                 0.4012,                  1.457,                0.04269,               0.004852,               0.004852,               0.004852,                0.67067,                 0.6327,                0.69373,                0.66705,                 0.6367,                0.73388,                0.65165,                0.38288,                 0.1396,                0.43824,                 0.6322,                0.41148,                0.64123,                0.53562,                 1.0114,                0.40109,                0.67598,                0.66402,                 0.6337,                0.27191,                0.65322,                0.42329,                0.13693,                0.43785,                0.58807,                0.41148,                0.41751,                0.59045,              0.0036822,                0.12314,                0.65087,                0.58905,                0.31202,                0.48919,                0.26612,                0.73388,                0.73388,                      1
                     54,                0.66495,                0.42393,                 1.3693,                0.04166,                0.84239,                0.82996,                0.86888,                0.72189,                0.65939,                0.40149,                 1.4569,                0.04268,               0.004753,               0.004753,               0.004753,                0.66975,                0.64152,                0.70774,                0.66615,                0.63501,                0.73112,                0.66225,                0.38986,                0.13883,                0.43589,                0.62442,                0.41316,                 0.6431,                0.53853,                0.99849,                0.39954,                0.68123,                0.66237,                0.63255,                0.27489,                0.65812,                0.42877,                0.13685,                0.43667,                0.57903,                0.41316,                0.41628,                0.59528,              0.0039873,                0.12258,                0.64954,                0.58807,                0.30999,                0.48928,                0.26888,                0.73112,                0.73112,                      1
                     55,                0.66669,                0.42257,                 1.3608,                 0.0416,                0.84207,                0.83021,                0.86918,                0.72207,                0.65913,                0.40151,                 1.4575,                0.04267,               0.004654,               0.004654,               0.004654,                0.66461,                0.61991,                0.68433,                0.66497,                0.63503,                0.73427,                0.65079,                0.38945,                0.14078,                0.43926,                0.62383,                0.41236,                0.64412,                0.55811,                 1.0027,                 0.4058,                0.67254,                0.66209,                0.63182,                0.27259,                0.65192,                0.42964,                0.13847,                0.43799,                 0.5753,                0.41236,                0.41448,                0.59496,              0.0041122,                0.12204,                0.64899,                0.58737,                0.31247,                0.48769,                0.26573,                0.73427,                0.73427,                      1
                     56,                0.66367,                0.42177,                 1.3629,                0.04152,                0.84556,                0.82824,                0.87048,                 0.7227,                0.65882,                0.40077,                 1.4579,                0.04266,               0.004555,               0.004555,               0.004555,                0.66663,                0.64949,                0.71466,                0.66384,                 0.6314,                 0.7339,                0.66559,                0.40029,                0.14044,                0.43552,                0.62489,                0.41087,                0.64279,                0.53026,                 0.9968,                0.39358,                0.68697,                0.66173,                0.63028,                0.27411,                0.65949,                0.43269,                0.13894,                0.43543,                0.58054,                0.41087,                0.41339,                 0.5837,              0.0041247,                0.12211,                0.64708,                0.58748,                0.31619,                0.48532,                 0.2661,                 0.7339,                 0.7339,                      1
                     57,                0.66031,                0.41778,                 1.3591,                0.04174,                 0.8489,                0.82486,                0.86998,                0.72192,                 0.6587,                0.40091,                 1.4578,                0.04265,               0.004456,               0.004456,               0.004456,                0.67491,                0.62732,                0.69329,                0.66618,                0.63701,                0.72981,                0.65482,                0.38234,                0.14072,                0.43936,                0.62586,                 0.4151,                0.64119,                0.55088,                 0.9973,                0.39866,                0.68194,                0.66221,                0.63356,                0.27708,                0.65683,                0.42504,                0.13764,                0.43855,                0.58126,                 0.4151,                 0.4121,                  0.589,              0.0039154,                0.12323,                0.65036,                0.58533,                0.31095,                0.48852,                0.27019,                0.72981,                0.72981,                      1
                     58,                0.66707,                0.42043,                 1.3565,                 0.0416,                0.84594,                0.82917,                 0.8699,                0.72247,                0.65863,                0.40093,                 1.4586,                0.04264,               0.004357,               0.004357,               0.004357,                0.65989,                0.64437,                 0.7096,                0.66483,                0.63415,                0.73591,                0.66413,                0.38729,                0.14069,                0.43617,                0.62833,                0.41045,                0.64026,                0.53741,                 1.0114,                0.39608,                0.68193,                0.66208,                0.63258,                0.27109,                0.65655,                0.42023,                0.13871,                0.43758,                0.58329,                0.41045,                0.41025,                0.58581,              0.0040891,                 0.1217,                0.64877,                0.58487,                0.31542,                0.48292,                0.26409,                0.73591,                0.73591,                      1
                     59,                0.66567,                0.41882,                 1.3691,                0.04167,                0.84528,                0.83029,                0.86956,                0.72196,                0.65862,                0.40102,                 1.4589,                0.04264,               0.004258,               0.004258,               0.004258,                0.66517,                0.61421,                0.68073,                0.66458,                0.63637,                0.73149,                 0.6502,                0.38965,                0.14132,                0.44291,                0.62838,                0.41311,                0.63953,                0.56702,                 1.0103,                0.39349,                 0.6829,                0.66221,                0.63295,                0.27351,                0.65587,                0.42694,                0.13778,                0.43792,                0.58291,                0.41311,                0.40751,                0.58224,              0.0041163,                0.12236,                0.64951,                0.58584,                0.31285,                 0.4871,                0.26851,                0.73149,                0.73149,                      1
                     60,                0.66455,                0.41863,                 1.3596,                0.04169,                0.83845,                0.83469,                0.86977,                0.72245,                0.65867,                0.40093,                 1.4596,                0.04263,               0.004159,               0.004159,               0.004159,                0.66649,                0.64426,                0.70991,                0.66582,                0.63546,                0.72875,                0.66168,                0.38646,                0.14053,                0.43676,                0.63022,                0.41226,                0.63596,                0.53212,                 1.0109,                0.39348,                0.68637,                0.66318,                0.63203,                0.27769,                0.65822,                0.42605,                0.13846,                0.43442,                0.58197,                0.41226,                 0.4069,                 0.5826,              0.0041223,                0.12256,                0.64963,                0.58144,                0.31277,                0.48168,                0.27125,                0.72875,                0.72875,                      1
                     61,                0.65939,                 0.4147,                 1.3557,                0.04168,                0.83669,                 0.8345,                0.86951,                0.72238,                0.65845,                0.40086,                 1.4592,                0.04263,                0.00406,                0.00406,                0.00406,                0.66849,                0.63105,                0.69846,                0.66539,                0.63561,                0.72894,                0.65828,                0.38886,                0.14068,                0.43953,                0.62938,                0.41316,                0.63772,                0.55024,                 1.0054,                0.41758,                0.66283,                0.66173,                0.63266,                0.27702,                0.64869,                0.42746,                0.13905,                0.43937,                0.58204,                0.41316,                0.40716,                0.61067,               0.003957,                0.12265,                 0.6494,                0.58484,                0.31234,                0.48588,                0.27106,                0.72894,                0.72894,                      1
                     62,                0.65516,                0.41175,                 1.3613,                0.04165,                0.83416,                0.83563,                0.86924,                0.72214,                0.65839,                0.40077,                 1.4592,                0.04262,               0.003961,               0.003961,               0.003961,                0.66414,                0.63201,                0.69858,                 0.6663,                0.63493,                0.73224,                0.65881,                0.38869,                0.14147,                0.43633,                0.62863,                0.41192,                0.63874,                0.55005,                 1.0035,                0.38691,                0.69195,                0.66252,                0.63189,                0.27244,                0.66308,                0.42921,                0.13811,                0.43593,                0.58154,                0.41192,                0.40593,                 0.5841,              0.0042128,                  0.122,                0.64948,                0.58284,                0.31373,                0.48236,                0.26776,                0.73224,                0.73224,                      1
                     63,                0.65914,                 0.4133,                  1.364,                 0.0416,                0.83256,                0.83913,                0.86898,                0.72189,                0.65831,                0.40075,                 1.4594,                0.04262,               0.003862,               0.003862,               0.003862,                0.66276,                0.62979,                 0.6943,                0.66389,                0.63526,                0.73186,                0.65461,                0.39237,                0.14035,                0.44117,                0.62566,                0.41256,                0.63721,                0.54629,                 1.0086,                0.39755,                0.67778,                0.66175,                0.63197,                0.27148,                0.65418,                0.42981,                0.13766,                0.43737,                0.58018,                0.41256,                0.40366,                0.58977,              0.0042176,                0.12199,                0.64867,                0.58341,                0.31129,                0.48398,                0.26814,                0.73186,                0.73186,                      1
                     64,                0.65874,                0.41426,                 1.3612,                0.04161,                0.83519,                 0.8358,                0.86902,                0.72192,                0.65829,                0.40086,                 1.4598,                0.04262,               0.003763,               0.003763,               0.003763,                0.65479,                0.63311,                0.69875,                0.66511,                 0.6359,                0.73436,                 0.6588,                0.38447,                 0.1416,                0.43911,                0.62939,                0.41087,                0.63425,                0.54834,                 1.0116,                0.40284,                0.67506,                 0.6616,                0.63265,                 0.2707,                0.65474,                0.42223,                0.13875,                0.43822,                0.58683,                0.41087,                0.40296,                0.59857,              0.0039596,                0.12103,                0.64938,                0.58509,                0.31451,                 0.4838,                0.26564,                0.73436,                0.73436,                      1
                     65,                0.65129,                0.40654,                 1.3553,                0.04156,                0.83707,                0.83579,                0.86903,                0.72209,                0.65818,                0.40078,                 1.4597,                0.04261,               0.003664,               0.003664,               0.003664,                0.65835,                0.64261,                0.70624,                0.66505,                0.63383,                0.73896,                 0.6622,                0.38733,                0.14251,                0.43725,                 0.6297,                0.40881,                0.63356,                0.53751,                 1.0068,                0.41082,                 0.6701,                 0.6613,                 0.6304,                0.26971,                0.65307,                0.42542,                 0.1411,                0.43654,                0.58317,                0.40881,                0.40518,                0.60486,              0.0043419,                0.12134,                0.64824,                0.58724,                0.31804,                 0.4829,                0.26104,                0.73896,                0.73896,                      1
                     66,                0.65132,                0.40648,                 1.3613,                0.04148,                0.83985,                0.83392,                0.86877,                0.72185,                0.65816,                0.40072,                 1.4605,                0.04261,               0.003565,               0.003565,               0.003565,                 0.6565,                0.64436,                0.71081,                0.66416,                  0.633,                0.73429,                0.66523,                0.39351,                0.14058,                0.43638,                0.62577,                0.41077,                0.63345,                0.53927,                 1.0015,                0.40237,                 0.6776,                0.65971,                0.63011,                0.27113,                0.65756,                0.43428,                0.13825,                0.43788,                0.58282,                0.41077,                0.40358,                0.60216,              0.0040493,                0.12092,                0.64735,                0.58706,                0.31411,                0.48546,                0.26571,                0.73429,                0.73429,                      1
                     67,                0.65699,                0.40765,                 1.3499,                0.04145,                0.83971,                0.83371,                0.86862,                0.72182,                0.65803,                0.40069,                 1.4605,                0.04261,               0.003466,               0.003466,               0.003466,                0.65698,                0.62313,                0.68935,                 0.6633,                0.63413,                0.73281,                0.65438,                0.39405,                0.14203,                0.43981,                0.62096,                0.41153,                0.63651,                0.55849,                 1.0019,                0.41112,                0.67047,                0.65836,                0.63007,                0.27254,                0.65542,                0.43738,                0.13829,                0.43896,                0.57755,                0.41153,                0.40316,                0.61414,              0.0040293,                0.12099,                0.64721,                0.58394,                0.31408,                  0.483,                0.26719,                0.73281,                0.73281,                      1
                     68,                0.64946,                0.40289,                 1.3553,                 0.0414,                0.83921,                 0.8345,                0.86897,                0.72205,                 0.6579,                0.40059,                 1.4604,                 0.0426,               0.003367,               0.003367,               0.003367,                0.65453,                0.62211,                0.68989,                0.66218,                0.63358,                0.73267,                0.65614,                 0.3993,                 0.1412,                0.44074,                0.62232,                0.41233,                0.63727,                0.56365,                 1.0003,                 0.4046,                0.67689,                0.65823,                0.62917,                0.27241,                0.65849,                0.44184,                0.13769,                 0.4386,                0.57644,                0.41233,                0.40242,                0.60806,               0.003907,                0.12061,                0.64649,                0.58972,                 0.3131,                0.48977,                0.26733,                0.73267,                0.73267,                      1
                     69,                   0.65,                0.40248,                 1.3543,                0.04148,                0.83874,                0.83553,                0.86918,                0.72227,                0.65785,                0.40074,                   1.46,                 0.0426,               0.003268,               0.003268,               0.003268,                0.65808,                0.65153,                0.71817,                0.66378,                0.63424,                0.72849,                0.66633,                0.39161,                0.14092,                0.43739,                0.62555,                0.41234,                0.63454,                0.52726,                0.99321,                0.40726,                0.67574,                0.65872,                0.63007,                0.27809,                0.65636,                0.43812,                0.13817,                0.43845,                0.57948,                0.41234,                0.40157,                0.60434,              0.0039667,                0.12085,                0.64747,                0.58192,                0.31304,                  0.482,                0.27151,                0.72849,                0.72849,                      1
                     70,                0.64652,                0.39913,                 1.3452,                0.04137,                0.83912,                0.83516,                0.86897,                0.72206,                0.65782,                0.40064,                   1.46,                0.04259,               0.003169,               0.003169,               0.003169,                0.65434,                0.65848,                0.72399,                0.66329,                0.63229,                0.73356,                0.67014,                0.39726,                0.14063,                0.43584,                0.62266,                0.41114,                0.63596,                0.52188,                0.98743,                0.40895,                0.67248,                 0.6584,                0.62785,                0.27396,                0.65412,                 0.4404,                0.13825,                 0.4357,                0.57918,                0.41114,                0.40197,                0.60357,              0.0038536,                0.12016,                0.64623,                 0.5834,                0.31493,                0.48166,                0.26644,                0.73356,                0.73356,                      1
