                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/object_reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/object_reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_gate_direction_loss,p2/P3_gate_prompt_direction_agreement,    p2/P3_ir_win_recall,p2/P3_object_balanced_loss,p2/P3_object_calibrated_loss,p2/P3_object_gate_accuracy,p2/P3_object_prompt_accuracy,p2/P3_object_prompt_correlation,p2/P3_object_prompt_mae,p2/P3_object_prompt_rgb, p2/P3_object_rank_loss,p2/P3_object_target_rgb,  p2/P3_prompt_strength,   p2/P3_rgb_win_recall,p2/P4_gate_direction_loss,p2/P4_gate_prompt_direction_agreement,    p2/P4_ir_win_recall,p2/P4_object_balanced_loss,p2/P4_object_calibrated_loss,p2/P4_object_gate_accuracy,p2/P4_object_prompt_accuracy,p2/P4_object_prompt_correlation,p2/P4_object_prompt_mae,p2/P4_object_prompt_rgb, p2/P4_object_rank_loss,p2/P4_object_target_rgb,  p2/P4_prompt_strength,   p2/P4_rgb_win_recall,p2/object_cross_scale_consistency,p2/object_gate_raw_loss,p2/object_prompt_raw_loss,  p2/teacher_ir_quality,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/teacher_rgb_win_rate, p2/teacher_ir_win_rate,p2/teacher_majority_baseline,p2/object_reliability_warmup_factor
                     11,                0.75559,                 0.5288,                 1.3916,                0.04335,                0.72417,                0.70696,                0.74215,                0.58224,                0.74511,                0.54821,                 1.5749,                0.04357,                0.00901,                0.00901,                0.00901,                0.72449,                0.99999,                0.99998,                0.68055,                0.64147,                 0.7326,                0.73259,                0.36304,                0.13457,                0.42344,                0.64287,                0.41246,                0.75311,                      0,                 1.1305,             0.00010569,                0.99994,                0.69848,                0.66122,                0.26741,                0.73261,                0.23801,                0.14165,                0.42466,                0.67581,                0.41246,                 0.8856,             0.00019763,               0.002305,                0.13428,                0.66729,                0.58559,                0.31308,                0.48627,                 0.2674,                 0.7326,                 0.7326,                      1
                     12,                0.75062,                0.52188,                 1.3857,                0.04321,                0.76681,                0.76464,                0.80087,                0.64557,                0.70779,                0.48186,                 1.4743,                0.04354,               0.008911,               0.008911,               0.008911,                0.72514,                0.99994,                0.99996,                0.67871,                0.64117,                0.72656,                0.72657,                0.35488,                0.13597,                0.42495,                0.64335,                0.41327,                0.72658,             0.00011635,                  1.083,             0.00016702,                0.99997,                0.69665,                0.65979,                0.27351,                 0.7266,                0.26979,                0.14136,                0.42479,                0.67201,                0.41327,                0.87554,             0.00020361,              0.0029051,                0.13279,                0.66603,                0.57932,                0.31285,                0.48057,                0.27344,                0.72656,                0.72656,                      1
                     13,                0.74687,                0.52076,                 1.3865,                0.04303,                0.76558,                0.76592,                 0.8008,                0.64449,                0.70752,                0.47391,                 1.4794,                0.04379,               0.008812,               0.008812,               0.008812,                0.72221,                 0.9959,                0.99676,                0.67666,                0.63638,                0.73586,                0.73519,                0.36457,                0.13662,                0.42311,                0.63737,                0.40944,                0.69911,              0.0064905,                 1.0968,             0.00011112,                0.99993,                 0.6944,                0.65675,                0.26415,                0.73586,                0.29969,                0.14134,                0.42579,                0.66612,                0.40944,                0.86251,             0.00019532,              0.0032655,                0.13286,                0.66287,                0.58166,                0.31685,                0.47739,                0.26414,                0.73586,                0.73586,                      1
                     14,                0.74368,                0.51753,                 1.3812,                0.04302,                0.75182,                0.78299,                 0.8019,                0.64672,                0.69908,                0.46682,                 1.4814,                0.04346,               0.008713,               0.008713,               0.008713,                0.72358,                0.97274,                0.97776,                0.67572,                0.63969,                0.73244,                0.72713,                0.35633,                0.13647,                0.42882,                0.63403,                0.41245,                0.67717,               0.041013,                 1.0877,             0.00051338,                0.99961,                0.69363,                 0.6557,                0.26756,                0.73239,                0.31877,                0.13875,                0.42281,                0.65907,                0.41245,                0.84878,             0.00085444,               0.003263,                0.13273,                0.66336,                 0.5821,                0.31297,                0.48273,                0.26756,                0.73244,                0.73244,                      1
                     15,                0.74172,                 0.5121,                 1.3847,                0.04305,                0.80445,                0.77263,                0.82645,                0.66792,                0.70181,                0.45885,                  1.472,                0.04361,               0.008614,               0.008614,               0.008614,                0.72538,                0.89729,                0.91594,                0.67682,                0.64049,                0.73139,                0.71115,                0.35082,                0.13773,                0.42904,                 0.6437,                0.41243,                0.65647,                0.15351,                 1.0671,             0.00087199,                 0.9995,                0.69219,                0.65602,                0.26868,                0.73144,                0.32428,                0.13857,                 0.4268,                0.65685,                0.41243,                0.83475,              0.0015259,              0.0037307,                0.13229,                 0.6638,                0.58307,                0.31427,                0.48385,                0.26861,                0.73139,                0.73139,                      1
                     16,                0.73895,                0.50775,                 1.3814,                0.04283,                0.77735,                0.76995,                0.81623,                0.66104,                0.69553,                0.46165,                 1.4694,                0.04339,               0.008515,               0.008515,               0.008515,                0.71612,                0.84787,                0.87438,                0.67375,                0.63889,                 0.7269,                 0.6964,                0.35768,                0.13754,                0.43136,                0.64387,                0.41291,                0.64574,                0.22268,                 1.0501,             0.00093247,                0.99939,                0.68986,                0.65237,                0.27324,                0.72681,                0.34322,                0.13793,                0.42324,                0.65093,                0.41291,                0.81527,              0.0012822,              0.0035182,                0.13048,                0.66125,                0.57967,                0.31371,                0.47982,                 0.2731,                 0.7269,                 0.7269,                      1
                     17,                0.73433,                0.50495,                  1.384,                0.04275,                0.79047,                0.78841,                0.82834,                0.67359,                0.69401,                0.45701,                 1.4547,                0.04331,               0.008416,               0.008416,               0.008416,                 0.7126,                0.80579,                0.83475,                0.67417,                0.63839,                 0.7339,                0.68555,                0.36201,                0.13748,                0.43098,                0.64335,                0.41149,                0.63791,                0.27406,                 1.0457,               0.001125,                0.99988,                0.68915,                0.64953,                0.26692,                 0.7339,                0.36174,                0.13623,                0.42102,                0.64302,                0.41149,                0.79627,             0.00033337,              0.0035047,                0.12987,                0.66063,                0.58426,                0.31438,                0.48368,                 0.2661,                 0.7339,                 0.7339,                      1
                     18,                0.73087,                0.50108,                 1.3748,                0.04257,                0.79025,                0.79159,                0.83242,                0.67513,                0.68874,                0.44922,                  1.467,                 0.0432,               0.008317,               0.008317,               0.008317,                0.71271,                0.74692,                 0.7873,                0.67192,                0.63558,                0.73075,                0.67297,                0.37291,                0.13842,                0.42987,                0.63776,                0.41125,                0.63341,                0.36266,                 1.0366,              0.0018159,                0.99974,                0.68684,                0.64625,                0.27051,                0.73076,                0.37306,                0.13665,                 0.4197,                0.63363,                0.41125,                0.77639,             0.00074448,              0.0036714,                0.12958,                0.65801,                0.58251,                0.31788,                0.48052,                0.26925,                0.73075,                0.73075,                      1
                     19,                0.72938,                0.49769,                 1.3845,                0.04263,                0.77586,                0.78473,                0.81627,                0.65883,                0.69998,                0.46533,                 1.4708,                0.04322,               0.008218,               0.008218,               0.008218,                0.71216,                0.70324,                0.74413,                0.67265,                0.63838,                0.73219,                0.65425,                0.36377,                0.13878,                0.43367,                0.63994,                 0.4119,                0.62806,                0.40854,                 1.0377,              0.0021819,                0.99962,                0.68587,                0.64721,                0.26936,                0.73215,                0.37271,                0.13513,                0.42241,                0.63331,                 0.4119,                0.75766,             0.00087185,               0.003671,                0.12954,                0.65919,                0.58309,                0.31416,                0.48278,                0.26781,                0.73219,                0.73219,                      1
                     20,                0.72935,                0.49892,                 1.3787,                0.04263,                0.79845,                0.80749,                0.84344,                0.68662,                0.68327,                 0.4423,                 1.4503,                0.04325,               0.008119,               0.008119,               0.008119,                0.70994,                0.63612,                0.68017,                0.67244,                 0.6386,                  0.735,                0.62873,                0.36233,                0.14023,                0.43606,                0.63988,                0.41087,                 0.6269,                0.48606,                  1.055,              0.0019661,                0.99981,                0.68486,                0.64666,                0.26648,                0.73504,                0.36824,                0.13447,                0.42482,                0.63122,                0.41087,                0.73564,             0.00068698,              0.0037287,                0.12983,                0.65893,                0.58365,                0.31478,                0.48214,                  0.265,                  0.735,                  0.735,                      1
