                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/true_object_reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/true_object_reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_gate_direction_loss,p2/P3_gate_prompt_direction_agreement,    p2/P3_ir_win_recall,p2/P3_object_balanced_loss,p2/P3_object_calibrated_loss,p2/P3_object_gate_accuracy,p2/P3_object_hard_winner_loss,p2/P3_object_prompt_accuracy,p2/P3_object_prompt_correlation,p2/P3_object_prompt_mae,p2/P3_object_prompt_rgb, p2/P3_object_rank_loss,p2/P3_object_target_rgb,  p2/P3_prompt_strength,   p2/P3_rgb_win_recall,p2/P4_gate_direction_loss,p2/P4_gate_prompt_direction_agreement,    p2/P4_ir_win_recall,p2/P4_object_balanced_loss,p2/P4_object_calibrated_loss,p2/P4_object_gate_accuracy,p2/P4_object_hard_winner_loss,p2/P4_object_prompt_accuracy,p2/P4_object_prompt_correlation,p2/P4_object_prompt_mae,p2/P4_object_prompt_rgb, p2/P4_object_rank_loss,p2/P4_object_target_rgb,  p2/P4_prompt_strength,   p2/P4_rgb_win_recall,p2/object_cross_scale_consistency,p2/object_gate_raw_loss,p2/object_prompt_raw_loss,  p2/teacher_ir_quality,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/teacher_rgb_win_rate, p2/teacher_ir_win_rate,p2/teacher_majority_baseline,p2/object_reliability_warmup_factor
                     11,                0.75892,                 0.5302,                 1.3917,                0.10662,                0.75556,                0.75565,                0.78982,                0.62817,                0.72114,                0.50323,                 1.4974,                0.10895,                0.00901,                0.00901,                0.00901,                0.58116,                0.99865,                0.99782,                0.68823,                0.63293,                 0.7333,                0.65436,                0.73346,                0.37784,                0.13877,                0.38377,                0.63227,                0.41246,                      1,              0.0092124,                 0.6228,                0.98764,                0.85337,                0.68258,                0.66995,                0.70903,                0.66393,                 0.7124,                0.24625,                0.14506,                0.47021,                0.66056,                0.41246,                      1,                 0.3262,              0.0074088,                0.11901,                0.81887,                0.58559,                0.31308,                0.48627,                 0.2674,                 0.7326,                 0.7326,                      1
                     12,                0.75317,                 0.5225,                 1.3928,                0.10599,                 0.7597,                0.76205,                 0.7981,                0.63996,                0.70836,                0.48217,                 1.4791,                 0.1088,               0.008911,               0.008911,               0.008911,                0.58302,                0.99897,                 0.9985,                0.68872,                0.63347,                0.72735,                0.65575,                0.72767,                 0.3742,                 0.1405,                0.38177,                0.63433,                0.41327,                      1,              0.0080427,                0.60113,                0.99542,                0.80181,                 0.6766,                0.66558,                0.69874,                0.64867,                0.69967,                0.28387,                0.14711,                0.47205,                0.64626,                0.41327,                      1,                0.42828,              0.0075757,                0.11781,                0.81443,                0.57932,                0.31285,                0.48057,                0.27344,                0.72656,                0.72656,                      1
                     13,                0.75007,                0.52389,                 1.3875,                0.10528,                0.77439,                0.75816,                0.80364,                0.64309,                0.71666,                0.47892,                 1.4853,                0.10917,               0.008812,               0.008812,               0.008812,                 0.5808,                0.99855,                0.99781,                0.68784,                0.62916,                0.73697,                0.65546,                0.73728,                0.38163,                0.13995,                0.38067,                0.62795,                0.40944,                      1,               0.011479,                0.58823,                0.99538,                0.76428,                0.67287,                0.66351,                0.69075,                0.63869,                0.68904,                0.29386,                0.15108,                0.47492,                0.63656,                0.40944,                      1,                0.47942,              0.0080249,                0.11666,                0.81002,                0.58166,                0.31685,                0.47739,                0.26414,                0.73586,                0.73586,                      1
                     14,                0.74668,                0.51875,                 1.3875,                0.10457,                0.75532,                0.75427,                0.78847,                0.63393,                0.70791,                0.47791,                 1.4622,                0.10832,               0.008713,               0.008713,               0.008713,                0.57914,                0.99772,                0.99573,                0.68895,                0.63215,                0.73498,                0.65327,                0.73548,                0.37651,                0.14036,                0.37898,                 0.6237,                0.41245,                      1,                0.02301,                0.57664,                0.98536,                0.73156,                0.66941,                0.66536,                0.68569,                0.62667,                0.67962,                0.30643,                0.15344,                  0.484,                0.62496,                0.41245,                      1,                0.53745,              0.0094289,                0.11566,                0.80521,                 0.5821,                0.31297,                0.48273,                0.26756,                0.73244,                0.73244,                      1
                     15,                0.74556,                0.51605,                 1.3883,                0.10466,                0.79983,                0.75845,                0.81543,                0.65725,                0.70563,                0.46984,                   1.47,                0.10799,               0.008614,               0.008614,               0.008614,                0.58274,                0.99639,                0.99246,                0.69001,                0.63361,                 0.7347,                0.65509,                0.73527,                0.37511,                0.14054,                0.37987,                0.63196,                0.41243,                      1,               0.034962,                0.57324,                0.96892,                0.69755,                0.66994,                0.67147,                0.68145,                0.62044,                0.66832,                0.31007,                0.16023,                0.49696,                0.61998,                0.41243,                      1,                0.58871,               0.011081,                0.11591,                 0.8051,                0.58307,                0.31427,                0.48385,                0.26861,                0.73139,                0.73139,                      1
                     16,                 0.7425,                0.50948,                 1.3847,                0.10388,                0.77937,                0.77208,                0.81614,                0.65894,                0.70056,                0.46166,                 1.4698,                0.10742,               0.008515,               0.008515,               0.008515,                0.57647,                0.99615,                0.99103,                0.68648,                0.63145,                0.73097,                 0.6512,                0.73155,                0.37999,                0.14015,                0.38203,                0.63266,                0.41291,                      1,               0.040886,                0.56218,                0.95761,                0.67304,                0.66933,                0.67398,                0.67703,                0.61125,                 0.6592,                0.31924,                0.16553,                0.50547,                0.61162,                0.41291,                      1,                0.62236,               0.012357,                0.11434,                0.79929,                0.57967,                0.31371,                0.47982,                 0.2731,                 0.7269,                 0.7269,                      1
                     17,                0.73863,                0.50717,                  1.388,                0.10379,                0.74548,                0.72793,                0.76647,                0.60953,                0.73401,                0.51362,                 1.5388,                0.10765,               0.008416,               0.008416,               0.008416,                0.57456,                0.99477,                0.98834,                0.68748,                0.63121,                0.73762,                0.65139,                0.73801,                0.38265,                0.13955,                0.38166,                0.63122,                0.41149,                      1,               0.047626,                0.55827,                 0.9555,                0.68278,                0.66863,                0.67146,                0.68172,                0.61118,                0.66369,                0.32314,                0.16359,                0.50045,                0.61128,                0.41149,                      1,                0.61105,               0.011772,                0.11383,                0.79914,                0.58426,                0.31438,                0.48368,                 0.2661,                 0.7339,                 0.7339,                      1
                     18,                0.73505,                0.50305,                 1.3789,                0.10312,                0.78085,                0.77407,                0.82245,                0.66311,                0.70224,                0.46369,                 1.4966,                0.10652,               0.008317,               0.008317,               0.008317,                0.57286,                0.99361,                0.98414,                0.68597,                0.62868,                0.73583,                0.64874,                0.73637,                0.39464,                0.13986,                0.38018,                0.62553,                0.41125,                      1,               0.063909,                0.54899,                0.95776,                0.68814,                0.66612,                0.66806,                0.68895,                  0.605,                 0.6716,                0.34073,                0.16433,                0.50017,                0.60313,                0.41125,                      1,                0.62671,               0.012216,                0.11298,                0.79461,                0.58251,                0.31788,                0.48052,                0.26925,                0.73075,                0.73075,                      1
                     19,                0.73328,                0.50065,                  1.388,                0.10325,                0.76998,                0.74409,                0.78693,                0.62857,                0.72269,                0.49047,                 1.5011,                0.10746,               0.008218,               0.008218,               0.008218,                0.57305,                0.99281,                0.98087,                0.68737,                 0.6311,                0.73771,                0.64934,                0.73833,                0.38587,                0.14005,                0.37967,                0.62794,                 0.4119,                      1,                0.07522,                0.55008,                0.95555,                  0.678,                0.66739,                0.67025,                0.68444,                0.60437,                0.66562,                0.33565,                0.16513,                0.50228,                0.60533,                 0.4119,                      1,                0.63179,               0.012657,                0.11308,                0.79539,                0.58309,                0.31416,                0.48278,                0.26781,                0.73219,                0.73219,                      1
                     20,                0.73386,                 0.5022,                 1.3804,                0.10316,                0.80493,                0.79931,                0.83905,                0.68389,                0.68802,                0.44222,                 1.4532,                0.10652,               0.008119,               0.008119,               0.008119,                0.57261,                0.99088,                0.97192,                0.68707,                0.63036,                0.74069,                0.64927,                0.74054,                0.38339,                 0.1396,                0.38104,                0.62781,                0.41087,                      1,               0.098773,                0.54698,                0.95696,                0.67986,                0.66741,                0.66996,                0.68333,                0.60288,                0.66518,                 0.3338,                0.16549,                0.50036,                0.60607,                0.41087,                      1,                0.62445,                0.01219,                0.11281,                 0.7947,                0.58365,                0.31478,                0.48214,                  0.265,                  0.735,                  0.735,                      1
