                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/true_object_reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/true_object_reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_gate_direction_loss,p2/P3_gate_prompt_direction_agreement,    p2/P3_ir_win_recall,p2/P3_object_balanced_loss,p2/P3_object_calibrated_loss,p2/P3_object_gate_accuracy,p2/P3_object_hard_winner_loss,p2/P3_object_prompt_accuracy,p2/P3_object_prompt_correlation,p2/P3_object_prompt_mae,p2/P3_object_prompt_rgb, p2/P3_object_rank_loss,p2/P3_object_target_rgb,  p2/P3_prompt_strength,   p2/P3_rgb_win_recall,p2/P4_gate_direction_loss,p2/P4_gate_prompt_direction_agreement,    p2/P4_ir_win_recall,p2/P4_object_balanced_loss,p2/P4_object_calibrated_loss,p2/P4_object_gate_accuracy,p2/P4_object_hard_winner_loss,p2/P4_object_prompt_accuracy,p2/P4_object_prompt_correlation,p2/P4_object_prompt_mae,p2/P4_object_prompt_rgb, p2/P4_object_rank_loss,p2/P4_object_target_rgb,  p2/P4_prompt_strength,   p2/P4_rgb_win_recall,p2/object_cross_scale_consistency,p2/object_gate_raw_loss,p2/object_prompt_raw_loss,  p2/teacher_ir_quality,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/teacher_rgb_win_rate, p2/teacher_ir_win_rate,p2/teacher_majority_baseline,p2/object_reliability_warmup_factor
                     31,                0.71365,                0.47591,                 1.3821,                0.10006,                0.81819,                0.81683,                0.86385,                0.71048,                0.67186,                0.41944,                 1.4591,                0.10449,                0.00703,                0.00703,                0.00703,                0.54967,                0.98152,                0.89478,                0.68137,                0.63195,                0.73046,                0.62764,                0.72687,                0.39268,                 0.1413,                0.38652,                0.61795,                0.41353,                      1,                0.27634,                0.52095,                0.96839,                0.68372,                0.66288,                0.66084,                0.68554,                0.57744,                0.67285,                0.36968,                0.16439,                 0.4882,                0.58389,                0.41353,                      1,                0.64366,               0.010917,                0.10802,                 0.7713,                0.58411,                0.31215,                0.48683,                0.27151,                0.72849,                0.72849,                      1
                     32,                0.70854,                0.47068,                 1.3782,                0.10017,                0.81792,                0.80819,                 0.8591,                0.70593,                0.67217,                0.42114,                 1.4465,                0.10448,               0.006931,               0.006931,               0.006931,                0.55008,                0.98142,                0.89612,                0.68147,                0.63058,                0.73049,                 0.6287,                0.72689,                0.39505,                0.14131,                 0.3845,                0.62021,                0.41267,                      1,                0.26953,                0.52023,                0.97245,                0.69536,                0.66302,                0.65818,                0.68839,                0.57823,                0.67732,                0.36862,                0.16293,                0.48328,                0.58726,                0.41267,                      1,                0.62856,               0.010477,                0.10803,                0.77182,                0.58191,                0.31099,                 0.4821,                0.27009,                0.72991,                0.72991,                      1
                     33,                0.70778,                0.47012,                 1.3732,                0.09903,                0.81217,                0.82784,                0.86064,                0.70651,                0.67014,                0.41816,                 1.4567,                0.10377,               0.006832,               0.006832,               0.006832,                0.54159,                 0.9804,                0.88436,                0.67734,                0.62758,                0.73361,                0.62161,                0.72923,                0.40681,                0.14144,                0.38746,                0.61173,                0.41145,                      1,                0.30798,                0.51159,                0.97303,                0.69724,                0.66053,                0.65519,                0.69275,                0.57075,                0.68255,                0.38232,                0.16477,                0.48161,                0.57839,                0.41145,                      1,                0.64264,               0.010263,                0.10632,                0.76385,                0.58508,                0.31604,                0.48374,                0.26914,                0.73086,                0.73086,                      1
                     34,                0.70369,                0.46612,                  1.374,                0.09987,                0.81198,                0.81644,                0.85761,                0.70477,                0.67065,                0.42053,                 1.4569,                0.10379,               0.006733,               0.006733,               0.006733,                0.54837,                0.97954,                0.88158,                0.68161,                0.63219,                0.73181,                0.62685,                0.72667,                0.39032,                0.14134,                0.38775,                0.61611,                0.41267,                      1,                0.29598,                 0.5188,                 0.9751,                0.69881,                0.66314,                0.65739,                 0.6897,                 0.5757,                0.68052,                 0.3691,                0.16227,                0.47818,                0.58384,                0.41267,                      1,                0.62965,              0.0097471,                 0.1077,                0.76995,                0.58807,                0.30975,                0.48939,                0.26453,                0.73547,                0.73547,                      1
                     35,                0.70675,                0.46649,                 1.3758,                0.09913,                0.80564,                  0.826,                 0.8571,                0.70556,                0.67059,                0.41813,                 1.4552,                0.10333,               0.006634,               0.006634,               0.006634,                0.54224,                0.97799,                0.87708,                0.67848,                  0.628,                0.73482,                0.62132,                0.72919,                0.40388,                0.14228,                0.38832,                0.61338,                 0.4107,                      1,                0.32123,                  0.515,                0.97517,                0.69567,                0.66215,                0.65596,                0.69054,                0.57083,                 0.6801,                0.37754,                0.16616,                0.47999,                0.58526,                 0.4107,                      1,                0.63716,              0.0098702,                0.10663,                0.76382,                 0.5855,                 0.3166,                0.48359,                0.26605,                0.73395,                0.73395,                      1
                     36,                0.69985,                0.46022,                 1.3704,                0.09865,                0.80593,                0.82499,                  0.855,                0.70361,                0.66944,                0.41599,                 1.4586,                0.10346,               0.006535,               0.006535,               0.006535,                 0.5394,                 0.9776,                0.86623,                0.67625,                0.62933,                0.72697,                0.61675,                0.72131,                0.40127,                0.14357,                0.39204,                0.61349,                0.41276,                      1,                0.33208,                0.51553,                0.98325,                0.70007,                0.66013,                0.65265,                0.68793,                0.56802,                0.68139,                0.38346,                0.16456,                0.47527,                 0.5794,                0.41276,                      1,                0.63123,              0.0091022,                0.10629,                0.75978,                0.58016,                0.31457,                0.48024,                0.27131,                0.72869,                0.72869,                      1
                     37,                0.69475,                0.45766,                 1.3704,                0.09769,                 0.8228,                0.80315,                0.85559,                0.70581,                0.66603,                0.41571,                 1.4524,                0.10327,               0.006436,               0.006436,               0.006436,                0.53678,                 0.9788,                0.86304,                0.67573,                0.62719,                0.72844,                0.61307,                0.72287,                0.40958,                0.14541,                 0.3891,                0.59921,                0.41213,                      1,                0.34309,                0.50668,                0.98384,                 0.7121,                0.65771,                0.64878,                0.69465,                0.56031,                0.68869,                0.39385,                 0.1664,                0.47051,                0.56392,                0.41213,                      1,                0.62525,              0.0092396,                0.10535,                0.75408,                0.58323,                0.31809,                0.48254,                0.26958,                0.73042,                0.73042,                      1
                     38,                0.69811,                   0.46,                 1.3732,                0.09846,                0.81473,                0.82704,                0.85812,                0.70798,                0.66691,                0.41529,                 1.4495,                0.10325,               0.006337,               0.006337,               0.006337,                0.53993,                 0.9767,                0.86764,                0.67839,                0.63059,                0.73314,                0.61647,                 0.7269,                0.39487,                 0.1451,                0.38999,                0.60579,                0.41175,                      1,                0.33646,                0.51616,                0.98746,                0.71705,                0.66047,                0.64912,                0.69191,                0.56747,                0.68833,                  0.383,                0.16363,                  0.463,                0.57134,                0.41175,                      1,                0.60866,              0.0079819,                 0.1064,                0.75933,                0.58481,                0.31648,                0.48446,                0.26497,                0.73503,                0.73503,                      1
                     39,                0.69465,                0.45373,                 1.3785,                0.09831,                0.82036,                 0.8266,                0.86341,                 0.7115,                0.66645,                 0.4114,                 1.4599,                0.10298,               0.006238,               0.006238,               0.006238,                0.54008,                0.97496,                0.85881,                0.67821,                0.63253,                0.72328,                0.61518,                0.71645,                0.39332,                0.14525,                0.39244,                0.60516,                0.41424,                      1,                0.34393,                0.51455,                0.98755,                0.70908,                0.66223,                0.65151,                0.68653,                0.56415,                  0.683,                0.38343,                 0.1654,                0.46849,                0.57251,                0.41424,                      1,                0.61475,              0.0087424,                0.10631,                0.75789,                 0.5808,                0.31082,                0.48319,                 0.2765,                 0.7235,                 0.7235,                      1
                     40,                0.69347,                0.45562,                 1.3737,                0.09708,                0.83346,                0.81833,                0.86224,                0.71028,                0.66598,                0.41098,                  1.461,                0.10259,               0.006139,               0.006139,               0.006139,                 0.5294,                0.97482,                0.85578,                0.67439,                 0.6288,                0.72874,                0.60797,                 0.7214,                0.40802,                0.14392,                0.39204,                0.59944,                0.41111,                      1,                0.35316,                0.50429,                0.98798,                0.71817,                0.65924,                0.64805,                0.69357,                0.55428,                0.69013,                0.39565,                  0.165,                0.46308,                0.56653,                0.41111,                      1,                 0.6133,              0.0084622,                0.10421,                0.74888,                0.58941,                0.31381,                0.48782,                0.26736,                0.73264,                0.73264,                      1
                     41,                0.69278,                0.45046,                 1.3796,                0.09786,                0.82721,                0.83698,                0.86604,                0.71528,                0.66535,                   0.41,                 1.4566,                0.10256,                0.00604,                0.00604,                0.00604,                0.53685,                0.97461,                0.85533,                0.67866,                0.63102,                0.73074,                0.61264,                0.72325,                0.40173,                 0.1453,                0.39188,                0.60352,                0.41164,                      1,                0.35805,                0.50993,                0.98731,                0.72213,                0.66196,                0.64814,                0.69514,                0.56077,                0.69141,                0.38858,                0.16531,                0.45919,                0.56989,                0.41164,                      1,                0.60645,              0.0082685,                0.10558,                0.75453,                0.58428,                0.31387,                0.48399,                0.26561,                0.73439,                0.73439,                      1
                     42,                0.69101,                0.45142,                 1.3703,                0.09704,                0.83171,                 0.8287,                 0.8673,                0.71505,                 0.6652,                0.40881,                 1.4538,                0.10249,               0.005941,               0.005941,               0.005941,                  0.529,                0.97452,                0.84833,                0.67354,                0.62813,                0.72882,                0.60626,                 0.7219,                0.40945,                0.14537,                0.39523,                0.59948,                0.41059,                      1,                0.37573,                0.50763,                0.98852,                0.71927,                0.65955,                0.64613,                0.69463,                0.55689,                0.69206,                0.39516,                0.16603,                0.45898,                0.56579,                0.41059,                      1,                0.61756,              0.0078586,                0.10438,                0.74834,                0.58698,                0.31749,                 0.4847,                0.26751,                0.73249,                0.73249,                      1
                     43,                0.68559,                0.44805,                 1.3774,                0.09685,                0.82403,                0.83492,                0.86692,                0.71533,                0.66416,                0.40773,                 1.4603,                0.10236,               0.005842,               0.005842,               0.005842,                0.52839,                0.97565,                0.85383,                0.67502,                0.62983,                0.72907,                0.60445,                0.72265,                0.40956,                0.14616,                0.39173,                 0.6048,                0.41273,                      1,                0.37092,                0.50365,                 0.9885,                0.72598,                0.66005,                 0.6463,                0.69795,                0.55246,                0.69571,                0.39884,                0.16592,                0.45694,                0.56791,                0.41273,                      1,                0.61454,              0.0080676,                0.10403,                0.74595,                0.58307,                0.31414,                0.48378,                0.27165,                0.72835,                0.72835,                      1
                     44,                0.68718,                0.44562,                 1.3708,                0.09674,                0.83526,                 0.8261,                0.86689,                0.71561,                0.66339,                0.40715,                 1.4579,                0.10235,               0.005743,               0.005743,               0.005743,                0.52921,                 0.9742,                  0.853,                0.67538,                0.62818,                0.73024,                0.60445,                0.72356,                0.40963,                0.14698,                0.39096,                0.60062,                0.41076,                      1,                0.36956,                0.50583,                 0.9886,                0.72458,                0.65986,                0.64488,                0.69644,                 0.5521,                0.69446,                0.40172,                0.16698,                0.45595,                0.56401,                0.41076,                      1,                0.61209,              0.0081481,                0.10428,                0.74544,                 0.5845,                0.31797,                0.48238,                0.26775,                0.73225,                0.73225,                      1
                     45,                0.69194,                0.44924,                 1.3726,                 0.0966,                0.83059,                0.83107,                0.86517,                0.71636,                0.66283,                 0.4077,                 1.4538,                0.10222,               0.005644,               0.005644,               0.005644,                0.52906,                0.97319,                0.84165,                0.67456,                0.63026,                0.72503,                0.60356,                0.71689,                0.40799,                0.14591,                0.39548,                0.59668,                0.41177,                      1,                0.37377,                0.50448,                0.98843,                0.72373,                0.66063,                0.64554,                0.69395,                 0.5507,                0.69223,                0.40055,                0.16591,                0.45266,                0.56273,                0.41177,                      1,                0.60562,              0.0075353,                0.10417,                0.74478,                0.58417,                0.31455,                0.48407,                0.26665,                0.73335,                0.73335,                      1
                     46,                0.68681,                0.44541,                 1.3785,                 0.0958,                0.83003,                0.82654,                0.86388,                0.71497,                0.66328,                0.40835,                 1.4542,                0.10207,               0.005545,               0.005545,               0.005545,                0.52079,                0.97332,                0.84208,                0.67232,                0.62829,                0.73145,                0.59807,                 0.7235,                0.41553,                0.14591,                0.39633,                 0.5925,                0.41022,                      1,                0.39347,                0.49925,                0.98693,                0.73023,                0.65989,                0.64355,                0.69961,                0.54569,                0.69789,                0.40749,                0.16689,                0.45032,                0.55934,                0.41022,                      1,                0.60787,              0.0074621,                0.10272,                0.73896,                0.58842,                0.31642,                0.48644,                0.26433,                0.73567,                0.73567,                      1
                     47,                0.68567,                0.44237,                 1.3692,                0.09625,                 0.8384,                0.82054,                 0.8621,                0.71424,                0.66246,                0.40817,                 1.4534,                0.10195,               0.005446,               0.005446,               0.005446,                0.52445,                0.97287,                0.84655,                0.67342,                0.62727,                0.73212,                0.60053,                0.72439,                0.41189,                0.14665,                0.39341,                0.59779,                0.40971,                      1,                0.38482,                0.50392,                 0.9872,                0.72153,                0.66034,                0.64409,                0.69459,                0.54899,                0.69261,                 0.4039,                0.16833,                0.45345,                0.56506,                0.40971,                      1,                0.61224,              0.0078643,                0.10352,                0.74157,                0.58445,                0.31771,                0.48138,                0.26457,                0.73543,                0.73543,                      1
                     48,                0.68445,                0.44343,                 1.3725,                 0.0962,                0.83946,                0.82109,                0.86077,                0.71297,                0.66155,                0.40816,                 1.4555,                0.10187,               0.005347,               0.005347,               0.005347,                0.52409,                0.97234,                0.83295,                0.67399,                0.63182,                0.72415,                0.59848,                0.71591,                0.40434,                0.14698,                0.39884,                 0.6025,                 0.4125,                      1,                0.39719,                0.50465,                0.98758,                0.71902,                 0.6623,                0.64753,                0.69347,                0.54679,                0.69236,                0.39999,                0.16814,                0.45359,                0.56474,                 0.4125,                      1,                0.61977,               0.007476,                0.10352,                0.74052,                 0.5855,                0.31155,                0.48605,                 0.2686,                 0.7314,                 0.7314,                      1
                     49,                0.68055,                0.43819,                 1.3694,                0.09609,                0.83118,                0.82874,                0.86391,                0.71535,                 0.6617,                 0.4067,                 1.4596,                0.10181,               0.005248,               0.005248,               0.005248,                0.52566,                0.97147,                0.84028,                0.67458,                0.63002,                0.72823,                0.59933,                0.71953,                0.40956,                 0.1472,                0.39522,                0.59647,                0.41145,                      1,                0.38895,                0.50165,                0.98661,                0.72907,                0.66198,                0.64386,                0.69766,                0.54699,                0.69727,                0.40589,                0.16726,                0.44821,                0.55992,                0.41145,                      1,                 0.6102,              0.0074834,                0.10353,                0.74054,                 0.5864,                0.31304,                0.48536,                0.26753,                0.73247,                0.73247,                      1
                     50,                0.67598,                  0.434,                 1.3669,                0.09566,                0.82825,                0.83072,                0.86345,                0.71521,                0.66158,                0.40669,                 1.4596,                0.10169,               0.005149,               0.005149,               0.005149,                0.52083,                0.97107,                0.83816,                0.67274,                0.63003,                0.73052,                0.59507,                 0.7217,                0.41087,                0.14777,                0.39722,                 0.5969,                0.41178,                      1,                0.39976,                0.49985,                0.98715,                0.72646,                0.66189,                0.64529,                0.69897,                0.54391,                0.69813,                 0.4042,                0.16989,                0.44933,                0.56167,                0.41178,                      1,                0.61984,              0.0074538,                0.10277,                0.73679,                0.58711,                0.31598,                0.48687,                0.26566,                0.73434,                0.73434,                      1
                     51,                0.67965,                0.43806,                 1.3699,                0.09618,                0.83059,                0.82934,                0.86531,                0.71652,                0.66125,                0.40612,                 1.4584,                0.10154,                0.00505,                0.00505,                0.00505,                0.52434,                0.97078,                0.83326,                0.67538,                0.63266,                 0.7268,                0.59774,                0.71833,                0.40446,                0.14611,                0.40002,                0.60367,                0.41128,                      1,                0.40061,                0.50184,                0.98754,                0.72175,                0.66391,                0.64738,                0.69528,                0.54644,                0.69398,                0.40192,                0.16825,                0.45075,                 0.5687,                0.41128,                      1,                0.61721,              0.0072876,                0.10337,                0.74003,                0.58864,                0.31115,                0.48808,                0.26565,                0.73435,                0.73435,                      1
                     52,                0.67563,                0.43415,                 1.3761,                0.09538,                0.82104,                0.84012,                0.86511,                 0.7163,                0.66131,                 0.4057,                 1.4591,                0.10149,               0.004951,               0.004951,               0.004951,                 0.5199,                0.97136,                  0.834,                0.67128,                0.62913,                 0.7272,                0.59344,                0.71879,                0.41484,                0.14774,                0.39995,                0.59355,                0.41096,                      1,                0.40644,                0.50095,                0.98699,                0.72246,                 0.6607,                0.64537,                0.69546,                0.54116,                0.69468,                0.41093,                0.17006,                0.45217,                0.55964,                0.41096,                      1,                0.61935,                0.00761,                0.10272,                0.73465,                0.58642,                0.31671,                0.48459,                0.26945,                0.73055,                0.73055,                      1
                     53,                0.67239,                0.42898,                 1.3747,                0.09574,                0.83081,                0.82941,                0.86553,                0.71685,                 0.6612,                0.40482,                 1.4606,                0.10146,               0.004852,               0.004852,               0.004852,                0.52212,                0.96994,                 0.8324,                  0.674,                0.63205,                0.72516,                0.59546,                0.71593,                0.40875,                0.14641,                0.39838,                0.59865,                0.41148,                      1,                0.39473,                 0.5009,                0.98595,                0.72067,                0.66336,                0.64718,                0.69398,                0.54183,                0.69304,                0.40656,                0.16887,                0.44889,                 0.5655,                0.41148,                      1,                0.61682,              0.0075709,                0.10301,                0.73685,                0.58905,                0.31202,                0.48919,                0.26612,                0.73388,                0.73388,                      1
                     54,                0.67005,                0.42955,                 1.3729,                0.09498,                0.83171,                0.82857,                0.86548,                0.71693,                0.66093,                0.40468,                 1.4604,                0.10139,               0.004753,               0.004753,               0.004753,                 0.5178,                0.97037,                 0.8288,                 0.6734,                0.63233,                0.72627,                0.59003,                 0.7174,                0.40981,                0.14855,                0.39908,                0.58757,                0.41316,                      1,                0.41448,                0.49798,                0.98585,                0.72186,                0.66294,                0.64641,                0.69626,                0.53865,                 0.6956,                0.40942,                0.16952,                0.44881,                0.55539,                0.41316,                      1,                0.62417,              0.0075644,                0.10224,                0.73216,                0.58807,                0.30999,                0.48928,                0.26888,                0.73112,                0.73112,                      1
                     55,                0.67256,                0.42701,                 1.3646,                0.09504,                0.82667,                0.83636,                0.86525,                0.71685,                0.66043,                0.40439,                 1.4599,                0.10132,               0.004654,               0.004654,               0.004654,                0.51705,                0.96974,                 0.8255,                0.67236,                0.63124,                0.72675,                0.59027,                0.71713,                0.41295,                0.14793,                0.40122,                0.58867,                0.41236,                      1,                0.41771,                0.49697,                0.98637,                0.72667,                0.66187,                0.64505,                 0.6992,                0.54071,                0.69829,                0.41006,                 0.1686,                0.44985,                0.55675,                0.41236,                      1,                0.61987,              0.0071677,                0.10207,                0.73271,                0.58737,                0.31247,                0.48769,                0.26573,                0.73427,                0.73427,                      1
                     56,                0.66778,                0.42618,                 1.3655,                0.09437,                0.83224,                0.83339,                 0.8654,                0.71789,                 0.6601,                0.40393,                 1.4598,                0.10131,               0.004555,               0.004555,               0.004555,                0.51325,                0.97057,                0.83045,                0.66988,                0.62694,                0.72843,                0.58632,                0.71961,                0.42334,                0.14859,                0.39836,                0.58959,                0.41087,                      1,                0.41391,                 0.4931,                0.98561,                0.73173,                0.65904,                0.64045,                0.69977,                0.53456,                0.70055,                0.41969,                0.16986,                0.44461,                0.55265,                0.41087,                      1,                0.61454,              0.0073499,                0.10131,                0.72693,                0.58748,                0.31619,                0.48532,                 0.2661,                 0.7339,                 0.7339,                      1
                     57,                0.66456,                0.42114,                 1.3648,                0.09477,                0.83136,                0.83283,                0.86622,                0.71838,                0.65979,                0.40346,                 1.4599,                0.10126,               0.004456,               0.004456,               0.004456,                0.51818,                 0.9708,                0.82594,                0.67204,                 0.6331,                0.72501,                0.58727,                0.71589,                0.40912,                0.14959,                0.40212,                0.58914,                 0.4151,                      1,                0.41863,                0.49849,                0.98551,                0.72748,                0.66227,                0.64636,                0.69718,                0.53723,                0.69755,                0.41126,                0.16958,                0.44816,                 0.5531,                 0.4151,                      1,                0.61669,                0.00718,                0.10232,                0.72997,                0.58533,                0.31095,                0.48852,                0.27019,                0.72981,                0.72981,                      1
                     58,                0.67182,                0.42385,                 1.3616,                0.09433,                0.82963,                 0.8327,                0.86652,                0.71889,                0.65966,                0.40313,                 1.4609,                0.10119,               0.004357,               0.004357,               0.004357,                0.51237,                0.97049,                0.82371,                 0.6706,                  0.631,                0.72702,                0.58483,                0.71815,                0.40991,                0.14981,                0.40164,                0.59144,                0.41045,                      1,                  0.424,                 0.4943,                0.98619,                0.72714,                0.66194,                0.64533,                0.69729,                0.53301,                0.69682,                0.41241,                0.17185,                0.44487,                0.55033,                0.41045,                      1,                0.61233,              0.0071748,                0.10127,                 0.7265,                0.58487,                0.31542,                0.48292,                0.26409,                0.73591,                0.73591,                      1
                     59,                0.67044,                 0.4233,                 1.3752,                0.09505,                0.83172,                0.82917,                0.86545,                0.71799,                0.65948,                0.40332,                 1.4611,                0.10117,               0.004258,               0.004258,               0.004258,                   0.52,                0.97016,                0.82101,                0.67275,                0.63382,                 0.7235,                0.58877,                0.71433,                0.40474,                0.15033,                0.40482,                0.59442,                0.41311,                      1,                0.42374,                0.49966,                0.98528,                0.72701,                0.66435,                0.64675,                0.69708,                0.53826,                0.69753,                0.40829,                0.17164,                0.44524,                 0.5573,                0.41311,                      1,                0.61722,               0.007056,                0.10264,                0.73146,                0.58584,                0.31285,                 0.4871,                0.26851,                0.73149,                0.73149,                      1
                     60,                0.67012,                0.42299,                 1.3658,                0.09476,                0.83093,                0.82882,                0.86491,                0.71775,                0.65924,                0.40303,                 1.4617,                0.10114,               0.004159,               0.004159,               0.004159,                0.51709,                0.97052,                0.82513,                0.67415,                0.63355,                0.72336,                0.58652,                0.71419,                0.40715,                 0.1515,                    0.4,                0.59389,                0.41226,                      1,                0.41613,                0.49569,                0.98606,                0.73024,                0.66371,                0.64578,                0.69824,                0.53629,                0.69779,                 0.4108,                0.17115,                0.44556,                0.55828,                0.41226,                      1,                0.61062,              0.0072835,                0.10199,                0.72918,                0.58144,                0.31277,                0.48168,                0.27125,                0.72875,                0.72875,                      1
                     61,                0.66449,                0.41859,                 1.3598,                0.09446,                0.83259,                 0.8278,                0.86457,                0.71784,                0.65889,                0.40307,                 1.4614,                0.10111,                0.00406,                0.00406,                0.00406,                0.51621,                0.97121,                0.82732,                0.67308,                0.63242,                 0.7256,                0.58566,                0.71738,                0.41199,                0.15032,                0.40081,                0.59248,                0.41316,                      1,                0.42174,                0.49263,                0.98511,                0.72595,                 0.6632,                 0.6462,                 0.6994,                0.53212,                0.69809,                0.41624,                0.17153,                0.44868,                0.55263,                0.41316,                      1,                0.62315,              0.0075402,                0.10167,                0.72706,                0.58484,                0.31234,                0.48588,                0.27106,                0.72894,                0.72894,                      1
                     62,                 0.6606,                0.41733,                 1.3613,                0.09424,                 0.8288,                0.82988,                0.86413,                0.71784,                0.65885,                0.40312,                 1.4616,                0.10107,               0.003961,               0.003961,               0.003961,                0.51305,                0.96768,                0.82163,                0.67284,                0.63241,                0.72726,                 0.5829,                0.71719,                0.41377,                0.15068,                0.40236,                0.59035,                0.41192,                      1,                0.43159,                0.49133,                0.98562,                0.74075,                0.66512,                0.64486,                0.70525,                0.53284,                0.70512,                0.41745,                0.17104,                0.44074,                 0.5571,                0.41192,                      1,                0.60769,               0.007051,                0.10116,                0.72535,                0.58284,                0.31373,                0.48236,                0.26776,                0.73224,                0.73224,                      1
                     63,                0.66471,                0.41798,                 1.3662,                0.09421,                0.83081,                0.82824,                0.86381,                 0.7174,                0.65875,                0.40313,                  1.462,                0.10101,               0.003862,               0.003862,               0.003862,                0.51253,                0.96853,                 0.8236,                0.67142,                0.63195,                0.72421,                0.58367,                0.71499,                0.41452,                0.14979,                 0.4023,                0.58727,                0.41256,                      1,                0.41852,                0.49217,                0.98546,                0.72535,                0.66311,                0.64549,                0.69841,                0.53273,                0.69658,                0.41641,                0.17144,                0.44617,                0.55297,                0.41256,                      1,                0.61807,              0.0072611,                0.10115,                0.72581,                0.58341,                0.31129,                0.48398,                0.26814,                0.73186,                0.73186,                      1
                     64,                0.66366,                0.41804,                 1.3696,                0.09449,                0.82964,                0.82642,                0.86312,                0.71699,                0.65861,                 0.4033,                 1.4632,                0.10096,               0.003763,               0.003763,               0.003763,                0.51296,                0.96934,                0.82119,                0.67339,                0.63403,                  0.727,                0.58298,                0.71672,                0.40483,                0.15204,                0.40208,                0.59252,                0.41087,                      1,                0.42793,                0.49923,                0.98525,                0.72538,                 0.6669,                0.64883,                0.69535,                0.53508,                0.69598,                0.40484,                 0.1735,                0.44456,                0.56132,                0.41087,                      1,                0.61471,              0.0069993,                0.10168,                0.72676,                0.58509,                0.31451,                 0.4838,                0.26564,                0.73436,                0.73436,                      1
                     65,                0.65743,                0.41275,                 1.3601,                0.09475,                0.83171,                0.82462,                0.86298,                0.71724,                 0.6585,                0.40331,                 1.4628,                0.10091,               0.003664,               0.003664,               0.003664,                0.51652,                0.96841,                0.82288,                0.67418,                0.63199,                0.72829,                0.58588,                0.71823,                0.40522,                0.15208,                0.40096,                0.59368,                0.40881,                      1,                  0.422,                0.49731,                0.98515,                0.73388,                0.66563,                0.64419,                0.70181,                0.53808,                0.70076,                0.41042,                0.17231,                0.43969,                0.56029,                0.40881,                      1,                0.60701,              0.0069253,                0.10202,                0.72896,                0.58724,                0.31804,                 0.4829,                0.26104,                0.73896,                0.73896,                      1
                     66,                 0.6563,                0.41174,                 1.3641,                 0.0937,                0.83548,                0.82233,                0.86271,                 0.7168,                0.65847,                0.40326,                 1.4632,                0.10087,               0.003565,               0.003565,               0.003565,                0.51001,                0.96803,                0.82262,                0.67144,                 0.6315,                0.72855,                0.58018,                0.71815,                0.41547,                0.15058,                0.40282,                0.58862,                0.41077,                      1,                0.42944,                0.48745,                0.98472,                0.72962,                0.66261,                0.64452,                0.70094,                0.52669,                0.70068,                0.42046,                0.17259,                0.44418,                0.55075,                0.41077,                      1,                0.62068,              0.0074147,                 0.1005,                0.72131,                0.58706,                0.31411,                0.48546,                0.26571,                0.73429,                0.73429,                      1
                     67,                0.66184,                0.41128,                 1.3575,                0.09361,                0.83479,                0.82172,                0.86261,                0.71611,                0.65837,                0.40329,                 1.4637,                0.10084,               0.003466,               0.003466,               0.003466,                0.50997,                0.96706,                0.81632,                0.67058,                0.63234,                0.72489,                0.57896,                0.71442,                0.41512,                0.15105,                0.40409,                0.58473,                0.41153,                      1,                0.43493,                0.48757,                0.98502,                0.72893,                0.66187,                0.64421,                0.70071,                0.52736,                0.69989,                0.42381,                0.17123,                0.44332,                 0.5517,                0.41153,                      1,                0.62023,              0.0070542,                 0.1005,                0.72083,                0.58394,                0.31408,                  0.483,                0.26719,                0.73281,                0.73281,                      1
                     68,                0.65463,                0.40636,                  1.363,                0.09282,                 0.8344,                0.82198,                0.86235,                0.71594,                0.65835,                0.40328,                 1.4641,                0.10079,               0.003367,               0.003367,               0.003367,                0.50342,                0.96927,                0.81833,                 0.6691,                0.63134,                0.72765,                0.57256,                0.71776,                0.42132,                 0.1515,                0.40437,                0.58042,                0.41233,                      1,                0.44215,                0.48402,                0.98501,                0.73438,                0.66148,                0.64354,                0.70347,                0.52313,                 0.7028,                0.42483,                0.17158,                0.44197,                 0.5471,                0.41233,                      1,                0.61626,              0.0068964,               0.099392,                0.71494,                0.58972,                 0.3131,                0.48977,                0.26733,                0.73267,                0.73267,                      1
                     69,                0.65452,                0.40627,                 1.3644,                0.09393,                0.83647,                0.82132,                0.86218,                0.71554,                0.65824,                0.40327,                 1.4645,                0.10075,               0.003268,               0.003268,               0.003268,                0.51278,                 0.9686,                0.81852,                0.67226,                0.63338,                0.72361,                0.58059,                0.71424,                0.41115,                0.15269,                0.40371,                0.58845,                0.41234,                      1,                0.43446,                  0.491,                0.98523,                0.73102,                0.66261,                0.64445,                0.69983,                0.52991,                0.69972,                0.42044,                0.17158,                0.44453,                0.55169,                0.41234,                      1,                0.61576,              0.0070268,                 0.1011,                0.72296,                0.58192,                0.31304,                  0.482,                0.27151,                0.72849,                0.72849,                      1
