                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss, train/rgb_spatial_loss,  train/rgb_global_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,   val/rgb_spatial_loss,    val/rgb_global_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,  p2/P3_rgb_global_mean,   p2/P3_rgb_global_mse,   p2/P3_rgb_global_std, p2/P3_rgb_spatial_mean,  p2/P3_rgb_spatial_mse,  p2/P3_rgb_spatial_std, p2/P4_final_weight_std,    p2/P4_gamma_spatial,p2/P4_gder_attention_weight,p2/P4_gder_modality_weight,p2/P4_gder_modality_weight_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,  p2/P4_rgb_global_mean,   p2/P4_rgb_global_mse,   p2/P4_rgb_global_std, p2/P4_rgb_spatial_mean,  p2/P4_rgb_spatial_mse,  p2/P4_rgb_spatial_std,p2/P4_spatial_logits_std,p2/P5_gder_attention_weight,p2/P5_gder_modality_weight,p2/P5_gder_modality_weight_std,  p2/P5_rgb_global_mean,   p2/P5_rgb_global_mse,   p2/P5_rgb_global_std,p2/rgb_global_teacher_max,p2/rgb_global_teacher_mean,p2/rgb_global_teacher_min,p2/rgb_global_teacher_std,p2/prompt_warmup_factor
                     11,                0.74499,                0.52362,                 1.3896,                0.03728,                0.00045,                  4e-05,                0.71062,                 0.7155,                0.74908,                0.59704,                0.73586,                0.55484,                 1.5327,                0.03591,                 0.0004,                  7e-05,                0.00901,                0.00901,                0.00901,                0.12402,                0.29681,                0.42083,                0.13302,                0.12026,                0.52067,              0.0049792,               0.038799,                0.51864,                0.04509,              0.0021871,              6.575e-05,            -0.00071062,                0.50006,                0.49994,             1.9658e-05,                0.13786,                0.28157,                0.41944,                0.14645,                0.11006,                0.51394,               0.018748,                0.11492,                0.51321,               0.045017,              0.0072218,                0.13055,                0.50011,                0.49989,             0.00011402,                0.52024,              0.0051128,               0.048265,                0.69495,                0.52101,                0.32102,               0.095068,                      1
                     12,                0.73926,                0.51622,                 1.3841,                0.03584,                0.00045,                  5e-05,                0.77915,                0.77291,                0.80362,                0.65431,                0.69479,                0.47009,                 1.4419,                0.03387,                 0.0004,                  5e-05,               0.008911,               0.008911,               0.008911,               0.096746,                0.34409,                0.44083,                0.10731,                0.12887,                0.52087,              0.0046846,               0.041729,                0.51927,                0.04525,              0.0019443,             7.3074e-05,            -0.00081469,                0.50007,                0.49993,             2.0457e-05,                0.11028,                0.33641,                0.44669,                0.12066,                0.11959,                0.52374,               0.020317,                0.11967,                0.51389,               0.045179,              0.0066426,                0.13012,                0.50011,                0.49989,             0.00011732,                0.52045,              0.0048427,               0.053093,                 0.6942,                0.51973,                0.32147,               0.094245,                      1
                     13,                0.73493,                0.51536,                 1.3863,                0.03502,                0.00045,                  5e-05,                0.78266,                0.76651,                 0.8172,                0.66706,                  0.697,                0.46354,                 1.4591,                0.03307,                 0.0004,                  6e-05,               0.008812,               0.008812,               0.008812,               0.081896,                0.36663,                0.44853,               0.093227,                0.13347,                0.52131,              0.0043271,               0.043778,                0.51929,               0.045035,              0.0017559,             7.7892e-05,            -0.00087836,                0.50007,                0.49993,             2.1966e-05,               0.092253,                0.37123,                0.46348,                0.10379,                0.12669,                 0.5214,                0.02222,                 0.1272,                0.51402,               0.044998,              0.0060928,                0.12969,                0.50012,                0.49988,             0.00012095,                0.51918,                0.00479,               0.053015,                0.69492,                0.52032,                0.32212,               0.094499,                      1
                     14,                0.73099,                0.51107,                 1.3816,                0.03422,                0.00045,                  5e-05,                0.75236,                0.77573,                0.80073,                0.65627,                0.69317,                0.46628,                 1.4393,                0.03256,                 0.0004,                  6e-05,               0.008713,               0.008713,               0.008713,               0.072059,                0.38325,                0.45531,               0.083835,                0.13647,                0.52105,              0.0043933,               0.044042,                0.51953,               0.045101,               0.001595,             8.9908e-05,             -0.0010469,                0.50009,                0.49991,             2.3714e-05,               0.080013,                0.39609,                 0.4761,               0.092247,                0.13194,                0.50297,               0.023108,                0.13132,                0.51456,               0.045057,              0.0056145,                0.12932,                0.50012,                0.49988,             0.00012621,                0.52048,              0.0049102,               0.051164,                  0.695,                0.51955,                0.31969,               0.095327,                      1
                     15,                0.73001,                0.50708,                 1.3827,                0.03368,                0.00045,                  5e-05,                  0.776,                0.77284,                0.81161,                0.66644,                0.68702,                0.46726,                  1.463,                0.03193,                 0.0004,                  6e-05,               0.008614,               0.008614,               0.008614,               0.066335,                0.39323,                0.45957,               0.078338,                0.13828,                0.52082,              0.0041559,               0.043444,                0.51953,                0.04473,               0.001441,             0.00010354,             -0.0012382,                 0.5001,                 0.4999,              2.564e-05,               0.071009,                0.41449,                 0.4855,               0.083737,                0.13614,                 0.5194,               0.021407,                0.12313,                0.51463,               0.044698,              0.0050869,                0.12893,                0.50012,                0.49988,             0.00012937,                  0.519,              0.0044888,               0.052347,                0.69397,                0.52098,                0.32659,               0.092129,                      1
                     16,                0.72611,                0.50159,                 1.3768,                0.03313,                0.00045,                  5e-05,                0.80968,                0.76509,                 0.8308,                 0.6801,                0.68399,                  0.451,                 1.4796,                0.03158,                0.00039,                  6e-05,               0.008515,               0.008515,               0.008515,               0.061745,                 0.4022,                0.46394,               0.074044,                0.13985,                0.52217,              0.0040785,               0.046866,                0.51953,               0.044724,              0.0013119,             0.00011619,             -0.0014135,                0.50011,                0.49989,             2.7529e-05,               0.063512,                0.42994,                0.49345,               0.076729,                0.13851,                0.50812,               0.024597,                0.13429,                0.51493,               0.044704,              0.0046571,                0.12871,                0.50012,                0.49988,             0.00013299,                0.52053,              0.0043703,               0.054179,                0.69233,                0.51997,                0.32144,               0.094417,                      1
                     17,                0.72283,                0.49855,                 1.3837,                0.03291,                0.00045,                  5e-05,                0.77574,                0.78919,                0.82477,                0.67942,                 0.6797,                0.45196,                 1.4743,                0.03119,                0.00039,                  5e-05,               0.008416,               0.008416,               0.008416,               0.057429,                0.40491,                0.46233,                0.06986,                0.14041,                  0.524,              0.0040551,               0.045978,                0.51992,               0.044672,              0.0011957,             0.00012279,             -0.0015001,                0.50012,                0.49988,             2.9648e-05,               0.057818,                0.43694,                0.49476,               0.071301,                0.13999,                0.52316,               0.024821,                0.13689,                0.51542,               0.044643,              0.0043287,                0.12848,                0.50012,                0.49988,             0.00013665,                0.52116,               0.004331,               0.054318,                0.69206,                0.52021,                0.32377,                0.09321,                      1
                     18,                0.71834,                 0.4948,                 1.3738,                0.03278,                0.00045,                  5e-05,                0.81236,                0.77921,                0.83694,                0.68622,                0.67911,                0.44369,                 1.4595,                0.03088,                 0.0004,                  5e-05,               0.008317,               0.008317,               0.008317,                0.05471,                 0.4068,                0.46151,               0.067367,                0.14111,                0.51999,              0.0040437,               0.047865,                0.51959,               0.045339,              0.0010821,             0.00012815,             -0.0015734,                0.50012,                0.49988,             3.0761e-05,               0.053589,                0.44238,                0.49597,               0.067437,                0.14202,                0.51089,               0.026156,                0.13752,                0.51542,               0.045267,              0.0040363,                0.12825,                0.50013,                0.49987,             0.00013961,                  0.519,              0.0044352,               0.054644,                0.68909,                0.51668,                0.31885,               0.094386,                      1
                     19,                0.71677,                0.49268,                 1.3823,                0.03259,                0.00045,                  6e-05,                0.79691,                0.77366,                0.82235,                0.67272,                0.68863,                0.46004,                 1.4752,                 0.0308,                0.00039,                  5e-05,               0.008218,               0.008218,               0.008218,               0.051901,                0.40914,                0.46105,               0.064563,                0.14176,                0.52275,              0.0038733,               0.048955,                0.51953,               0.045118,              0.0010008,             0.00013843,             -0.0017185,                0.50013,                0.49987,             3.1437e-05,               0.048515,                 0.4483,                0.49682,               0.062458,                0.14258,                0.49897,               0.029881,                0.13962,                0.51543,               0.045036,              0.0036426,                0.12804,                0.50013,                0.49987,             0.00014292,                0.52052,              0.0043767,               0.054744,                0.69168,                0.51898,                0.32157,               0.094757,                      1
                     20,                0.71747,                0.49412,                  1.377,                0.03201,                0.00045,                  5e-05,                 0.7878,                0.81933,                0.84523,                0.69617,                0.67305,                0.43963,                 1.4473,                0.03021,                0.00039,                  5e-05,               0.008119,               0.008119,               0.008119,               0.050344,                0.41571,                0.46605,               0.062976,                0.14186,                0.52403,              0.0038829,               0.046959,                0.51987,               0.044694,             0.00091907,             0.00015088,             -0.0018888,                0.50015,                0.49985,             3.3593e-05,               0.043679,                0.45881,                0.50249,               0.057702,                0.14344,                0.51071,               0.024807,                0.12843,                0.51579,               0.044658,              0.0033738,                0.12787,                0.50013,                0.49987,             0.00014496,                0.52224,               0.004401,               0.052748,                0.69356,                 0.5208,                0.32525,                0.09318,                      1
