                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss, train/rgb_spatial_loss,  train/rgb_global_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,   val/rgb_spatial_loss,    val/rgb_global_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,  p2/P3_rgb_global_mean,   p2/P3_rgb_global_mse,   p2/P3_rgb_global_std, p2/P3_rgb_spatial_mean,  p2/P3_rgb_spatial_mse,  p2/P3_rgb_spatial_std, p2/P4_final_weight_std,    p2/P4_gamma_spatial,p2/P4_gder_attention_weight,p2/P4_gder_modality_weight,p2/P4_gder_modality_weight_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,  p2/P4_rgb_global_mean,   p2/P4_rgb_global_mse,   p2/P4_rgb_global_std, p2/P4_rgb_spatial_mean,  p2/P4_rgb_spatial_mse,  p2/P4_rgb_spatial_std,p2/P4_spatial_logits_std,p2/P5_gder_attention_weight,p2/P5_gder_modality_weight,p2/P5_gder_modality_weight_std,  p2/P5_rgb_global_mean,   p2/P5_rgb_global_mse,   p2/P5_rgb_global_std,p2/rgb_global_teacher_max,p2/rgb_global_teacher_mean,p2/rgb_global_teacher_min,p2/rgb_global_teacher_std,p2/prompt_warmup_factor
                     31,                0.69839,                0.46773,                 1.3752,                0.03065,                0.00045,                  5e-05,                0.81854,                0.82572,                0.86394,                0.72009,                0.65693,                0.41015,                 1.4536,                0.02874,                 0.0004,                  5e-05,                0.00703,                0.00703,                0.00703,               0.043786,                 0.4316,                0.47539,               0.056909,                0.14317,                0.52154,              0.0035827,               0.048919,                0.51849,               0.044947,             0.00041643,             0.00035375,               -0.00463,                0.50035,                0.49965,             7.6252e-05,               0.032151,                 0.4866,                0.51875,               0.047027,                0.14522,                0.50629,               0.027316,                0.13923,                 0.5165,               0.044946,              0.0014981,                0.12689,                0.50016,                0.49984,             0.00017314,                 0.5204,              0.0044616,               0.046651,                0.69088,                  0.521,                0.32444,               0.092914,                      1
                     32,                0.69284,                0.46182,                 1.3709,                0.03061,                0.00045,                  6e-05,                0.81857,                0.81206,                0.86063,                0.71771,                0.65819,                0.41137,                 1.4386,                 0.0287,                 0.0004,                  5e-05,               0.006931,               0.006931,               0.006931,               0.044738,                0.43499,                0.47972,               0.058034,                0.14416,                0.51988,              0.0036593,               0.050332,                0.51844,               0.044831,             0.00038719,             0.00038633,             -0.0050694,                0.50038,                0.49962,             8.2378e-05,               0.032489,                0.49035,                0.52284,               0.047582,                0.14618,                 0.5174,               0.030778,                0.15188,                 0.5166,                0.04482,              0.0013989,                0.12696,                0.50016,                0.49984,             0.00017607,                0.51842,              0.0046498,               0.046373,                0.69565,                  0.521,                0.32257,               0.094856,                      1
                     33,                0.69269,                0.46267,                  1.366,                0.03045,                0.00045,                  6e-05,                0.81113,                0.83113,                0.86002,                0.71686,                0.65606,                0.41164,                 1.4505,                 0.0286,                0.00039,                  5e-05,               0.006832,               0.006832,               0.006832,               0.043348,                0.43431,                0.47766,               0.056514,                0.14305,                0.52243,              0.0036735,               0.049664,                0.51859,               0.044743,             0.00037085,             0.00040792,              -0.005355,                 0.5004,                 0.4996,             8.8079e-05,               0.031893,                0.48938,                0.52127,               0.046793,                0.14531,                0.51985,               0.032749,                0.14738,                 0.5166,               0.044731,              0.0012865,                0.12691,                0.50016,                0.49984,             0.00017749,                0.51852,              0.0045448,                0.04539,                0.69494,                0.52061,                0.32435,               0.093526,                      1
                     34,                0.68808,                0.45669,                 1.3672,                0.03037,                0.00044,                  5e-05,                 0.7993,                0.82896,                0.85684,                0.71429,                 0.6558,                0.41276,                 1.4498,                 0.0285,                0.00039,                  5e-05,               0.006733,               0.006733,               0.006733,               0.042742,                0.43666,                 0.4794,               0.056053,                0.14359,                0.52141,               0.003519,               0.050737,                0.51882,               0.044484,              0.0003513,             0.00043188,             -0.0056735,                0.50042,                0.49958,              9.372e-05,               0.031622,                0.49239,                0.52402,               0.046702,                0.14573,                0.49649,               0.027805,                0.13534,                0.51689,                0.04448,              0.0012126,                 0.1269,                0.50016,                0.49984,             0.00018055,                0.52186,               0.004607,               0.044702,                 0.6939,                 0.5225,                0.32289,                0.09398,                      1
                     35,                0.69022,                0.45764,                 1.3698,                0.03038,                0.00045,                  6e-05,                0.80501,                0.82133,                0.85218,                0.71202,                0.65588,                0.41321,                 1.4466,                0.02842,                0.00039,                  5e-05,               0.006634,               0.006634,               0.006634,               0.043563,                0.43751,                0.48107,               0.056809,                0.14397,                0.52155,              0.0036504,               0.050561,                0.51871,               0.044772,               0.000332,             0.00044897,             -0.0058978,                0.50044,                0.49956,             9.8196e-05,               0.031638,                0.49538,                0.52702,               0.046718,                0.14612,                0.51945,               0.028953,                0.14812,                0.51709,               0.044772,              0.0011402,                0.12688,                0.50017,                0.49983,             0.00018403,                0.51876,              0.0047629,               0.043795,                0.69302,                0.51973,                0.32142,               0.094232,                      1
                     36,                0.68417,                0.45102,                 1.3628,                0.03039,                0.00045,                  6e-05,                 0.8106,                0.81234,                0.85341,                0.71388,                0.65295,                0.41126,                 1.4484,                0.02837,                0.00039,                  5e-05,               0.006535,               0.006535,               0.006535,                0.04274,                0.43619,                0.47893,               0.056136,                0.14338,                0.51985,              0.0035958,               0.049366,                0.51893,               0.045148,             0.00031425,             0.00047963,             -0.0063131,                0.50047,                0.49953,              0.0001038,                0.03114,                0.49219,                0.52333,               0.046342,                0.14546,                0.50342,               0.033513,                0.15542,                0.51711,               0.045144,              0.0010736,                0.12686,                0.50017,                0.49983,             0.00018713,                0.52046,              0.0046801,               0.043922,                0.69587,                0.52121,                0.32621,               0.093516,                      1
                     37,                0.67968,                0.44881,                 1.3645,                0.03007,                0.00045,                  6e-05,                0.80117,                0.83356,                  0.858,                0.71718,                0.65353,                0.40872,                 1.4503,                0.02829,                0.00039,                  5e-05,               0.006436,               0.006436,               0.006436,               0.041197,                0.44011,                0.48131,               0.054623,                0.14312,                0.51926,              0.0035625,               0.050973,                 0.5186,               0.045155,             0.00029895,             0.00050715,             -0.0066768,                0.50049,                0.49951,             0.00011119,               0.030536,                0.49619,                0.52672,                0.04575,                0.14547,                0.50993,               0.030452,                0.15118,                0.51709,               0.045136,              0.0010066,                0.12684,                0.50017,                0.49983,             0.00018966,                0.51866,              0.0047148,                0.04384,                0.69287,                0.51935,                0.32481,               0.093947,                      1
                     38,                0.68306,                0.44913,                 1.3688,                0.03012,                0.00045,                  5e-05,                0.82212,                0.82905,                0.86099,                0.72075,                0.65296,                0.40683,                 1.4425,                0.02823,                0.00039,                  5e-05,               0.006337,               0.006337,               0.006337,               0.041257,                0.44197,                0.48323,               0.054724,                0.14377,                0.51953,              0.0034821,                0.05145,                0.51855,                0.04458,             0.00027789,             0.00053778,              -0.007089,                0.50052,                0.49948,             0.00011728,               0.030255,                0.49865,                0.52891,               0.045527,                0.14585,                0.50774,               0.027652,                0.14114,                0.51709,               0.044588,             0.00093256,                0.12682,                0.50017,                0.49983,             0.00019359,                 0.5178,              0.0046357,               0.043328,                0.69092,                0.51767,                0.32209,               0.093687,                      1
                     39,                0.67922,                0.44407,                 1.3704,                0.02998,                0.00045,                  5e-05,                0.81912,                0.82651,                0.85742,                0.71769,                0.65326,                0.40788,                 1.4453,                0.02818,                0.00039,                  5e-05,               0.006238,               0.006238,               0.006238,               0.041747,                0.44218,                0.48393,               0.055306,                0.14368,                 0.5226,              0.0034174,               0.051309,                0.51855,               0.044711,             0.00027483,             0.00056724,             -0.0074866,                0.50055,                0.49945,             0.00012229,               0.030154,                0.49786,                0.52802,               0.045491,                0.14558,                0.49658,               0.027265,                0.14201,                0.51709,               0.044702,             0.00087574,                0.12682,                0.50018,                0.49982,             0.00019481,                0.51923,              0.0045514,               0.043819,                0.69384,                0.52096,                0.32313,               0.093824,                      1
                     40,                0.67811,                0.44523,                 1.3647,                0.03013,                0.00045,                  6e-05,                0.81672,                0.83469,                0.86405,                0.72304,                0.65314,                0.40516,                 1.4445,                0.02814,                0.00039,                  5e-05,               0.006139,               0.006139,               0.006139,                0.04097,                0.43983,                 0.4808,               0.054404,                 0.1434,                0.51986,              0.0035273,               0.050732,                0.51865,               0.044822,             0.00028479,             0.00058021,             -0.0076363,                0.50057,                0.49943,             0.00013043,               0.029919,                0.49609,                0.52601,               0.045153,                0.14534,                0.51343,               0.031369,                 0.1508,                0.51731,               0.044817,             0.00082697,                0.12682,                0.50018,                0.49982,             0.00019751,                0.52015,              0.0047911,               0.042134,                0.69644,                  0.522,                0.32219,               0.094501,                      1
                     41,                0.67703,                  0.441,                 1.3712,                0.03015,                0.00045,                  6e-05,                0.82731,                0.82732,                0.86411,                0.72319,                0.65285,                0.40456,                 1.4444,                0.02811,                0.00039,                  5e-05,                0.00604,                0.00604,                0.00604,               0.042216,                 0.4419,                0.48411,               0.055782,                0.14445,                0.52115,              0.0035635,               0.049232,                0.51892,               0.045144,             0.00027404,             0.00061119,              -0.008053,                 0.5006,                 0.4994,             0.00013634,               0.030506,                0.49884,                0.52934,               0.045886,                 0.1464,                 0.4884,               0.030082,                 0.1489,                0.51758,                0.04512,             0.00078678,                0.12681,                0.50018,                0.49982,             0.00020036,                0.51956,              0.0047086,               0.041564,                0.69175,                0.51807,                0.32289,               0.093041,                      1
                     42,                0.67557,                0.44016,                 1.3646,                0.02998,                0.00045,                  6e-05,                0.82448,                 0.8337,                 0.8683,                0.72693,                0.65151,                0.40219,                 1.4485,                0.02807,                0.00039,                  5e-05,               0.005941,               0.005941,               0.005941,               0.041197,                0.44291,                 0.4841,               0.054728,                0.14367,                0.52009,              0.0036788,               0.049694,                0.51855,               0.045141,             0.00023645,             0.00064958,             -0.0085674,                0.50063,                0.49937,             0.00014484,               0.030424,                0.49885,                0.52927,               0.045729,                0.14575,                0.53113,               0.029064,                0.14661,                0.51758,               0.045148,             0.00074869,                 0.1268,                0.50019,                0.49981,              0.0002034,                0.51881,              0.0048173,               0.042298,                0.69407,                0.52006,                0.32236,               0.094717,                      1
                     43,                0.66883,                  0.437,                 1.3687,                0.02987,                0.00045,                  6e-05,                0.82594,                0.82726,                 0.8679,                0.72755,                0.65102,                0.40139,                 1.4477,                0.02803,                0.00039,                  5e-05,               0.005842,               0.005842,               0.005842,               0.040425,                0.44485,                0.48527,               0.054037,                 0.1436,                0.52282,              0.0035249,               0.051114,                0.51903,               0.045042,             0.00024129,             0.00068944,             -0.0091056,                0.50067,                0.49933,             0.00015205,               0.029557,                0.49919,                0.52874,               0.044919,                0.14536,                  0.516,               0.029244,                0.14764,                0.51793,               0.045028,             0.00070604,                0.12681,                0.50019,                0.49981,             0.00020681,                0.52009,              0.0047592,               0.040968,                0.69436,                0.51917,                0.32457,                0.09438,                      1
                     44,                0.67193,                0.43522,                 1.3649,                0.02995,                0.00045,                  6e-05,                0.81659,                 0.8389,                0.86699,                0.72681,                0.65033,                0.40099,                 1.4508,                0.02801,                0.00039,                  5e-05,               0.005743,               0.005743,               0.005743,               0.041273,                0.44581,                0.48708,               0.055032,                0.14473,                0.51889,              0.0035925,               0.050034,                0.51904,               0.045147,             0.00020154,             0.00074222,             -0.0098248,                0.50072,                0.49928,             0.00016081,               0.030215,                 0.4997,                0.52992,               0.045719,                0.14605,                0.52284,               0.029395,                   0.15,                0.51807,                0.04513,             0.00066711,                0.12681,                0.50019,                0.49981,             0.00020948,                0.51997,              0.0047327,               0.040786,                0.69071,                0.51894,                 0.3252,               0.093898,                      1
                     45,                0.67472,                0.43704,                 1.3685,                0.02982,                0.00045,                  6e-05,                0.81631,                0.83911,                0.86858,                0.72925,                0.65018,                0.39968,                 1.4496,                0.02796,                0.00039,                  5e-05,               0.005644,               0.005644,               0.005644,               0.040714,                0.44444,                0.48515,               0.054237,                0.14368,                0.52202,              0.0035239,               0.052164,                0.51904,               0.044891,             0.00018858,             0.00077948,              -0.010312,                0.50076,                0.49924,              0.0001715,               0.029635,                0.50024,                0.52988,               0.044929,                0.14534,                0.51688,                0.03141,                0.15044,                0.51808,               0.044888,              0.0006319,                0.12683,                 0.5002,                 0.4998,             0.00021113,                0.51981,              0.0048777,               0.041251,                0.69797,                0.52175,                0.32213,               0.095581,                      1
                     46,                0.67178,                 0.4369,                  1.371,                 0.0298,                0.00045,                  5e-05,                0.83257,                0.82248,                0.86941,                0.72974,                0.65002,                0.39936,                 1.4475,                0.02793,                0.00039,                  5e-05,               0.005545,               0.005545,               0.005545,               0.040143,                0.44422,                0.48436,               0.053617,                0.14339,                0.52085,              0.0035328,               0.051285,                0.51904,               0.044947,             0.00016696,             0.00082693,              -0.010951,                0.50081,                0.49919,             0.00018034,               0.029255,                0.49929,                0.52854,               0.044465,                0.14484,                0.52014,               0.027392,                0.14557,                0.51811,               0.044934,             0.00059937,                0.12686,                 0.5002,                 0.4998,             0.00021386,                0.51952,              0.0048569,               0.040496,                0.69346,                0.52076,                0.32123,               0.094035,                      1
                     47,                0.66973,                0.43181,                 1.3637,                0.02976,                0.00045,                  6e-05,                0.84208,                0.81303,                 0.8674,                0.72888,                  0.649,                0.39954,                 1.4479,                0.02789,                0.00039,                  5e-05,               0.005446,               0.005446,               0.005446,               0.040567,                0.44676,                0.48733,               0.054167,                0.14431,                0.51975,              0.0035161,               0.050436,                 0.5189,               0.044727,              0.0002183,             0.00087031,              -0.011533,                0.50085,                0.49915,             0.00018662,               0.029555,                0.50284,                0.53239,               0.044944,                0.14592,                 0.5015,                0.03004,                0.14665,                0.51837,               0.044727,             0.00056517,                0.12697,                 0.5002,                 0.4998,             0.00021639,                0.51949,              0.0050821,               0.038648,                0.69541,                0.51913,                0.32451,               0.094042,                      1
                     48,                0.66959,                0.43445,                 1.3659,                0.02976,                0.00045,                  6e-05,                0.83626,                0.81894,                0.86644,                0.72778,                0.64889,                0.39979,                 1.4466,                0.02786,                0.00039,                  5e-05,               0.005347,               0.005347,               0.005347,               0.039932,                0.44553,                0.48546,               0.053523,                0.14363,                0.51933,              0.0035029,               0.050849,                0.51876,               0.045018,              0.0002104,             0.00088221,              -0.011662,                0.50086,                0.49914,             0.00019488,               0.029634,                0.50176,                0.53139,               0.045027,                0.14591,                0.50738,               0.029188,                0.14841,                0.51855,               0.044982,             0.00054167,                0.12699,                0.50021,                0.49979,             0.00021879,                 0.5193,              0.0050088,               0.038676,                0.69201,                0.51925,                0.32336,                0.09376,                      1
                     49,                0.66703,                0.42881,                 1.3579,                0.02965,                0.00045,                  6e-05,                0.82458,                0.83083,                0.86496,                 0.7264,                0.64883,                0.39981,                 1.4458,                0.02783,                0.00039,                  5e-05,               0.005248,               0.005248,               0.005248,                0.03973,                0.44764,                0.48737,               0.053339,                0.14383,                0.52134,              0.0034061,               0.049706,                0.51855,               0.044876,             0.00017583,             0.00092528,              -0.012243,                 0.5009,                 0.4991,              0.0002022,               0.029294,                0.50445,                0.53374,               0.044696,                0.14593,                0.49657,               0.030826,                0.15043,                0.51855,               0.044862,             0.00051636,                0.12699,                0.50021,                0.49979,             0.00022027,                0.51929,              0.0048172,               0.038122,                0.69137,                0.52059,                0.32835,               0.092633,                      1
                     50,                0.66133,                0.42611,                 1.3572,                0.02976,                0.00045,                  6e-05,                0.82102,                0.82707,                0.86358,                0.72563,                0.64857,                0.40038,                 1.4441,                0.02781,                0.00039,                  5e-05,               0.005149,               0.005149,               0.005149,               0.039618,                0.44844,                0.48805,               0.053489,                0.14459,                0.52179,              0.0036494,               0.050289,                0.51855,               0.044863,             0.00017338,             0.00095547,               -0.01264,                0.50093,                0.49907,             0.00020851,               0.029202,                0.50235,                0.53155,               0.044824,                 0.1461,                 0.5267,               0.031059,                0.15622,                0.51854,               0.044836,             0.00049283,                0.12702,                0.50021,                0.49979,             0.00022236,                0.52016,              0.0050356,               0.037273,                0.69214,                0.51944,                0.32249,               0.094446,                      1
                     51,                0.66487,                0.42884,                 1.3623,                0.02966,                0.00045,                  5e-05,                0.82151,                0.83103,                0.86461,                  0.727,                0.64831,                0.39989,                 1.4442,                0.02778,                0.00039,                  5e-05,                0.00505,                0.00505,                0.00505,               0.040096,                0.44764,                0.48773,                0.05384,                0.14458,                0.51929,              0.0036196,               0.051066,                0.51855,                0.04482,             0.00011749,             0.00098823,              -0.013078,                0.50096,                0.49904,             0.00021378,                0.02909,                0.50286,                0.53195,               0.044617,                0.14579,                0.52352,                 0.0287,                0.14711,                0.51852,               0.044813,             0.00046646,                0.12702,                0.50022,                0.49978,               0.000224,                0.51857,              0.0050551,               0.038064,                0.69345,                0.51989,                0.32636,               0.095056,                      1
                     52,                0.65965,                0.42379,                 1.3648,                 0.0294,                0.00045,                  5e-05,                0.82194,                0.83069,                0.86489,                0.72744,                0.64838,                0.39986,                 1.4451,                0.02775,                0.00039,                  5e-05,               0.004951,               0.004951,               0.004951,               0.038873,                0.44918,                0.48805,               0.052447,                0.14311,                 0.5212,              0.0036195,               0.050651,                 0.5189,               0.045242,             0.00017593,              0.0010489,              -0.013895,                0.50102,                0.49898,             0.00022508,               0.028892,                0.50407,                0.53296,                 0.0442,                  0.145,                0.51266,               0.028204,                0.14801,                0.51855,                0.04527,             0.00044235,                0.12705,                0.50022,                0.49978,             0.00022518,                0.51979,              0.0052942,               0.035239,                0.69447,                0.52055,                0.32259,               0.093735,                      1
                     53,                0.65628,                0.41955,                 1.3621,                0.02946,                0.00045,                  6e-05,                0.82206,                0.83372,                0.86486,                0.72656,                0.64846,                0.39941,                 1.4448,                0.02773,                0.00039,                  5e-05,               0.004852,               0.004852,               0.004852,               0.039184,                0.45209,                0.49127,               0.052901,                 0.1442,                0.51984,              0.0035394,                0.05063,                0.51887,               0.044784,             0.00022844,              0.0010805,              -0.014297,                0.50105,                0.49895,             0.00023619,               0.028538,                0.50682,                0.53536,               0.044008,                0.14563,                 0.5092,               0.029014,                0.14792,                0.51855,               0.044793,             0.00042456,                0.12706,                0.50022,                0.49978,             0.00022748,                0.51899,              0.0051151,               0.036587,                0.69566,                0.52147,                0.32213,               0.093981,                      1
                     54,                 0.6547,                0.41864,                 1.3674,                0.02932,                0.00045,                  6e-05,                 0.8258,                0.82857,                0.86397,                0.72607,                0.64828,                 0.3993,                 1.4461,                0.02771,                0.00039,                  5e-05,               0.004753,               0.004753,               0.004753,               0.039497,                 0.4521,                 0.4916,               0.053223,                0.14436,                 0.5185,               0.003456,               0.050626,                0.51855,               0.044676,             0.00014389,              0.0011283,              -0.014928,                 0.5011,                 0.4989,             0.00024505,               0.028752,                0.50958,                0.53833,               0.044306,                0.14622,                0.51148,               0.034499,                0.16126,                0.51857,               0.044675,             0.00041818,                0.12716,                0.50022,                0.49978,             0.00022889,                0.51936,              0.0050691,                 0.0361,                0.69424,                0.51925,                 0.3225,               0.093443,                      1
                     55,                0.65639,                0.41603,                 1.3586,                 0.0294,                0.00045,                  6e-05,                0.82253,                0.83483,                0.86378,                0.72587,                 0.6481,                0.39908,                 1.4484,                0.02768,                0.00039,                  5e-05,               0.004654,               0.004654,               0.004654,                0.03963,                0.45282,                0.49245,               0.053427,                0.14493,                 0.5242,              0.0035482,               0.050184,                0.51855,               0.044613,             0.00010627,              0.0011763,              -0.015574,                0.50115,                0.49885,             0.00025118,                0.02862,                0.50954,                0.53816,               0.044233,                0.14607,                0.51463,               0.030583,                0.15097,                0.51902,               0.044613,             0.00039912,                0.12724,                0.50022,                0.49978,             0.00023221,                0.52039,              0.0052964,               0.034827,                0.69565,                0.52146,                0.32589,               0.093873,                      1
                     56,                0.65237,                 0.4167,                 1.3584,                0.02951,                0.00045,                  5e-05,                0.82653,                0.83277,                0.86446,                0.72643,                0.64785,                0.39878,                 1.4491,                0.02766,                0.00039,                  5e-05,               0.004555,               0.004555,               0.004555,               0.039109,                0.45039,                 0.4895,               0.052971,                0.14412,                0.52053,              0.0035352,               0.049454,                0.51866,               0.045066,             0.00017904,              0.0012173,              -0.016125,                0.50119,                0.49881,             0.00025635,               0.028392,                0.50647,                0.53487,               0.044058,                0.14588,                0.52568,               0.028396,                  0.146,                0.51904,               0.045089,             0.00036743,                0.12727,                0.50023,                0.49977,             0.00023422,                0.51956,              0.0052661,               0.034487,                0.68955,                0.51734,                0.32106,               0.093326,                      1
                     57,                0.64944,                0.41099,                 1.3586,                0.02939,                0.00045,                  5e-05,                0.82498,                0.83352,                0.86422,                0.72657,                0.64776,                0.39826,                 1.4511,                0.02765,                0.00039,                  5e-05,               0.004456,               0.004456,               0.004456,               0.039081,                0.45569,                0.49477,               0.053123,                0.14557,                0.52121,              0.0035856,               0.049681,                0.51855,               0.044675,             0.00012465,               0.001242,              -0.016435,                0.50121,                0.49879,             0.00026502,               0.028715,                0.51036,                0.53908,               0.044508,                0.14678,                 0.5158,               0.027498,                0.14067,                0.51904,               0.044679,               0.000349,                0.12728,                0.50023,                0.49977,             0.00023759,                0.51966,              0.0052412,               0.035204,                0.69394,                  0.522,                0.32153,               0.094107,                      1
                     58,                0.65538,                0.41437,                 1.3501,                0.02932,                0.00045,                  5e-05,                0.82528,                0.83275,                0.86467,                0.72696,                0.64767,                0.39809,                 1.4513,                0.02763,                0.00039,                  5e-05,               0.004357,               0.004357,               0.004357,               0.039144,                0.45169,                0.49084,               0.052884,                0.14427,                0.52021,              0.0036278,               0.049497,                 0.5188,               0.044837,             0.00022357,              0.0013111,              -0.017371,                0.50128,                0.49872,             0.00027509,                0.02902,                0.50873,                0.53775,               0.044574,                0.14605,                0.52324,               0.027823,                0.14006,                0.51904,               0.044844,             0.00035405,                0.12732,                0.50023,                0.49977,              0.0002397,                   0.52,              0.0053013,                0.03488,                0.69437,                0.52003,                0.32054,               0.094338,                      1
                     59,                0.65453,                 0.4124,                 1.3658,                0.02938,                0.00045,                  5e-05,                0.82214,                0.83177,                 0.8646,                0.72667,                0.64763,                0.39804,                 1.4514,                0.02762,                0.00039,                  5e-05,               0.004258,               0.004258,               0.004258,               0.038352,                0.44956,                0.48791,                0.05198,                0.14334,                0.52109,               0.003574,               0.049987,                0.51855,               0.044539,             0.00010753,              0.0013487,               -0.01786,                0.50132,                0.49868,             0.00028279,               0.028157,                0.50914,                 0.5373,               0.043665,                0.14553,                0.50216,               0.027957,                 0.1449,                0.51904,               0.044528,             0.00032784,                0.12739,                0.50024,                0.49976,             0.00024199,                0.51868,              0.0053866,               0.034593,                0.69405,                0.52222,                0.32321,               0.094266,                      1
                     60,                 0.6541,                0.41293,                 1.3563,                0.02938,                0.00045,                  6e-05,                0.83055,                0.82461,                0.86415,                0.72698,                0.64748,                0.39808,                 1.4518,                0.02759,                0.00039,                  5e-05,               0.004159,               0.004159,               0.004159,               0.038669,                0.45204,                0.49071,               0.052567,                0.14444,                 0.5215,              0.0035327,               0.048964,                 0.5186,               0.044847,             0.00017196,              0.0013871,              -0.018361,                0.50136,                0.49864,             0.00028846,               0.028044,                0.50814,                0.53618,               0.043741,                0.14582,                0.52094,               0.031035,                0.15147,                0.51904,               0.044849,             0.00032216,                 0.1275,                0.50024,                0.49976,             0.00024431,                0.52017,               0.005214,               0.034028,                0.69143,                0.51803,                0.32413,               0.093001,                      1
                     61,                0.64733,                0.40706,                 1.3542,                0.02925,                0.00045,                  5e-05,                0.80907,                0.84459,                0.86459,                0.72718,                0.64737,                0.39784,                 1.4524,                0.02758,                0.00039,                  5e-05,                0.00406,                0.00406,                0.00406,               0.038974,                0.45396,                0.49293,               0.052882,                0.14447,                0.51923,              0.0036088,               0.049528,                 0.5186,               0.045149,             0.00019983,               0.001441,              -0.019076,                0.50141,                0.49859,             0.00029916,                0.02811,                 0.5106,                0.53871,               0.043837,                0.14613,                0.51939,               0.028118,                 0.1454,                0.51904,               0.045154,             0.00032266,                0.12754,                0.50025,                0.49975,             0.00024573,                0.51952,              0.0054972,               0.033016,                0.69351,                0.51955,                0.32481,               0.094413,                      1
                     62,                0.64495,                0.40537,                 1.3547,                0.02925,                0.00045,                  6e-05,                 0.8091,                0.84608,                0.86431,                0.72705,                 0.6472,                0.39796,                 1.4523,                0.02756,                0.00039,                  5e-05,               0.003961,               0.003961,               0.003961,               0.038657,                0.45371,                0.49237,               0.052537,                0.14421,                 0.5187,              0.0036056,                0.05007,                0.51855,               0.045012,             7.2125e-05,              0.0014565,              -0.019259,                0.50142,                0.49858,             0.00030555,               0.027942,                0.50991,                0.53785,               0.043621,                0.14593,                0.50111,               0.029033,                0.14593,                0.51904,               0.045016,             0.00030898,                0.12755,                0.50025,                0.49975,             0.00024797,                0.51834,              0.0056024,               0.032295,                  0.691,                0.51823,                0.32261,               0.094407,                      1
                     63,                0.64771,                0.40694,                 1.3584,                0.02922,                0.00045,                  5e-05,                0.82858,                0.82499,                 0.8643,                0.72683,                0.64712,                0.39795,                 1.4524,                0.02755,                0.00039,                  5e-05,               0.003862,               0.003862,               0.003862,               0.038112,                0.45357,                0.49168,               0.051836,                0.14355,                0.51863,              0.0035599,               0.049341,                0.51855,               0.044764,             0.00011834,              0.0015035,              -0.019877,                0.50147,                0.49853,             0.00031654,               0.027973,                0.50996,                0.53793,               0.043476,                0.14526,                 0.5019,               0.027791,                0.14632,                0.51904,               0.044759,             0.00029119,                0.12758,                0.50025,                0.49975,             0.00025075,                0.51858,              0.0054562,               0.032265,                0.69138,                0.51974,                 0.3219,               0.093595,                      1
                     64,                 0.6471,                0.40743,                 1.3582,                0.02896,                0.00045,                  5e-05,                0.82995,                0.82726,                0.86394,                0.72684,                0.64699,                0.39792,                 1.4525,                0.02754,                0.00039,                  5e-05,               0.003763,               0.003763,               0.003763,               0.037784,                0.45501,                0.49279,               0.051319,                0.14309,                0.52082,              0.0036512,               0.048893,                0.51855,               0.044515,             9.0761e-05,              0.0015251,              -0.020153,                0.50149,                0.49851,             0.00031885,               0.027999,                 0.5112,                 0.5392,                0.04328,                0.14455,                0.51377,                0.02698,                0.14207,                0.51904,               0.044521,             0.00027548,                0.12762,                0.50025,                0.49975,             0.00025259,                0.51929,              0.0054665,               0.032098,                0.69273,                0.52004,                0.32423,               0.093255,                      1
                     65,                0.64114,                0.39973,                  1.358,                0.02926,                0.00045,                  6e-05,                0.82518,                0.83116,                0.86426,                0.72703,                0.64698,                0.39758,                 1.4532,                0.02753,                0.00039,                  5e-05,               0.003664,               0.003664,               0.003664,               0.038406,                0.45635,                0.49475,               0.052526,                0.14498,                0.51953,              0.0035921,               0.048314,                0.51855,               0.044944,             9.1757e-05,              0.0015599,              -0.020598,                0.50153,                0.49847,             0.00032444,               0.027846,                0.50961,                0.53746,               0.043692,                0.14601,                 0.5284,               0.028626,                0.14322,                0.51904,               0.044957,             0.00028543,                0.12776,                0.50026,                0.49974,              0.0002542,                0.51889,              0.0055607,                 0.0315,                 0.6909,                0.51816,                0.32112,               0.094004,                      1
                     66,                0.64007,                0.40113,                 1.3546,                 0.0291,                0.00045,                  6e-05,                 0.8252,                0.83167,                0.86399,                0.72698,                0.64689,                0.39755,                 1.4535,                0.02752,                0.00039,                  5e-05,               0.003565,               0.003565,               0.003565,               0.037959,                 0.4556,                0.49356,               0.051822,                0.14412,                0.51822,              0.0037056,               0.047642,                0.51823,               0.045147,             0.00017911,              0.0015975,              -0.021098,                0.50156,                0.49844,             0.00032935,               0.027633,                0.51225,                0.53988,               0.043299,                0.14568,                0.49712,               0.028915,                0.14593,                0.51905,               0.045141,             0.00027233,                0.12779,                0.50026,                0.49974,             0.00025505,                0.51846,              0.0056102,               0.031232,                0.69299,                0.51896,                0.32482,               0.093844,                      1
