                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss, train/rgb_spatial_loss,  train/rgb_global_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,   val/rgb_spatial_loss,    val/rgb_global_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std, p2/P3_rgb_spatial_mean,  p2/P3_rgb_spatial_mse,  p2/P3_rgb_spatial_std,p2/P4_gder_attention_weight,p2/P4_gder_modality_weight,p2/P4_gder_modality_weight_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std, p2/P4_rgb_spatial_mean,  p2/P4_rgb_spatial_mse,  p2/P4_rgb_spatial_std,p2/P5_gder_attention_weight,p2/P5_gder_modality_weight,p2/P5_gder_modality_weight_std,p2/prompt_warmup_factor
                     11,                0.74411,                0.52346,                 1.3869,                0.03946,                0.00045,                      0,                0.74674,                0.76188,                0.79207,                0.63949,                0.71114,                0.50478,                 1.4956,                0.03767,                 0.0004,                      0,                0.00901,                0.00901,                0.00901,                0.13878,                0.26754,                0.40632,                0.14691,                0.11867,                 0.5189,               0.045089,              0.0022102,                0.50036,                0.49964,             0.00035499,                0.22787,               0.061507,                0.28937,                0.22975,               0.044047,                0.51366,               0.045103,              0.0067765,                0.50005,                0.49995,              5.116e-05,                      1
                     12,                0.73959,                0.51721,                 1.3853,                0.03803,                0.00045,                      0,                0.75583,                0.75656,                0.78552,                0.63618,                 0.6998,                0.48377,                 1.4923,                0.03608,                 0.0004,                      0,               0.008911,               0.008911,               0.008911,                 0.1085,                0.31912,                0.42762,                 0.1183,                0.12748,                0.51961,               0.045248,              0.0019773,                0.50036,                0.49964,             0.00035501,                0.20309,                0.14214,                0.34523,                0.20747,               0.071316,                0.51487,               0.045263,              0.0062575,                0.50005,                0.49995,             5.3373e-05,                      1
                     13,                0.73483,                0.51562,                 1.3848,                0.03674,                0.00045,                      0,                0.77563,                0.76969,                  0.815,                0.66237,                0.69236,                0.46703,                 1.4595,                0.03483,                0.00039,                      0,               0.008812,               0.008812,               0.008812,               0.090162,                0.34941,                0.43957,                0.10097,                0.13178,                0.51953,               0.045027,              0.0017865,                0.50036,                0.49964,             0.00035641,                 0.1593,                0.24197,                0.40127,                0.16681,                0.10079,                0.51537,               0.045057,              0.0057554,                0.50005,                0.49995,             5.5327e-05,                      1
                     14,                0.73102,                0.51226,                 1.3802,                0.03558,                0.00045,                      0,                0.74086,                0.77488,                0.79857,                0.65292,                0.69442,                0.47308,                 1.4836,                0.03385,                0.00039,                      0,               0.008713,               0.008713,               0.008713,               0.076977,                0.37264,                0.44962,               0.088432,                0.13493,                0.51997,               0.045092,              0.0016155,                0.50037,                0.49963,             0.00036118,                0.12593,                0.30371,                0.42964,                0.13532,                0.11413,                0.51601,               0.045095,              0.0053409,                0.50005,                0.49995,             5.8241e-05,                      1
                     15,                0.73005,                0.50873,                 1.3812,                0.03477,                0.00045,                      0,                0.75781,                0.76423,                0.79262,                 0.6449,                0.69611,                0.48338,                 1.4677,                0.03324,                0.00039,                      0,               0.008614,               0.008614,               0.008614,               0.070282,                0.38654,                0.45682,               0.082082,                0.13753,                0.51969,               0.044723,              0.0014789,                0.50037,                0.49963,             0.00036199,                0.10303,                0.34639,                0.44941,                0.11365,                0.12369,                0.51625,               0.044736,                0.00485,                0.50005,                0.49995,              6.066e-05,                      1
                     16,                0.72691,                0.50261,                 1.3743,                0.03407,                0.00045,                      0,                0.79288,                0.78608,                0.83721,                0.68616,                0.68211,                0.45539,                 1.4464,                0.03243,                0.00039,                      0,               0.008515,               0.008515,               0.008515,               0.064443,                0.39769,                0.46213,               0.076604,                0.13925,                0.51965,               0.044715,              0.0013567,                0.50038,                0.49962,             0.00036271,               0.084211,                0.37611,                0.46032,               0.095758,                0.13055,                 0.5166,               0.044755,              0.0044946,                0.50005,                0.49995,             6.2967e-05,                      1
                     17,                0.72373,                0.49963,                 1.3815,                0.03363,                0.00045,                      0,                0.78127,                0.78583,                0.82244,                0.67852,                0.67976,                0.45762,                 1.4519,                0.03186,                0.00039,                      0,               0.008416,               0.008416,               0.008416,               0.060523,                0.40001,                0.46053,               0.072806,                0.13988,                0.51995,               0.044672,              0.0012343,                0.50038,                0.49962,             0.00037259,               0.067056,                0.40124,                 0.4683,               0.079439,                0.13642,                0.51695,               0.044691,              0.0041847,                0.50005,                0.49995,             6.5178e-05,                      1
                     18,                0.71919,                 0.4952,                 1.3747,                 0.0334,                0.00045,                      0,                0.80497,                0.78559,                0.84506,                0.69415,                0.67549,                0.44272,                 1.4419,                 0.0313,                0.00039,                      0,               0.008317,               0.008317,               0.008317,               0.058218,                0.40171,                0.45993,               0.070718,                0.14022,                0.51979,               0.045336,              0.0011275,                0.50037,                0.49963,             0.00037564,               0.057964,                0.41581,                0.47377,               0.070979,                0.14013,                0.51704,               0.045319,              0.0039139,                0.50005,                0.49995,             6.6807e-05,                      1
                     19,                0.71729,                0.49307,                  1.381,                0.03313,                0.00045,                      0,                 0.8235,                0.79367,                0.85136,                0.70133,                 0.6748,                0.43743,                 1.4585,                0.03099,                0.00039,                      0,               0.008218,               0.008218,               0.008218,               0.055594,                0.40439,                0.45998,               0.068106,                0.14075,                 0.5197,               0.045112,              0.0010459,                0.50037,                0.49963,             0.00037706,               0.050615,                0.42948,                 0.4801,               0.063974,                0.14194,                0.51707,               0.045086,              0.0036367,                0.50005,                0.49995,             6.8644e-05,                      1
                     20,                0.71784,                0.49301,                 1.3775,                0.03249,                0.00045,                      0,                0.79703,                 0.7832,                0.83343,                0.68582,                0.67474,                0.44485,                 1.4594,                0.03067,                0.00039,                      0,               0.008119,               0.008119,               0.008119,               0.053783,                0.41228,                0.46606,               0.066314,                0.14137,                0.52002,               0.044689,             0.00096638,                0.50037,                0.49963,             0.00038706,               0.046043,                0.44269,                0.48873,               0.059576,                0.14251,                0.51723,               0.044683,              0.0033496,                0.50005,                0.49995,              7.067e-05,                      1
                     21,                0.71621,                0.48754,                 1.3775,                0.03207,                0.00045,                      0,                 0.8102,                0.79424,                0.84662,                0.69867,                0.67367,                0.43968,                 1.4575,                0.03047,                0.00039,                      0,                0.00802,                0.00802,                0.00802,               0.051709,                0.41442,                0.46613,               0.064171,                 0.1402,                0.51981,               0.044859,             0.00088079,                0.50037,                0.49963,             0.00039776,               0.043006,                0.45253,                0.49553,               0.056692,                0.14347,                0.51721,               0.044868,              0.0030864,                0.50006,                0.49994,             7.2639e-05,                      1
                     22,                0.70826,                0.48627,                 1.3713,                0.03206,                0.00045,                      0,                0.79807,                0.80258,                0.83884,                0.69386,                0.66778,                 0.4392,                 1.4354,                0.03015,                0.00039,                      0,               0.007921,               0.007921,               0.007921,               0.051316,                0.41809,                0.46941,               0.064165,                0.14246,                0.51975,               0.044888,             0.00081533,                0.50038,                0.49962,             0.00040315,               0.041379,                 0.4585,                0.49988,               0.055548,                0.14483,                0.51733,                0.04489,              0.0028625,                0.50006,                0.49994,             7.4551e-05,                      1
                     23,                0.71064,                0.48432,                 1.3836,                0.03173,                0.00045,                      0,                 0.8127,                0.80361,                0.84995,                0.70523,                0.66827,                0.42897,                 1.4438,                   0.03,                0.00039,                      0,               0.007822,               0.007822,               0.007822,               0.049284,                0.41867,                0.46795,               0.061899,                0.14116,                0.51911,               0.044792,             0.00075703,                0.50038,                0.49962,             0.00040687,               0.039064,                0.46239,                0.50146,               0.053062,                0.14414,                0.51709,               0.044795,              0.0026953,                0.50006,                0.49994,             7.5897e-05,                      1
                     24,                0.70821,                0.48323,                 1.3757,                0.03172,                0.00045,                      0,                0.80301,                0.80198,                0.84968,                0.70424,                0.66794,                0.42672,                   1.45,                0.02981,                0.00039,                      0,               0.007723,               0.007723,               0.007723,               0.048288,                0.42187,                0.47016,               0.061256,                0.14236,                0.51904,               0.045006,             0.00070937,                0.50038,                0.49962,             0.00041804,               0.037494,                 0.4689,                0.50639,               0.051972,                 0.1453,                0.51709,               0.045011,              0.0024908,                0.50006,                0.49994,              7.757e-05,                      1
                     25,                0.70452,                 0.4733,                 1.3766,                0.03172,                0.00045,                      0,                0.81382,                0.81798,                0.85711,                0.71175,                0.66341,                0.42235,                 1.4507,                0.02954,                0.00039,                      0,               0.007624,               0.007624,               0.007624,               0.048159,                0.42296,                0.47112,               0.061267,                0.14314,                0.51905,               0.044691,             0.00065994,                0.50038,                0.49962,              0.0004267,               0.036883,                0.47093,                0.50781,               0.051562,                0.14574,                0.51709,               0.044697,              0.0023246,                0.50006,                0.49994,             7.9757e-05,                      1
                     26,                0.70152,                0.47189,                 1.3759,                0.03108,                0.00045,                      0,                0.81097,                0.80234,                0.84529,                0.70035,                0.66621,                0.42676,                 1.4417,                0.02953,                0.00039,                      0,               0.007525,               0.007525,               0.007525,               0.046644,                 0.4298,                0.47644,               0.059689,                0.14316,                0.51902,               0.044732,             0.00061799,                0.50038,                0.49962,             0.00043635,               0.035763,                0.47923,                  0.515,               0.050394,                0.14585,                0.51709,               0.044715,              0.0021552,                0.50006,                0.49994,             8.1467e-05,                      1
                     27,                0.69667,                0.47106,                 1.3705,                0.03143,                0.00045,                      0,                0.80237,                0.81402,                0.85649,                0.71168,                0.66181,                0.42094,                 1.4467,                0.02932,                0.00039,                      0,               0.007426,               0.007426,               0.007426,               0.046551,                0.42535,                 0.4719,                0.05976,                0.14349,                0.51895,               0.044834,             0.00056659,                0.50039,                0.49961,             0.00044401,               0.035552,                0.47708,                0.51263,               0.050461,                0.14659,                0.51709,               0.044813,              0.0020373,                0.50006,                0.49994,              8.325e-05,                      1
                     28,                0.69814,                0.46917,                 1.3677,                0.03106,                0.00045,                      0,                0.79404,                0.80854,                0.84421,                0.70011,                0.66196,                0.42526,                 1.4404,                0.02918,                0.00039,                      0,               0.007327,               0.007327,               0.007327,               0.046052,                0.42812,                0.47417,               0.059114,                0.14316,                 0.5189,               0.044984,             0.00053118,                0.50039,                0.49961,             0.00045578,               0.034589,                0.48434,                0.51893,               0.049449,                0.14655,                0.51709,               0.044969,              0.0019151,                0.50006,                0.49994,             8.4555e-05,                      1
                     29,                0.69807,                0.46845,                  1.375,                0.03089,                0.00045,                      0,                0.82432,                0.80889,                0.85905,                0.71488,                0.66045,                 0.4189,                 1.4416,                0.02905,                0.00039,                      0,               0.007228,               0.007228,               0.007228,               0.044588,                0.43064,                0.47523,               0.057667,                0.14281,                0.51856,               0.045012,             0.00049905,                 0.5004,                 0.4996,             0.00046533,               0.033569,                0.48517,                0.51874,               0.048379,                0.14567,                0.51669,               0.045001,              0.0017772,                0.50007,                0.49993,             8.6384e-05,                      1
                     30,                0.69541,                0.46602,                 1.3683,                0.03079,                0.00045,                      0,                0.82413,                0.80627,                0.85742,                0.71293,                0.66111,                0.41764,                 1.4429,                0.02893,                 0.0004,                      0,               0.007129,               0.007129,               0.007129,               0.044863,                0.43288,                0.47775,               0.058026,                0.14338,                 0.5185,               0.045119,             0.00046665,                 0.5004,                 0.4996,             0.00047485,               0.033405,                0.48601,                0.51941,                0.04827,                0.14571,                 0.5166,               0.045123,              0.0016458,                0.50007,                0.49993,             8.8018e-05,                      1
                     31,                0.69832,                0.46647,                 1.3753,                0.03079,                0.00045,                      0,                0.82257,                0.81535,                0.85634,                0.71326,                0.65865,                0.41655,                 1.4652,                0.02889,                0.00039,                      0,                0.00703,                0.00703,                0.00703,                0.04408,                0.42951,                0.47359,               0.057138,                0.14312,                0.51854,               0.044945,             0.00044082,                 0.5004,                 0.4996,              0.0004821,               0.032772,                0.48631,                0.51908,               0.047641,                0.14594,                0.51678,               0.044959,              0.0015453,                0.50007,                0.49993,             8.9996e-05,                      1
                     32,                0.69244,                0.46091,                 1.3739,                0.03069,                0.00045,                      0,                0.84234,                0.80316,                0.86623,                0.72108,                0.65843,                0.41005,                 1.4367,                0.02879,                0.00039,                      0,               0.006931,               0.006931,               0.006931,               0.044519,                0.43348,                  0.478,               0.057769,                0.14384,                0.51855,               0.044828,              0.0004116,                 0.5004,                 0.4996,             0.00050399,               0.033096,                0.49131,                0.52441,               0.048218,                0.14704,                0.51684,                0.04483,               0.001458,                0.50007,                0.49993,             9.1384e-05,                      1
                     33,                0.69315,                0.46133,                 1.3707,                0.03052,                0.00045,                      0,                0.80208,                0.82566,                0.85847,                0.71642,                 0.6551,                 0.4096,                 1.4582,                0.02869,                0.00039,                      0,               0.006832,               0.006832,               0.006832,               0.043352,                 0.4331,                0.47645,               0.056488,                0.14281,                0.51886,                0.04474,             0.00038947,                0.50041,                0.49959,             0.00051462,               0.032162,                0.49063,                0.52279,                 0.0471,                0.14589,                0.51707,               0.044739,              0.0013662,                0.50007,                0.49993,             9.2687e-05,                      1
                     34,                0.68824,                0.45658,                 1.3678,                0.03043,                0.00044,                      0,                0.81686,                0.81871,                0.86413,                0.72064,                0.65492,                0.41043,                 1.4504,                0.02859,                0.00039,                      0,               0.006733,               0.006733,               0.006733,               0.042972,                0.43566,                0.47863,               0.056249,                0.14344,                0.51901,                0.04448,             0.00036386,                0.50041,                0.49959,             0.00052407,               0.031951,                0.49354,                0.52549,               0.047066,                0.14623,                0.51709,               0.044485,               0.001278,                0.50007,                0.49993,             9.3889e-05,                      1
                     35,                0.69018,                0.45628,                  1.372,                0.03043,                0.00045,                      0,                0.83311,                0.82342,                 0.8667,                0.72271,                0.65626,                0.40895,                 1.4571,                0.02852,                0.00039,                      0,               0.006634,               0.006634,               0.006634,               0.043287,                0.43625,                0.47954,               0.056504,                0.14351,                 0.5189,                0.04477,             0.00034804,                0.50041,                0.49959,             0.00053611,               0.032024,                0.49566,                0.52768,               0.047112,                0.14653,                0.51709,               0.044781,              0.0012007,                0.50007,                0.49993,             9.5614e-05,                      1
                     36,                0.68498,                0.45166,                 1.3633,                0.03045,                0.00045,                      0,                0.82626,                0.82138,                0.86677,                0.72452,                0.65369,                0.40654,                 1.4454,                0.02841,                0.00039,                      0,               0.006535,               0.006535,               0.006535,               0.042652,                0.43475,                 0.4774,               0.056004,                0.14292,                0.51898,               0.045146,               0.000326,                0.50042,                0.49958,             0.00055236,               0.031607,                0.49382,                0.52543,               0.046855,                0.14662,                0.51709,               0.045151,              0.0011212,                0.50008,                0.49992,              9.701e-05,                      1
