                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss, train/rgb_spatial_loss,  train/rgb_global_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,   val/rgb_spatial_loss,    val/rgb_global_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std, p2/P3_rgb_spatial_mean,  p2/P3_rgb_spatial_mse,  p2/P3_rgb_spatial_std,p2/P4_gder_attention_weight,p2/P4_gder_modality_weight,p2/P4_gder_modality_weight_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std, p2/P4_rgb_spatial_mean,  p2/P4_rgb_spatial_mse,  p2/P4_rgb_spatial_std,p2/P5_gder_attention_weight,p2/P5_gder_modality_weight,p2/P5_gder_modality_weight_std,p2/prompt_warmup_factor
                     48,                0.66987,                0.43538,                 1.3661,                0.02981,                0.00045,                      0,                0.84475,                0.82175,                0.87408,                0.73369,                0.64853,                0.39759,                 1.4452,                0.02787,                0.00039,                      0,               0.005347,               0.005347,               0.005347,               0.040231,                0.44311,                0.48334,               0.053748,                0.14318,                0.51904,               0.045018,             0.00020628,                0.50047,                0.49953,             0.00072772,               0.029331,                0.50295,                0.53228,               0.044757,                0.14612,                0.51758,               0.044985,             0.00058692,                0.50009,                0.49991,             0.00011234,                      1
                     49,                0.66614,                0.42871,                 1.3589,                0.02962,                0.00045,                      0,                0.83718,                0.82369,                0.87338,                0.73299,                0.64858,                0.39742,                 1.4471,                0.02783,                0.00039,                      0,               0.005248,               0.005248,               0.005248,               0.039708,                0.44686,                0.48657,               0.053294,                0.14334,                0.51877,               0.044875,             0.00021586,                0.50048,                0.49952,             0.00074349,               0.029393,                0.50743,                0.53683,               0.044889,                0.14656,                0.51758,               0.044868,             0.00055777,                0.50009,                0.49991,             0.00011395,                      1
                     50,                0.65984,                0.42444,                  1.361,                0.02977,                0.00045,                      0,                0.84755,                0.81869,                0.87339,                  0.733,                0.64879,                0.39662,                 1.4488,                0.02782,                0.00039,                      0,               0.005149,               0.005149,               0.005149,               0.039775,                 0.4462,                0.48598,               0.053575,                0.14396,                0.51855,               0.044862,             0.00018484,                0.50049,                0.49951,             0.00075823,                0.02927,                0.50572,                0.53499,               0.044997,                0.14685,                0.51758,               0.044839,             0.00053289,                0.50009,                0.49991,             0.00011525,                      1
                     51,                0.66415,                0.42816,                 1.3606,                0.02965,                0.00045,                      0,                0.84141,                0.82294,                0.87291,                0.73292,                0.64831,                0.39665,                 1.4482,                0.02779,                0.00039,                      0,                0.00505,                0.00505,                0.00505,                0.04017,                0.44596,                0.48613,               0.053866,                0.14402,                0.51856,               0.044819,             0.00018582,                0.50049,                0.49951,             0.00077805,               0.029109,                0.50587,                0.53498,               0.044733,                0.14637,                0.51758,               0.044818,              0.0005118,                0.50009,                0.49991,             0.00011611,                      1
                     52,                0.66023,                0.42417,                 1.3658,                 0.0294,                0.00045,                      0,                0.84021,                 0.8249,                0.87323,                0.73274,                0.64827,                0.39617,                  1.448,                0.02777,                0.00039,                      0,               0.004951,               0.004951,               0.004951,               0.038808,                0.44715,                0.48596,               0.052318,                0.14238,                0.51904,               0.045242,             0.00013033,                 0.5005,                 0.4995,             0.00079205,               0.028818,                0.50759,                0.53641,               0.044239,                0.14567,                0.51758,               0.045275,             0.00049094,                0.50009,                0.49991,             0.00011683,                      1
                     53,                0.65758,                0.42028,                  1.364,                0.02946,                0.00045,                      0,                0.82526,                0.83996,                0.87408,                0.73367,                0.64821,                0.39577,                 1.4488,                0.02775,                0.00039,                      0,               0.004852,               0.004852,               0.004852,               0.039442,                0.44953,                0.48897,               0.053086,                 0.1436,                0.51904,               0.044783,             0.00015745,                 0.5005,                 0.4995,             0.00080507,               0.028545,                0.50993,                0.53848,               0.044115,                0.14618,                0.51758,               0.044798,             0.00046896,                 0.5001,                 0.4999,             0.00011803,                      1
                     54,                0.65543,                0.41931,                 1.3646,                0.02935,                0.00045,                      0,                 0.8515,                0.81675,                0.87462,                0.73418,                0.64804,                0.39557,                 1.4479,                0.02772,                0.00039,                      0,               0.004753,               0.004753,               0.004753,               0.039423,                0.44961,                0.48904,               0.053068,                 0.1436,                0.51882,               0.044675,             0.00021041,                0.50051,                0.49949,              0.0008181,               0.028916,                0.51174,                0.54066,               0.044541,                0.14702,                0.51758,               0.044674,              0.0004503,                 0.5001,                 0.4999,              0.0001191,                      1
                     55,                0.65649,                0.41639,                 1.3598,                0.02939,                0.00045,                      0,                0.85309,                0.81715,                0.87419,                0.73393,                0.64797,                0.39525,                 1.4486,                0.02769,                0.00039,                      0,               0.004654,               0.004654,               0.004654,               0.039509,                 0.4517,                0.49121,               0.053276,                0.14417,                0.51881,               0.044612,             0.00021601,                0.50052,                0.49948,             0.00082922,               0.028773,                0.51186,                0.54064,               0.044462,                0.14681,                0.51758,               0.044619,              0.0004324,                 0.5001,                 0.4999,              0.0001199,                      1
                     56,                0.65261,                0.41662,                  1.356,                0.02947,                0.00045,                      0,                0.84241,                 0.8262,                0.87445,                0.73431,                0.64766,                0.39507,                 1.4486,                0.02768,                0.00039,                      0,               0.004555,               0.004555,               0.004555,               0.039039,                0.44954,                0.48858,               0.052882,                 0.1437,                0.51887,               0.045065,             0.00019859,                0.50052,                0.49948,             0.00084179,               0.028728,                0.50847,                 0.5372,               0.044454,                0.14628,                0.51758,               0.045084,             0.00041374,                 0.5001,                 0.4999,             0.00012088,                      1
                     57,                0.64909,                0.41091,                 1.3576,                0.02938,                0.00045,                      0,                0.84298,                  0.827,                0.87419,                0.73431,                0.64749,                 0.3949,                 1.4498,                0.02765,                0.00039,                      0,               0.004456,               0.004456,               0.004456,               0.039007,                0.45294,                0.49195,               0.052974,                0.14459,                0.51855,               0.044675,             0.00010785,                0.50052,                0.49948,             0.00086422,               0.028602,                0.51313,                0.54174,               0.044488,                0.14707,                0.51758,               0.044686,             0.00040088,                 0.5001,                 0.4999,              0.0001215,                      1
                     58,                0.65697,                 0.4163,                 1.3482,                0.02932,                0.00045,                      0,                 0.8512,                0.82012,                0.87418,                0.73429,                0.64742,                0.39496,                 1.4492,                0.02763,                0.00039,                      0,               0.004357,               0.004357,               0.004357,               0.039229,                0.45085,                0.49008,               0.052942,                 0.1439,                0.51887,               0.044837,             0.00022105,                0.50053,                0.49947,             0.00088048,               0.028665,                0.51128,                0.53994,               0.044302,                 0.1467,                0.51777,               0.044845,             0.00038953,                 0.5001,                 0.4999,             0.00012206,                      1
                     59,                0.65602,                0.41446,                 1.3654,                0.02937,                0.00045,                      0,                0.85092,                0.82054,                0.87369,                0.73396,                0.64742,                0.39482,                 1.4491,                0.02762,                0.00039,                      0,               0.004258,               0.004258,               0.004258,               0.038688,                0.44737,                0.48606,               0.052252,                 0.1427,                0.51861,               0.044539,              0.0001458,                0.50054,                0.49946,             0.00089359,               0.028317,                 0.5107,                0.53901,               0.043875,                0.14593,                0.51758,               0.044535,             0.00037444,                 0.5001,                 0.4999,             0.00012263,                      1
                     60,                0.65543,                0.41365,                 1.3548,                 0.0294,                0.00045,                      0,                0.84838,                0.82031,                0.87284,                 0.7328,                0.64717,                0.39509,                 1.4496,                 0.0276,                0.00039,                      0,               0.004159,               0.004159,               0.004159,               0.038754,                 0.4512,                0.48995,                0.05263,                 0.1442,                0.51894,               0.044847,              0.0001859,                0.50054,                0.49946,             0.00090872,               0.028125,                0.51057,                 0.5387,               0.043905,                 0.1467,                0.51769,               0.044845,             0.00036274,                 0.5001,                 0.4999,             0.00012337,                      1
                     61,                0.64886,                0.40784,                 1.3553,                0.02926,                0.00045,                      0,                0.84422,                0.82465,                0.87301,                0.73284,                0.64702,                0.39494,                 1.4501,                0.02759,                0.00039,                      0,                0.00406,                0.00406,                0.00406,               0.038794,                0.45168,                0.49047,                0.05264,                0.14358,                0.51904,               0.045149,             9.7572e-05,                0.50055,                0.49945,             0.00092555,               0.028279,                0.51316,                0.54144,               0.044085,                0.14676,                0.51807,               0.045153,             0.00035375,                0.50011,                0.49989,             0.00012453,                      1
                     62,                0.64627,                0.40772,                  1.354,                0.02925,                0.00045,                      0,                0.84385,                0.82321,                0.87197,                0.73245,                0.64708,                0.39521,                 1.4494,                0.02757,                0.00039,                      0,               0.003961,               0.003961,               0.003961,               0.038765,                0.45096,                0.48972,               0.052562,                0.14365,                0.51875,               0.045012,             0.00017808,                0.50056,                0.49944,             0.00094407,               0.028028,                0.51211,                0.54014,               0.043784,                0.14619,                0.51768,               0.045011,             0.00034223,                0.50011,                0.49989,             0.00012525,                      1
                     63,                0.64862,                0.40781,                 1.3607,                0.02923,                0.00045,                      0,                0.84424,                0.82158,                0.87174,                0.73222,                0.64695,                0.39519,                 1.4504,                0.02756,                0.00039,                      0,               0.003862,               0.003862,               0.003862,               0.038327,                0.45222,                0.49055,               0.052005,                0.14334,                0.51855,               0.044763,             6.7535e-05,                0.50057,                0.49943,             0.00095992,               0.027853,                0.51276,                0.54061,               0.043445,                0.14585,                0.51758,               0.044758,             0.00033133,                0.50011,                0.49989,             0.00012583,                      1
                     64,                0.64704,                0.40754,                  1.356,                0.02896,                0.00045,                      0,                0.84433,                0.82142,                0.87131,                0.73182,                0.64681,                0.39511,                 1.4508,                0.02755,                0.00039,                      0,               0.003763,               0.003763,               0.003763,               0.038296,                0.45365,                0.49195,               0.051793,                0.14305,                0.51855,               0.044515,             6.9777e-05,                0.50057,                0.49943,             0.00097033,               0.027812,                0.51531,                0.54312,               0.043225,                0.14539,                0.51758,               0.044522,             0.00032551,                0.50011,                0.49989,             0.00012645,                      1
                     65,                0.64199,                0.40279,                 1.3521,                 0.0293,                0.00045,                      0,                0.84531,                0.82031,                0.87104,                 0.7318,                0.64668,                0.39509,                 1.4508,                0.02754,                0.00039,                      0,               0.003664,               0.003664,               0.003664,               0.038507,                0.45371,                0.49221,               0.052552,                0.14458,                0.51855,               0.044944,             6.3983e-05,                0.50057,                0.49943,             0.00098362,               0.027964,                  0.512,                0.53997,                0.04389,                0.14662,                0.51766,               0.044953,             0.00032016,                0.50011,                0.49989,               0.000127,                      1
                     66,                0.64091,                0.40119,                  1.354,                0.02909,                0.00045,                      0,                0.84555,                0.81984,                0.87061,                0.73192,                0.64666,                0.39503,                 1.4507,                0.02753,                0.00039,                      0,               0.003565,               0.003565,               0.003565,               0.037993,                0.45382,                0.49181,               0.051805,                0.14363,                0.51855,               0.045147,             0.00010538,                0.50058,                0.49942,             0.00099782,               0.027663,                0.51378,                0.54145,               0.043376,                0.14582,                0.51758,               0.045138,             0.00031231,                0.50011,                0.49989,             0.00012776,                      1
                     67,                0.64612,                  0.401,                  1.346,                0.02925,                0.00045,                      0,                0.84349,                0.82065,                0.87024,                0.73142,                0.64666,                0.39503,                  1.451,                0.02752,                0.00039,                      0,               0.003466,               0.003466,               0.003466,               0.038116,                0.45008,                0.48819,               0.051863,                0.14361,                0.51855,               0.044805,             7.0012e-05,                0.50059,                0.49941,              0.0010173,               0.027688,                0.51072,                0.53841,               0.043356,                0.14576,                0.51788,               0.044805,             0.00030569,                0.50011,                0.49989,             0.00012858,                      1
                     68,                 0.6384,                0.39608,                 1.3553,                  0.029,                0.00045,                      0,                0.84497,                0.81901,                0.87025,                0.73168,                0.64655,                0.39495,                 1.4516,                0.02751,                0.00039,                      0,               0.003367,               0.003367,               0.003367,               0.038629,                0.45803,                0.49666,                0.05259,                 0.1449,                0.51841,               0.045092,             0.00019041,                0.50059,                0.49941,              0.0010315,                0.02781,                 0.5161,                0.54391,               0.043629,                0.14631,                0.51765,               0.045076,             0.00029761,                0.50011,                0.49989,             0.00012921,                      1
                     69,                0.63806,                0.39558,                 1.3542,                  0.029,                0.00045,                      0,                0.84126,                0.81912,                0.86965,                0.73111,                0.64642,                0.39497,                 1.4521,                 0.0275,                0.00039,                      0,               0.003268,               0.003268,               0.003268,               0.037878,                0.45625,                0.49413,               0.051944,                0.14426,                0.51855,               0.044811,             0.00010416,                 0.5006,                 0.4994,              0.0010383,               0.027329,                0.51643,                0.54376,               0.043318,                0.14671,                0.51758,               0.044802,             0.00029563,                0.50011,                0.49989,             0.00012976,                      1
                     70,                0.63714,                0.39418,                 1.3435,                0.02896,                0.00045,                      0,                0.83963,                0.82107,                 0.8694,                 0.7311,                0.64637,                0.39505,                 1.4525,                0.02749,                0.00039,                      0,               0.003169,               0.003169,               0.003169,                  0.038,                0.45723,                0.49523,               0.052069,                0.14439,                0.51855,               0.045007,             0.00016175,                0.50061,                0.49939,              0.0010511,               0.027655,                0.51667,                0.54432,               0.043632,                0.14675,                0.51758,               0.045025,              0.0002909,                0.50011,                0.49989,             0.00013054,                      1
                     71,                0.63635,                0.39557,                 1.3475,                 0.0289,                0.00045,                      0,                0.83655,                0.82307,                0.86939,                0.73131,                0.64636,                0.39511,                 1.4527,                0.02748,                0.00039,                      0,                0.00307,                0.00307,                0.00307,                0.03775,                 0.4532,                0.49095,               0.051423,                0.14301,                0.51851,               0.045142,             0.00013242,                0.50062,                0.49938,              0.0010598,               0.027199,                0.51601,                0.54321,               0.042852,                0.14558,                0.51758,               0.045149,             0.00028636,                0.50011,                0.49989,             0.00013129,                      1
                     72,                 0.6339,                0.39037,                 1.3437,                0.02912,                0.00045,                      0,                0.82929,                0.82914,                0.86894,                0.73066,                0.64627,                0.39512,                 1.4529,                0.02747,                0.00039,                      0,               0.002971,               0.002971,               0.002971,               0.037751,                0.45284,                 0.4906,               0.051718,                0.14379,                0.51855,               0.044885,              7.179e-05,                0.50062,                0.49938,              0.0010654,                0.02747,                0.51412,                0.54159,               0.043407,                0.14649,                0.51758,               0.044883,             0.00028083,                0.50012,                0.49988,             0.00013189,                      1
                     73,                0.63147,                 0.3894,                 1.3476,                0.02885,                0.00045,                      0,                0.83075,                0.82847,                0.86856,                 0.7304,                0.64608,                0.39497,                 1.4531,                0.02746,                0.00039,                      0,               0.002872,               0.002872,               0.002872,               0.037173,                0.45505,                0.49222,               0.051082,                0.14323,                0.51855,               0.045083,             6.8257e-05,                0.50063,                0.49937,                0.00107,               0.027165,                0.51887,                0.54604,               0.043109,                0.14646,                0.51758,               0.045059,             0.00027896,                0.50012,                0.49988,             0.00013228,                      1
                     74,                0.63002,                0.38853,                 1.3418,                0.02887,                0.00045,                      0,                0.83488,                0.82321,                0.86868,                0.73083,                0.64591,                0.39495,                  1.453,                0.02745,                0.00039,                      0,               0.002773,               0.002773,               0.002773,               0.037384,                  0.457,                0.49438,               0.051281,                0.14357,                0.51855,               0.044682,             0.00010449,                0.50063,                0.49937,              0.0010818,               0.027317,                0.51855,                0.54587,               0.043167,                0.14633,                0.51783,               0.044682,             0.00027588,                0.50012,                0.49988,             0.00013264,                      1
                     75,                0.62911,                 0.3867,                 1.3419,                0.02888,                0.00045,                      0,                0.83404,                0.82477,                 0.8685,                0.73069,                 0.6458,                  0.395,                 1.4532,                0.02744,                0.00039,                      0,               0.002674,               0.002674,               0.002674,               0.037596,                0.45715,                0.49475,               0.051481,                0.14399,                0.51855,               0.044825,             6.4845e-05,                0.50064,                0.49936,              0.0010966,               0.027312,                0.51792,                0.54524,               0.043126,                0.14613,                 0.5176,               0.044849,             0.00027344,                0.50012,                0.49988,             0.00013305,                      1
                     76,                0.62726,                0.38612,                 1.3382,                0.02875,                0.00045,                      0,                0.83183,                0.82553,                0.86843,                0.73052,                0.64573,                0.39506,                 1.4533,                0.02743,                0.00039,                      0,               0.002575,               0.002575,               0.002575,               0.037198,                0.45794,                0.49514,               0.051056,                0.14348,                0.51855,               0.045009,             5.2193e-05,                0.50065,                0.49935,              0.0010992,               0.026827,                0.51816,                0.54499,               0.042583,                0.14561,                0.51797,               0.045026,             0.00026914,                0.50012,                0.49988,             0.00013346,                      1
                     77,                0.62704,                 0.3831,                 1.3386,                0.02881,                0.00045,                      0,                0.83151,                0.82559,                 0.8683,                0.73053,                0.64561,                  0.395,                 1.4536,                0.02742,                0.00039,                      0,               0.002476,               0.002476,               0.002476,               0.037333,                0.45987,                 0.4972,               0.051367,                 0.1443,                0.51855,               0.044748,             5.4284e-05,                0.50065,                0.49935,              0.0011084,               0.027301,                0.51978,                0.54708,               0.043244,                0.14662,                0.51807,               0.044755,             0.00024949,                0.50012,                0.49988,             0.00013362,                      1
                     78,                0.62515,                0.38106,                 1.3413,                0.02866,                0.00045,                      0,                0.83231,                0.82603,                 0.8683,                0.73055,                0.64555,                0.39487,                 1.4542,                0.02741,                0.00039,                      0,               0.002377,               0.002377,               0.002377,               0.037753,                0.46092,                0.49867,               0.051758,                0.14446,                0.51855,               0.045007,             5.9324e-05,                0.50065,                0.49935,              0.0011165,               0.026977,                 0.5207,                0.54768,               0.042871,                0.14625,                0.51807,               0.045004,             0.00025078,                0.50012,                0.49988,             0.00013392,                      1
                     79,                0.62724,                 0.3817,                 1.3426,                 0.0287,                0.00045,                      0,                0.82623,                0.83281,                 0.8679,                0.73055,                0.64556,                0.39484,                 1.4548,                 0.0274,                0.00039,                      0,               0.002278,               0.002278,               0.002278,               0.037261,                0.45856,                0.49582,               0.051095,                 0.1438,                0.51855,               0.044836,             8.3566e-05,                0.50066,                0.49934,               0.001126,               0.026987,                 0.5213,                0.54829,               0.042805,                0.14607,                0.51807,               0.044825,             0.00026007,                0.50012,                0.49988,             0.00013422,                      1
                     80,                0.62083,                0.37958,                 1.3367,                0.02863,                0.00045,                      0,                0.82874,                0.83186,                0.86808,                0.73057,                0.64547,                0.39485,                 1.4549,                0.02739,                0.00039,                      0,               0.002179,               0.002179,               0.002179,                0.03708,                 0.4593,                0.49638,               0.051037,                0.14386,                0.51855,               0.044755,             6.5208e-05,                0.50067,                0.49933,              0.0011308,               0.026579,                0.51906,                0.54564,               0.042437,                0.14563,                0.51807,               0.044739,             0.00024764,                0.50012,                0.49988,             0.00013426,                      1
                     81,                 0.6208,                 0.3754,                 1.3461,                0.02888,                0.00045,                      0,                0.83171,                0.82939,                0.86802,                0.73103,                0.64547,                 0.3951,                 1.4553,                0.02738,                0.00039,                      0,                0.00208,                0.00208,                0.00208,               0.036852,                0.45899,                0.49584,               0.050967,                0.14446,                0.51855,               0.045128,              7.869e-05,                0.50067,                0.49933,              0.0011424,               0.026761,                0.51949,                0.54625,               0.042827,                0.14664,                0.51807,               0.045139,             0.00023853,                0.50012,                0.49988,             0.00013447,                      1
                     82,                0.62297,                0.37733,                  1.335,                 0.0288,                0.00045,                      0,                0.83154,                 0.8303,                0.86792,                0.73089,                0.64551,                0.39516,                 1.4554,                0.02738,                0.00039,                      0,               0.001981,               0.001981,               0.001981,               0.037327,                0.45827,                 0.4956,               0.051294,                0.14416,                0.51812,               0.044866,             0.00017568,                0.50068,                0.49932,              0.0011505,                0.02687,                0.51824,                0.54511,               0.042756,                0.14594,                0.51807,               0.044865,             0.00024223,                0.50012,                0.49988,             0.00013463,                      1
                     83,                0.61619,                0.37102,                 1.3337,                0.02884,                0.00045,                      0,                0.82286,                0.83722,                0.86767,                 0.7305,                0.64555,                0.39526,                 1.4555,                0.02737,                0.00039,                      0,               0.001882,               0.001882,               0.001882,               0.036999,                0.45879,                0.49579,               0.051279,                0.14467,                0.51807,               0.044983,             8.8936e-05,                0.50068,                0.49932,              0.0011519,               0.026801,                0.51896,                0.54576,               0.043025,                0.14665,                0.51807,               0.044966,             0.00023799,                0.50012,                0.49988,              0.0001349,                      1
                     84,                0.61785,                 0.3744,                 1.3395,                0.02868,                0.00045,                      0,                0.82292,                0.83875,                0.86732,                0.73042,                0.64554,                0.39545,                 1.4558,                0.02736,                0.00039,                      0,               0.001783,               0.001783,               0.001783,               0.037371,                0.45662,                0.49399,               0.051151,                0.14371,                0.51807,               0.044706,             0.00010785,                0.50069,                0.49931,              0.0011544,               0.026809,                 0.5203,                0.54711,               0.042591,                0.14586,                0.51807,               0.044716,             0.00022778,                0.50012,                0.49988,             0.00013508,                      1
                     85,                0.61835,                0.37134,                 1.3393,                0.02875,                0.00045,                      0,                 0.8213,                0.83946,                0.86683,                0.73023,                0.64544,                0.39551,                 1.4562,                0.02735,                0.00039,                      0,               0.001684,               0.001684,               0.001684,               0.036548,                0.45791,                0.49446,               0.050482,                0.14374,                0.51807,               0.044722,             4.5636e-05,                0.50069,                0.49931,              0.0011574,               0.026652,                0.51904,                0.54569,               0.042511,                0.14575,                0.51807,                0.04473,             0.00023228,                0.50012,                0.49988,              0.0001352,                      1
                     86,                 0.6135,                0.36914,                 1.3373,                 0.0286,                0.00044,                      0,                0.82074,                0.83895,                0.86663,                0.72998,                0.64546,                0.39569,                 1.4567,                0.02734,                0.00039,                      0,               0.001585,               0.001585,               0.001585,               0.037444,                0.46368,                0.50112,               0.051632,                0.14548,                0.51807,               0.044403,              9.208e-05,                 0.5007,                 0.4993,               0.001161,               0.026816,                 0.5236,                0.55041,               0.042908,                0.14669,                0.51807,               0.044414,             0.00021531,                0.50012,                0.49988,             0.00013532,                      1
                     87,                  0.611,                0.36661,                  1.328,                 0.0287,                0.00045,                      0,                0.82292,                0.83654,                 0.8664,                0.72973,                 0.6455,                0.39584,                 1.4572,                0.02734,                0.00039,                      0,               0.001486,               0.001486,               0.001486,                0.03661,                0.46111,                0.49772,               0.050828,                0.14444,                0.51807,               0.044691,             7.3811e-05,                 0.5007,                 0.4993,              0.0011688,               0.026463,                0.52216,                0.54862,                0.04265,                 0.1466,                0.51807,               0.044696,             0.00021048,                0.50012,                0.49988,             0.00013544,                      1
                     88,                0.61151,                0.36728,                 1.3387,                0.02878,                0.00045,                      0,                0.82549,                 0.8356,                0.86619,                0.72981,                0.64547,                0.39581,                  1.458,                0.02733,                0.00039,                      0,               0.001387,               0.001387,               0.001387,               0.037397,                0.45907,                0.49646,               0.051398,                0.14458,                 0.5181,               0.044509,             0.00013777,                0.50071,                0.49929,              0.0011729,               0.026737,                0.52041,                0.54715,                0.04268,                0.14626,                0.51807,               0.044536,             0.00020173,                0.50012,                0.49988,              0.0001355,                      1
                     89,                0.60869,                0.36321,                 1.3357,                0.02872,                0.00045,                      0,                0.82661,                0.83473,                0.86554,                0.72895,                0.64548,                0.39602,                 1.4585,                0.02732,                0.00039,                      0,               0.001288,               0.001288,               0.001288,               0.036873,                0.46039,                0.49726,               0.051123,                0.14453,                0.51807,               0.044723,             0.00011654,                0.50071,                0.49929,              0.0011741,               0.026548,                0.52076,                0.54731,               0.042736,                0.14655,                0.51807,                0.04472,             0.00019167,                0.50012,                0.49988,             0.00013565,                      1
                     90,                 0.6062,                0.36352,                 1.3277,                0.02849,                0.00045,                      0,                0.82627,                0.83457,                0.86529,                0.72885,                0.64543,                 0.3961,                 1.4589,                0.02731,                0.00039,                      0,               0.001189,               0.001189,               0.001189,               0.037017,                0.46284,                0.49986,               0.051094,                0.14465,                0.51807,               0.044752,             8.6085e-05,                0.50072,                0.49928,              0.0011783,               0.026586,                0.52555,                0.55214,               0.042652,                0.14662,                0.51807,               0.044754,             0.00019532,                0.50012,                0.49988,             0.00013584,                      1
                     91,                 0.6066,                 0.3605,                 1.3241,                0.02865,                0.00045,                      0,                0.83019,                0.83072,                0.86489,                0.72855,                0.64547,                 0.3964,                 1.4593,                0.02731,                0.00039,                      0,                0.00109,                0.00109,                0.00109,               0.036582,                0.46201,                0.49859,               0.050817,                0.14456,                0.51807,               0.044649,             9.2689e-05,                0.50073,                0.49927,              0.0011825,               0.026262,                0.52332,                0.54958,                0.04246,                0.14651,                0.51807,                0.04465,             0.00018995,                0.50012,                0.49988,             0.00013587,                      1
                     92,                0.60535,                0.35838,                 1.3275,                0.02846,                0.00045,                      0,                0.82906,                0.83227,                0.86465,                0.72852,                 0.6454,                0.39642,                 1.4597,                 0.0273,                0.00039,                      0,               0.000991,               0.000991,               0.000991,               0.036197,                0.46392,                0.50011,               0.050373,                0.14411,                0.51807,               0.044863,             0.00013614,                0.50073,                0.49927,              0.0011857,               0.026198,                0.52508,                0.55128,               0.042308,                0.14625,                0.51807,               0.044844,             0.00018341,                0.50013,                0.49987,             0.00013606,                      1
                     93,                0.60236,                0.35538,                 1.3284,                0.02849,                0.00045,                      0,                0.82806,                0.83306,                 0.8642,                0.72825,                0.64541,                0.39646,                   1.46,                0.02729,                0.00039,                      0,               0.000892,               0.000892,               0.000892,               0.036236,                0.46225,                0.49849,               0.050364,                  0.144,                0.51807,               0.045073,             7.3429e-05,                0.50073,                0.49927,              0.0011856,               0.026104,                 0.5253,                0.55141,               0.042229,                0.14637,                0.51807,               0.045071,             0.00018556,                0.50013,                0.49987,             0.00013616,                      1
                     94,                0.60321,                0.35777,                 1.3254,                0.02857,                0.00045,                      0,                0.82943,                0.83267,                0.86404,                0.72772,                0.64553,                0.39658,                 1.4603,                0.02728,                0.00039,                      0,               0.000793,               0.000793,               0.000793,               0.036286,                0.46325,                0.49954,                 0.0506,                0.14467,                0.51807,               0.045167,             4.3529e-05,                0.50074,                0.49926,              0.0011877,               0.026047,                 0.5236,                0.54965,               0.042286,                0.14623,                0.51807,               0.045155,             0.00019015,                0.50013,                0.49987,             0.00013625,                      1
                     95,                0.60145,                0.35806,                 1.3207,                 0.0283,                0.00045,                      0,                0.82898,                0.83337,                0.86397,                 0.7277,                0.64552,                0.39665,                 1.4606,                0.02728,                0.00039,                      0,               0.000694,               0.000694,               0.000694,               0.036043,                0.46634,                0.50238,               0.050244,                 0.1442,                0.51807,               0.044752,             1.9904e-05,                0.50074,                0.49926,              0.0011903,               0.025954,                0.52591,                0.55187,               0.042032,                0.14586,                0.51807,               0.044739,             0.00019459,                0.50013,                0.49987,             0.00013625,                      1
                     96,                0.59788,                0.35334,                 1.3177,                0.02821,                0.00045,                      0,                0.83357,                0.83007,                0.86403,                0.72784,                0.64553,                0.39675,                  1.461,                0.02727,                0.00039,                      0,               0.000595,               0.000595,               0.000595,                0.03606,                 0.4632,                0.49926,               0.049937,                0.14334,                0.51807,               0.044979,             2.6857e-05,                0.50074,                0.49926,              0.0011891,                0.02596,                 0.5288,                0.55476,               0.041884,                0.14591,                0.51807,                  0.045,             0.00019236,                0.50013,                0.49987,             0.00013625,                      1
                     97,                 0.5954,                0.35139,                 1.3188,                0.02847,                0.00045,                      0,                0.83537,                0.82876,                0.86376,                0.72741,                0.64544,                0.39681,                 1.4613,                0.02726,                0.00039,                      0,               0.000496,               0.000496,               0.000496,               0.036593,                0.46454,                0.50113,               0.050966,                0.14491,                0.51807,               0.044718,             1.6961e-05,                0.50074,                0.49926,              0.0011899,               0.025912,                0.52495,                0.55087,               0.042218,                0.14644,                0.51807,               0.044728,             0.00019076,                0.50013,                0.49987,             0.00013632,                      1
                     98,                0.59761,                0.35186,                 1.3272,                0.02826,                0.00045,                      0,                0.83541,                0.82826,                0.86343,                0.72752,                0.64547,                0.39688,                 1.4616,                0.02725,                0.00039,                      0,               0.000397,               0.000397,               0.000397,               0.035945,                0.46248,                0.49843,                0.04992,                0.14306,                0.51807,               0.044948,             8.5915e-06,                0.50075,                0.49925,              0.0011902,               0.025795,                0.52527,                0.55107,               0.041752,                 0.1454,                0.51807,               0.044956,             0.00018935,                0.50013,                0.49987,             0.00013634,                      1
