                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss,  train/rgb_prompt_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,    val/rgb_prompt_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,p2/prompt_warmup_factor
                     69,                0.63816,                0.39561,                 1.3534,                0.02893,                      0,                0.83691,                0.82663,                0.86536,                0.72772,                0.64598,                0.39648,                 1.4574,                0.02747,                      0,               0.003268,               0.003268,               0.003268,               0.037856,                0.45606,                0.49391,               0.051917,                0.14415,                0.02727,                0.51718,                0.54445,               0.043288,                0.14653,                      1
                     70,                0.63633,                0.39319,                 1.3437,                0.02888,                      0,                 0.8359,                0.82499,                0.86547,                0.72773,                0.64592,                0.39642,                 1.4575,                0.02745,                      0,               0.003169,               0.003169,               0.003169,               0.037721,                0.45756,                0.49528,               0.051803,                0.14419,               0.027442,                0.51831,                0.54575,                0.04347,                0.14686,                      1
                     71,                 0.6361,                0.39585,                 1.3469,                0.02882,                      0,                0.83559,                0.82535,                0.86546,                0.72777,                0.64595,                0.39638,                 1.4576,                0.02745,                      0,                0.00307,                0.00307,                0.00307,               0.037467,                0.45239,                0.48986,               0.051118,                0.14258,               0.027135,                0.51645,                0.54358,               0.042803,                0.14551,                      1
                     72,                0.63412,                0.39196,                 1.3446,                0.02905,                      0,                0.83253,                0.83108,                0.86526,                0.72781,                 0.6459,                0.39638,                 1.4578,                0.02744,                      0,               0.002971,               0.002971,               0.002971,               0.037643,                0.45342,                0.49106,               0.051623,                 0.1438,               0.027116,                0.51511,                0.54222,               0.043091,                0.14626,                      1
                     73,                 0.6307,                0.38814,                 1.3505,                0.02878,                      0,                0.83832,                 0.8252,                0.86486,                0.72735,                0.64589,                0.39643,                 1.4579,                0.02743,                      0,               0.002872,               0.002872,               0.002872,               0.037293,                0.45697,                0.49426,               0.051265,                 0.1437,               0.026945,                0.51944,                0.54638,               0.042907,                0.14631,                      1
                     74,                0.62873,                0.38758,                 1.3438,                0.02884,                      0,                0.83656,                0.82691,                0.86446,                0.72708,                0.64591,                0.39663,                 1.4577,                0.02742,                      0,               0.002773,               0.002773,               0.002773,               0.037178,                0.45679,                0.49397,               0.051066,                0.14351,                0.02693,                0.51869,                0.54562,               0.042785,                0.14615,                      1
                     75,                 0.6283,                0.38536,                  1.344,                0.02881,                      0,                0.83906,                0.82369,                0.86412,                0.72677,                0.64583,                0.39663,                 1.4579,                0.02741,                      0,               0.002674,               0.002674,               0.002674,               0.037316,                0.45691,                0.49423,               0.051203,                0.14364,               0.027087,                0.51939,                0.54647,               0.042942,                 0.1461,                      1
                     76,                0.62603,                0.38411,                 1.3403,                0.02869,                      0,                0.83824,                0.82507,                 0.8641,                0.72686,                0.64587,                0.39655,                 1.4581,                 0.0274,                      0,               0.002575,               0.002575,               0.002575,               0.036912,                0.45637,                0.49328,                0.05072,                0.14275,               0.026692,                0.51867,                0.54537,               0.042467,                0.14551,                      1
                     77,                0.62635,                0.38247,                 1.3409,                0.02875,                      0,                0.84045,                0.82415,                0.86391,                0.72675,                0.64574,                0.39668,                 1.4586,                0.02739,                      0,               0.002476,               0.002476,               0.002476,                0.03756,                0.45973,                0.49729,               0.051595,                0.14448,               0.027208,                0.52018,                0.54739,               0.043162,                0.14637,                      1
                     78,                0.62433,                0.38091,                 1.3403,                0.02862,                      0,                0.84063,                0.82333,                0.86365,                0.72645,                 0.6457,                0.39662,                 1.4588,                0.02738,                      0,               0.002377,               0.002377,               0.002377,               0.037519,                0.45919,                0.49671,               0.051465,                  0.144,               0.026834,                0.52159,                0.54842,               0.042758,                0.14608,                      1
                     79,                0.62704,                0.38256,                  1.341,                0.02866,                      0,                0.83997,                0.82351,                0.86309,                0.72618,                0.64571,                0.39668,                 1.4591,                0.02737,                      0,               0.002278,               0.002278,               0.002278,               0.037238,                 0.4573,                0.49454,               0.051038,                0.14346,               0.026935,                0.52155,                0.54849,               0.042764,                0.14592,                      1
                     80,                0.61972,                0.37867,                 1.3397,                0.02858,                      0,                0.84079,                0.82294,                0.86319,                 0.7262,                0.64565,                0.39663,                 1.4595,                0.02736,                      0,               0.002179,               0.002179,               0.002179,               0.036928,                0.45919,                0.49612,               0.050887,                0.14362,               0.026614,                 0.5208,                0.54741,               0.042533,                0.14594,                      1
                     81,                0.62018,                0.37537,                 1.3438,                0.02884,                      0,                0.84189,                 0.8217,                0.86298,                0.72626,                0.64559,                0.39686,                 1.4597,                0.02735,                      0,                0.00208,                0.00208,                0.00208,               0.037005,                0.45781,                0.49481,               0.051087,                0.14409,               0.026739,                0.51942,                0.54616,               0.042806,                0.14643,                      1
                     82,                 0.6221,                0.37613,                 1.3368,                0.02875,                      0,                0.84234,                 0.8209,                0.86244,                0.72614,                0.64566,                0.39707,                 1.4601,                0.02735,                      0,               0.001981,               0.001981,               0.001981,               0.037016,                0.45708,                0.49409,               0.050948,                0.14363,               0.026722,                0.51927,                  0.546,               0.042637,                0.14583,                      1
                     83,                0.61562,                0.37098,                 1.3328,                0.02876,                      0,                0.84854,                0.81792,                0.86187,                0.72552,                0.64561,                0.39712,                 1.4604,                0.02734,                      0,               0.001882,               0.001882,               0.001882,               0.036703,                0.45854,                0.49525,               0.050973,                 0.1443,               0.026478,                0.52053,                0.54701,               0.042755,                0.14659,                      1
                     84,                0.61752,                0.37469,                 1.3392,                0.02864,                      0,                0.84519,                0.82024,                0.86162,                0.72514,                0.64558,                0.39735,                 1.4606,                0.02733,                      0,               0.001783,               0.001783,               0.001783,               0.037306,                0.45576,                0.49307,                0.05106,                0.14354,                0.02681,                0.52039,                 0.5472,               0.042598,                0.14555,                      1
                     85,                0.61838,                 0.3718,                 1.3389,                0.02872,                      0,                0.84733,                0.81921,                0.86154,                0.72506,                 0.6456,                0.39756,                  1.461,                0.02733,                      0,               0.001684,               0.001684,               0.001684,               0.036573,                 0.4577,                0.49427,               0.050502,                0.14387,                0.02656,                 0.5195,                0.54606,               0.042439,                0.14574,                      1
                     86,                0.61387,                0.37026,                 1.3325,                0.02856,                      0,                0.85005,                0.81722,                0.86104,                0.72485,                0.64565,                0.39779,                 1.4609,                0.02732,                      0,               0.001585,               0.001585,               0.001585,                0.03706,                0.46285,                0.49991,               0.051225,                0.14497,               0.026674,                0.52427,                0.55095,               0.042787,                0.14673,                      1
                     87,                0.61088,                0.36645,                 1.3279,                0.02865,                      0,                0.85018,                 0.8165,                0.86085,                0.72494,                0.64564,                0.39773,                 1.4612,                0.02731,                      0,               0.001486,               0.001486,               0.001486,               0.036812,                 0.4605,                0.49732,               0.051014,                 0.1444,               0.026212,                 0.5229,                0.54911,               0.042427,                0.14646,                      1
                     88,                0.61179,                0.36879,                 1.3343,                0.02873,                      0,                0.85104,                0.81671,                0.86073,                0.72484,                0.64569,                0.39782,                 1.4612,                 0.0273,                      0,               0.001387,               0.001387,               0.001387,               0.037239,                0.45873,                0.49597,               0.051232,                 0.1444,               0.026559,                0.52135,                0.54791,               0.042534,                0.14611,                      1
                     89,                0.60882,                0.36397,                 1.3348,                0.02869,                      0,                 0.8504,                0.81686,                0.86063,                 0.7247,                0.64579,                0.39797,                 1.4616,                 0.0273,                      0,               0.001288,               0.001288,               0.001288,               0.036724,                0.45971,                0.49644,               0.050955,                0.14429,               0.026236,                 0.5213,                0.54754,               0.042445,                0.14634,                      1
                     90,                 0.6055,                0.36357,                 1.3262,                0.02844,                      0,                0.85081,                0.81574,                 0.8604,                0.72475,                0.64584,                 0.3981,                 1.4619,                0.02729,                      0,               0.001189,               0.001189,               0.001189,               0.036592,                 0.4621,                0.49869,               0.050644,                0.14401,               0.026373,                0.52575,                0.55212,               0.042445,                 0.1463,                      1
                     91,                0.60691,                0.36125,                 1.3255,                0.02861,                      0,                0.84982,                 0.8162,                0.86032,                 0.7245,                0.64584,                0.39811,                 1.4621,                0.02728,                      0,                0.00109,                0.00109,                0.00109,               0.036629,                0.46178,                0.49841,               0.050855,                0.14437,               0.026169,                0.52337,                0.54954,               0.042368,                0.14611,                      1
                     92,                0.60468,                0.35748,                 1.3288,                0.02841,                      0,                0.84995,                0.81685,                0.86011,                0.72468,                0.64595,                0.39827,                 1.4625,                0.02727,                      0,               0.000991,               0.000991,               0.000991,               0.036161,                0.46237,                0.49853,               0.050293,                0.14347,               0.026017,                0.52607,                0.55209,               0.042163,                0.14611,                      1
                     93,                0.60252,                0.35535,                 1.3328,                0.02844,                      0,                0.84992,                0.81768,                0.85979,                0.72446,                0.64605,                0.39837,                  1.463,                0.02727,                      0,               0.000892,               0.000892,               0.000892,               0.036347,                0.46255,                0.49889,               0.050485,                0.14398,               0.026111,                0.52514,                0.55125,               0.042235,                0.14601,                      1
                     94,                0.60266,                0.35767,                 1.3277,                0.02852,                      0,                0.84947,                 0.8187,                0.85952,                0.72427,                 0.6461,                0.39853,                 1.4635,                0.02726,                      0,               0.000793,               0.000793,               0.000793,               0.036279,                0.46248,                0.49876,               0.050572,                0.14434,               0.025998,                0.52413,                0.55013,               0.042259,                0.14621,                      1
                     95,                0.60083,                0.35752,                 1.3222,                0.02826,                      0,                 0.8475,                0.81951,                0.85933,                0.72421,                0.64614,                0.39869,                 1.4639,                0.02725,                      0,               0.000694,               0.000694,               0.000694,                0.03579,                0.46504,                0.50083,               0.049953,                0.14375,               0.025712,                0.52687,                0.55258,               0.041831,                0.14599,                      1
                     96,                0.59736,                0.35236,                 1.3203,                0.02818,                      0,                0.84807,                0.81946,                0.85933,                0.72435,                0.64623,                0.39896,                 1.4642,                0.02724,                      0,               0.000595,               0.000595,               0.000595,               0.035992,                0.46257,                0.49856,               0.049851,                0.14298,               0.025758,                0.52698,                0.55274,               0.041631,                0.14529,                      1
                     97,                0.59502,                0.35124,                 1.3164,                0.02842,                      0,                0.84816,                0.81969,                0.85891,                0.72392,                 0.6463,                0.39912,                 1.4645,                0.02724,                      0,               0.000496,               0.000496,               0.000496,               0.036247,                0.46333,                0.49958,               0.050582,                0.14435,                0.02572,                0.52522,                0.55094,               0.042039,                 0.1461,                      1
                     98,                 0.5971,                0.35135,                 1.3298,                0.02821,                      0,                0.85168,                0.81801,                0.85864,                0.72397,                0.64639,                0.39933,                 1.4648,                0.02723,                      0,               0.000397,               0.000397,               0.000397,               0.036006,                0.46171,                0.49771,                0.04996,                0.14289,                0.02555,                0.52605,                 0.5516,               0.041531,                0.14515,                      1
                     99,                0.59528,                0.34986,                 1.3194,                0.02832,                      0,                0.85052,                0.81838,                0.85823,                0.72368,                0.64635,                0.39954,                 1.4651,                0.02722,                      0,               0.000298,               0.000298,               0.000298,               0.035979,                0.46321,                0.49919,               0.049979,                0.14349,               0.025596,                0.52552,                0.55112,               0.041532,                0.14515,                      1
                    100,                0.59445,                0.35065,                 1.3174,                0.02859,                      0,                0.85087,                0.81737,                0.85778,                0.72334,                0.64637,                0.39973,                 1.4655,                0.02722,                      0,               0.000199,               0.000199,               0.000199,               0.036225,                0.46023,                0.49645,               0.050372,                0.14413,               0.025835,                0.52429,                0.55012,               0.042033,                  0.146,                      1
