                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss,  train/rgb_prompt_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,    val/rgb_prompt_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,p2/prompt_warmup_factor
                     17,                0.72361,                0.49996,                  1.381,                 0.0333,                      0,                0.77734,                 0.7716,                0.81203,                0.66944,                0.67985,                0.45555,                 1.4779,                0.03153,                      0,               0.008416,               0.008416,               0.008416,                0.05954,                0.40264,                0.46218,                 0.0719,                0.14016,               0.065273,                0.41924,                0.48451,               0.078208,                0.13663,                      1
                     18,                0.71893,                0.49507,                 1.3761,                0.03303,                      0,                0.77386,                0.78415,                0.82713,                0.67673,                0.67953,                 0.4534,                 1.4607,                0.03104,                      0,               0.008317,               0.008317,               0.008317,               0.057898,                0.40357,                0.46147,               0.070456,                0.14072,               0.054267,                 0.4351,                0.48936,               0.067884,                0.14142,                      1
                     19,                0.71831,                0.49305,                 1.3802,                0.03283,                      0,                0.79281,                0.76321,                0.81749,                0.67028,                0.68574,                0.45766,                 1.4484,                0.03088,                      0,               0.008218,               0.008218,               0.008218,               0.055519,                0.40493,                0.46045,               0.068048,                0.14095,               0.046986,                0.44536,                0.49235,               0.060834,                0.14324,                      1
                     20,                0.71852,                0.49361,                 1.3774,                0.03217,                      0,                0.80969,                0.79038,                0.84136,                0.69296,                0.67386,                0.44211,                 1.4453,                0.03043,                      0,               0.008119,               0.008119,               0.008119,               0.053961,                 0.4138,                0.46776,               0.066537,                 0.1417,               0.042797,                 0.4582,                  0.501,               0.056801,                0.14404,                      1
                     21,                0.71617,                0.48733,                 1.3808,                0.03179,                      0,                0.80254,                0.79787,                0.84427,                0.69807,                0.67492,                 0.4397,                 1.4452,                0.03014,                      0,                0.00802,                0.00802,                0.00802,                0.05223,                0.41512,                0.46735,               0.064711,                 0.1408,               0.039776,                0.46719,                0.50697,               0.053901,                0.14468,                      1
                     22,                0.70786,                0.48562,                 1.3736,                0.03177,                      0,                0.80379,                0.80527,                0.84604,                0.70136,                0.66737,                 0.4323,                 1.4361,                0.02994,                      0,               0.007921,               0.007921,               0.007921,               0.051809,                0.41937,                0.47118,               0.064697,                0.14298,               0.038731,                0.47207,                 0.5108,               0.053323,                0.14614,                      1
                     23,                 0.7114,                0.48423,                 1.3808,                0.03155,                      0,                 0.8096,                0.79315,                0.84414,                0.70063,                0.66475,                0.43119,                 1.4459,                0.02983,                      0,               0.007822,               0.007822,               0.007822,               0.050653,                0.41774,                 0.4684,               0.063232,                0.14151,               0.036929,                 0.4732,                0.51013,               0.051254,                0.14499,                      1
                     24,                0.70813,                0.48259,                 1.3785,                0.03153,                      0,                 0.7999,                0.79878,                0.84545,                0.70083,                0.66673,                0.42918,                 1.4581,                0.02971,                      0,               0.007723,               0.007723,               0.007723,               0.049086,                0.42126,                0.47035,               0.062033,                0.14236,               0.036376,                0.47779,                0.51416,               0.051131,                0.14606,                      1
                     25,                0.70347,                0.47339,                  1.377,                0.03153,                      0,                0.80911,                0.81556,                0.85489,                0.71119,                0.66072,                0.42234,                 1.4513,                0.02946,                      0,               0.007624,               0.007624,               0.007624,               0.048972,                0.42268,                0.47165,               0.062069,                0.14325,               0.035508,                0.47985,                0.51536,               0.050463,                0.14675,                      1
                     26,                0.70097,                0.47258,                  1.374,                0.03093,                      0,                0.82373,                 0.8035,                0.85416,                0.71176,                0.66346,                 0.4243,                 1.4288,                0.02933,                      0,               0.007525,               0.007525,               0.007525,               0.048152,                0.42948,                0.47763,               0.061183,                0.14321,               0.034643,                0.48647,                0.52111,               0.049494,                 0.1462,                      1
                     27,                0.69601,                0.47104,                 1.3698,                0.03129,                      0,                0.81871,                0.78069,                0.84364,                0.70158,                0.66459,                0.43041,                 1.4519,                0.02927,                      0,               0.007426,               0.007426,               0.007426,               0.047936,                0.42444,                0.47237,               0.061119,                0.14361,               0.034527,                0.48309,                0.51762,               0.049621,                0.14649,                      1
                     28,                0.69677,                0.46887,                  1.367,                0.03094,                      0,                0.80327,                0.81344,                0.84731,                0.70473,                 0.6599,                0.42487,                 1.4296,                0.02909,                      0,               0.007327,               0.007327,               0.007327,               0.047375,                0.42776,                0.47513,               0.060425,                0.14348,               0.033766,                 0.4901,                0.52386,               0.048806,                0.14658,                      1
                     29,                0.69769,                0.46823,                 1.3771,                0.03081,                      0,                0.79754,                0.81853,                0.84923,                0.70679,                0.65966,                0.41959,                 1.4511,                0.02903,                      0,               0.007228,               0.007228,               0.007228,               0.046128,                0.43137,                 0.4775,               0.059234,                0.14317,               0.033248,                0.48948,                0.52273,               0.048189,                0.14594,                      1
                     30,                0.69564,                0.46646,                 1.3683,                0.03069,                      0,                0.80366,                0.82062,                0.85524,                0.71299,                0.66022,                0.41871,                 1.4418,                0.02888,                      0,               0.007129,               0.007129,               0.007129,               0.045713,                0.43237,                0.47808,               0.058862,                0.14322,                0.03283,                0.48959,                0.52242,               0.047804,                 0.1457,                      1
                     31,                0.69793,                0.46808,                 1.3714,                0.03064,                      0,                0.83473,                0.82016,                0.86112,                0.71764,                 0.6565,                0.41443,                 1.4402,                0.02879,                      0,                0.00703,                0.00703,                0.00703,               0.044866,                 0.4304,                0.47527,               0.057953,                0.14278,               0.032329,                0.49043,                0.52276,               0.047325,                0.14596,                      1
                     32,                0.69246,                0.46169,                 1.3732,                0.03062,                      0,                0.83008,                0.81573,                0.85824,                0.71583,                0.65772,                0.41521,                 1.4357,                0.02875,                      0,               0.006931,               0.006931,               0.006931,               0.045589,                0.43257,                0.47816,               0.058812,                0.14378,               0.032695,                0.49413,                0.52683,               0.047903,                0.14691,                      1
                     33,                0.69135,                0.46057,                 1.3677,                0.03046,                      0,                0.81449,                0.81926,                0.85888,                0.71761,                 0.6553,                0.41384,                 1.4434,                0.02863,                      0,               0.006832,               0.006832,               0.006832,               0.044159,                0.43228,                0.47644,               0.057261,                0.14265,               0.031936,                0.49286,                0.52479,               0.046948,                0.14591,                      1
                     34,                0.68811,                0.45651,                 1.3676,                0.03038,                      0,                 0.8234,                 0.8139,                0.85732,                0.71535,                0.65671,                0.41354,                   1.45,                0.02857,                      0,               0.006733,               0.006733,               0.006733,               0.043775,                0.43512,                0.47889,               0.057025,                0.14306,               0.031593,                0.49585,                0.52745,               0.046782,                0.14622,                      1
                     35,                0.69129,                0.45728,                 1.3742,                0.03037,                      0,                0.84276,                 0.8108,                 0.8591,                0.71685,                0.65566,                0.40947,                 1.4574,                0.02848,                      0,               0.006634,               0.006634,               0.006634,                0.04379,                0.43457,                0.47836,               0.056949,                0.14296,               0.031581,                0.49769,                0.52927,               0.046738,                 0.1463,                      1
                     36,                0.68506,                0.45131,                 1.3646,                0.03036,                      0,                0.82621,                0.81596,                 0.8583,                0.71669,                0.65421,                0.40938,                 1.4536,                0.02836,                      0,               0.006535,               0.006535,               0.006535,               0.043426,                0.43478,                 0.4782,               0.056779,                  0.143,               0.031285,                0.49496,                0.52624,               0.046573,                  0.146,                      1
                     37,                0.67945,                0.44862,                  1.364,                0.03007,                      0,                0.82074,                0.81642,                0.85892,                0.71696,                 0.6524,                0.40889,                 1.4431,                0.02829,                      0,               0.006436,               0.006436,               0.006436,               0.042415,                0.43874,                0.48115,               0.055798,                0.14318,               0.030718,                0.49962,                0.53034,               0.046049,                0.14619,                      1
