                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,    train/saliency_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,      val/saliency_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,saliency/P3_background_mean,saliency/P3_foreground_background_gap,saliency/P3_foreground_mean,  saliency/P3_gate_mean,   saliency/P3_gate_std,saliency/P3_negative_ratio,saliency/P3_positive_ratio,saliency/P4_background_mean,saliency/P4_foreground_background_gap,saliency/P4_foreground_mean,  saliency/P4_gate_mean,   saliency/P4_gate_std,saliency/P4_negative_ratio,saliency/P4_positive_ratio,          saliency/gain
                     70,                0.64037,                0.39695,                 1.3476,                0.03667,                 0.8379,                0.83671,                0.86817,                0.72937,                0.64784,                0.40077,                 1.4572,                0.03487,               0.003169,               0.003169,               0.003169,                0.05569,                0.40999,                0.46568,               0.068319,                0.14391,                0.96743,               0.032502,                0.22752,             1.3195e-06,                0.22752,                0.22752,             0.00042088,                      1,                      0,                  0.025
                     71,                0.64013,                0.39946,                 1.3487,                0.03656,                0.83765,                0.83642,                0.86774,                  0.729,                0.64774,                0.40089,                 1.4569,                0.03486,                0.00307,                0.00307,                0.00307,               0.054819,                0.40773,                0.46255,               0.067116,                0.14298,                  0.968,               0.031926,                0.22761,             8.4757e-07,                0.22761,                0.22761,             0.00039196,                      1,                      0,                  0.025
                     72,                0.63846,                 0.3937,                 1.3526,                0.03676,                0.83884,                0.83501,                0.86755,                 0.7289,                0.64774,                0.40072,                 1.4576,                0.03485,               0.002971,               0.002971,               0.002971,               0.054943,                0.40716,                 0.4621,               0.067499,                0.14362,                 0.9677,               0.032223,                0.22754,             4.8825e-07,                0.22754,                0.22754,             0.00039886,                      1,                      0,                  0.025
                     73,                0.63467,                0.39152,                 1.3539,                0.03655,                0.84255,                 0.8326,                0.86739,                0.72885,                0.64769,                0.40056,                 1.4581,                0.03484,               0.002872,               0.002872,               0.002872,               0.055542,                0.41153,                0.46707,               0.068126,                0.14399,                0.96742,               0.032505,                0.22756,             3.2936e-07,                0.22756,                0.22756,             0.00060159,                      1,                      0,                  0.025
                     74,                0.63301,                0.39019,                 1.3512,                0.03653,                0.84367,                0.83044,                 0.8669,                0.72877,                0.64762,                0.40074,                 1.4584,                0.03483,               0.002773,               0.002773,               0.002773,               0.055199,                0.41061,                0.46581,               0.067688,                0.14382,                0.96748,               0.032448,                0.22767,              1.526e-07,                0.22767,                0.22767,              0.0011095,                      1,                      0,                  0.025
                     75,                0.63284,                0.38971,                 1.3461,                0.03652,                0.84377,                0.83056,                0.86698,                0.72895,                0.64763,                0.40076,                 1.4586,                0.03482,               0.002674,               0.002674,               0.002674,               0.055058,                0.40938,                0.46443,               0.067485,                0.14294,                0.96794,                0.03199,                0.22767,             1.2999e-07,                0.22767,                0.22767,              0.0003946,                      1,                      0,                  0.025
                     76,                0.63164,                0.38786,                 1.3459,                 0.0364,                0.84256,                0.83197,                0.86677,                0.72891,                0.64747,                 0.4006,                  1.459,                0.03481,               0.002575,               0.002575,               0.002575,                0.05525,                 0.4105,                0.46575,               0.067667,                0.14323,                0.96789,               0.032039,                0.22749,             1.1995e-08,                0.22749,                0.22749,             0.00010571,                      1,                      0,                  0.025
                     77,                0.62978,                0.38614,                 1.3436,                0.03654,                0.84323,                0.83182,                0.86694,                0.72907,                0.64746,                 0.4002,                 1.4594,                 0.0348,               0.002476,               0.002476,               0.002476,                0.05524,                0.41169,                0.46693,               0.067807,                0.14417,                0.96743,               0.032501,                0.22779,             4.4915e-09,                0.22779,                0.22779,             8.2447e-05,                      1,                      0,                  0.025
                     78,                0.62944,                0.38509,                 1.3439,                0.03642,                0.84209,                0.83296,                0.86662,                0.72878,                0.64741,                0.40023,                 1.4598,                0.03479,               0.002377,               0.002377,               0.002377,                0.05607,                0.41205,                0.46812,                0.06858,                0.14407,                 0.9673,               0.032624,                0.22828,            -1.3686e-08,                0.22828,                0.22828,             8.6831e-05,                      1,                      0,                  0.025
                     79,                0.63078,                0.38452,                 1.3498,                0.03635,                0.84102,                0.83265,                0.86643,                0.72854,                0.64745,                0.40012,                 1.4602,                0.03478,               0.002278,               0.002278,               0.002278,               0.054694,                0.41343,                0.46812,               0.067178,                 0.1437,                0.96756,               0.032366,                0.22847,            -4.0423e-08,                0.22847,                0.22847,             0.00016056,                      1,                      0,                  0.025
                     80,                0.62528,                0.38296,                 1.3443,                0.03637,                0.84077,                 0.8337,                0.86609,                 0.7284,                0.64727,                0.40008,                 1.4606,                0.03478,               0.002179,               0.002179,               0.002179,               0.053888,                0.41348,                0.46736,               0.066451,                0.14353,                 0.9678,               0.032128,                0.22816,            -1.2153e-08,                0.22816,                0.22816,             0.00012229,                      1,                      0,                  0.025
                     81,                0.62477,                0.37935,                 1.3487,                0.03659,                0.84381,                0.83083,                0.86585,                0.72818,                0.64732,                0.40009,                 1.4612,                0.03477,                0.00208,                0.00208,                0.00208,               0.054421,                0.40972,                0.46414,               0.067031,                0.14326,                0.96778,               0.032144,                0.22809,            -2.5205e-08,                0.22809,                0.22809,              0.0002945,                      1,                      0,                  0.025
                     82,                0.62631,                0.38009,                 1.3414,                0.03649,                0.84273,                0.83152,                 0.8658,                0.72794,                0.64722,                0.40005,                 1.4615,                0.03476,               0.001981,               0.001981,               0.001981,               0.053788,                0.41283,                0.46662,               0.066372,                0.14379,                0.96756,               0.032369,                0.22856,             2.0502e-08,                0.22856,                0.22856,             0.00049489,                      1,                      0,                  0.025
                     83,                0.61938,                0.37495,                 1.3355,                0.03664,                0.84473,                0.82891,                 0.8656,                0.72788,                0.64727,                 0.4001,                 1.4615,                0.03475,               0.001882,               0.001882,               0.001882,               0.054345,                0.41314,                0.46749,               0.067197,                0.14474,                0.96711,               0.032823,                0.22872,            -8.3489e-09,                0.22872,                0.22872,             0.00034056,                      1,                      0,                  0.025
                     84,                0.62174,                0.37792,                 1.3437,                0.03634,                0.84526,                0.82893,                0.86531,                0.72775,                0.64721,                0.40021,                 1.4619,                0.03474,               0.001783,               0.001783,               0.001783,               0.053952,                0.41072,                0.46467,                0.06635,                0.14308,                0.96804,               0.031888,                0.22856,             1.1889e-08,                0.22856,                0.22856,             0.00049673,                      1,                      0,                  0.025
                     85,                0.62263,                0.37553,                 1.3423,                0.03643,                0.84472,                0.82941,                  0.865,                0.72747,                0.64718,                0.40027,                 1.4622,                0.03474,               0.001684,               0.001684,               0.001684,               0.053419,                0.41191,                0.46533,               0.065957,                0.14341,                0.96785,               0.032076,                0.22872,             7.8205e-09,                0.22872,                0.22872,              0.0004154,                      1,                      0,                  0.025
                     86,                0.61768,                0.37288,                 1.3413,                0.03636,                0.84498,                0.82846,                0.86439,                0.72694,                0.64722,                0.40048,                 1.4625,                0.03473,               0.001585,               0.001585,               0.001585,               0.054335,                0.41776,                0.47209,               0.067111,                0.14476,                0.96699,               0.032937,                0.22881,            -2.6368e-08,                0.22881,                0.22881,             0.00035014,                      1,                      0,                  0.025
                     87,                0.61544,                0.36921,                 1.3346,                0.03651,                0.84795,                  0.826,                0.86423,                0.72694,                 0.6472,                0.40054,                 1.4628,                0.03472,               0.001486,               0.001486,               0.001486,                0.05376,                0.41479,                0.46855,                0.06655,                0.14409,                0.96737,               0.032556,                0.22912,            -1.2576e-08,                0.22912,                0.22912,              0.0004303,                      1,                      0,                  0.025
                     88,                0.61511,                0.37116,                 1.3408,                0.03644,                0.84777,                0.82529,                0.86398,                0.72671,                0.64723,                0.40071,                 1.4631,                0.03471,               0.001387,               0.001387,               0.001387,               0.053859,                0.41517,                0.46903,               0.066524,                0.14424,                0.96741,               0.032518,                0.22907,             3.8574e-09,                0.22907,                0.22907,             0.00048648,                      1,                      0,                  0.025
                     89,                 0.6126,                 0.3668,                 1.3404,                0.03651,                0.84875,                0.82454,                 0.8638,                0.72639,                0.64726,                0.40086,                 1.4634,                 0.0347,               0.001288,               0.001288,               0.001288,               0.053573,                0.41636,                0.46993,               0.066463,                0.14464,                0.96707,               0.032857,                0.22901,             2.6632e-08,                0.22901,                0.22901,             0.00049527,                      1,                      0,                  0.025
                     90,                0.61003,                 0.3666,                 1.3329,                0.03633,                0.84951,                0.82436,                0.86349,                0.72618,                0.64729,                0.40101,                 1.4635,                 0.0347,               0.001189,               0.001189,               0.001189,               0.053485,                0.41384,                0.46733,               0.066072,                 0.1432,                 0.9677,               0.032223,                0.22896,            -2.9168e-08,                0.22896,                0.22896,             9.9329e-05,                      1,                      0,                  0.025
                     91,                0.61081,                0.36462,                 1.3309,                0.03641,                0.84797,                0.82596,                0.86307,                0.72585,                0.64734,                0.40127,                 1.4638,                0.03469,                0.00109,                0.00109,                0.00109,               0.054017,                0.41656,                0.47058,               0.066848,                0.14382,                0.96735,               0.032581,                0.22905,            -1.7966e-09,                0.22905,                0.22905,             5.6252e-05,                      1,                      0,                  0.025
                     92,                0.60979,                0.36153,                 1.3336,                0.03628,                0.84745,                0.82632,                0.86265,                0.72569,                0.64732,                0.40124,                 1.4642,                0.03468,               0.000991,               0.000991,               0.000991,               0.052776,                0.41754,                0.47031,               0.065531,                0.14362,                0.96762,               0.032311,                 0.2292,             1.5747e-08,                 0.2292,                 0.2292,             0.00020127,                      1,                      0,                  0.025
                     93,                0.60732,                0.35902,                 1.3372,                 0.0363,                0.84408,                0.82907,                 0.8625,                0.72564,                0.64736,                0.40144,                 1.4644,                0.03467,               0.000892,               0.000892,               0.000892,               0.053676,                0.41743,                0.47111,               0.066433,                0.14416,                0.96756,               0.032371,                0.22934,             5.2313e-08,                0.22934,                0.22934,             0.00016402,                      1,                      0,                  0.025
                     94,                0.60687,                0.36131,                 1.3303,                0.03642,                0.84655,                0.82645,                0.86226,                 0.7258,                0.64742,                0.40149,                 1.4647,                0.03467,               0.000793,               0.000793,               0.000793,               0.053117,                0.41557,                0.46869,               0.065957,                0.14366,                0.96757,               0.032353,                0.22943,             6.3832e-08,                0.22943,                0.22943,             9.7341e-05,                      1,                      0,                  0.025
                     95,                0.60527,                0.36055,                 1.3281,                0.03615,                0.84643,                0.82705,                0.86197,                0.72553,                0.64741,                0.40166,                 1.4652,                0.03466,               0.000694,               0.000694,               0.000694,               0.052654,                0.41858,                0.47123,               0.065396,                0.14334,                0.96779,               0.032138,                0.22929,              5.654e-08,                0.22929,                0.22929,              5.202e-05,                      1,                      0,                  0.025
                     96,                0.60219,                0.35591,                 1.3246,                0.03603,                0.84476,                0.82784,                0.86183,                0.72527,                0.64749,                0.40171,                 1.4654,                0.03465,               0.000595,               0.000595,               0.000595,               0.051959,                 0.4165,                0.46845,               0.064436,                0.14255,                0.96842,               0.031514,                0.22924,              5.041e-08,                0.22924,                0.22924,             6.3023e-05,                      1,                      0,                  0.025
                     97,                0.59953,                 0.3545,                 1.3249,                0.03635,                0.84586,                0.82663,                 0.8616,                0.72456,                 0.6475,                0.40184,                 1.4661,                0.03464,               0.000496,               0.000496,               0.000496,               0.052616,                0.41906,                0.47168,               0.065584,                0.14427,                 0.9673,               0.032625,                0.22924,             5.4321e-08,                0.22924,                0.22924,             3.7325e-05,                      1,                      0,                  0.025
                     98,                0.60142,                0.35433,                 1.3374,                0.03611,                0.84596,                0.82647,                0.86152,                0.72479,                 0.6475,                0.40196,                 1.4668,                0.03464,               0.000397,               0.000397,               0.000397,               0.052469,                0.41781,                0.47028,               0.065103,                0.14296,                0.96796,               0.031974,                0.22932,             5.0516e-08,                0.22932,                0.22932,             3.9161e-05,                      1,                      0,                  0.025
                     99,                0.59971,                0.35345,                 1.3287,                0.03617,                0.84611,                0.82673,                0.86137,                0.72471,                0.64752,                0.40202,                 1.4673,                0.03463,               0.000298,               0.000298,               0.000298,               0.052816,                0.41886,                0.47167,               0.065475,                0.14379,                0.96771,                0.03222,                0.22928,             5.4638e-08,                0.22928,                0.22928,             4.4668e-05,                      1,                      0,                  0.025
                    100,                0.59862,                0.35381,                 1.3254,                0.03644,                0.84616,                0.82651,                0.86121,                 0.7243,                0.64749,                0.40218,                 1.4676,                0.03462,               0.000199,               0.000199,               0.000199,               0.052682,                0.41576,                0.46844,               0.065461,                0.14399,                0.96752,               0.032411,                0.22936,              4.761e-08,                0.22936,                0.22936,                      0,                      1,                      0,                  0.025
