                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,    train/saliency_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,      val/saliency_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,saliency/P3_background_mean,saliency/P3_foreground_background_gap,saliency/P3_foreground_mean,  saliency/P3_gate_mean,   saliency/P3_gate_std,saliency/P3_negative_ratio,saliency/P3_positive_ratio,saliency/P4_background_mean,saliency/P4_foreground_background_gap,saliency/P4_foreground_mean,  saliency/P4_gate_mean,   saliency/P4_gate_std,saliency/P4_negative_ratio,saliency/P4_positive_ratio,          saliency/gain
                     16,                0.73078,                0.50542,                 1.3779,                0.04126,                0.81954,                0.78174,                0.84018,                0.68611,                0.68802,                0.45649,                 1.4528,                 0.0397,               0.008515,               0.008515,               0.008515,                0.15556,                0.19146,                0.34702,                0.16143,                0.11366,                 0.9826,               0.017373,                 0.2211,             2.1629e-05,                0.22112,                 0.2211,             0.00065128,                      1,                      0,                  0.025
                     17,                0.72905,                0.50465,                 1.3837,                0.04125,                0.80006,                0.78094,                 0.8316,                0.68267,                0.68728,                0.45379,                 1.4625,                0.03958,               0.008416,               0.008416,               0.008416,                0.15097,                0.19364,                 0.3446,                0.15692,                0.11519,                0.98264,               0.017333,                0.22202,             2.0509e-05,                0.22204,                0.22202,             0.00067459,                      1,                      0,                  0.025
                     18,                 0.7235,                0.49913,                 1.3725,                0.04136,                0.80737,                0.76526,                0.82968,                0.67757,                0.68869,                0.46065,                 1.4673,                0.03956,               0.008317,               0.008317,               0.008317,                 0.1502,                0.19484,                0.34505,                0.15627,                0.11724,                0.98252,                0.01745,                0.22306,             2.6854e-05,                0.22309,                0.22306,              0.0017878,                      1,                      0,                  0.025
                     19,                0.72189,                0.49724,                 1.3822,                0.04128,                0.80385,                0.77828,                 0.8299,                0.68002,                0.68885,                0.45782,                 1.4528,                0.03951,               0.008218,               0.008218,               0.008218,                 0.1462,                0.19585,                0.34204,                0.15227,                0.11762,                0.98265,               0.017319,                0.22319,             2.4004e-05,                0.22321,                0.22319,              0.0028541,                      1,                      0,                  0.025
                     20,                0.72262,                0.49815,                 1.3766,                0.04096,                0.80225,                0.81098,                0.84635,                0.69641,                0.67961,                0.44355,                 1.4563,                0.03939,               0.008119,               0.008119,               0.008119,                0.14589,                0.19866,                0.34456,                0.15194,                0.11826,                0.98298,               0.016995,                0.22307,             2.6235e-05,                0.22309,                0.22307,              0.0025368,                      1,                      0,                  0.025
                     21,                 0.7216,                0.49278,                 1.3781,                0.04079,                0.81462,                 0.7919,                0.84523,                0.69367,                0.68155,                0.44158,                 1.4695,                0.03936,                0.00802,                0.00802,                0.00802,                0.14499,                0.19895,                0.34393,                0.15098,                0.11932,                0.98352,               0.016453,                0.22311,             2.5141e-05,                0.22313,                0.22311,              0.0024399,                      1,                      0,                  0.025
                     22,                0.71435,                 0.4919,                 1.3737,                0.04099,                0.81353,                 0.7989,                0.84422,                0.69617,                0.67285,                0.43585,                 1.4545,                0.03932,               0.007921,               0.007921,               0.007921,                0.14435,                0.20258,                0.34694,                0.15059,                0.12078,                0.98277,               0.017199,                 0.2237,             2.6724e-05,                0.22373,                 0.2237,              0.0024715,                      1,                      0,                  0.025
                     23,                0.71556,                0.48868,                 1.3852,                0.04073,                 0.8206,                0.79436,                 0.8468,                0.69915,                0.66966,                0.43334,                 1.4584,                0.03929,               0.007822,               0.007822,               0.007822,                 0.1437,                0.20195,                0.34566,                0.14979,                0.12046,                0.98319,               0.016779,                0.22381,             2.7642e-05,                0.22384,                0.22381,              0.0025087,                      1,                      0,                  0.025
                     24,                0.71329,                0.48713,                 1.3797,                 0.0409,                0.81874,                0.79518,                0.84819,                 0.7016,                0.67315,                0.43475,                 1.4551,                0.03923,               0.007723,               0.007723,               0.007723,                0.14271,                0.20517,                0.34788,                0.14902,                0.12256,                0.98284,               0.017134,                0.22383,             2.6545e-05,                0.22386,                0.22383,              0.0020498,                      1,                      0,                  0.025
                     25,                0.70983,                0.47986,                 1.3763,                0.04092,                0.79684,                0.81991,                0.84642,                0.69884,                0.67018,                0.42882,                 1.4519,                0.03906,               0.007624,               0.007624,               0.007624,                0.14738,                0.20938,                0.35676,                0.15388,                0.12626,                 0.9828,               0.017174,                0.22445,             2.5502e-05,                0.22448,                0.22445,              0.0017739,                      1,                      0,                  0.025
                     26,                0.70668,                0.47631,                  1.379,                0.04023,                0.81527,                0.80887,                0.85462,                0.70808,                0.67108,                0.42391,                 1.4495,                0.03852,               0.007525,               0.007525,               0.007525,                0.15002,                0.22989,                0.37991,                  0.157,                0.12936,                0.98254,               0.017437,                0.22442,             2.7011e-05,                0.22445,                0.22442,              0.0021042,                      1,                      0,                  0.025
                     27,                0.70183,                0.47543,                 1.3714,                0.03965,                0.80945,                0.80511,                0.85513,                0.70906,                0.66497,                 0.4246,                 1.4481,                0.03761,               0.007426,               0.007426,               0.007426,                 0.1299,                 0.2852,                0.41511,                0.13876,                0.13027,                0.97664,               0.023323,                0.22439,              2.279e-05,                0.22441,                0.22439,              0.0023549,                      1,                      0,                  0.025
                     28,                0.70229,                0.47347,                   1.37,                 0.0389,                0.80915,                0.81684,                0.86056,                0.71372,                0.66585,                0.42411,                  1.442,                0.03718,               0.007327,               0.007327,               0.007327,                0.10824,                 0.3302,                0.43843,                0.11831,                0.13148,                0.97023,               0.029722,                0.22459,             2.2974e-05,                0.22461,                0.22459,              0.0039812,                      1,                      0,                  0.025
                     29,                0.70239,                0.47168,                 1.3802,                0.03852,                0.83363,                0.80768,                0.86335,                0.71606,                0.66613,                0.41955,                 1.4497,                0.03674,               0.007228,               0.007228,               0.007228,               0.094285,                 0.3468,                0.44108,                0.10483,                0.13272,                0.96981,               0.030117,                0.22436,             2.3155e-05,                0.22438,                0.22436,              0.0021437,                      1,                      0,                  0.025
                     30,                0.69999,                0.47048,                 1.3705,                0.03816,                0.82052,                0.82058,                0.85964,                0.71417,                0.66606,                0.42087,                 1.4491,                0.03643,               0.007129,               0.007129,               0.007129,               0.082666,                0.36237,                0.44504,               0.093691,                0.13572,                0.96919,               0.030729,                0.22479,             2.1951e-05,                0.22482,                0.22479,              0.0018366,                      1,                      0,                  0.025
                     31,                0.70247,                0.47087,                 1.3783,                0.03798,                0.83536,                0.82562,                 0.8685,                0.72395,                 0.6613,                 0.4128,                 1.4586,                0.03612,                0.00703,                0.00703,                0.00703,               0.074222,                0.36843,                0.44265,               0.085437,                0.13745,                0.96897,               0.030954,                0.22475,             2.4206e-05,                0.22478,                0.22475,              0.0011942,                      1,                      0,                  0.025
                     32,                0.69572,                 0.4649,                  1.377,                0.03792,                0.81865,                0.83242,                0.86685,                0.72091,                0.66137,                0.41489,                 1.4417,                0.03596,               0.006931,               0.006931,               0.006931,               0.072283,                0.37637,                0.44865,               0.083804,                0.13986,                0.96815,               0.031767,                 0.2246,             2.2957e-05,                0.22462,                 0.2246,              0.0005123,                      1,                      0,                  0.025
                     33,                0.69761,                0.46597,                 1.3727,                0.03777,                0.81734,                0.82836,                0.86486,                0.71829,                0.65939,                0.41438,                 1.4562,                0.03592,               0.006832,               0.006832,               0.006832,               0.070054,                0.37342,                0.44348,               0.081373,                 0.1381,                0.96939,                0.03054,                0.22419,             2.2195e-05,                0.22422,                0.22419,              0.0009525,                      1,                      0,                  0.025
                     34,                0.69241,                0.46099,                 1.3708,                0.03771,                0.82979,                0.80981,                 0.8635,                0.71874,                0.65841,                0.41526,                 1.4494,                0.03578,               0.006733,               0.006733,               0.006733,               0.069732,                0.37841,                0.44815,               0.081269,                0.14001,                0.96861,                0.03131,                 0.2242,             2.0557e-05,                0.22422,                 0.2242,              0.0019436,                      1,                      0,                  0.025
                     35,                0.69501,                0.46123,                 1.3742,                0.03762,                0.83272,                0.81559,                0.86458,                0.71948,                0.65844,                0.41625,                 1.4499,                0.03569,               0.006634,               0.006634,               0.006634,               0.067721,                0.38266,                0.45039,                0.07932,                0.14108,                0.96819,               0.031728,                0.22427,             1.9327e-05,                0.22429,                0.22428,              0.0024973,                      1,                      0,                  0.025
                     36,                0.68901,                 0.4559,                 1.3655,                0.03768,                0.83975,                0.80816,                0.86433,                0.71922,                0.65663,                0.41247,                 1.4481,                0.03562,               0.006535,               0.006535,               0.006535,               0.065742,                0.38042,                0.44616,               0.077428,                 0.1398,                0.96883,               0.031095,                0.22456,             1.7972e-05,                0.22457,                0.22456,              0.0015991,                      1,                      0,                  0.025
                     37,                0.68409,                0.45303,                 1.3652,                0.03754,                0.83214,                0.82031,                0.86577,                0.72036,                0.65529,                0.41143,                 1.4499,                 0.0356,               0.006436,               0.006436,               0.006436,               0.066099,                0.38122,                0.44732,               0.077719,                0.13967,                0.96887,               0.031051,                0.22419,             1.7143e-05,                0.22421,                0.22419,             0.00095222,                      1,                      0,                  0.025
                     38,                0.68767,                0.45335,                 1.3725,                0.03747,                0.84087,                0.82002,                0.86709,                0.72337,                0.65454,                 0.4095,                 1.4462,                0.03553,               0.006337,               0.006337,               0.006337,               0.062789,                0.38798,                0.45077,               0.074618,                0.14029,                0.96849,               0.031436,                  0.224,             1.6284e-05,                0.22402,                  0.224,             0.00064069,                      1,                      0,                  0.025
                     39,                0.68355,                0.44875,                 1.3719,                 0.0374,                0.83378,                 0.8286,                 0.8703,                0.72558,                 0.6555,                0.41016,                 1.4494,                0.03548,               0.006238,               0.006238,               0.006238,               0.063188,                0.39075,                0.45393,                0.07517,                 0.1421,                0.96774,               0.032185,                0.22411,             1.7088e-05,                0.22413,                0.22411,             0.00049603,                      1,                      0,                  0.025
                     40,                0.68119,                0.45003,                 1.3669,                0.03743,                0.83161,                 0.8255,                0.86995,                0.72515,                0.65476,                0.40816,                 1.4486,                0.03544,               0.006139,               0.006139,               0.006139,               0.061819,                   0.39,                0.45182,                0.07374,                 0.1416,                0.96809,               0.031839,                0.22447,             1.7331e-05,                0.22448,                0.22447,             0.00065267,                      1,                      0,                  0.025
                     41,                0.68115,                 0.4451,                 1.3734,                0.03749,                0.83929,                 0.8266,                0.86846,                0.72456,                0.65492,                0.40761,                 1.4489,                0.03542,                0.00604,                0.00604,                0.00604,               0.063456,                0.39002,                0.45348,               0.075426,                0.14201,                0.96777,                0.03215,                0.22438,             1.6781e-05,                0.22439,                0.22438,             0.00096753,                      1,                      0,                  0.025
                     42,                0.67935,                0.44525,                 1.3653,                 0.0374,                0.83829,                0.83016,                0.87014,                0.72647,                  0.654,                0.40571,                  1.447,                 0.0354,               0.005941,               0.005941,               0.005941,               0.062148,                0.38904,                0.45119,               0.074039,                0.14093,                0.96846,               0.031469,                 0.2247,             1.7621e-05,                0.22472,                 0.2247,              0.0015568,                      1,                      0,                  0.025
                     43,                 0.6743,                 0.4423,                   1.37,                0.03732,                0.84506,                0.81738,                0.87145,                0.72904,                0.65371,                0.40545,                 1.4496,                0.03536,               0.005842,               0.005842,               0.005842,               0.060248,                 0.3916,                0.45185,               0.072235,                0.14126,                0.96852,               0.031412,                0.22435,             1.9716e-05,                0.22437,                0.22435,             0.00078695,                      1,                      0,                  0.025
                     44,                0.67536,                0.43888,                 1.3681,                0.03743,                0.84323,                 0.8277,                0.87146,                 0.7298,                0.65307,                0.40409,                 1.4514,                0.03531,               0.005743,               0.005743,               0.005743,               0.060864,                0.39256,                0.45343,               0.072976,                0.14246,                0.96773,               0.032198,                0.22426,             1.9775e-05,                0.22428,                0.22426,             0.00015372,                      1,                      0,                  0.025
                     45,                0.67896,                 0.4421,                 1.3678,                0.03722,                0.84574,                0.82708,                0.87246,                0.73196,                0.65285,                0.40343,                 1.4501,                0.03528,               0.005644,               0.005644,               0.005644,               0.061022,                0.39572,                0.45674,               0.073071,                0.14282,                0.96761,                0.03232,                0.22477,             2.1126e-05,                0.22479,                0.22477,             0.00039485,                      1,                      0,                  0.025
                     46,                0.67498,                0.43977,                 1.3725,                0.03721,                0.85425,                0.81858,                0.87116,                 0.7299,                0.65302,                0.40442,                 1.4499,                0.03526,               0.005545,               0.005545,               0.005545,               0.060984,                0.39235,                0.45334,               0.072881,                0.14222,                0.96806,               0.031863,                0.22425,             2.2069e-05,                0.22427,                0.22425,             0.00098716,                      1,                      0,                  0.025
                     47,                0.67418,                0.43627,                 1.3643,                0.03721,                0.85322,                0.82241,                0.87181,                0.73058,                0.65264,                0.40391,                 1.4483,                0.03523,               0.005446,               0.005446,               0.005446,                0.05985,                0.39445,                 0.4543,               0.071857,                0.14245,                0.96789,               0.032037,                0.22441,             2.3473e-05,                0.22444,                0.22441,             0.00090063,                      1,                      0,                  0.025
                     48,                 0.6728,                0.43784,                 1.3711,                 0.0372,                0.84625,                0.83118,                0.87177,                 0.7302,                0.65206,                0.40349,                 1.4518,                0.03521,               0.005347,               0.005347,               0.005347,               0.058611,                0.39446,                0.45307,               0.070655,                 0.1418,                0.96805,               0.031873,                0.22444,             2.4577e-05,                0.22446,                0.22444,             0.00037207,                      1,                      0,                  0.025
