                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss, train/rgb_spatial_loss,  train/rgb_global_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,   val/rgb_spatial_loss,    val/rgb_global_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,  p2/P3_rgb_global_mean,   p2/P3_rgb_global_mse,   p2/P3_rgb_global_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,  p2/P4_rgb_global_mean,   p2/P4_rgb_global_mse,   p2/P4_rgb_global_std,p2/rgb_global_teacher_max,p2/rgb_global_teacher_mean,p2/rgb_global_teacher_min,p2/rgb_global_teacher_std,p2/prompt_warmup_factor
                     11,                0.74423,                0.52249,                 1.3892,                0.03764,                      0,                  3e-05,                0.75163,                0.75512,                0.79317,                0.63731,                0.71343,                0.50344,                 1.5088,                0.03585,                      0,                  6e-05,                0.00901,                0.00901,                0.00901,                0.11564,                0.30937,                  0.425,                0.12502,                 0.1224,                0.52307,              0.0066279,               0.024348,                0.17209,                0.20848,                0.38057,                0.17846,               0.093628,                0.52005,              0.0066671,               0.059264,                0.69495,                0.52101,                0.32102,               0.095068,                      1
                     12,                0.73933,                0.51607,                 1.3877,                0.03622,                      0,                  3e-05,                0.79464,                0.77046,                0.81044,                0.66418,                0.68639,                0.46052,                 1.4758,                0.03418,                      0,                  5e-05,               0.008911,               0.008911,               0.008911,               0.090014,                0.35483,                0.44484,                0.10091,                0.13116,                0.52326,              0.0061031,               0.027764,                0.13718,                0.27814,                0.41532,                0.14576,                0.11063,                0.52141,              0.0072917,               0.071701,                 0.6942,                0.51973,                0.32147,               0.094245,                      1
                     13,                0.73501,                0.51568,                 1.3853,                0.03543,                      0,                  3e-05,                0.76553,                0.77548,                 0.8096,                0.66118,                0.69118,                0.46386,                 1.4823,                0.03366,                      0,                  5e-05,               0.008812,               0.008812,               0.008812,               0.077994,                0.37221,                 0.4502,               0.089494,                0.13458,                0.52295,              0.0058001,               0.030515,                0.11331,                0.32476,                0.43807,                 0.1234,                0.12043,                0.52291,              0.0082538,               0.081747,                0.69492,                0.52032,                0.32212,               0.094499,                      1
                     14,                0.73066,                0.51066,                 1.3797,                0.03463,                      0,                  4e-05,                 0.7551,                0.74529,                0.78735,                0.64338,                0.69112,                0.47433,                 1.4917,                0.03299,                      0,                  5e-05,               0.008713,               0.008713,               0.008713,               0.070081,                0.38681,                0.45689,               0.081963,                0.13754,                 0.5232,               0.005727,               0.032475,               0.096326,                0.35763,                0.45395,                0.10737,                0.12636,                0.52135,              0.0096667,               0.091388,                  0.695,                0.51955,                0.31969,               0.095327,                      1
                     15,                0.73073,                0.50739,                 1.3826,                0.03406,                      0,                  4e-05,                0.78933,                 0.7713,                0.81847,                0.67311,                0.68577,                0.45642,                 1.4598,                 0.0323,                      0,                  5e-05,               0.008614,               0.008614,               0.008614,               0.065528,                0.39591,                0.46144,               0.077618,                0.13906,                0.52261,               0.005351,               0.033141,               0.084521,                0.38116,                0.46568,                0.09622,                0.13056,                 0.5224,               0.010601,               0.097071,                0.69397,                0.52098,                0.32659,               0.092129,                      1
                     16,                 0.7259,                 0.5014,                 1.3797,                0.03351,                      0,                  4e-05,                0.78449,                0.79064,                0.83443,                0.68298,                0.68235,                0.45769,                 1.4388,                0.03194,                      0,                  5e-05,               0.008515,               0.008515,               0.008515,                0.06195,                0.40323,                0.46518,               0.074284,                0.14052,                0.52251,              0.0052278,               0.035778,               0.074965,                0.40183,                0.47679,               0.087313,                0.13404,                0.52254,               0.011654,                0.10117,                0.69233,                0.51997,                0.32144,               0.094417,                      1
                     17,                 0.7234,                0.49875,                 1.3854,                 0.0333,                      0,                  4e-05,                0.77215,                0.76072,                0.80324,                0.65409,                0.69167,                0.47281,                 1.4958,                0.03172,                      0,                  5e-05,               0.008416,               0.008416,               0.008416,               0.058905,                0.40474,                0.46364,               0.071333,                0.14102,                0.52531,              0.0050542,               0.036948,               0.067806,                0.41322,                0.48102,               0.080561,                0.13649,                0.51981,               0.012995,                0.10459,                0.69206,                0.52021,                0.32377,                0.09321,                      1
                     18,                 0.7183,                0.49489,                 1.3777,                0.03317,                      0,                  4e-05,                0.79876,                0.78829,                0.83278,                0.68321,                0.67631,                0.44522,                 1.4726,                0.03131,                      0,                  5e-05,               0.008317,               0.008317,               0.008317,               0.057232,                 0.4053,                0.46254,               0.069844,                0.14117,                0.52197,              0.0052999,               0.037461,               0.062525,                0.42153,                0.48406,               0.075721,                0.13901,                0.52318,               0.014805,                0.10548,                0.68909,                0.51668,                0.31885,               0.094386,                      1
                     19,                0.71805,                0.49217,                 1.3844,                0.03298,                      0,                  4e-05,                0.79208,                0.77614,                 0.8198,                0.67391,                0.68268,                0.45222,                 1.4819,                0.03116,                      0,                  5e-05,               0.008218,               0.008218,               0.008218,               0.054856,                0.40719,                0.46205,               0.067456,                0.14155,                0.52347,              0.0048801,               0.039281,               0.056828,                0.43185,                0.48868,               0.070267,                0.14008,                0.51574,               0.016525,                0.11125,                0.69168,                0.51898,                0.32157,               0.094757,                      1
                     20,                0.71816,                0.49369,                  1.376,                0.03236,                      0,                  4e-05,                 0.8024,                0.79517,                 0.8374,                0.68979,                0.67319,                0.44334,                 1.4534,                0.03083,                      0,                  5e-05,               0.008119,               0.008119,               0.008119,               0.053407,                0.41551,                0.46891,               0.066036,                0.14193,                0.52502,              0.0048607,               0.038763,               0.052161,                0.44429,                0.49645,               0.065744,                0.14121,                0.51753,               0.016461,                0.10513,                0.69356,                 0.5208,                0.32525,                0.09318,                      1
                     21,                0.71655,                0.48732,                 1.3803,                0.03203,                      0,                  5e-05,                0.82793,                0.79273,                0.85333,                0.70468,                0.67023,                0.43318,                  1.448,                0.03049,                      0,                  5e-05,                0.00802,                0.00802,                0.00802,               0.052008,                0.41592,                0.46793,               0.064513,                0.14103,                0.52333,              0.0047677,               0.040769,               0.048277,                0.45241,                0.50069,               0.061954,                0.14225,                  0.521,               0.018312,                0.10992,                 0.6945,                0.52073,                0.32786,               0.093356,                      1
                     22,                0.70775,                0.48566,                 1.3742,                0.03198,                      0,                  5e-05,                0.80239,                0.81423,                 0.8517,                0.70458,                0.66618,                0.42915,                 1.4489,                 0.0302,                      0,                  5e-05,               0.007921,               0.007921,               0.007921,               0.051628,                0.42045,                0.47208,               0.064553,                0.14324,                0.52267,              0.0044792,               0.043425,               0.045201,                0.45911,                0.50431,               0.059392,                0.14466,                0.52025,               0.019829,                0.11601,                 0.6923,                0.51999,                0.32324,               0.093398,                      1
                     23,                0.71054,                0.48389,                 1.3859,                0.03169,                      0,                  4e-05,                0.81311,                0.80655,                0.85347,                0.70694,                0.66609,                0.42906,                 1.4456,                0.03009,                      0,                  4e-05,               0.007822,               0.007822,               0.007822,               0.050129,                0.41924,                0.46937,               0.062753,                0.14195,                0.52116,              0.0043232,               0.044077,               0.041736,                0.46287,                0.50461,               0.055741,                0.14395,                0.51107,               0.018083,                0.11129,                0.69296,                0.52119,                0.32325,               0.093298,                      1
                     24,                0.70793,                 0.4826,                 1.3797,                0.03168,                      0,                  5e-05,                0.81475,                0.78741,                0.84505,                0.70046,                0.66821,                0.42859,                 1.4466,                0.02995,                      0,                  5e-05,               0.007723,               0.007723,               0.007723,               0.049165,                0.42225,                0.47142,               0.062142,                0.14294,                0.52249,              0.0045444,               0.043206,               0.039685,                0.46841,                0.50809,               0.054149,                0.14524,                0.51262,               0.020335,                0.11854,                0.69386,                0.52003,                0.32394,               0.093762,                      1
                     25,                0.70364,                0.47341,                 1.3758,                0.03166,                      0,                  5e-05,                0.81902,                0.82213,                 0.8563,                0.71051,                0.66289,                0.42362,                 1.4457,                0.02962,                      0,                  5e-05,               0.007624,               0.007624,               0.007624,                0.04899,                0.42377,                0.47276,               0.062127,                0.14378,                0.52473,              0.0043688,                0.04489,               0.038149,                0.47084,                0.50899,               0.052821,                0.14562,                0.52354,               0.021474,                0.12254,                0.69441,                0.51902,                0.32436,               0.093755,                      1
                     26,                0.70161,                0.47142,                 1.3791,                0.03103,                      0,                  5e-05,                0.81282,                0.81018,                0.84839,                0.70498,                0.66234,                0.42356,                 1.4522,                0.02954,                      0,                  5e-05,               0.007525,               0.007525,               0.007525,               0.047862,                0.43003,                0.47789,               0.060911,                0.14355,                0.52092,              0.0042233,               0.045289,               0.037214,                0.47874,                0.51596,               0.051824,                0.14555,                0.52741,               0.020727,                0.12047,                0.69133,                 0.5193,                0.32344,               0.093634,                      1
                     27,                0.69666,                0.47107,                 1.3703,                0.03138,                      0,                  5e-05,                0.81538,                0.79517,                0.84687,                0.70392,                0.66134,                 0.4244,                 1.4386,                0.02944,                      0,                  5e-05,               0.007426,               0.007426,               0.007426,               0.047737,                0.42574,                0.47348,               0.060959,                 0.1441,                0.52125,              0.0043711,               0.045078,                 0.0362,                0.47754,                0.51374,               0.051117,                0.14623,                0.51638,               0.021123,                0.11468,                 0.6927,                0.52029,                0.32366,               0.093789,                      1
                     28,                0.69694,                0.46865,                 1.3703,                0.03104,                      0,                  5e-05,                0.82135,                0.80437,                0.84916,                0.70422,                0.66168,                0.42345,                 1.4479,                0.02931,                      0,                  5e-05,               0.007327,               0.007327,               0.007327,               0.047243,                0.42849,                0.47573,               0.060317,                0.14383,                0.52239,              0.0042606,               0.045871,               0.035497,                0.48357,                0.51906,                0.05033,                0.14639,                0.52295,               0.023438,                0.12263,                0.69182,                0.51905,                0.32052,               0.093963,                      1
                     29,                0.69746,                0.46745,                 1.3776,                0.03093,                      0,                  5e-05,                0.80418,                0.82258,                0.85199,                   0.71,                0.66033,                0.41899,                 1.4534,                0.02922,                      0,                  5e-05,               0.007228,               0.007228,               0.007228,               0.046521,                0.42992,                0.47644,               0.059581,                0.14337,                0.52092,              0.0043282,               0.046255,               0.034361,                0.48331,                0.51767,               0.049117,                0.14547,                0.52152,               0.022908,                0.13058,                0.69508,                0.52031,                 0.3229,               0.094689,                      1
                     30,                 0.6954,                0.46518,                 1.3694,                0.03083,                      0,                  5e-05,                 0.8082,                  0.816,                0.84866,                0.70915,                 0.6602,                0.41804,                 1.4421,                0.02907,                      0,                  5e-05,               0.007129,               0.007129,               0.007129,               0.046019,                0.43167,                0.47769,               0.059145,                0.14344,                0.52169,              0.0043246,                0.04594,               0.034164,                0.48502,                0.51918,                0.04899,                0.14568,                0.51424,                0.02284,                0.12808,                0.69376,                0.51951,                 0.3257,               0.093956,                      1
