                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss, train/rgb_spatial_loss,  train/rgb_global_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,   val/rgb_spatial_loss,    val/rgb_global_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,  p2/P3_rgb_global_mean,   p2/P3_rgb_global_mse,   p2/P3_rgb_global_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,  p2/P4_rgb_global_mean,   p2/P4_rgb_global_mse,   p2/P4_rgb_global_std,p2/rgb_global_teacher_max,p2/rgb_global_teacher_mean,p2/rgb_global_teacher_min,p2/rgb_global_teacher_std,p2/prompt_warmup_factor
                     41,                0.67731,                0.44211,                 1.3692,                0.03019,                      0,                  5e-05,                0.84438,                  0.818,                0.86207,                 0.7211,                0.65206,                0.40401,                 1.4476,                0.02828,                      0,                  5e-05,                0.00604,                0.00604,                0.00604,               0.042783,                0.44117,                0.48396,                0.05633,                0.14474,                0.52282,              0.0039426,               0.047402,               0.030599,                0.49827,                0.52887,               0.045969,                0.14644,                0.51199,               0.023487,                0.12949,                0.69175,                0.51807,                0.32289,               0.093041,                      1
                     42,                0.67616,                0.44059,                 1.3677,                0.03001,                      0,                  5e-05,                0.83698,                 0.8213,                0.86305,                0.72284,                0.65086,                0.40212,                 1.4536,                 0.0282,                      0,                  5e-05,               0.005941,               0.005941,               0.005941,               0.041895,                0.44059,                0.48249,                0.05536,                0.14369,                 0.5198,              0.0040112,               0.048077,               0.030231,                0.49959,                0.52982,               0.045567,                0.14584,                0.51635,               0.023708,                0.13022,                0.69407,                0.52006,                0.32236,               0.094717,                      1
                     43,                0.66917,                0.43746,                 1.3678,                0.02986,                      0,                  6e-05,                0.83534,                0.82347,                0.86471,                0.72439,                0.65035,                 0.4015,                 1.4516,                0.02815,                      0,                  5e-05,               0.005842,               0.005842,               0.005842,               0.041133,                0.44353,                0.48466,               0.054711,                0.14366,                0.52407,              0.0039629,                0.04813,               0.029377,                0.50097,                0.53035,               0.044797,                0.14558,                0.51578,               0.025886,                0.13754,                0.69436,                0.51917,                0.32457,                0.09438,                      1
                     44,                0.67154,                 0.4353,                 1.3648,                0.02996,                      0,                  6e-05,                0.83964,                 0.8251,                0.86642,                0.72686,                0.65021,                0.40068,                 1.4498,                 0.0281,                      0,                  5e-05,               0.005743,               0.005743,               0.005743,               0.041724,                0.44427,                0.48599,               0.055443,                0.14476,                0.52148,              0.0040202,               0.046815,               0.030121,                0.50089,                0.53101,               0.045656,                0.14649,                0.51947,               0.025677,                0.13803,                0.69071,                0.51894,                 0.3252,               0.093898,                      1
                     45,                0.67398,                0.43803,                  1.367,                0.02983,                      0,                  6e-05,                0.83388,                0.82796,                0.86446,                0.72507,                 0.6504,                0.40121,                 1.4474,                0.02807,                      0,                  5e-05,               0.005644,               0.005644,               0.005644,               0.041032,                0.44299,                0.48402,                0.05451,                0.14361,                0.52387,              0.0041281,               0.047721,               0.029563,                0.50163,                0.53119,               0.044897,                 0.1457,                0.51216,               0.028118,                0.13718,                0.69797,                0.52175,                0.32213,               0.095581,                      1
                     46,                0.67127,                0.43589,                 1.3717,                0.02985,                      0,                  6e-05,                0.82718,                 0.8296,                 0.8637,                0.72459,                 0.6505,                0.40115,                 1.4503,                0.02803,                      0,                  5e-05,               0.005545,               0.005545,               0.005545,               0.041087,                0.44254,                0.48363,               0.054504,                0.14385,                0.52331,              0.0039551,               0.048316,               0.029465,                0.50131,                0.53077,               0.044731,                0.14538,                0.51462,               0.025857,                0.14222,                0.69346,                0.52076,                0.32123,               0.094035,                      1
                     47,                0.66984,                0.43217,                 1.3641,                0.02978,                      0,                  6e-05,                0.83086,                0.82451,                0.86136,                0.72318,                0.64978,                  0.402,                 1.4482,                  0.028,                      0,                  5e-05,               0.005446,               0.005446,               0.005446,               0.040868,                0.44494,                 0.4858,               0.054414,                0.14425,                0.51919,              0.0038776,                0.04885,                0.02948,                0.50413,                0.53361,               0.044902,                0.14615,                0.50866,                0.02552,                0.13618,                0.69541,                0.51913,                0.32451,               0.094042,                      1
                     48,                 0.6693,                0.43475,                 1.3648,                0.02977,                      0,                  6e-05,                0.82935,                 0.8217,                0.86062,                0.72173,                0.64926,                0.40169,                 1.4469,                0.02797,                      0,                  5e-05,               0.005347,               0.005347,               0.005347,               0.040638,                 0.4442,                0.48484,               0.054203,                0.14423,                0.52121,               0.003923,               0.048555,                0.02925,                0.50417,                0.53342,               0.044709,                0.14627,                0.50946,               0.026045,                0.13831,                0.69201,                0.51925,                0.32336,                0.09376,                      1
                     49,                0.66558,                0.42876,                 1.3607,                 0.0296,                      0,                  6e-05,                0.81606,                0.83904,                0.86216,                0.72364,                 0.6491,                0.40056,                  1.449,                0.02793,                      0,                  5e-05,               0.005248,               0.005248,               0.005248,               0.039981,                0.44677,                0.48675,               0.053571,                0.14375,                0.52274,              0.0036886,               0.049035,               0.029028,                0.50638,                0.53541,               0.044486,                0.14595,                0.50243,                0.02573,                0.13946,                0.69137,                0.52059,                0.32835,               0.092633,                      1
                     50,                0.65911,                0.42344,                   1.36,                0.02972,                      0,                  5e-05,                0.81579,                   0.84,                0.86245,                0.72428,                0.64884,                0.40021,                 1.4502,                 0.0279,                      0,                  5e-05,               0.005149,               0.005149,               0.005149,               0.039854,                 0.4467,                0.48656,               0.053671,                0.14426,                0.52118,              0.0038313,               0.049148,               0.028876,                0.50475,                0.53363,               0.044566,                0.14642,                0.51249,               0.025329,                0.13704,                0.69214,                0.51944,                0.32249,               0.094446,                      1
                     51,                 0.6643,                0.42732,                 1.3637,                0.02965,                      0,                  6e-05,                0.82056,                0.83298,                0.86216,                0.72391,                  0.649,                0.40033,                 1.4507,                0.02787,                      0,                  5e-05,                0.00505,                0.00505,                0.00505,               0.040499,                0.44602,                0.48652,               0.054202,                0.14463,                0.52071,              0.0038431,               0.050003,                0.02911,                0.50497,                0.53408,               0.044698,                0.14616,                0.52018,               0.025779,                0.13673,                0.69345,                0.51989,                0.32636,               0.095056,                      1
                     52,                0.66031,                0.42464,                 1.3658,                0.02943,                      0,                  6e-05,                0.83704,                 0.8231,                 0.8623,                0.72434,                0.64884,                0.39996,                 1.4505,                0.02784,                      0,                  5e-05,               0.004951,               0.004951,               0.004951,               0.039333,                 0.4467,                0.48604,               0.052831,                0.14295,                0.52288,               0.003832,               0.049596,               0.028396,                0.50641,                 0.5348,               0.043774,                0.14524,                0.52004,               0.025733,                0.14025,                0.69447,                0.52055,                0.32259,               0.093735,                      1
                     53,                0.65673,                0.42021,                 1.3647,                0.02944,                      0,                  6e-05,                0.83894,                0.82095,                0.86299,                0.72477,                0.64879,                0.39992,                  1.451,                0.02781,                      0,                  5e-05,               0.004852,               0.004852,               0.004852,               0.039477,                 0.4502,                0.48968,               0.053144,                0.14418,                0.52031,              0.0038207,               0.048562,               0.028324,                0.50893,                0.53725,               0.043859,                0.14589,                0.48731,               0.026173,                0.13629,                0.69566,                0.52147,                0.32213,               0.093981,                      1
                     54,                0.65497,                0.41911,                  1.368,                0.02932,                      0,                  6e-05,                 0.8419,                0.81808,                0.86243,                 0.7249,                0.64856,                0.39984,                 1.4519,                0.02779,                      0,                  5e-05,               0.004753,               0.004753,               0.004753,               0.039589,                0.44981,                 0.4894,               0.053242,                0.14401,                0.52147,              0.0037164,               0.048801,               0.028427,                0.51116,                0.53959,               0.044028,                0.14645,                0.51242,               0.026835,                0.14298,                0.69424,                0.51925,                 0.3225,               0.093443,                      1
                     55,                0.65671,                0.41713,                 1.3577,                0.02937,                      0,                  6e-05,                0.83819,                 0.8202,                0.86201,                0.72475,                0.64838,                 0.4001,                 1.4524,                0.02777,                      0,                  5e-05,               0.004654,               0.004654,               0.004654,               0.039915,                 0.4515,                0.49142,               0.053682,                0.14492,                0.52309,               0.003758,               0.048711,               0.028355,                0.51172,                0.54008,               0.044041,                0.14659,                0.50812,               0.027482,                 0.1421,                0.69565,                0.52146,                0.32589,               0.093873,                      1
                     56,                0.65184,                0.41609,                 1.3605,                0.02947,                      0,                  6e-05,                0.83803,                0.82064,                0.86185,                0.72487,                0.64799,                0.39958,                 1.4529,                0.02774,                      0,                  5e-05,               0.004555,               0.004555,               0.004555,               0.039292,                 0.4491,                0.48839,               0.053122,                0.14418,                0.52238,              0.0037764,               0.048589,               0.028355,                0.50831,                0.53666,                0.04408,                0.14626,                0.50253,               0.026071,                0.13905,                0.68955,                0.51734,                0.32106,               0.093326,                      1
                     57,                0.64921,                0.41238,                 1.3539,                0.02937,                      0,                  5e-05,                0.83244,                0.82551,                0.86145,                0.72444,                0.64773,                0.39981,                 1.4526,                0.02772,                      0,                  5e-05,               0.004456,               0.004456,               0.004456,               0.039577,                0.45316,                0.49273,               0.053549,                0.14533,                0.52188,              0.0037341,               0.048751,               0.028231,                0.51247,                 0.5407,               0.044092,                0.14678,                0.51924,               0.025163,                0.13598,                0.69394,                  0.522,                0.32153,               0.094107,                      1
                     58,                0.65566,                0.41478,                 1.3498,                0.02928,                      0,                  6e-05,                0.83083,                0.82976,                0.86153,                0.72417,                 0.6475,                0.39968,                  1.452,                 0.0277,                      0,                  5e-05,               0.004357,               0.004357,               0.004357,               0.039461,                0.44981,                0.48927,               0.053147,                 0.1439,                0.52155,              0.0039567,               0.047041,               0.028502,                0.51179,                0.54029,               0.044154,                0.14645,                0.50709,               0.025598,                0.13335,                0.69437,                0.52003,                0.32054,               0.094338,                      1
                     59,                0.65544,                0.41329,                 1.3652,                0.02935,                      0,                  6e-05,                0.83255,                0.82854,                0.86097,                0.72351,                 0.6474,                0.39965,                 1.4514,                0.02769,                      0,                  5e-05,               0.004258,               0.004258,               0.004258,               0.038919,                0.44792,                0.48684,               0.052507,                0.14345,                0.52242,              0.0039383,               0.047718,               0.027985,                0.51078,                0.53877,               0.043552,                 0.1457,                0.51121,               0.026513,                0.13826,                0.69405,                0.52222,                0.32321,               0.094266,                      1
                     60,                0.65426,                0.41218,                  1.359,                0.02937,                      0,                  6e-05,                0.82994,                0.83306,                 0.8605,                0.72326,                0.64724,                0.39902,                 1.4521,                0.02767,                      0,                  5e-05,               0.004159,               0.004159,               0.004159,               0.039263,                0.45061,                0.48987,               0.053118,                0.14464,                 0.5205,              0.0037075,               0.047923,               0.027995,                0.50994,                0.53793,               0.043746,                0.14628,                0.50826,               0.026653,                0.13873,                0.69143,                0.51803,                0.32413,               0.093001,                      1
                     61,                0.64759,                0.40545,                 1.3571,                0.02922,                      0,                  6e-05,                0.83106,                0.83353,                0.86034,                 0.7232,                0.64688,                0.39886,                 1.4531,                0.02765,                      0,                  5e-05,                0.00406,                0.00406,                0.00406,               0.039124,                0.45249,                0.49161,               0.052993,                0.14437,                0.52076,              0.0039076,               0.047598,               0.027817,                0.51309,                0.54091,                0.04362,                0.14628,                0.50922,               0.026305,                0.13661,                0.69351,                0.51955,                0.32481,               0.094413,                      1
                     62,                 0.6449,                0.40563,                 1.3559,                 0.0292,                      0,                  6e-05,                0.83274,                0.83267,                0.85975,                0.72268,                0.64645,                0.39876,                 1.4534,                0.02763,                      0,                  5e-05,               0.003961,               0.003961,               0.003961,               0.038953,                0.45122,                0.49017,                0.05276,                0.14422,                0.52048,              0.0039014,               0.048429,               0.027828,                0.51317,                  0.541,               0.043607,                0.14629,                 0.5123,               0.026553,                0.13634,                  0.691,                0.51823,                0.32261,               0.094407,                      1
                     63,                0.64725,                0.40604,                 1.3607,                 0.0292,                      0,                  5e-05,                0.83422,                0.83048,                0.86012,                0.72338,                0.64624,                0.39865,                 1.4535,                0.02762,                      0,                  5e-05,               0.003862,               0.003862,               0.003862,               0.038617,                0.45191,                0.49053,               0.052288,                0.14368,                0.51992,              0.0037891,               0.047778,               0.027528,                0.51332,                0.54085,               0.043133,                0.14581,                0.51006,               0.025132,                0.13601,                0.69138,                0.51974,                 0.3219,               0.093595,                      1
                     64,                0.64707,                0.40719,                 1.3587,                0.02894,                      0,                  6e-05,                0.83389,                0.83097,                0.85972,                0.72349,                0.64594,                0.39833,                 1.4537,                 0.0276,                      0,                  5e-05,               0.003763,               0.003763,               0.003763,               0.038197,                0.45356,                0.49175,               0.051695,                0.14337,                0.52262,              0.0038367,               0.047906,               0.027563,                0.51485,                0.54241,               0.042957,                0.14511,                0.51721,               0.025891,                0.13505,                0.69273,                0.52004,                0.32423,               0.093255,                      1
                     65,                0.64095,                0.40096,                 1.3541,                0.02925,                      0,                  6e-05,                0.83498,                0.83183,                0.85993,                 0.7239,                0.64582,                0.39817,                 1.4537,                0.02759,                      0,                  5e-05,               0.003664,               0.003664,               0.003664,               0.038807,                0.45487,                0.49367,                0.05289,                0.14528,                0.52101,              0.0038679,               0.047113,               0.027791,                0.51139,                0.53918,               0.043697,                0.14625,                0.53278,               0.026736,                0.13878,                 0.6909,                0.51816,                0.32112,               0.094004,                      1
                     66,                0.64055,                0.40197,                 1.3556,                0.02908,                      0,                  6e-05,                0.83755,                0.83088,                0.85979,                0.72402,                0.64566,                0.39815,                 1.4538,                0.02758,                      0,                  5e-05,               0.003565,               0.003565,               0.003565,               0.037835,                0.45318,                0.49101,               0.051627,                 0.1438,                0.52134,              0.0038307,               0.047874,               0.027373,                0.51423,                0.54161,               0.043096,                0.14589,                0.51521,               0.025389,                0.13549,                0.69299,                0.51896,                0.32482,               0.093844,                      1
                     67,                0.64596,                0.40132,                 1.3486,                0.02924,                      0,                  6e-05,                 0.8371,                0.83128,                0.85973,                0.72408,                0.64564,                0.39822,                 1.4542,                0.02756,                      0,                  5e-05,               0.003466,               0.003466,               0.003466,                 0.0384,                 0.4509,                 0.4893,               0.052167,                0.14432,                 0.5207,              0.0036982,               0.048091,               0.027623,                0.51071,                0.53834,               0.043284,                0.14566,                0.49827,               0.026677,                0.13636,                0.69123,                0.52147,                 0.3264,               0.092713,                      1
                     68,                0.63724,                0.39468,                 1.3583,                0.02896,                      0,                  5e-05,                0.83405,                0.83223,                0.85971,                0.72419,                0.64563,                 0.3981,                 1.4552,                0.02755,                      0,                  5e-05,               0.003367,               0.003367,               0.003367,               0.038437,                  0.457,                0.49544,               0.052367,                0.14472,                0.52092,              0.0038337,               0.048686,               0.027574,                0.51626,                0.54383,               0.043393,                0.14605,                0.51471,               0.024777,                0.13542,                0.69603,                0.51948,                0.32023,               0.094953,                      1
                     69,                 0.6387,                0.39584,                 1.3541,                0.02897,                      0,                  6e-05,                0.83489,                0.83139,                0.85959,                0.72407,                0.64545,                0.39825,                 1.4553,                0.02754,                      0,                  5e-05,               0.003268,               0.003268,               0.003268,               0.038097,                0.45714,                0.49523,               0.052189,                0.14484,                0.52178,              0.0039268,               0.046935,               0.027497,                0.51557,                0.54307,               0.043463,                0.14635,                0.49106,               0.026215,                0.13654,                0.69476,                0.51863,                0.32314,               0.094078,                      1
                     70,                0.63678,                0.39305,                 1.3449,                0.02895,                      0,                  6e-05,                0.83637,                0.83036,                0.85959,                0.72414,                0.64535,                0.39798,                 1.4557,                0.02753,                      0,                  5e-05,               0.003169,               0.003169,               0.003169,               0.037906,                0.45572,                0.49362,               0.051932,                0.14424,                0.51906,              0.0038203,               0.046583,               0.027697,                0.51646,                0.54416,               0.043672,                0.14678,                0.50731,               0.026021,                0.13706,                0.69322,                0.51789,                0.32388,               0.093689,                      1
                     71,                0.63542,                0.39523,                 1.3504,                0.02887,                      0,                  6e-05,                0.83852,                0.82794,                0.85983,                0.72428,                0.64523,                0.39782,                  1.456,                0.02752,                      0,                  5e-05,                0.00307,                0.00307,                0.00307,               0.037819,                0.45383,                0.49164,               0.051512,                0.14346,                0.52281,              0.0039747,                0.04635,               0.027204,                0.51522,                0.54242,               0.042823,                0.14535,                0.48461,               0.026642,                 0.1368,                0.69243,                0.51943,                0.32415,               0.093617,                      1
                     72,                0.63375,                 0.3906,                 1.3452,                0.02911,                      0,                  6e-05,                0.83823,                 0.8285,                0.85989,                0.72424,                0.64518,                0.39788,                 1.4561,                0.02751,                      0,                  5e-05,               0.002971,               0.002971,               0.002971,               0.038128,                0.45405,                0.49218,               0.052129,                 0.1446,                0.52073,              0.0038482,               0.047005,               0.027254,                0.51358,                0.54083,               0.043173,                0.14607,                0.51359,               0.025513,                0.13758,                 0.6903,                0.51818,                0.32349,               0.094002,                      1
                     73,                0.63079,                0.38798,                 1.3505,                0.02879,                      0,                  6e-05,                0.83367,                0.83137,                0.85983,                 0.7243,                0.64509,                0.39787,                 1.4563,                 0.0275,                      0,                  5e-05,               0.002872,               0.002872,               0.002872,               0.037521,                0.45726,                0.49478,               0.051501,                0.14412,                0.52102,              0.0038776,               0.045994,               0.026917,                0.51981,                0.54673,               0.042885,                0.14633,                0.50191,               0.025807,                0.13495,                  0.691,                0.51898,                0.32453,               0.092907,                      1
                     74,                0.62883,                 0.3865,                 1.3484,                0.02887,                      0,                  6e-05,                0.83485,                0.83034,                0.85932,                0.72393,                0.64502,                0.39774,                 1.4566,                0.02749,                      0,                  5e-05,               0.002773,               0.002773,               0.002773,               0.037765,                0.45714,                 0.4949,               0.051664,                0.14415,                0.52065,              0.0038477,                0.04648,               0.027134,                0.51835,                0.54549,                0.04297,                0.14624,                0.52131,               0.025323,                0.13531,                0.69436,                0.52007,                0.32534,               0.093599,                      1
                     75,                0.62876,                0.38622,                 1.3455,                0.02884,                      0,                  5e-05,                0.83848,                0.82754,                0.85952,                0.72375,                0.64499,                0.39787,                 1.4567,                0.02748,                      0,                  5e-05,               0.002674,               0.002674,               0.002674,               0.037603,                0.45755,                0.49516,               0.051503,                0.14417,                0.52051,              0.0038169,               0.046929,               0.027089,                0.51822,                0.54531,               0.042905,                0.14595,                0.51421,               0.025206,                0.13358,                0.69285,                0.52004,                0.32041,                 0.0935,                      1
                     76,                0.62675,                0.38497,                 1.3392,                0.02871,                      0,                  5e-05,                0.83848,                 0.8274,                0.85947,                0.72367,                0.64493,                0.39781,                 1.4566,                0.02747,                      0,                  5e-05,               0.002575,               0.002575,               0.002575,               0.037312,                0.45778,                0.49509,               0.051163,                0.14365,                0.52265,              0.0039079,               0.045711,               0.026648,                0.51875,                0.54539,               0.042427,                 0.1455,                0.51512,               0.024801,                0.13079,                0.69238,                0.52138,                0.32389,               0.093946,                      1
                     77,                0.62648,                0.38377,                  1.339,                0.02876,                      0,                  5e-05,                  0.839,                 0.8273,                0.85951,                0.72386,                0.64496,                0.39781,                  1.457,                0.02746,                      0,                  5e-05,               0.002476,               0.002476,               0.002476,               0.037406,                 0.4602,                0.49761,               0.051453,                0.14463,                  0.522,              0.0039799,               0.046337,               0.026782,                0.51945,                0.54623,               0.042711,                0.14624,                0.50729,               0.024208,                  0.133,                0.69482,                 0.5188,                  0.321,                0.09512,                      1
                     78,                0.62484,                0.38141,                 1.3404,                0.02863,                      0,                  5e-05,                0.83955,                0.82694,                0.85937,                0.72426,                0.64489,                0.39779,                 1.4572,                0.02746,                      0,                  5e-05,               0.002377,               0.002377,               0.002377,               0.037897,                0.45986,                0.49776,               0.051864,                0.14457,                0.52095,              0.0038855,               0.046361,               0.027117,                0.52026,                0.54738,               0.043003,                0.14612,                0.50863,               0.024197,                0.13257,                0.69379,                0.51841,                0.32037,                0.09436,                      1
                     79,                0.62718,                0.38193,                 1.3455,                0.02867,                      0,                  5e-05,                 0.8418,                0.82607,                0.85922,                0.72374,                0.64489,                0.39781,                 1.4576,                0.02745,                      0,                  5e-05,               0.002278,               0.002278,               0.002278,               0.037435,                0.45805,                0.49548,               0.051259,                0.14393,                0.52089,               0.003863,               0.046155,                0.02681,                 0.5213,                0.54811,               0.042629,                0.14605,                0.51375,               0.024096,                0.13068,                0.69488,                0.52086,                0.32424,               0.093819,                      1
                     80,                0.61999,                0.37797,                 1.3418,                0.02858,                      0,                  5e-05,                0.84354,                0.82521,                0.85923,                0.72385,                0.64481,                0.39763,                 1.4578,                0.02744,                      0,                  5e-05,               0.002179,               0.002179,               0.002179,               0.037006,                0.46013,                0.49714,               0.050988,                0.14414,                0.52438,              0.0039369,               0.045942,               0.026535,                0.51924,                0.54578,               0.042405,                0.14573,                0.51407,               0.024964,                0.13249,                0.69385,                0.52052,                0.32064,               0.093756,                      1
                     81,                0.62023,                0.37558,                 1.3484,                0.02886,                      0,                  5e-05,                0.84261,                0.82536,                0.85932,                0.72413,                0.64478,                0.39768,                 1.4582,                0.02743,                      0,                  5e-05,                0.00208,                0.00208,                0.00208,               0.036976,                0.45943,                0.49641,               0.051108,                0.14479,                0.51955,              0.0039149,               0.045477,               0.026775,                0.51854,                0.54532,               0.042815,                 0.1465,                0.49799,               0.024088,                0.13019,                0.69267,                0.51966,                0.32551,               0.093408,                      1
                     82,                0.62258,                 0.3777,                 1.3359,                0.02876,                      0,                  5e-05,                0.84256,                0.82534,                0.85919,                0.72408,                0.64485,                0.39767,                 1.4584,                0.02741,                      0,                  5e-05,               0.001981,               0.001981,               0.001981,               0.037394,                0.45904,                0.49644,               0.051387,                0.14464,                0.51947,              0.0039462,               0.046034,               0.026646,                0.51879,                0.54544,               0.042547,                0.14579,                0.51988,               0.024699,                0.13216,                0.69198,                0.51936,                0.32051,                0.09374,                      1
                     83,                0.61599,                0.37213,                  1.333,                0.02877,                      0,                  5e-05,                0.84213,                0.82597,                0.85904,                0.72403,                 0.6448,                 0.3979,                 1.4585,                 0.0274,                      0,                  5e-05,               0.001882,               0.001882,               0.001882,               0.036743,                0.45887,                0.49561,               0.051025,                0.14448,                 0.5199,              0.0038943,               0.046364,               0.026579,                0.52053,                0.54711,               0.042857,                0.14692,                 0.5233,               0.023639,                0.12934,                0.69223,                0.51844,                0.32198,               0.094481,                      1
                     84,                0.61796,                0.37507,                 1.3404,                0.02865,                      0,                  5e-05,                0.84172,                0.82598,                  0.859,                0.72413,                0.64478,                0.39795,                 1.4588,                0.02739,                      0,                  5e-05,               0.001783,               0.001783,               0.001783,               0.037235,                0.45716,                0.49439,               0.051033,                0.14395,                0.52289,              0.0038201,               0.045878,               0.026514,                0.51996,                0.54648,               0.042292,                0.14559,                0.51656,               0.023216,                0.12816,                0.69399,                0.52139,                0.32249,               0.093792,                      1
                     85,                0.61857,                0.37257,                  1.339,                 0.0287,                      0,                  5e-05,                0.84297,                0.82546,                 0.8588,                0.72403,                0.64476,                0.39823,                 1.4591,                0.02739,                      0,                  5e-05,               0.001684,               0.001684,               0.001684,               0.036721,                0.45911,                0.49583,               0.050691,                0.14436,                0.52084,              0.0038373,               0.045583,                0.02629,                0.51956,                0.54585,               0.042167,                0.14576,                0.50382,               0.022923,                0.12517,                0.69312,                0.52172,                0.32257,               0.093581,                      1
                     86,                0.61348,                0.37038,                 1.3343,                0.02856,                      0,                  5e-05,                0.84797,                0.82207,                0.85887,                0.72406,                0.64484,                 0.3984,                 1.4592,                0.02738,                      0,                  5e-05,               0.001585,               0.001585,               0.001585,               0.037253,                0.46367,                0.50092,               0.051445,                0.14526,                0.52172,              0.0038025,               0.045132,                0.02683,                0.52347,                 0.5503,               0.042915,                0.14659,                0.50624,               0.022068,                0.12572,                0.69254,                 0.5223,                0.32549,               0.092811,                      1
                     87,                0.61132,                0.36649,                 1.3296,                0.02866,                      0,                  5e-05,                0.84818,                0.82215,                0.85877,                0.72389,                0.64478,                0.39854,                 1.4594,                0.02737,                      0,                  5e-05,               0.001486,               0.001486,               0.001486,               0.036739,                0.46168,                0.49842,               0.050975,                0.14472,                0.52143,              0.0037693,               0.045399,               0.026434,                0.52313,                0.54956,               0.042655,                0.14674,                0.51931,               0.021874,                0.12388,                0.69242,                0.52065,                0.32707,               0.093151,                      1
                     88,                0.61193,                0.36893,                 1.3353,                0.02874,                      0,                  5e-05,                  0.849,                0.82185,                0.85876,                0.72384,                0.64487,                0.39872,                 1.4595,                0.02736,                      0,                  5e-05,               0.001387,               0.001387,               0.001387,               0.037367,                0.45956,                0.49693,               0.051385,                 0.1449,                0.52116,              0.0038919,               0.045035,               0.026901,                0.52012,                0.54702,               0.042837,                0.14634,                0.52891,               0.022294,                0.12476,                 0.6944,                0.52135,                0.32488,               0.093195,                      1
                     89,                0.60905,                0.36454,                 1.3334,                0.02869,                      0,                  5e-05,                0.84842,                0.82134,                0.85862,                 0.7237,                0.64495,                0.39885,                 1.4597,                0.02735,                      0,                  5e-05,               0.001288,               0.001288,               0.001288,                0.03685,                 0.4609,                0.49775,                0.05112,                0.14488,                0.52005,              0.0039113,               0.045838,               0.026269,                0.52091,                0.54718,               0.042461,                0.14636,                0.50992,               0.021791,                 0.1244,                0.69146,                0.52024,                0.32097,               0.094168,                      1
                     90,                0.60664,                0.36383,                 1.3282,                0.02844,                      0,                  5e-05,                0.84915,                0.82124,                0.85845,                0.72364,                0.64492,                0.39905,                 1.4598,                0.02734,                      0,                  5e-05,               0.001189,               0.001189,               0.001189,               0.036716,                0.46261,                0.49933,               0.050785,                0.14443,                0.52062,              0.0040052,               0.045147,               0.026594,                0.52518,                0.55178,               0.042646,                0.14657,                0.50988,               0.022101,                0.12382,                0.69457,                0.52024,                0.32133,               0.094349,                      1
                     91,                0.60701,                0.36059,                 1.3256,                 0.0286,                      0,                  5e-05,                 0.8484,                 0.8216,                0.85835,                0.72347,                0.64497,                0.39911,                 1.4601,                0.02733,                      0,                  5e-05,                0.00109,                0.00109,                0.00109,               0.036683,                0.46297,                0.49965,               0.050945,                0.14482,                0.52056,              0.0039286,               0.045266,               0.026074,                0.52335,                0.54943,                0.04227,                0.14635,                0.50812,               0.022512,                0.12439,                 0.6944,                0.52094,                0.32219,               0.094348,                      1
                     92,                  0.605,                0.35808,                 1.3274,                0.02841,                      0,                  5e-05,                0.84968,                0.82083,                0.85792,                0.72301,                0.64503,                0.39937,                 1.4601,                0.02732,                      0,                  5e-05,               0.000991,               0.000991,               0.000991,                 0.0363,                0.46471,                0.50101,                 0.0505,                0.14435,                0.52141,              0.0038762,               0.045031,               0.026037,                0.52486,                 0.5509,               0.042142,                0.14598,                0.51351,               0.021737,                0.12491,                0.69122,                0.51946,                0.31914,               0.093205,                      1
                     93,                0.60315,                0.35638,                 1.3289,                0.02846,                      0,                  5e-05,                0.84842,                0.82131,                0.85826,                 0.7236,                0.64501,                0.39939,                 1.4604,                0.02732,                      0,                  5e-05,               0.000892,               0.000892,               0.000892,               0.036192,                 0.4628,                0.49899,               0.050336,                0.14413,                0.51871,              0.0039791,               0.046044,               0.026214,                0.52388,                 0.5501,               0.042296,                  0.146,                 0.5084,               0.022007,                0.12414,                0.69297,                0.51791,                0.31767,               0.095328,                      1
                     94,                0.60299,                0.35783,                 1.3272,                0.02853,                      0,                  5e-05,                0.84893,                0.82098,                0.85798,                0.72334,                0.64505,                0.39942,                 1.4608,                0.02731,                      0,                  5e-05,               0.000793,               0.000793,               0.000793,               0.036355,                0.46312,                0.49948,               0.050666,                0.14473,                0.51967,               0.003879,               0.045084,               0.026078,                0.52364,                0.54972,               0.042318,                0.14618,                 0.5116,               0.020974,                0.12078,                0.69439,                0.51921,                0.32391,                 0.0937,                      1
