                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,    train/saliency_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,      val/saliency_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                0.69644,                0.46623,                 1.3753,                0.03371,                0.82806,                0.82317,                0.86483,                0.71783,                0.66126,                0.41316,                 1.4435,                0.03732,               0.006931,               0.006931,               0.006931
                     33,                0.69747,                0.46591,                 1.3702,                0.03394,                0.81822,                 0.8236,                0.86122,                0.71579,                0.65872,                 0.4134,                 1.4453,                0.03673,               0.006832,               0.006832,               0.006832
                     34,                0.69187,                0.45959,                 1.3689,                0.03336,                0.82225,                0.82565,                0.86456,                0.71945,                0.65845,                0.41231,                 1.4398,                0.03666,               0.006733,               0.006733,               0.006733
                     35,                0.69453,                0.46048,                 1.3735,                0.03348,                0.82975,                0.81396,                0.86192,                0.71872,                0.65806,                0.41157,                 1.4461,                0.03646,               0.006634,               0.006634,               0.006634
                     36,                0.68886,                0.45476,                 1.3649,                0.03337,                0.82111,                 0.8266,                0.86008,                0.71816,                0.65716,                0.40913,                 1.4506,                0.03647,               0.006535,               0.006535,               0.006535
                     37,                0.68368,                0.45217,                 1.3677,                0.03303,                0.82566,                0.81152,                0.86161,                0.71763,                0.65605,                0.40867,                 1.4507,                0.03611,               0.006436,               0.006436,               0.006436
                     38,                0.68684,                0.45281,                 1.3696,                0.03315,                0.83832,                0.82179,                0.86849,                0.72455,                0.65502,                0.40796,                 1.4438,                0.03602,               0.006337,               0.006337,               0.006337
                     39,                0.68448,                0.44967,                 1.3707,                0.03281,                0.82909,                0.83019,                0.86892,                0.72485,                0.65491,                0.40775,                 1.4423,                0.03593,               0.006238,               0.006238,               0.006238
                     40,                0.68109,                0.44912,                 1.3686,                0.03268,                0.84415,                0.81776,                0.86881,                0.72462,                0.65513,                0.40661,                 1.4461,                0.03605,               0.006139,               0.006139,               0.006139
                     41,                0.68124,                0.44411,                 1.3746,                0.03295,                0.84343,                0.82951,                0.86837,                0.72501,                0.65421,                0.40557,                 1.4458,                0.03593,                0.00604,                0.00604,                0.00604
                     42,                0.67941,                0.44334,                 1.3697,                 0.0326,                0.84237,                0.83134,                0.87256,                0.73012,                0.65369,                0.40233,                 1.4482,                0.03571,               0.005941,               0.005941,               0.005941
                     43,                0.67405,                0.44132,                 1.3717,                0.03251,                0.83316,                 0.8329,                0.87225,                0.72917,                0.65276,                0.40168,                 1.4498,                0.03563,               0.005842,               0.005842,               0.005842
