                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/object_reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/object_reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_gate_direction_loss,    p2/P3_ir_win_recall,p2/P3_object_balanced_loss,p2/P3_object_calibrated_loss,p2/P3_object_hard_winner_loss,p2/P3_object_prompt_accuracy,p2/P3_object_prompt_correlation,p2/P3_object_prompt_mae,p2/P3_object_prompt_rgb, p2/P3_object_rank_loss,p2/P3_object_target_rgb,   p2/P3_rgb_win_recall,p2/P4_gate_direction_loss,    p2/P4_ir_win_recall,p2/P4_object_balanced_loss,p2/P4_object_calibrated_loss,p2/P4_object_hard_winner_loss,p2/P4_object_prompt_accuracy,p2/P4_object_prompt_correlation,p2/P4_object_prompt_mae,p2/P4_object_prompt_rgb, p2/P4_object_rank_loss,p2/P4_object_target_rgb,   p2/P4_rgb_win_recall,p2/object_cross_scale_consistency,p2/object_gate_raw_loss,p2/object_prompt_raw_loss,  p2/teacher_ir_quality,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/teacher_rgb_win_rate, p2/teacher_ir_win_rate,p2/teacher_majority_baseline,p2/object_reliability_warmup_factor
                     11,                0.75407,                0.52784,                 1.3946,                0.08376,                0.76555,                0.76835,                0.80392,                0.64449,                0.70745,                0.48106,                 1.4625,                0.08864,                0.00901,                0.00901,                0.00901,                      0,                0.66807,                0.68068,                0.66803,                0.56325,                0.65873,                0.37587,                0.17996,                0.45706,                0.60226,                0.41128,                0.63323,                      0,                0.64493,                0.67452,                0.66333,                0.53234,                0.65819,                0.42085,                0.18667,                0.45915,                0.56585,                0.41128,                0.69438,                0.01042,                      0,                0.71956,                0.58568,                0.31684,                  0.484,                0.26814,                0.73186,                0.73186,                      1
                     12,                0.75113,                0.52316,                 1.3886,                0.08366,                0.74645,                0.77187,                0.79271,                0.63345,                0.71022,                0.47603,                 1.5177,                 0.0881,               0.008911,               0.008911,               0.008911,                      0,                0.66141,                0.68393,                0.67323,                   0.56,                0.65609,                0.37294,                0.18186,                0.46098,                0.60347,                0.41254,                0.64171,                      0,                0.63874,                0.67767,                0.66822,                0.52972,                0.65576,                0.41598,                0.18907,                0.46346,                0.57526,                0.41254,                0.70179,               0.010369,                      0,                 0.7178,                0.58096,                0.31278,                0.48099,                0.26996,                0.73004,                0.73004,                      1
                     13,                0.74632,                0.51755,                 1.3939,                0.08369,                0.73238,                0.75227,                0.78075,                 0.6198,                0.72279,                0.50276,                 1.4965,                0.08952,               0.008812,               0.008812,               0.008812,                      0,                0.67705,                0.68502,                0.67026,                0.56148,                0.66374,                 0.3778,                0.18156,                0.45261,                0.60183,                0.40976,                0.62646,                      0,                0.64492,                0.67501,                0.66218,                0.53221,                0.65698,                0.42466,                0.18658,                0.45799,                0.57088,                0.40976,                0.69075,               0.010255,                      0,                0.71862,                 0.5842,                0.31812,                0.48102,                0.26312,                0.73688,                0.73688,                      1
                     14,                0.74347,                0.51816,                 1.3829,                0.08223,                0.75229,                0.77073,                0.79473,                0.64114,                0.69716,                0.46445,                 1.4765,                0.08763,               0.008713,               0.008713,               0.008713,                      0,                0.67456,                0.68336,                0.67061,                0.54727,                0.66619,                0.38988,                0.18181,                0.45418,                0.58734,                0.41092,                 0.6429,                      0,                0.64722,                0.67703,                0.66567,                0.52329,                0.66186,                0.42941,                0.18684,                0.45947,                0.56235,                0.41092,                0.70263,              0.0099612,                      0,                0.70652,                0.58655,                0.31289,                0.48549,                0.26434,                0.73566,                0.73566,                      1
                     15,                0.74084,                0.51179,                 1.3851,                0.08219,                0.78059,                0.80292,                0.82865,                0.67109,                0.69233,                0.45581,                 1.4527,                0.08734,               0.008614,               0.008614,               0.008614,                      0,                0.68049,                0.68359,                0.67081,                0.54756,                0.66745,                0.38785,                0.18318,                0.45086,                0.58779,                 0.4106,                0.63107,                      0,                0.65453,                0.67709,                0.66558,                0.52215,                0.66506,                0.42708,                0.18932,                 0.4558,                 0.5577,                 0.4106,                0.69446,               0.010003,                      0,                0.70635,                 0.5856,                0.31765,                0.48426,                0.26381,                0.73619,                0.73619,                      1
                     16,                0.74028,                0.51149,                 1.3809,                0.08242,                0.77793,                0.75635,                0.80714,                0.65246,                0.69521,                0.46587,                 1.4726,                 0.0872,               0.008515,               0.008515,               0.008515,                      0,                0.67116,                 0.6836,                0.67168,                0.55143,                0.66143,                0.38578,                0.18344,                0.45516,                0.58243,                0.41236,                0.63491,                      0,                0.64709,                0.67566,                0.66562,                0.52343,                0.66004,                0.42941,                0.18851,                0.46024,                0.55611,                0.41236,                0.69536,              0.0098067,                      0,                0.70951,                0.58123,                0.31533,                0.48155,                0.26825,                0.73175,                0.73175,                      1
                     17,                0.73699,                0.50552,                 1.3835,                0.08122,                0.76743,                0.73301,                0.79084,                0.62924,                 0.7209,                0.49252,                  1.494,                0.08897,               0.008416,               0.008416,               0.008416,                      0,                0.68182,                0.68111,                0.66928,                0.53776,                0.66959,                0.39492,                 0.1844,                0.45236,                0.58391,                0.41182,                0.63678,                      0,                0.65421,                0.67412,                0.66301,                0.51625,                0.66533,                0.43525,                0.18863,                0.45746,                0.55486,                0.41182,                0.69516,              0.0094973,                      0,                0.69739,                0.58096,                0.31421,                0.47986,                0.27155,                0.72845,                0.72845,                      1
                     18,                0.73099,                0.49965,                 1.3718,                0.08111,                0.81541,                0.78172,                0.84294,                0.68294,                0.69423,                0.44662,                 1.4627,                0.08699,               0.008317,               0.008317,               0.008317,                      0,                0.68425,                0.68027,                0.66436,                0.53946,                0.67149,                0.40338,                0.18316,                0.44875,                0.57345,                0.40969,                0.63607,                      0,                0.65911,                0.67452,                0.66062,                0.51731,                0.66848,                0.43635,                0.18863,                0.45506,                 0.5521,                0.40969,                0.69447,              0.0094197,                      0,                0.69786,                 0.5827,                0.32068,                0.47864,                0.26495,                0.73505,                0.73505,                      1
                     19,                0.73059,                0.49866,                  1.377,                0.08119,                 0.7889,                0.77865,                0.82772,                0.67093,                0.69227,                0.45261,                 1.4605,                0.08706,               0.008218,               0.008218,               0.008218,                      0,                0.68579,                0.68303,                0.66769,                0.53776,                0.67263,                0.39922,                0.18448,                0.44894,                0.58242,                0.41019,                0.63654,                      0,                0.65669,                 0.6751,                0.66154,                0.51627,                0.66754,                0.43802,                0.18869,                0.45569,                0.55894,                0.41019,                0.69727,              0.0093595,                      0,                0.69701,                0.58532,                0.31768,                0.48241,                0.26725,                0.73275,                0.73275,                      1
                     20,                0.72747,                0.49627,                 1.3747,                0.08124,                0.72306,                0.74222,                0.77145,                0.61885,                0.71021,                0.49983,                 1.5067,                0.08843,               0.008119,               0.008119,               0.008119,                      0,                0.67567,                0.68175,                0.67079,                0.53792,                 0.6662,                0.39373,                0.18492,                0.45401,                0.58437,                0.41197,                0.64052,                      0,                 0.6502,                0.67453,                  0.664,                0.51479,                0.66308,                0.43608,                0.18878,                0.45965,                0.55756,                0.41197,                0.69805,              0.0089843,                      0,                0.69734,                0.58195,                0.31557,                0.48117,                0.26921,                0.73079,                0.73079,                      1
