                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss,  train/rgb_prompt_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,    val/rgb_prompt_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,  p2/P3_rgb_prompt_mean,   p2/P3_rgb_prompt_mse,   p2/P3_rgb_prompt_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,  p2/P4_rgb_prompt_mean,   p2/P4_rgb_prompt_mse,   p2/P4_rgb_prompt_std,p2/prompt_warmup_factor
                     49,                0.66518,                0.42805,                 1.3596,                0.02958,                0.00045,                0.82586,                0.82893,                0.85855,                 0.7197,                0.64975,                0.40146,                 1.4496,                0.02786,                0.00039,               0.005248,               0.005248,               0.005248,               0.039781,                0.44687,                0.48665,               0.053372,                0.14335,                0.51867,                0.04487,             0.00025643,                0.02892,                0.50617,                0.53509,               0.044379,                0.14594,                 0.5168,               0.044864,             0.00085928,                      1
                     50,                0.65925,                0.42413,                 1.3593,                0.02972,                0.00045,                0.82535,                0.82615,                0.85653,                 0.7184,                0.64956,                0.40197,                 1.4499,                0.02785,                0.00039,               0.005149,               0.005149,               0.005149,               0.039794,                0.44544,                0.48523,               0.053572,                0.14385,                0.51861,               0.044857,             0.00024661,                0.02852,                0.50458,                 0.5331,               0.044214,                0.14607,                0.51686,               0.044835,             0.00082434,                      1
                     51,                0.66299,                0.42769,                 1.3616,                0.02961,                0.00045,                0.82732,                0.82445,                0.85569,                0.71819,                0.64905,                0.40209,                 1.4501,                0.02783,                0.00039,                0.00505,                0.00505,                0.00505,                0.04032,                0.44616,                0.48648,               0.054025,                0.14412,                0.51852,               0.044813,             0.00023597,               0.028615,                0.50619,                0.53481,               0.044247,                0.14622,                0.51689,               0.044815,             0.00077991,                      1
                     52,                0.65975,                0.42411,                 1.3664,                0.02934,                0.00045,                0.82271,                0.82732,                0.85452,                0.71717,                0.64892,                0.40299,                 1.4505,                0.02779,                0.00039,               0.004951,               0.004951,               0.004951,               0.038621,                0.44642,                0.48504,               0.052115,                0.14199,                0.51881,               0.045236,             0.00022541,               0.028346,                0.50743,                0.53578,               0.043757,                 0.1455,                0.51705,               0.045271,             0.00074985,                      1
                     53,                 0.6567,                0.41974,                 1.3649,                0.02942,                0.00045,                0.82828,                0.82251,                 0.8551,                0.71732,                0.64892,                0.40265,                 1.4511,                0.02777,                0.00039,               0.004852,               0.004852,               0.004852,               0.039219,                 0.4503,                0.48951,               0.052881,                 0.1436,                0.51872,               0.044778,             0.00021756,               0.028302,                0.50923,                0.53754,               0.043852,                  0.146,                0.51704,               0.044798,             0.00072024,                      1
                     54,                0.65425,                0.41901,                  1.365,                 0.0293,                0.00045,                0.82837,                0.82175,                0.85454,                0.71707,                 0.6489,                0.40281,                 1.4509,                0.02775,                0.00039,               0.004753,               0.004753,               0.004753,               0.039133,                0.44858,                0.48772,               0.052748,                0.14315,                 0.5186,               0.044671,             0.00020926,               0.028296,                0.51137,                0.53966,                0.04391,                0.14627,                0.51708,               0.044672,             0.00069331,                      1
                     55,                0.65717,                0.41758,                 1.3561,                0.02938,                0.00045,                0.82691,                0.82135,                0.85493,                0.71777,                0.64875,                0.40263,                  1.451,                0.02773,                0.00039,               0.004654,               0.004654,               0.004654,               0.039523,                0.45104,                0.49056,               0.053275,                0.14392,                0.51855,               0.044609,             0.00019922,               0.028315,                0.51028,                 0.5386,               0.043956,                0.14637,                0.51708,                0.04462,             0.00065755,                      1
                     56,                0.65206,                0.41631,                 1.3572,                0.02947,                0.00045,                0.82133,                0.82411,                0.85523,                0.71798,                0.64858,                0.40262,                 1.4518,                0.02771,                0.00039,               0.004555,               0.004555,               0.004555,               0.038985,                0.44924,                0.48823,               0.052817,                0.14379,                0.51863,                0.04506,             0.00019138,               0.028316,                0.50838,                 0.5367,               0.044053,                0.14625,                0.51719,               0.045079,             0.00063651,                      1
                     57,                  0.649,                0.40998,                  1.359,                0.02934,                0.00045,                0.81962,                0.82606,                0.85469,                  0.718,                0.64821,                0.40243,                 1.4526,                0.02768,                0.00039,               0.004456,               0.004456,               0.004456,               0.038995,                 0.4519,                 0.4909,               0.052926,                0.14427,                0.51859,               0.044671,             0.00018476,               0.028041,                0.51359,                0.54163,                0.04394,                0.14684,                0.51715,               0.044687,              0.0006073,                      1
                     58,                 0.6562,                0.41469,                 1.3539,                0.02928,                0.00045,                0.84396,                0.80858,                0.85481,                0.71805,                0.64828,                0.40217,                 1.4533,                0.02767,                0.00039,               0.004357,               0.004357,               0.004357,               0.039266,                0.44976,                0.48903,                0.05295,                0.14369,                0.51882,               0.044833,             0.00017751,               0.028144,                0.51141,                0.53955,               0.043784,                0.14626,                0.51727,               0.044844,             0.00058247,                      1
                     59,                0.65497,                0.41282,                 1.3682,                0.02934,                0.00045,                0.84488,                0.80731,                0.85462,                0.71813,                0.64826,                0.40216,                 1.4531,                0.02765,                0.00039,               0.004258,               0.004258,               0.004258,               0.038278,                0.44649,                0.48477,               0.051819,                0.14236,                0.51869,               0.044535,             0.00017239,               0.027646,                0.51127,                0.53891,               0.043222,                 0.1456,                0.51724,               0.044536,             0.00055862,                      1
                     60,                0.65392,                0.41259,                 1.3551,                0.02933,                0.00045,                0.82908,                0.82015,                0.85424,                0.71812,                0.64813,                0.40181,                 1.4532,                0.02763,                0.00039,               0.004159,               0.004159,               0.004159,               0.038853,                0.45072,                0.48957,               0.052713,                0.14406,                0.51873,               0.044843,             0.00016559,               0.027646,                 0.5116,                0.53924,               0.043451,                0.14639,                0.51733,               0.044842,             0.00053513,                      1
                     61,                0.64732,                0.40682,                 1.3557,                0.02919,                0.00045,                0.83478,                0.81589,                0.85424,                 0.7182,                0.64798,                0.40162,                 1.4536,                0.02761,                0.00039,                0.00406,                0.00406,                0.00406,               0.038747,                 0.4513,                0.49004,               0.052577,                0.14367,                0.51877,               0.045145,             0.00016049,                 0.0276,                0.51405,                0.54165,               0.043435,                0.14634,                0.51744,               0.045151,             0.00051714,                      1
                     62,                0.64523,                0.40597,                 1.3558,                0.02919,                0.00045,                0.83212,                0.81742,                0.85381,                0.71813,                0.64785,                0.40143,                 1.4537,                 0.0276,                0.00039,               0.003961,               0.003961,               0.003961,                0.03852,                0.45157,                0.49009,                0.05234,                0.14362,                 0.5186,               0.045008,             0.00015456,               0.027775,                0.51282,                0.54059,               0.043547,                0.14624,                0.51739,               0.045008,             0.00049582,                      1
                     63,                0.64768,                0.40728,                 1.3609,                0.02919,                0.00045,                0.83953,                0.81309,                0.85416,                0.71821,                0.64759,                0.40116,                  1.454,                0.02758,                0.00039,               0.003862,               0.003862,               0.003862,               0.038146,                0.45084,                0.48899,               0.051782,                0.14292,                0.51842,                0.04476,             0.00014963,               0.027378,                0.51392,                 0.5413,               0.043005,                0.14565,                0.51736,               0.044756,             0.00048478,                      1
                     64,                0.64748,                0.40756,                 1.3582,                0.02892,                0.00045,                 0.8391,                0.81433,                0.85387,                 0.7181,                0.64748,                0.40116,                 1.4542,                0.02756,                0.00039,               0.003763,               0.003763,               0.003763,               0.037944,                0.45283,                0.49077,               0.051421,                 0.1426,                0.51847,               0.044512,             0.00014561,               0.027268,                0.51567,                0.54293,               0.042687,                0.14508,                0.51738,                0.04452,             0.00046674,                      1
                     65,                0.64183,                0.40093,                  1.355,                0.02923,                0.00045,                0.83932,                0.81372,                0.85361,                0.71835,                0.64741,                  0.401,                 1.4544,                0.02755,                0.00039,               0.003664,               0.003664,               0.003664,               0.038287,                0.45439,                0.49268,               0.052351,                0.14447,                0.51854,                0.04494,             0.00014073,                0.02764,                0.51212,                0.53976,               0.043569,                0.14631,                0.51739,               0.044949,             0.00044825,                      1
                     66,                 0.6406,                0.40164,                 1.3547,                0.02906,                0.00045,                0.83138,                0.82145,                0.85278,                0.71743,                0.64735,                0.40129,                 1.4543,                0.02754,                0.00039,               0.003565,               0.003565,               0.003565,               0.037684,                 0.4529,                0.49059,               0.051467,                0.14309,                0.51846,               0.045144,             0.00013595,               0.027163,                0.51462,                0.54178,                 0.0429,                0.14584,                0.51736,               0.045136,             0.00043787,                      1
                     67,                0.64563,                0.40144,                 1.3464,                0.02922,                0.00045,                0.82958,                0.82496,                0.85217,                0.71698,                0.64733,                0.40156,                 1.4549,                0.02753,                0.00039,               0.003466,               0.003466,               0.003466,               0.037734,                0.44931,                0.48704,               0.051454,                0.14306,                0.51852,               0.044802,             0.00013155,               0.027514,                0.51123,                0.53875,               0.043198,                0.14584,                0.51743,               0.044804,             0.00042342,                      1
                     68,                0.63814,                0.39569,                 1.3544,                0.02895,                0.00045,                0.82853,                 0.8246,                0.85201,                0.71712,                0.64727,                0.40139,                 1.4552,                0.02752,                0.00039,               0.003367,               0.003367,               0.003367,                0.03821,                0.45612,                0.49433,               0.052111,                0.14411,                0.51839,               0.045089,             0.00012781,               0.027389,                 0.5171,                0.54449,               0.043237,                0.14638,                0.51737,               0.045074,             0.00040722,                      1
                     69,                0.63843,                0.39506,                 1.3531,                0.02894,                0.00045,                0.82714,                0.82723,                0.85208,                0.71707,                0.64727,                0.40123,                 1.4552,                0.02751,                0.00039,               0.003268,               0.003268,               0.003268,               0.038023,                0.45593,                0.49395,                0.05208,                0.14431,                 0.5184,               0.044808,             0.00012421,               0.027202,                 0.5166,                 0.5438,               0.043195,                0.14648,                0.51742,               0.044799,             0.00039923,                      1
                     70,                0.63694,                0.39393,                  1.341,                0.02892,                0.00045,                0.82673,                0.82804,                0.85184,                0.71676,                0.64727,                0.40133,                  1.455,                 0.0275,                0.00039,               0.003169,               0.003169,               0.003169,               0.037909,                 0.4556,                0.49351,               0.051934,                0.14384,                0.51836,               0.045004,             0.00012053,               0.027488,                0.51706,                0.54455,               0.043476,                0.14665,                 0.5174,               0.045022,             0.00038701,                      1
                     71,                0.63642,                0.39451,                 1.3517,                0.02886,                0.00045,                0.82717,                0.82684,                0.85159,                0.71663,                 0.6472,                0.40123,                 1.4553,                0.02749,                0.00039,                0.00307,                0.00307,                0.00307,               0.037517,                0.45216,                0.48968,               0.051157,                0.14254,                0.51831,               0.045139,             0.00011805,               0.026951,                 0.5162,                0.54315,               0.042606,                0.14542,                0.51742,               0.045148,             0.00037387,                      1
                     72,                 0.6341,                0.39129,                 1.3442,                0.02909,                0.00045,                0.82651,                0.82852,                0.85179,                0.71689,                0.64713,                 0.4012,                 1.4553,                0.02748,                0.00039,               0.002971,               0.002971,               0.002971,               0.037867,                0.45295,                0.49082,               0.051835,                0.14375,                0.51827,               0.044882,             0.00011492,               0.026995,                0.51506,                0.54205,               0.042952,                0.14639,                 0.5174,               0.044881,             0.00036442,                      1
                     73,                0.63104,                0.38851,                 1.3497,                0.02879,                0.00045,                0.82822,                0.82611,                0.85163,                0.71691,                0.64704,                0.40127,                 1.4554,                0.02747,                0.00039,               0.002872,               0.002872,               0.002872,               0.036842,                0.45626,                0.49311,               0.050792,                0.14316,                0.51826,                0.04508,             0.00011228,               0.027046,                0.52038,                0.54742,               0.043028,                0.14663,                0.51743,               0.045057,             0.00035595,                      1
                     74,                0.62986,                0.38696,                 1.3462,                0.02886,                0.00045,                 0.8297,                0.82532,                0.85158,                0.71703,                0.64696,                 0.4013,                 1.4556,                0.02746,                0.00039,               0.002773,               0.002773,               0.002773,               0.037375,                0.45638,                0.49376,               0.051253,                0.14349,                0.51825,               0.044679,             0.00010987,               0.027201,                0.51867,                0.54587,               0.043046,                 0.1463,                0.51746,               0.044682,             0.00034575,                      1
                     75,                0.62921,                 0.3862,                 1.3438,                0.02882,                0.00045,                0.83069,                0.82483,                0.85153,                0.71706,                0.64695,                0.40123,                 1.4559,                0.02745,                0.00039,               0.002674,               0.002674,               0.002674,                0.03738,                0.45639,                0.49377,               0.051245,                0.14349,                0.51831,               0.044822,              0.0001073,               0.026886,                0.51986,                0.54675,               0.042751,                0.14616,                0.51747,               0.044847,             0.00033369,                      1
                     76,                0.62685,                0.38433,                 1.3418,                0.02872,                0.00045,                0.82785,                0.82743,                0.85161,                0.71749,                0.64691,                0.40114,                  1.456,                0.02744,                0.00039,               0.002575,               0.002575,               0.002575,               0.037074,                0.45723,                0.49431,               0.050917,                 0.1433,                0.51832,               0.045007,              0.0001046,               0.026495,                0.51893,                0.54543,               0.042275,                0.14545,                0.51749,               0.045026,             0.00032651,                      1
                     77,                0.62639,                0.38252,                 1.3399,                0.02877,                0.00045,                0.82914,                0.82586,                0.85137,                0.71709,                0.64689,                0.40127,                 1.4562,                0.02743,                0.00039,               0.002476,               0.002476,               0.002476,               0.037053,                 0.4588,                0.49585,               0.051055,                0.14392,                0.51834,               0.044745,             0.00010221,               0.027071,                0.51993,                  0.547,               0.043014,                0.14642,                0.51752,               0.044753,             0.00031937,                      1
                     78,                0.62536,                0.38116,                 1.3429,                0.02863,                0.00045,                0.82908,                0.82455,                0.85086,                0.71672,                0.64669,                0.40131,                 1.4566,                0.02743,                0.00039,               0.002377,               0.002377,               0.002377,               0.037475,                0.45887,                0.49634,               0.051413,                0.14378,                0.51832,               0.045004,             0.00010032,               0.026802,                0.52091,                0.54772,               0.042705,                0.14614,                0.51752,               0.045002,              0.0003136,                      1
                     79,                0.62692,                0.38162,                 1.3449,                0.02867,                0.00045,                0.82948,                 0.8236,                0.85065,                0.71672,                0.64679,                0.40139,                 1.4569,                0.02742,                0.00039,               0.002278,               0.002278,               0.002278,               0.037299,                0.45756,                0.49486,               0.051107,                 0.1435,                0.51829,               0.044833,             9.8312e-05,                0.02672,                0.52172,                0.54844,                0.04255,                0.14607,                0.51751,               0.044825,             0.00030686,                      1
                     80,                0.62054,                0.37836,                 1.3394,                 0.0286,                0.00045,                0.82584,                0.82639,                0.85093,                0.71676,                0.64672,                0.40151,                 1.4571,                0.02741,                0.00039,               0.002179,               0.002179,               0.002179,               0.036603,                 0.4585,                 0.4951,               0.050538,                0.14331,                0.51835,               0.044753,             9.7014e-05,               0.026242,                0.52082,                0.54706,               0.042154,                0.14589,                0.51756,               0.044738,             0.00030132,                      1
                     81,                 0.6205,                0.37599,                 1.3424,                0.02886,                0.00045,                0.82637,                0.82591,                0.85056,                0.71656,                0.64674,                0.40161,                 1.4569,                 0.0274,                0.00039,                0.00208,                0.00208,                0.00208,               0.037037,                0.45792,                0.49496,               0.051122,                0.14413,                0.51836,               0.045125,             9.5101e-05,               0.026642,                0.51935,                0.54599,               0.042708,                0.14651,                0.51759,               0.045138,             0.00029508,                      1
                     82,                0.62274,                 0.3769,                 1.3338,                0.02876,                0.00045,                0.82411,                0.82818,                0.85015,                0.71625,                0.64679,                0.40168,                 1.4569,                0.02739,                0.00039,               0.001981,               0.001981,               0.001981,               0.036783,                0.45688,                0.49367,                0.05071,                0.14354,                0.51824,               0.044864,             9.3268e-05,               0.026586,                0.51977,                0.54635,               0.042514,                0.14592,                0.51756,               0.044863,             0.00029007,                      1
                     83,                0.61627,                 0.3713,                 1.3345,                0.02878,                0.00045,                 0.8237,                 0.8278,                0.85006,                0.71641,                0.64681,                0.40184,                 1.4569,                0.02738,                0.00039,               0.001882,               0.001882,               0.001882,               0.036625,                0.45837,                  0.495,               0.050892,                0.14413,                0.51818,               0.044981,             9.1715e-05,               0.026339,                 0.5203,                0.54664,               0.042608,                0.14667,                0.51754,               0.044964,             0.00028517,                      1
                     84,                0.61825,                0.37513,                 1.3366,                0.02865,                0.00045,                0.82455,                0.82769,                0.85001,                0.71645,                0.64684,                0.40201,                 1.4568,                0.02737,                0.00039,               0.001783,               0.001783,               0.001783,               0.036923,                0.45604,                0.49297,               0.050691,                0.14314,                0.51819,               0.044703,             9.0328e-05,               0.026643,                0.52022,                0.54687,               0.042425,                0.14569,                0.51754,               0.044716,             0.00028016,                      1
                     85,                0.61972,                0.37375,                 1.3318,                0.02873,                0.00045,                0.82333,                0.82749,                0.84985,                0.71623,                0.64694,                0.40224,                 1.4567,                0.02736,                0.00039,               0.001684,               0.001684,               0.001684,               0.036415,                0.45624,                0.49265,               0.050297,                0.14321,                0.51819,                0.04472,             8.8439e-05,                0.02641,                0.51976,                0.54617,               0.042291,                0.14576,                0.51755,               0.044731,             0.00027492,                      1
                     86,                0.61341,                0.36967,                 1.3342,                0.02857,                0.00044,                 0.8222,                0.82867,                 0.8497,                0.71608,                0.64695,                0.40242,                 1.4566,                0.02736,                0.00039,               0.001585,               0.001585,               0.001585,                0.03716,                 0.4622,                0.49936,               0.051306,                0.14482,                0.51823,               0.044401,             8.7652e-05,                0.02678,                0.52413,                0.55091,               0.042883,                0.14678,                0.51757,               0.044415,             0.00027058,                      1
                     87,                0.61127,                0.36667,                 1.3292,                0.02868,                0.00045,                0.82744,                0.82406,                0.84939,                0.71623,                0.64695,                0.40255,                 1.4569,                0.02735,                0.00039,               0.001486,               0.001486,               0.001486,                0.03637,                0.46064,                0.49701,               0.050575,                0.14421,                0.51824,               0.044689,             8.6573e-05,               0.026233,                0.52288,                0.54911,               0.042443,                0.14665,                0.51758,               0.044697,             0.00026625,                      1
                     88,                0.61106,                0.36768,                 1.3364,                0.02876,                0.00045,                0.82875,                0.82256,                 0.8492,                0.71623,                0.64693,                0.40264,                 1.4571,                0.02735,                0.00039,               0.001387,               0.001387,               0.001387,               0.037182,                0.45836,                0.49554,               0.051165,                0.14441,                0.51823,               0.044507,             8.5572e-05,               0.026933,                0.52086,                 0.5478,               0.042893,                0.14648,                 0.5176,               0.044537,             0.00026358,                      1
                     89,                0.60889,                0.36434,                 1.3345,                0.02868,                0.00045,                0.82902,                0.82182,                0.84909,                0.71633,                0.64694,                0.40276,                 1.4572,                0.02734,                0.00039,               0.001288,               0.001288,               0.001288,               0.036756,                0.46063,                0.49739,               0.051016,                0.14461,                0.51821,               0.044721,             8.4664e-05,               0.026347,                0.52175,                 0.5481,               0.042565,                 0.1465,                0.51762,                0.04472,             0.00026056,                      1
                     90,                0.60657,                0.36337,                 1.3266,                0.02844,                0.00045,                0.83004,                0.82029,                0.84856,                0.71578,                0.64693,                0.40307,                 1.4574,                0.02733,                0.00039,               0.001189,               0.001189,               0.001189,                0.03681,                0.46096,                0.49777,               0.050831,                0.14384,                 0.5182,                0.04475,             8.3263e-05,               0.026334,                0.52632,                0.55266,               0.042419,                0.14656,                 0.5176,               0.044754,             0.00025759,                      1
                     91,                0.60712,                0.36121,                 1.3237,                0.02861,                0.00045,                0.83108,                0.81994,                0.84827,                0.71579,                0.64704,                0.40349,                 1.4574,                0.02733,                0.00039,                0.00109,                0.00109,                0.00109,               0.036558,                0.46106,                0.49762,               0.050763,                0.14424,                0.51824,               0.044647,             8.2789e-05,                0.02609,                0.52471,                 0.5508,                0.04233,                0.14658,                 0.5176,                0.04465,             0.00025658,                      1
                     92,                0.60517,                0.35766,                 1.3288,                0.02839,                0.00045,                0.83727,                0.81513,                0.84805,                0.71551,                0.64701,                0.40345,                 1.4577,                0.02732,                0.00039,               0.000991,               0.000991,               0.000991,               0.036291,                0.46342,                0.49972,               0.050454,                0.14382,                0.51826,               0.044861,             8.2295e-05,               0.025964,                0.52568,                0.55164,                0.04209,                0.14604,                0.51762,               0.044843,             0.00025272,                      1
                     93,                0.60271,                0.35574,                 1.3309,                0.02844,                0.00045,                0.83742,                0.81438,                0.84769,                0.71543,                0.64701,                0.40358,                  1.458,                0.02732,                0.00039,               0.000892,               0.000892,               0.000892,               0.036311,                0.46212,                0.49843,               0.050438,                0.14371,                0.51821,               0.045071,             8.1598e-05,               0.025916,                0.52492,                0.55083,               0.042028,                0.14599,                 0.5176,               0.045069,             0.00024964,                      1
                     94,                0.60281,                0.35822,                 1.3271,                0.02851,                0.00045,                0.83693,                0.81429,                0.84718,                0.71519,                0.64704,                0.40383,                 1.4583,                0.02731,                0.00039,               0.000793,               0.000793,               0.000793,               0.036466,                0.46279,                0.49926,               0.050769,                0.14455,                0.51816,               0.045164,             8.0849e-05,               0.025717,                0.52424,                0.54996,               0.041976,                0.14612,                0.51759,               0.045154,             0.00024874,                      1
                     95,                0.60086,                0.35727,                 1.3237,                0.02825,                0.00045,                0.83746,                0.81438,                0.84692,                0.71503,                0.64698,                0.40374,                 1.4587,                0.02731,                0.00039,               0.000694,               0.000694,               0.000694,               0.035784,                0.46615,                0.50193,               0.049975,                0.14396,                0.51816,                0.04475,              8.032e-05,               0.025755,                 0.5275,                0.55326,               0.041889,                0.14609,                0.51759,               0.044738,             0.00024702,                      1
                     96,                0.59799,                0.35256,                 1.3206,                0.02818,                0.00045,                0.83924,                0.81429,                0.84641,                0.71449,                0.64704,                0.40391,                 1.4593,                 0.0273,                0.00039,               0.000595,               0.000595,               0.000595,               0.035616,                0.46239,                  0.498,               0.049465,                 0.1427,                0.51816,               0.044977,              7.999e-05,                0.02579,                0.52852,                0.55431,               0.041705,                0.14567,                 0.5176,               0.044999,             0.00024641,                      1
                     97,                0.59522,                0.35085,                 1.3191,                0.02842,                0.00045,                0.84151,                0.81329,                0.84629,                0.71426,                0.64705,                0.40384,                 1.4598,                 0.0273,                0.00039,               0.000496,               0.000496,               0.000496,                0.03627,                0.46449,                0.50076,               0.050647,                0.14463,                0.51815,               0.044716,             7.9532e-05,               0.025668,                0.52604,                0.55171,                0.04201,                0.14648,                0.51759,               0.044727,             0.00024506,                      1
                     98,                0.59762,                0.35155,                 1.3293,                0.02822,                0.00045,                0.84197,                0.81289,                0.84595,                0.71424,                0.64706,                0.40414,                 1.4603,                0.02729,                0.00039,               0.000397,               0.000397,               0.000397,               0.035822,                0.46239,                0.49821,               0.049798,                0.14296,                0.51814,               0.044946,              7.931e-05,               0.025734,                  0.526,                0.55173,               0.041712,                0.14557,                 0.5176,               0.044956,             0.00024368,                      1
                     99,                0.59565,                0.34942,                 1.3208,                0.02833,                0.00045,                0.83992,                0.81362,                0.84551,                0.71373,                0.64713,                0.40422,                 1.4609,                0.02728,                0.00039,               0.000298,               0.000298,               0.000298,               0.035683,                0.46205,                0.49773,               0.049649,                0.14302,                0.51813,               0.044965,             7.9107e-05,               0.025794,                0.52619,                0.55199,               0.041745,                0.14559,                 0.5176,               0.044952,             0.00024257,                      1
                    100,                0.59482,                0.35078,                 1.3193,                 0.0286,                0.00045,                0.84059,                0.81382,                0.84547,                0.71367,                0.64722,                0.40422,                 1.4612,                0.02728,                0.00039,               0.000199,               0.000199,               0.000199,               0.036137,                0.46123,                0.49736,               0.050314,                0.14432,                0.51812,               0.045013,             7.8966e-05,               0.025838,                0.52419,                0.55002,               0.042032,                0.14617,                 0.5176,               0.045022,             0.00024222,                      1
