                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss,  train/rgb_prompt_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,    val/rgb_prompt_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,  p2/P3_rgb_prompt_mean,   p2/P3_rgb_prompt_mse,   p2/P3_rgb_prompt_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,  p2/P4_rgb_prompt_mean,   p2/P4_rgb_prompt_mse,   p2/P4_rgb_prompt_std,p2/prompt_warmup_factor
                     13,                0.73505,                0.51687,                 1.3826,                0.03503,                0.00045,                0.77934,                0.75858,                0.80882,                0.66084,                0.69402,                0.46624,                 1.4665,                 0.0332,                 0.0004,               0.008812,               0.008812,               0.008812,               0.077534,                0.37322,                0.45076,               0.089071,                 0.1349,                0.51729,               0.045004,              0.0021066,               0.093952,                0.35633,                0.45028,                0.10502,                0.12816,                0.51487,               0.045052,              0.0069038,                      1
                     14,                 0.7312,                0.51157,                   1.38,                0.03432,                0.00045,                0.77875,                0.76838,                0.80339,                0.66123,                0.68809,                0.46433,                 1.4401,                0.03254,                 0.0004,               0.008713,               0.008713,               0.008713,               0.070246,                0.38717,                0.45741,               0.082141,                0.13744,                0.51787,                0.04507,              0.0019538,               0.081956,                0.37898,                0.46094,               0.093663,                0.13272,                0.51486,               0.045107,              0.0064561,                      1
                     15,                0.73024,                0.50778,                  1.382,                0.03377,                0.00045,                0.79138,                0.75838,                0.81192,                0.67087,                0.68904,                0.45969,                 1.4382,                0.03198,                 0.0004,               0.008614,               0.008614,               0.008614,               0.065656,                0.39517,                0.46083,               0.077717,                0.13878,                0.51797,               0.044706,              0.0018224,               0.070404,                0.39984,                0.47025,               0.082679,                0.13561,                 0.5147,               0.044739,              0.0060097,                      1
                     16,                0.72655,                0.50174,                  1.376,                0.03317,                0.00045,                0.79291,                 0.7809,                0.82488,                0.67689,                0.68242,                0.45526,                 1.4422,                0.03155,                 0.0004,               0.008515,               0.008515,               0.008515,               0.061824,                0.40379,                0.46561,               0.074173,                0.14033,                0.51824,               0.044704,              0.0016876,               0.059132,                0.42012,                0.47926,               0.072045,                0.13926,                0.51468,               0.044759,               0.005637,                      1
                     17,                 0.7244,                0.49955,                 1.3811,                0.03289,                0.00045,                0.78565,                 0.7879,                0.82418,                0.67895,                0.68356,                0.45522,                 1.4537,                0.03116,                 0.0004,               0.008416,               0.008416,               0.008416,                 0.0589,                0.40475,                0.46365,               0.071326,                0.14073,                0.51869,               0.044656,               0.001582,               0.050545,                0.43323,                0.48378,               0.063916,                0.14151,                0.51481,               0.044691,              0.0053057,                      1
                     18,                0.71927,                0.49518,                 1.3742,                0.03272,                0.00045,                0.78698,                0.80056,                0.83786,                0.68907,                 0.6788,                  0.445,                 1.4657,                0.03072,                 0.0004,               0.008317,               0.008317,               0.008317,               0.056945,                0.40616,                 0.4631,                0.06958,                0.14125,                0.51858,               0.045312,              0.0014631,               0.045821,                 0.4417,                0.48752,               0.059646,                0.14311,                0.51473,               0.045296,              0.0049746,                      1
                     19,                0.71695,                0.49197,                 1.3847,                0.03255,                0.00045,                0.80445,                0.79016,                0.83841,                0.69079,                0.68108,                0.44661,                 1.4512,                0.03059,                 0.0004,               0.008218,               0.008218,               0.008218,                0.05472,                0.40783,                0.46255,               0.067339,                0.14143,                0.51866,               0.045097,              0.0013651,               0.041987,                0.45039,                0.49238,               0.055998,                0.14383,                 0.5147,               0.045082,               0.004617,                      1
                     20,                0.71777,                 0.4939,                 1.3753,                0.03201,                0.00045,                0.78705,                0.80051,                0.84318,                 0.6949,                0.67493,                0.44425,                 1.4297,                0.03026,                 0.0004,               0.008119,               0.008119,               0.008119,               0.053332,                0.41401,                0.46734,               0.065913,                0.14148,                0.51913,               0.044676,              0.0012791,               0.039319,                0.46001,                0.49933,                0.05338,                0.14393,                0.51493,               0.044685,              0.0044044,                      1
                     21,                0.71748,                0.48875,                 1.3791,                0.03167,                0.00045,                0.81485,                0.79555,                0.84182,                0.69478,                  0.674,                  0.438,                 1.4496,                0.03008,                 0.0004,                0.00802,                0.00802,                0.00802,               0.052028,                0.41569,                0.46771,               0.064528,                0.14078,                0.51907,               0.044847,               0.001193,                 0.0378,                0.46683,                0.50463,               0.051917,                0.14419,                0.51496,               0.044871,              0.0041195,                      1
                     22,                0.70938,                0.48665,                 1.3747,                0.03169,                0.00045,                0.79347,                0.79491,                0.83564,                0.69207,                0.66789,                0.43543,                 1.4567,                0.02983,                 0.0004,               0.007921,               0.007921,               0.007921,               0.051641,                0.41955,                0.47119,               0.064536,                0.14278,                0.51906,               0.044873,              0.0011271,               0.037223,                0.47173,                0.50895,               0.051802,                0.14572,                0.51503,               0.044883,              0.0038553,                      1
