                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss,  train/rgb_prompt_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,    val/rgb_prompt_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_gder_attention_weight,p2/P3_gder_modality_weight,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,  p2/P3_rgb_prompt_mean,   p2/P3_rgb_prompt_mse,   p2/P3_rgb_prompt_std,p2/P4_gder_attention_weight,p2/P4_gder_modality_weight,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,  p2/P4_rgb_prompt_mean,   p2/P4_rgb_prompt_mse,   p2/P4_rgb_prompt_std,p2/P5_gder_attention_weight,p2/P5_gder_modality_weight,p2/prompt_warmup_factor
                     41,                0.65188,                0.41147,                 1.3414,                0.02983,                0.00045,                0.84001,                0.82138,                0.85755,                0.71686,                0.65434,                0.40738,                 1.4479,                0.02817,                 0.0004,                0.00604,                0.00604,                0.00604,                0.49924,                0.50076,               0.041215,                  0.444,                0.48521,               0.054888,                0.14347,                0.51842,               0.045017,             0.00040313,                0.50026,                0.49974,               0.029102,                0.50647,                0.53558,               0.044779,                0.14643,                0.51606,               0.044997,              0.0013907,                0.50013,                0.49987,                      1
                     42,                0.67506,                0.44099,                 1.3649,                0.02992,                0.00045,                0.83357,                0.81693,                0.85642,                0.71552,                0.65327,                0.40733,                 1.4501,                0.02813,                 0.0004,               0.005941,               0.005941,               0.005941,                0.49921,                0.50079,                0.04171,                0.44162,                0.48333,               0.055157,                 0.1432,                0.51847,                0.04496,             0.00038456,                0.50027,                0.49973,               0.030069,                0.50176,                0.53183,                0.04544,                0.14602,                0.51624,               0.044935,              0.0013309,                0.50013,                0.49987,                      1
                     43,                0.67566,                0.44257,                 1.3676,                0.03001,                0.00045,                0.82529,                0.82687,                0.85759,                 0.7176,                0.65357,                0.40624,                 1.4481,                0.02808,                 0.0004,               0.005842,               0.005842,               0.005842,                 0.4992,                 0.5008,               0.041772,                0.43914,                0.48091,                0.05516,                0.14345,                0.51856,               0.045143,             0.00036755,                0.50027,                0.49973,               0.029841,                0.50057,                0.53042,               0.045176,                 0.1461,                0.51633,                0.04512,              0.0012487,                0.50014,                0.49986,                      1
                     44,                0.67405,                0.43967,                 1.3648,                0.02997,                0.00045,                0.83293,                0.81956,                0.85976,                0.71911,                0.65273,                0.40472,                 1.4489,                0.02806,                 0.0004,               0.005743,               0.005743,               0.005743,                0.49922,                0.50078,               0.041538,                0.44133,                0.48287,               0.055104,                0.14366,                0.51837,               0.044993,             0.00034865,                0.50028,                0.49972,                0.02983,                0.50335,                0.53318,               0.045379,                 0.1465,                0.51639,               0.044989,              0.0011875,                0.50014,                0.49986,                      1
                     45,                 0.6746,                0.43934,                 1.3665,                0.02975,                0.00045,                0.83594,                0.82337,                0.86315,                0.72243,                0.65142,                0.40383,                 1.4512,                0.02802,                 0.0004,               0.005644,               0.005644,               0.005644,                0.49922,                0.50078,                0.04087,                0.44211,                0.48298,               0.054293,                0.14326,                0.51852,               0.044959,             0.00033275,                0.50028,                0.49972,               0.029524,                 0.5043,                0.53382,               0.044904,                0.14612,                0.51647,               0.044975,              0.0011407,                0.50014,                0.49986,                      1
                     46,                0.67469,                   0.44,                 1.3722,                0.02994,                0.00045,                0.82976,                0.82886,                0.86253,                0.72229,                0.65144,                 0.4034,                 1.4486,                0.02798,                 0.0004,               0.005545,               0.005545,               0.005545,                 0.4992,                 0.5008,               0.041597,                0.44001,                 0.4816,               0.055045,                0.14367,                0.51868,               0.044925,              0.0003178,                 0.5003,                 0.4997,               0.029792,                0.50141,                 0.5312,               0.045206,                0.14616,                0.51671,               0.044934,              0.0011068,                0.50014,                0.49986,                      1
                     47,                0.67108,                 0.4348,                 1.3712,                0.02969,                0.00045,                0.83659,                0.82415,                0.86308,                0.72349,                0.65132,                0.40258,                 1.4495,                0.02794,                0.00039,               0.005446,               0.005446,               0.005446,                0.49919,                0.50081,               0.041108,                0.44478,                0.48589,               0.054549,                0.14374,                0.51865,               0.044917,             0.00030306,                0.50031,                0.49969,               0.029419,                0.50507,                0.53449,               0.044764,                0.14589,                0.51686,                0.04491,              0.0010677,                0.50014,                0.49986,                      1
                     48,                0.67349,                0.43481,                 1.3693,                0.02983,                0.00045,                 0.8312,                 0.8279,                0.86452,                0.72447,                0.65141,                0.40176,                 1.4473,                0.02791,                0.00039,               0.005347,               0.005347,               0.005347,                0.49919,                0.50081,                0.04083,                0.44376,                0.48459,               0.054474,                0.14423,                0.51859,               0.044805,             0.00028956,                0.50032,                0.49968,               0.029177,                0.50463,                 0.5338,               0.044762,                0.14663,                0.51697,               0.044788,             0.00099919,                0.50014,                0.49986,                      1
                     49,                0.66862,                0.43023,                 1.3648,                0.02964,                0.00045,                0.83361,                0.82746,                0.86467,                0.72467,                 0.6516,                0.40199,                 1.4444,                0.02788,                0.00039,               0.005248,               0.005248,               0.005248,                0.49921,                0.50079,               0.040746,                0.44473,                0.48548,               0.054343,                0.14409,                0.51855,               0.044643,             0.00027785,                0.50032,                0.49968,               0.029576,                0.50723,                0.53681,               0.045151,                 0.1467,                0.51703,               0.044641,             0.00097072,                0.50015,                0.49985,                      1
                     50,                  0.665,                0.42761,                 1.3642,                0.02961,                0.00045,                0.83399,                0.82834,                0.86477,                0.72483,                0.65162,                0.40127,                  1.445,                0.02783,                0.00039,               0.005149,               0.005149,               0.005149,                0.49919,                0.50081,               0.040018,                0.44454,                0.48456,                 0.0536,                0.14352,                0.51842,               0.044876,             0.00026781,                0.50033,                0.49967,               0.028997,                0.50775,                0.53675,               0.044608,                0.14618,                0.51713,               0.044858,             0.00091204,                0.50015,                0.49985,                      1
                     51,                0.66445,                 0.4261,                 1.3637,                0.02968,                0.00045,                0.84128,                0.81931,                0.86575,                0.72621,                0.65139,                0.40043,                 1.4463,                 0.0278,                0.00039,                0.00505,                0.00505,                0.00505,                0.49919,                0.50081,               0.039945,                0.44554,                0.48548,               0.053823,                  0.144,                0.51835,               0.044947,             0.00025663,                0.50033,                0.49967,               0.028761,                0.50791,                0.53667,               0.044669,                0.14697,                0.51708,               0.044946,             0.00085614,                0.50015,                0.49985,                      1
                     52,                0.66153,                0.42738,                 1.3695,                0.02943,                0.00045,                0.83275,                0.83043,                0.86633,                 0.7271,                 0.6511,                0.39989,                 1.4465,                0.02778,                0.00039,               0.004951,               0.004951,               0.004951,                0.49919,                0.50081,               0.039711,                0.44463,                0.48434,               0.053179,                0.14282,                0.51854,                0.04512,             0.00024307,                0.50034,                0.49966,               0.028793,                0.50894,                0.53773,               0.044283,                 0.1462,                0.51717,               0.045124,              0.0008283,                0.50015,                0.49985,                      1
                     53,                0.66033,                0.42201,                 1.3573,                0.02959,                0.00045,                0.84273,                0.82442,                0.86703,                0.72804,                0.65098,                0.39922,                 1.4468,                0.02775,                0.00039,               0.004852,               0.004852,               0.004852,                 0.4992,                 0.5008,               0.039713,                0.44693,                0.48665,               0.053367,                0.14386,                0.51847,               0.044806,             0.00023184,                0.50035,                0.49965,               0.028938,                0.50841,                0.53734,               0.044539,                0.14645,                0.51727,               0.044818,             0.00078865,                0.50015,                0.49985,                      1
                     54,                0.65735,                 0.4194,                 1.3638,                0.02938,                0.00045,                0.83211,                0.83353,                0.86675,                0.72797,                0.65017,                0.39899,                 1.4478,                0.02773,                0.00039,               0.004753,               0.004753,               0.004753,                0.49921,                0.50079,               0.039733,                0.44842,                0.48816,               0.053321,                 0.1433,                0.51854,               0.044729,             0.00022427,                0.50036,                0.49964,               0.028575,                0.51102,                 0.5396,               0.044157,                0.14633,                0.51742,               0.044716,             0.00076428,                0.50016,                0.49984,                      1
                     55,                0.65882,                0.42089,                 1.3608,                0.02935,                0.00045,                0.83869,                0.83065,                 0.8665,                0.72823,                0.64977,                 0.3993,                 1.4479,                0.02772,                0.00039,               0.004654,               0.004654,               0.004654,                0.49919,                0.50081,               0.039415,                0.44811,                0.48752,                0.05296,                0.14332,                0.51854,               0.044504,               0.000216,                0.50036,                0.49964,               0.028388,                0.51231,                 0.5407,               0.043959,                0.14627,                0.51751,               0.044502,             0.00073807,                0.50016,                0.49984,                      1
                     56,                0.65601,                0.41893,                 1.3602,                 0.0294,                0.00045,                 0.8356,                0.83545,                0.86672,                0.72862,                 0.6496,                0.39891,                 1.4486,                 0.0277,                0.00039,               0.004555,               0.004555,               0.004555,                0.49917,                0.50083,               0.039514,                 0.4489,                0.48841,               0.053215,                0.14388,                0.51839,               0.045049,             0.00020809,                0.50037,                0.49963,               0.028604,                0.51007,                0.53868,                0.04425,                0.14634,                0.51749,               0.045047,             0.00070028,                0.50016,                0.49984,                      1
                     57,                0.65281,                0.41601,                 1.3534,                0.02936,                0.00045,                0.84137,                  0.834,                0.86709,                 0.7292,                0.64944,                0.39858,                 1.4479,                0.02768,                0.00039,               0.004456,               0.004456,               0.004456,                0.49916,                0.50084,               0.039394,                0.44938,                0.48877,               0.053163,                0.14383,                0.51823,                  0.045,             0.00019894,                0.50038,                0.49962,               0.028155,                0.51271,                0.54087,               0.043955,                0.14668,                0.51755,               0.044982,             0.00067559,                0.50016,                0.49984,                      1
                     58,                0.65677,                0.41553,                 1.3598,                0.02927,                0.00045,                0.83996,                0.83409,                0.86641,                0.72862,                0.64894,                0.39871,                 1.4484,                0.02766,                0.00039,               0.004357,               0.004357,               0.004357,                0.49918,                0.50082,               0.039751,                0.44979,                0.48954,               0.053375,                0.14414,                0.51823,               0.044726,             0.00019315,                 0.5004,                 0.4996,               0.028364,                0.51277,                0.54113,               0.043963,                0.14637,                0.51755,               0.044729,             0.00064324,                0.50016,                0.49984,                      1
                     59,                 0.6548,                0.41268,                 1.3502,                0.02934,                0.00045,                0.83874,                0.83342,                0.86625,                0.72895,                 0.6488,                0.39879,                 1.4476,                0.02765,                0.00039,               0.004258,               0.004258,               0.004258,                0.49921,                0.50079,               0.038895,                 0.4483,                 0.4872,               0.052699,                0.14369,                0.51812,               0.045018,             0.00018619,                0.50041,                0.49959,               0.028192,                  0.512,                0.54019,               0.044045,                0.14678,                0.51758,               0.045022,             0.00061374,                0.50016,                0.49984,                      1
                     60,                0.65325,                0.41348,                 1.3555,                0.02917,                0.00045,                 0.8419,                0.83303,                0.86635,                0.72905,                0.64872,                0.39879,                 1.4472,                0.02763,                0.00039,               0.004159,               0.004159,               0.004159,                0.49923,                0.50077,                0.03844,                0.44989,                0.48833,               0.052045,                0.14291,                0.51808,                0.04486,             0.00017902,                0.50041,                0.49959,               0.027608,                0.51065,                0.53826,                0.04313,                0.14534,                0.51762,               0.044859,             0.00058891,                0.50017,                0.49983,                      1
                     61,                0.65231,                 0.4106,                 1.3544,                0.02921,                0.00045,                0.83663,                0.83607,                0.86613,                0.72855,                0.64861,                0.39875,                 1.4474,                0.02761,                0.00039,                0.00406,                0.00406,                0.00406,                0.49927,                0.50073,               0.039201,                0.45096,                0.49016,               0.052928,                0.14402,                0.51814,               0.045008,             0.00017458,                0.50042,                0.49958,               0.028438,                0.51385,                0.54229,               0.044175,                0.14675,                0.51771,               0.044991,             0.00056096,                0.50017,                0.49983,                      1
                     62,                0.64886,                 0.4068,                 1.3553,                0.02909,                0.00045,                0.83653,                0.83573,                0.86562,                0.72855,                0.64837,                0.39877,                 1.4479,                 0.0276,                0.00039,               0.003961,               0.003961,               0.003961,                0.49927,                0.50073,                0.03851,                0.45286,                0.49137,               0.052295,                 0.1436,                0.51808,               0.044811,             0.00016832,                0.50042,                0.49958,                 0.0278,                0.51427,                0.54207,               0.043556,                0.14616,                0.51769,               0.044804,              0.0005437,                0.50017,                0.49983,                      1
                     63,                0.64941,                0.40828,                 1.3547,                0.02921,                0.00045,                0.83613,                0.83536,                0.86563,                 0.7286,                0.64841,                0.39895,                 1.4478,                0.02758,                0.00039,               0.003862,               0.003862,               0.003862,                0.49928,                0.50072,               0.038156,                0.45228,                0.49044,               0.051999,                0.14368,                0.51812,               0.044828,             0.00016315,                0.50043,                0.49957,               0.027359,                0.51498,                0.54234,                 0.0432,                0.14624,                0.51785,                0.04483,             0.00052831,                0.50017,                0.49983,                      1
                     64,                0.65227,                0.41098,                 1.3535,                0.02934,                0.00045,                0.83337,                0.83925,                0.86521,                0.72796,                0.64828,                0.39892,                 1.4486,                0.02757,                0.00039,               0.003763,               0.003763,               0.003763,                 0.4993,                 0.5007,                0.03914,                0.44833,                0.48747,               0.052725,                0.14408,                0.51817,               0.044933,              0.0001583,                0.50044,                0.49956,               0.028107,                0.51145,                0.53956,                0.04369,                0.14619,                0.51795,               0.044948,             0.00050315,                0.50017,                0.49983,                      1
                     65,                 0.6409,                0.40146,                 1.3485,                0.02911,                0.00045,                0.83429,                0.83861,                0.86533,                0.72795,                0.64815,                0.39861,                 1.4493,                0.02755,                0.00039,               0.003664,               0.003664,               0.003664,                0.49934,                0.50066,               0.038602,                0.45275,                0.49135,               0.052412,                0.14412,                0.51814,               0.044935,             0.00015275,                0.50045,                0.49955,               0.027582,                0.51338,                0.54096,               0.043313,                0.14589,                0.51799,               0.044921,             0.00048983,                0.50017,                0.49983,                      1
                     66,                0.64657,                0.40536,                 1.3518,                0.02915,                0.00045,                0.83598,                0.83891,                0.86567,                0.72854,                0.64808,                0.39843,                 1.4498,                0.02754,                0.00039,               0.003565,               0.003565,               0.003565,                0.49935,                0.50065,                0.03794,                  0.452,                0.48994,               0.051835,                0.14361,                0.51831,               0.044838,             0.00014814,                0.50045,                0.49955,               0.027777,                0.51333,                0.54111,                0.04364,                0.14633,                 0.5181,               0.044824,             0.00047444,                0.50018,                0.49982,                      1
                     67,                0.64318,                0.39954,                 1.3427,                0.02927,                0.00045,                0.83584,                0.83856,                0.86612,                0.72882,                0.64813,                0.39838,                 1.4497,                0.02753,                0.00039,               0.003466,               0.003466,               0.003466,                0.49937,                0.50063,               0.037975,                0.45113,                0.48911,               0.051929,                0.14384,                0.51828,               0.045043,             0.00014405,                0.50045,                0.49955,               0.027427,                0.51258,                0.54001,               0.043355,                 0.1463,                0.51817,               0.045052,             0.00046214,                0.50018,                0.49982,                      1
                     68,                0.63896,                0.39735,                 1.3486,                0.02897,                0.00045,                0.83805,                0.83642,                0.86593,                0.72902,                 0.6481,                 0.3982,                 1.4498,                0.02752,                0.00039,               0.003367,               0.003367,               0.003367,                 0.4994,                 0.5006,               0.038692,                0.45523,                0.49392,               0.052547,                0.14434,                 0.5182,               0.044922,             0.00014073,                0.50046,                0.49954,                0.02758,                0.51803,                0.54561,                0.04342,                0.14657,                0.51824,               0.044941,             0.00044714,                0.50018,                0.49982,                      1
                     69,                0.62548,                0.38059,                 1.3331,                0.02906,                0.00045,                0.84065,                0.83391,                0.86586,                0.72885,                0.64816,                0.39819,                 1.4498,                0.02752,                0.00039,               0.003268,               0.003268,               0.003268,                0.49924,                0.50076,               0.038339,                0.45521,                0.49355,               0.052355,                 0.1439,                0.51824,               0.045019,             0.00019212,                 0.5004,                 0.4996,               0.027217,                0.51836,                0.54558,               0.043261,                0.14649,                0.51751,               0.045009,             0.00063556,                0.50016,                0.49984,                      1
                     70,                 0.6227,                0.37748,                 1.3314,                0.02903,                0.00045,                0.83986,                0.83492,                0.86574,                0.72899,                0.64828,                0.39831,                 1.4501,                0.02752,                0.00039,               0.003169,               0.003169,               0.003169,                0.49924,                0.50076,               0.038372,                0.45559,                0.49396,               0.052402,                0.14398,                0.51823,               0.045019,             0.00019304,                 0.5004,                 0.4996,               0.027174,                0.51854,                0.54572,               0.043224,                0.14645,                0.51751,               0.045009,             0.00063387,                0.50016,                0.49984,                      1
                     71,                0.63922,                0.39749,                 1.3496,                0.02903,                0.00045,                0.83893,                0.83541,                0.86545,                0.72835,                0.64836,                0.39841,                 1.4499,                0.02752,                0.00039,                0.00307,                0.00307,                0.00307,                0.49923,                0.50077,               0.038226,                0.45177,                   0.49,               0.051979,                0.14325,                0.51842,               0.044565,             0.00018868,                 0.5004,                 0.4996,               0.027454,                0.51457,                0.54203,               0.043209,                0.14567,                0.51766,               0.044557,              0.0006184,                0.50016,                0.49984,                      1
                     72,                0.63918,                0.39691,                 1.3526,                0.02935,                0.00045,                0.83904,                0.83525,                0.86497,                  0.728,                0.64835,                0.39852,                   1.45,                0.02752,                0.00039,               0.002971,               0.002971,               0.002971,                0.49927,                0.50073,               0.038676,                0.45175,                0.49043,               0.052739,                0.14484,                 0.5185,               0.045055,             0.00018463,                0.50041,                0.49959,               0.027732,                0.51345,                0.54118,                0.04379,                0.14711,                0.51782,                0.04504,             0.00060211,                0.50017,                0.49983,                      1
                     73,                0.63924,                0.39583,                 1.3526,                0.02913,                0.00045,                0.84066,                0.83313,                0.86477,                0.72802,                0.64839,                0.39852,                   1.45,                0.02751,                0.00039,               0.002872,               0.002872,               0.002872,                 0.4993,                 0.5007,               0.038133,                0.45097,                0.48911,                0.05182,                0.14307,                 0.5186,                0.04486,             0.00017912,                0.50041,                0.49959,               0.027229,                0.51455,                0.54178,               0.042924,                0.14576,                0.51784,               0.044857,             0.00058637,                0.50017,                0.49983,                      1
                     74,                0.63438,                0.39153,                 1.3418,                 0.0291,                0.00045,                 0.8333,                0.83974,                0.86443,                0.72774,                0.64838,                 0.3987,                 1.4508,                0.02751,                0.00039,               0.002773,               0.002773,               0.002773,                0.49933,                0.50067,               0.038631,                0.45468,                0.49331,               0.052586,                0.14449,                0.51865,               0.044576,             0.00017434,                0.50042,                0.49958,               0.028008,                0.51591,                0.54391,               0.043921,                 0.1469,                0.51787,               0.044579,             0.00055973,                0.50017,                0.49983,                      1
                     75,                0.63515,                0.39326,                 1.3441,                0.02907,                0.00045,                0.83742,                0.83534,                0.86444,                0.72749,                0.64845,                0.39878,                 1.4511,                 0.0275,                0.00039,               0.002674,               0.002674,               0.002674,                0.49935,                0.50065,               0.038472,                0.45518,                0.49365,               0.052432,                0.14455,                0.51858,               0.044863,             0.00017159,                0.50043,                0.49957,               0.027364,                0.51592,                0.54329,               0.043269,                 0.1462,                0.51792,               0.044862,              0.0005491,                0.50017,                0.49983,                      1
                     76,                0.63186,                0.38932,                 1.3473,                0.02889,                0.00045,                0.83532,                0.83704,                 0.8641,                0.72736,                0.64841,                0.39883,                 1.4515,                 0.0275,                0.00039,               0.002575,               0.002575,               0.002575,                0.49938,                0.50062,               0.037999,                0.45468,                0.49268,               0.051791,                0.14356,                0.51839,               0.045177,             0.00016707,                0.50043,                0.49957,               0.027098,                0.51783,                0.54492,               0.042871,                0.14569,                0.51787,                0.04517,             0.00053612,                0.50017,                0.49983,                      1
                     77,                0.63238,                0.39062,                 1.3504,                0.02906,                0.00045,                 0.8362,                0.83705,                0.86411,                0.72722,                0.64834,                 0.3988,                 1.4518,                0.02749,                0.00039,               0.002476,               0.002476,               0.002476,                 0.4994,                 0.5006,               0.037941,                0.45331,                0.49125,               0.051737,                0.14355,                 0.5183,               0.045243,             0.00016314,                0.50044,                0.49956,               0.027427,                0.51631,                0.54374,               0.043224,                0.14605,                0.51791,               0.045248,             0.00052341,                0.50017,                0.49983,                      1
                     78,                0.63514,                 0.3904,                 1.3468,                0.02877,                0.00045,                0.83618,                0.83755,                0.86424,                0.72742,                0.64819,                0.39872,                  1.452,                0.02749,                0.00039,               0.002377,               0.002377,               0.002377,                0.49943,                0.50057,               0.037805,                 0.4573,                 0.4951,               0.051564,                0.14368,                0.51818,               0.045027,             0.00016004,                0.50045,                0.49955,               0.027062,                0.51937,                0.54643,               0.042776,                0.14574,                0.51789,               0.045045,             0.00051087,                0.50017,                0.49983,                      1
                     79,                0.63071,                0.38626,                  1.345,                0.02877,                0.00045,                 0.8371,                0.83625,                0.86428,                0.72731,                0.64815,                0.39859,                  1.452,                0.02748,                0.00039,               0.002278,               0.002278,               0.002278,                0.49943,                0.50057,               0.037568,                0.45596,                0.49353,               0.051381,                0.14333,                0.51819,                0.04477,             0.00015619,                0.50045,                0.49955,               0.026719,                0.51933,                0.54605,               0.042532,                0.14571,                0.51798,               0.044775,              0.0004946,                0.50017,                0.49983,                      1
                     80,                0.62588,                0.38214,                 1.3452,                0.02882,                0.00045,                0.83728,                0.83589,                0.86414,                0.72698,                0.64811,                0.39857,                 1.4523,                0.02747,                0.00039,               0.002179,               0.002179,               0.002179,                0.49947,                0.50053,               0.037135,                0.45679,                0.49393,               0.051038,                0.14375,                0.51825,               0.045077,              0.0001546,                0.50046,                0.49954,               0.026998,                0.51873,                0.54573,               0.042872,                0.14587,                0.51806,               0.045075,             0.00049098,                0.50017,                0.49983,                      1
                     81,                0.62695,                0.38243,                 1.3429,                0.02893,                0.00045,                  0.837,                0.83417,                0.86382,                0.72697,                0.64811,                0.39854,                 1.4526,                0.02747,                0.00039,                0.00208,                0.00208,                0.00208,                0.49951,                0.50049,               0.037868,                0.45513,                  0.493,               0.051872,                0.14416,                0.51818,               0.044738,             0.00015147,                0.50046,                0.49954,               0.027041,                0.51973,                0.54677,               0.043128,                0.14702,                0.51812,                0.04473,              0.0004839,                0.50017,                0.49983,                      1
                     82,                0.60988,                0.36383,                 1.3213,                0.02891,                0.00045,                0.83689,                0.83461,                0.86378,                0.72663,                0.64829,                0.39863,                 1.4526,                0.02747,                0.00039,               0.001981,               0.001981,               0.001981,                0.49929,                0.50071,               0.037895,                0.45718,                0.49507,               0.051971,                0.14388,                0.51825,                0.04502,             0.00018458,                0.50041,                0.49959,               0.026675,                 0.5197,                0.54638,               0.042764,                0.14611,                0.51761,                0.04501,             0.00060122,                0.50017,                0.49983,                      1
                     83,                0.62334,                0.38283,                 1.3466,                0.02903,                0.00045,                0.83566,                0.83487,                0.86331,                0.72674,                0.64835,                 0.3988,                 1.4529,                0.02747,                0.00039,               0.001882,               0.001882,               0.001882,                0.49928,                0.50072,               0.038203,                0.45335,                0.49155,               0.052188,                0.14411,                0.51822,               0.045085,             0.00018174,                0.50041,                0.49959,                0.02741,                  0.517,                0.54441,                0.04344,                0.14656,                0.51763,               0.045078,             0.00059688,                0.50017,                0.49983,                      1
                     84,                0.62388,                0.38067,                 1.3525,                0.02897,                0.00045,                0.83628,                0.83489,                0.86317,                 0.7263,                0.64838,                0.39892,                 1.4534,                0.02747,                0.00039,               0.001783,               0.001783,               0.001783,                0.49931,                0.50069,               0.038175,                0.45453,                0.49271,               0.052097,                0.14408,                0.51822,               0.044833,             0.00017859,                0.50042,                0.49958,               0.027129,                0.51703,                0.54416,               0.043051,                0.14611,                0.51763,               0.044847,             0.00057933,                0.50017,                0.49983,                      1
                     85,                0.62882,                0.38394,                 1.3417,                 0.0291,                0.00045,                0.83432,                0.83596,                0.86298,                0.72622,                0.64853,                0.39898,                 1.4536,                0.02747,                0.00039,               0.001684,               0.001684,               0.001684,                0.49933,                0.50067,               0.037603,                0.45118,                0.48879,               0.051435,                0.14342,                0.51824,               0.044674,             0.00017619,                0.50042,                0.49958,               0.027089,                0.51523,                0.54232,               0.042967,                0.14597,                0.51766,               0.044682,             0.00056783,                0.50017,                0.49983,                      1
                     86,                0.62723,                0.38263,                 1.3448,                0.02887,                0.00044,                0.83891,                 0.8317,                0.86287,                0.72598,                0.64864,                0.39892,                 1.4535,                0.02746,                0.00039,               0.001585,               0.001585,               0.001585,                0.49935,                0.50065,               0.038187,                0.45509,                0.49327,               0.051964,                0.14395,                0.51828,               0.044287,             0.00017358,                0.50043,                0.49957,               0.027069,                0.52005,                0.54712,               0.042889,                0.14598,                0.51772,               0.044306,             0.00056192,                0.50017,                0.49983,                      1
                     87,                0.62511,                0.38114,                 1.3434,                0.02882,                0.00045,                 0.8409,                0.83032,                0.86281,                0.72594,                0.64873,                0.39888,                 1.4536,                0.02746,                0.00039,               0.001486,               0.001486,               0.001486,                0.49937,                0.50063,               0.037742,                0.45481,                0.49256,               0.051502,                0.14347,                 0.5183,               0.044704,             0.00017115,                0.50043,                0.49957,               0.026783,                0.51838,                0.54516,               0.042548,                0.14549,                 0.5178,               0.044709,             0.00055162,                0.50017,                0.49983,                      1
                     88,                0.62097,                0.37695,                 1.3407,                0.02895,                0.00045,                0.83716,                0.83342,                0.86239,                0.72578,                0.64873,                0.39892,                  1.454,                0.02746,                0.00039,               0.001387,               0.001387,               0.001387,                0.49938,                0.50062,               0.037873,                0.45382,                0.49169,               0.051739,                0.14384,                0.51829,               0.044745,             0.00016953,                0.50044,                0.49956,               0.027143,                 0.5183,                0.54544,               0.043048,                0.14645,                 0.5178,               0.044734,             0.00054748,                0.50017,                0.49983,                      1
                     89,                 0.6164,                0.37326,                 1.3415,                0.02911,                0.00045,                0.83823,                0.83282,                0.86234,                0.72571,                0.64873,                0.39906,                 1.4544,                0.02745,                0.00039,               0.001288,               0.001288,               0.001288,                 0.4994,                 0.5006,               0.037954,                0.45663,                0.49459,               0.052299,                 0.1451,                 0.5182,               0.045085,             0.00016761,                0.50044,                0.49956,                0.02708,                0.51806,                0.54514,               0.043436,                0.14723,                0.51775,               0.045059,             0.00053423,                0.50017,                0.49983,                      1
                     90,                0.61929,                0.37625,                 1.3329,                0.02872,                0.00045,                0.83741,                0.83268,                0.86205,                 0.7259,                0.64881,                0.39908,                 1.4545,                0.02745,                0.00039,               0.001189,               0.001189,               0.001189,                0.49941,                0.50059,               0.037462,                0.45751,                0.49498,               0.051286,                0.14364,                0.51823,               0.044822,             0.00016554,                0.50045,                0.49955,               0.026839,                0.52013,                0.54697,                0.04265,                0.14574,                0.51776,               0.044822,             0.00052706,                0.50017,                0.49983,                      1
                     91,                 0.6174,                0.37179,                 1.3309,                0.02872,                0.00045,                0.83986,                0.83171,                0.86195,                0.72568,                0.64881,                0.39901,                 1.4548,                0.02745,                0.00039,                0.00109,                0.00109,                0.00109,                0.49942,                0.50058,               0.037714,                0.45914,                0.49686,               0.051763,                0.14439,                0.51822,               0.044714,             0.00016445,                0.50045,                0.49955,               0.026693,                0.52223,                0.54892,                0.04275,                0.14626,                0.51776,               0.044684,             0.00052052,                0.50017,                0.49983,                      1
