                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss,  train/rgb_prompt_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,    val/rgb_prompt_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,  p2/P3_rgb_prompt_mean,   p2/P3_rgb_prompt_mse,   p2/P3_rgb_prompt_std,p2/P4_gder_attention_weight,p2/P4_gder_modality_weight,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,  p2/P4_rgb_prompt_mean,   p2/P4_rgb_prompt_mse,   p2/P4_rgb_prompt_std,p2/P5_gder_attention_weight,p2/P5_gder_modality_weight,p2/prompt_warmup_factor
                     12,                0.73968,                0.51686,                 1.3846,                0.03754,                0.00045,                0.77962,                0.78677,                0.81602,                0.66845,                0.69068,                0.46518,                  1.455,                0.03533,                 0.0004,               0.008911,               0.008911,               0.008911,               0.095696,                0.34688,                0.44258,                0.10635,                 0.1291,                0.51932,               0.045252,              0.0019901,                0.50021,                0.49979,                0.20769,                0.12911,                 0.3368,                0.21167,               0.068325,                0.51493,               0.045264,              0.0062238,                0.50011,                0.49989,                      1
                     13,                 0.7349,                0.51539,                 1.3834,                0.03639,                0.00045,                0.75977,                0.76138,                0.80215,                0.65286,                0.69735,                0.47599,                 1.4826,                0.03448,                 0.0004,               0.008812,               0.008812,               0.008812,               0.081309,                0.36772,                0.44903,               0.092675,                0.13335,                0.51936,               0.045034,              0.0017823,                0.50021,                0.49979,                0.16578,                0.22809,                0.39387,                0.17287,               0.099589,                0.51545,               0.045057,              0.0056812,                0.50011,                0.49989,                      1
                     14,                0.73115,                0.51121,                 1.3799,                 0.0353,                0.00045,                0.73979,                 0.7688,                0.79906,                0.65428,                0.69026,                0.47992,                 1.4595,                0.03358,                0.00039,               0.008713,               0.008713,               0.008713,               0.071303,                0.38378,                0.45509,               0.083097,                0.13624,                0.51967,               0.045097,              0.0016083,                0.50021,                0.49979,                0.13007,                 0.3003,                0.43037,                0.13935,                0.11499,                0.51609,               0.045096,              0.0052397,                0.50011,                0.49989,                      1
                     15,                 0.7303,                0.50772,                 1.3836,                0.03453,                0.00045,                0.76215,                0.75737,                0.79683,                0.65104,                0.69474,                0.48076,                 1.4718,                0.03283,                0.00039,               0.008614,               0.008614,               0.008614,               0.066363,                0.39334,                 0.4597,               0.078366,                0.13845,                0.51959,                0.04473,              0.0014412,                0.50022,                0.49978,                0.10403,                0.34929,                0.45331,                0.11475,                0.12503,                0.51635,               0.044745,              0.0048483,                0.50011,                0.49989,                      1
                     16,                0.72725,                0.50223,                  1.375,                0.03384,                0.00045,                0.77713,                0.78119,                0.82333,                0.67404,                0.68361,                0.46208,                 1.4582,                0.03225,                0.00039,               0.008515,               0.008515,               0.008515,               0.061689,                0.40271,                 0.4644,               0.074005,                0.14004,                0.51962,               0.044724,              0.0013163,                0.50022,                0.49978,               0.084918,                0.38239,                0.46731,               0.096659,                0.13177,                0.51666,               0.044763,              0.0045453,                0.50012,                0.49988,                      1
                     17,                0.72437,                0.50041,                 1.3816,                0.03346,                0.00045,                0.77231,                0.77612,                 0.8104,                0.66637,                0.68077,                0.45878,                 1.4612,                0.03169,                0.00039,               0.008416,               0.008416,               0.008416,               0.057794,                0.40451,                0.46231,               0.070212,                0.14034,                0.51994,               0.044675,              0.0011965,                0.50022,                0.49978,               0.067869,                0.40399,                0.47186,               0.080333,                 0.1371,                0.51704,               0.044698,              0.0041937,                0.50012,                0.49988,                      1
                     18,                 0.7195,                0.49581,                 1.3735,                 0.0332,                0.00045,                0.79123,                0.79656,                0.84108,                0.69237,                0.67593,                0.44278,                 1.4513,                0.03106,                0.00039,               0.008317,               0.008317,               0.008317,               0.055393,                0.40639,                0.46178,               0.068041,                0.14132,                0.51974,               0.045338,              0.0010848,                0.50022,                0.49978,               0.057304,                0.41914,                0.47644,               0.070419,                0.14125,                0.51704,                0.04532,              0.0038807,                0.50012,                0.49988,                      1
                     19,                 0.7178,                0.49254,                 1.3837,                0.03294,                0.00045,                0.77778,                0.78336,                0.82533,                0.67862,                0.68171,                 0.4542,                 1.4615,                0.03096,                0.00039,               0.008218,               0.008218,               0.008218,               0.051962,                0.40897,                0.46093,               0.064619,                0.14177,                0.51969,               0.045116,             0.00099459,                0.50023,                0.49977,                 0.0501,                0.43329,                0.48339,               0.063576,                0.14278,                0.51708,               0.045087,              0.0035713,                0.50012,                0.49988,                      1
                     20,                0.71784,                0.49309,                  1.376,                 0.0323,                0.00045,                0.79837,                0.80078,                0.84534,                0.69765,                0.67144,                0.43618,                 1.4481,                0.03042,                0.00039,               0.008119,               0.008119,               0.008119,               0.050517,                 0.4164,                0.46692,               0.063167,                0.14234,                0.51994,               0.044692,             0.00091889,                0.50023,                0.49977,               0.045533,                0.44528,                0.49081,               0.059143,                0.14306,                0.51733,               0.044687,              0.0033148,                0.50012,                0.49988,                      1
                     21,                0.71717,                0.48778,                 1.3784,                0.03191,                0.00045,                0.80211,                0.81026,                0.84788,                 0.6995,                0.67675,                0.43683,                  1.468,                 0.0303,                0.00039,                0.00802,                0.00802,                0.00802,               0.048729,                0.41756,                0.46628,               0.061284,                0.14113,                0.51983,               0.044861,             0.00084616,                0.50023,                0.49977,               0.042848,                  0.454,                0.49685,               0.056576,                0.14395,                0.51738,               0.044874,              0.0030709,                0.50012,                0.49988,                      1
                     22,                0.70813,                0.48584,                 1.3757,                0.03188,                0.00045,                0.79049,                0.81295,                0.83135,                0.68674,                0.66936,                0.43444,                 1.4443,                 0.0299,                0.00039,               0.007921,               0.007921,               0.007921,               0.048323,                0.42229,                0.47061,               0.061299,                0.14316,                0.51977,               0.044889,             0.00077632,                0.50024,                0.49976,               0.040787,                0.46231,                 0.5031,               0.055073,                0.14566,                0.51742,               0.044891,              0.0028605,                0.50013,                0.49987,                      1
