                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/object_reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/object_reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_gate_direction_loss,    p2/P3_ir_win_recall,p2/P3_object_balanced_loss,p2/P3_object_calibrated_loss,p2/P3_object_hard_winner_loss,p2/P3_object_prompt_accuracy,p2/P3_object_prompt_correlation,p2/P3_object_prompt_mae,p2/P3_object_prompt_rgb, p2/P3_object_rank_loss,p2/P3_object_target_rgb,p2/P3_prompt_residual_gain,   p2/P3_rgb_win_recall,p2/P4_gate_direction_loss,    p2/P4_ir_win_recall,p2/P4_object_balanced_loss,p2/P4_object_calibrated_loss,p2/P4_object_hard_winner_loss,p2/P4_object_prompt_accuracy,p2/P4_object_prompt_correlation,p2/P4_object_prompt_mae,p2/P4_object_prompt_rgb, p2/P4_object_rank_loss,p2/P4_object_target_rgb,   p2/P4_rgb_win_recall,p2/object_cross_scale_consistency,p2/object_gate_raw_loss,p2/object_prompt_raw_loss,  p2/teacher_ir_quality,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/teacher_rgb_win_rate, p2/teacher_ir_win_rate,p2/teacher_majority_baseline,p2/object_reliability_warmup_factor
                     11,                0.75554,                0.52858,                 1.3936,                0.08526,                0.77568,                0.74712,                0.78868,                0.63275,                0.70745,                0.48593,                  1.466,                0.08983,                0.00901,                0.00901,                0.00901,                      0,                 0.6516,                0.67985,                0.66708,                  0.583,                 0.6464,                0.35678,                0.17635,                0.46204,                  0.614,                0.41128,              0.0024226,                0.63223,                      0,                0.64698,                0.67387,                0.66209,                 0.5329,                0.65767,                0.42244,                0.18497,                0.45922,                0.57101,                0.41128,                0.68684,               0.011625,                      0,                0.73266,                0.58568,                0.31684,                  0.484,                0.26814,                0.73186,                0.73186,                      1
                     12,                0.75202,                0.52313,                 1.3868,                 0.0845,                 0.7586,                0.75341,                0.78628,                0.63154,                0.70583,                 0.4788,                 1.4707,                0.08867,               0.008911,               0.008911,               0.008911,                      0,                0.65454,                0.68367,                0.67269,                0.57133,                0.65115,                 0.3605,                0.18018,                0.46368,                0.60973,                0.41254,               0.013887,                0.64199,                      0,                 0.6393,                0.67661,                0.66616,                0.53019,                0.65535,                0.41979,                0.18685,                0.46394,                0.57656,                0.41254,                0.69874,               0.011069,                      0,                0.72524,                0.58096,                0.31278,                0.48099,                0.26996,                0.73004,                0.73004,                      1
                     13,                0.74623,                0.51885,                 1.3908,                0.08427,                0.76262,                 0.7523,                0.79347,                0.63562,                 0.7036,                0.47381,                 1.4725,                0.08809,               0.008812,               0.008812,               0.008812,                      0,                0.67331,                0.68456,                0.66965,                0.56938,                0.66167,                0.37081,                 0.1805,                 0.4553,                0.60472,                0.40976,               0.027953,                0.62909,                      0,                0.65376,                 0.6762,                0.66245,                0.53287,                 0.6616,                0.42412,                0.18541,                0.45724,                0.57096,                0.40976,                0.68355,               0.010857,                      0,                0.72402,                 0.5842,                0.31812,                0.48102,                0.26312,                0.73688,                0.73688,                      1
                     14,                0.74459,                0.51947,                 1.3842,                0.08282,                0.76052,                0.75738,                0.78836,                 0.6365,                0.70085,                0.46869,                 1.4736,                0.08818,               0.008713,               0.008713,               0.008713,                      0,                0.67074,                0.68294,                0.66975,                0.55485,                0.66347,                0.38495,                0.18005,                0.45655,                0.59328,                0.41092,               0.040504,                0.64325,                      0,                0.65381,                0.67719,                 0.6649,                0.52363,                0.66503,                0.42985,                0.18495,                0.45851,                0.56426,                0.41092,                0.69627,               0.010107,                      0,                0.71148,                0.58655,                0.31289,                0.48549,                0.26434,                0.73566,                0.73566,                      1
                     15,                0.74087,                 0.5125,                 1.3847,                0.08255,                0.77118,                0.74976,                0.80145,                0.64416,                0.70741,                0.47466,                 1.4803,                0.08898,               0.008614,               0.008614,               0.008614,                      0,                0.67705,                0.68267,                 0.6696,                0.55231,                0.66553,                0.38706,                0.18155,                0.45245,                0.59184,                 0.4106,               0.051781,                0.63337,                      0,                0.65537,                0.67578,                0.66374,                0.52229,                0.66547,                0.43187,                0.18699,                0.45633,                0.56071,                 0.4106,                0.69365,               0.010543,                      0,                0.70921,                 0.5856,                0.31765,                0.48426,                0.26381,                0.73619,                0.73619,                      1
                     16,                0.74015,                0.51105,                 1.3841,                0.08264,                0.76331,                 0.7578,                0.79326,                0.64113,                0.69742,                0.46862,                 1.4799,                0.08761,               0.008515,               0.008515,               0.008515,                      0,                0.67219,                 0.6831,                0.67067,                0.55455,                0.66261,                0.38447,                0.18228,                0.45579,                0.58477,                0.41236,               0.056005,                0.63647,                      0,                0.65139,                0.67547,                0.66461,                0.52334,                0.66146,                 0.4313,                0.18722,                0.45979,                0.55714,                0.41236,                0.68891,               0.010166,                      0,                0.71131,                0.58123,                0.31533,                0.48155,                0.26825,                0.73175,                0.73175,                      1
                     17,                0.73818,                 0.5064,                 1.3826,                0.08161,                0.77427,                 0.7688,                0.81467,                0.65507,                0.70442,                0.47001,                 1.4716,                0.08784,               0.008416,               0.008416,               0.008416,                      0,                0.67911,                0.68065,                0.66831,                0.54272,                0.66807,                0.39254,                0.18315,                0.45361,                0.58785,                0.41182,               0.061567,                0.63847,                      0,                0.65492,                 0.6734,                0.66195,                0.51657,                0.66492,                0.43642,                0.18714,                0.45762,                0.55747,                0.41182,                0.69174,               0.010085,                      0,                0.70055,                0.58096,                0.31421,                0.47986,                0.27155,                0.72845,                0.72845,                      1
                     18,                0.73135,                0.49971,                 1.3735,                0.08137,                0.79261,                0.75894,                0.81466,                 0.6557,                 0.7021,                0.46553,                 1.4946,                0.08809,               0.008317,               0.008317,               0.008317,                      0,                0.68519,                0.68034,                0.66422,                 0.5435,                0.67219,                0.40192,                0.18191,                0.44978,                 0.5769,                0.40969,               0.064918,                0.63613,                      0,                0.66257,                0.67367,                0.65917,                0.51553,                0.66976,                0.43986,                0.18714,                0.45472,                0.55482,                0.40969,                0.68972,              0.0099582,                      0,                0.69981,                 0.5827,                0.32068,                0.47864,                0.26495,                0.73505,                0.73505,                      1
                     19,                0.73027,                0.49782,                 1.3778,                0.08133,                0.80057,                0.77614,                0.82334,                0.67237,                0.68959,                0.44692,                 1.4653,                0.08697,               0.008218,               0.008218,               0.008218,                      0,                0.68436,                0.68273,                0.66732,                0.54001,                0.67258,                 0.3986,                0.18385,                0.44972,                0.58541,                0.41019,               0.068403,                0.64028,                      0,                0.66069,                0.67499,                0.66062,                0.51487,                0.66935,                0.44107,                0.18729,                 0.4551,                0.56045,                0.41019,                0.69309,              0.0096776,                      0,                 0.6979,                0.58532,                0.31768,                0.48241,                0.26725,                0.73275,                0.73275,                      1
                     20,                0.72759,                0.49587,                 1.3763,                0.08152,                0.78883,                0.77152,                0.81537,                0.66156,                0.68725,                0.45101,                  1.473,                0.08678,               0.008119,               0.008119,               0.008119,                      0,                0.67259,                0.68232,                0.67081,                0.54178,                0.66405,                0.39224,                0.18423,                0.45523,                0.58712,                0.41197,               0.077313,                0.64085,                      0,                0.65393,                0.67549,                0.66417,                 0.5142,                0.66533,                0.43735,                 0.1879,                0.45949,                0.55756,                0.41197,                0.69629,              0.0095208,                      0,                0.69974,                0.58195,                0.31557,                0.48117,                0.26921,                0.73079,                0.73079,                      1
