                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/reliability_prompt_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/reliability_prompt_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,         p2/P3_gate_std,p2/P3_gate_teacher_agreement,     p2/P3_ir_gate_mean,   p2/P3_ir_prompt_mean,       p2/P3_prompt_std,p2/P3_prompt_teacher_agreement,p2/P3_prompt_teacher_mae,    p2/P3_rgb_gate_mean,    p2/P3_rgb_prompt_fg,  p2/P3_rgb_prompt_mean,       p2/P3_target_rgb,         p2/P4_gate_std,p2/P4_gate_teacher_agreement,     p2/P4_ir_gate_mean,   p2/P4_ir_prompt_mean,       p2/P4_prompt_std,p2/P4_prompt_teacher_agreement,p2/P4_prompt_teacher_mae,    p2/P4_rgb_gate_mean,    p2/P4_rgb_prompt_fg,  p2/P4_rgb_prompt_mean,       p2/P4_target_rgb,  p2/teacher_ir_quality,p2/teacher_relative_entropy,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/reliability_warmup_factor
                     45,                0.68665,                0.44458,                 1.3685,                0.03311,                0.83525,                0.83675,                0.87384,                0.72352,                 0.6605,                0.40344,                 1.4503,                0.03323,               0.005644,               0.005644,               0.005644,                0.65469,                0.79012,                  1.621,                0.61573,                0.12448,                0.78935,                0.12587,                0.37904,                0.39681,                0.38427,                0.39571,                 0.5831,                0.22893,                0.42498,                0.58831,                0.10767,                0.76366,                0.11932,                  1.575,                0.39982,                0.41169,                0.40012,                0.58816,                0.56714,                0.31372,                0.48767,                      1
                     46,                0.68256,                0.44276,                 1.3702,                  0.033,                0.83456,                0.83893,                0.87486,                0.72446,                0.66078,                0.40342,                 1.4483,                0.03322,               0.005545,               0.005545,               0.005545,                0.65549,                0.79222,                  1.622,                0.61735,                 0.1266,                0.79107,                 0.1264,                  0.378,                0.39603,                0.38265,                0.39261,                0.58407,                 0.2271,                0.42414,                0.58683,                0.10633,                0.76717,                0.11929,                 1.5759,                0.39892,                0.41317,                 0.3975,                0.59212,                0.56628,                0.31592,                0.48959,                      1
                     47,                0.67993,                 0.4369,                 1.3661,                0.03302,                 0.8425,                0.83067,                0.87429,                0.72416,                0.66019,                0.40245,                  1.451,                0.03321,               0.005446,               0.005446,               0.005446,                0.65814,                0.78935,                 1.6246,                0.61865,                0.12851,                0.78729,                 0.1264,                0.37541,                0.39596,                0.38135,                0.39418,                0.58175,                 0.2287,                0.42639,                0.58762,                0.10659,                0.76448,                0.11956,                 1.5736,                0.39901,                0.41238,                0.39853,                0.58795,                0.56478,                0.31682,                 0.4848,                      1
                     48,                0.67982,                0.43965,                 1.3679,                0.03306,                 0.8423,                0.82749,                0.87378,                0.72421,                0.65933,                0.40247,                 1.4491,                0.03321,               0.005347,               0.005347,               0.005347,                0.65876,                0.79061,                 1.6257,                0.62077,                0.13089,                0.78892,                0.12541,                0.37429,                0.39549,                0.37923,                0.39486,                0.58125,                0.22905,                 0.4271,                0.59054,                0.11018,                0.76554,                0.11825,                 1.5729,                0.39937,                0.40946,                0.39963,                0.58934,                0.56822,                 0.3113,                0.48905,                      1
                     49,                0.67579,                0.43405,                 1.3621,                0.03307,                0.84725,                0.82052,                0.87309,                0.72323,                0.65905,                0.40276,                   1.45,                 0.0332,               0.005248,               0.005248,               0.005248,                0.66038,                0.78515,                 1.6278,                0.61828,                0.12904,                0.78278,                0.12605,                0.37217,                0.39647,                0.38172,                0.39615,                0.58416,                0.23336,                  0.424,                0.58805,                0.10751,                0.76088,                0.11894,                  1.576,                0.40096,                0.41195,                0.40044,                0.58894,                0.56668,                0.31268,                 0.4876,                      1
                     50,                0.67071,                0.42899,                  1.363,                0.03302,                0.83977,                0.82058,                0.87184,                0.72208,                0.65863,                0.40235,                 1.4511,                 0.0332,               0.005149,               0.005149,               0.005149,                0.66345,                0.79206,                 1.6309,                0.61947,                  0.131,                0.78933,                0.12493,                0.36908,                0.39548,                0.38053,                0.39428,                0.59054,                0.22757,                0.41732,                0.59072,                0.10999,                 0.7659,                0.11876,                 1.5827,                0.39924,                0.40928,                0.39912,                 0.5912,                0.56572,                0.31512,                0.49012,                      1
                     51,                0.67428,                0.43308,                 1.3658,                0.03303,                 0.8426,                 0.8215,                0.87285,                0.72345,                0.65846,                 0.4018,                 1.4512,                0.03319,                0.00505,                0.00505,                0.00505,                0.66255,                0.79122,                 1.6299,                0.62084,                0.13245,                0.78804,                0.12436,                 0.3701,                0.39621,                0.37916,                0.39454,                0.58816,                0.22778,                0.41957,                0.59046,                0.11062,                0.76444,                0.11752,                 1.5804,                0.40027,                0.40954,                0.39915,                0.59172,                0.56854,                 0.3108,                0.49067,                      1
                     52,                0.67032,                0.42872,                 1.3709,                0.03294,                0.83461,                0.82666,                0.87276,                0.72302,                0.65811,                 0.4008,                 1.4522,                0.03319,               0.004951,               0.004951,               0.004951,                0.66249,                0.78956,                   1.63,                0.62115,                0.13304,                 0.7865,                0.12628,                0.37002,                0.39516,                0.37885,                0.39214,                0.59149,                0.23038,                0.41643,                0.59093,                0.11111,                0.76133,                0.12004,                 1.5836,                0.40011,                0.40907,                0.39749,                0.59017,                0.56503,                0.31634,                0.48792,                      1
                     53,                 0.6663,                0.42401,                 1.3671,                0.03303,                0.84018,                0.82624,                0.87204,                0.72262,                  0.658,                0.40057,                  1.453,                0.03318,               0.004852,               0.004852,               0.004852,                 0.6644,                0.78572,                 1.6323,                0.62184,                0.13368,                0.78243,                0.12468,                0.36766,                0.39601,                0.37816,                0.39518,                 0.5836,                0.23198,                0.42454,                0.58943,                0.10933,                0.76189,                0.11771,                 1.5755,                0.39969,                0.41057,                0.39974,                0.59181,                0.56895,                0.31131,                0.49168,                      1
                     54,                0.66459,                0.42403,                 1.3676,                0.03308,                0.84357,                0.82637,                0.87132,                0.72201,                0.65778,                 0.4002,                 1.4533,                0.03318,               0.004753,               0.004753,               0.004753,                0.66405,                0.78716,                  1.632,                0.62267,                0.13487,                0.78308,                0.12358,                0.36797,                0.39673,                0.37733,                0.39788,                0.59242,                0.23201,                0.41523,                0.58822,                 0.1094,                0.76165,                0.11692,                 1.5848,                0.40122,                0.41178,                0.40213,                0.59139,                0.56851,                 0.3097,                0.49228,                      1
                     55,                 0.6666,                0.42217,                   1.36,                0.03302,                0.84201,                0.82422,                0.87074,                0.72123,                0.65746,                0.40045,                 1.4534,                0.03318,               0.004654,               0.004654,               0.004654,                0.66175,                  0.789,                 1.6292,                0.62376,                0.13628,                0.78462,                0.12454,                0.37083,                0.39589,                0.37624,                0.39559,                0.58273,                0.22946,                0.42561,                0.58885,                0.10859,                0.76517,                0.11788,                 1.5744,                0.39998,                0.41115,                0.40015,                0.59117,                 0.5673,                0.31236,                0.49051,                      1
                     56,                0.66301,                0.42181,                  1.363,                0.03293,                 0.8357,                0.83106,                0.87196,                0.72222,                0.65703,                0.39986,                 1.4548,                0.03318,               0.004555,               0.004555,               0.004555,                 0.6665,                0.79066,                 1.6344,                0.62594,                0.13812,                0.78643,                0.12562,                0.36563,                0.39442,                0.37406,                0.39311,                0.58847,                0.22849,                0.41966,                0.58778,                0.10862,                0.76711,                 0.1186,                 1.5803,                0.39926,                0.41222,                0.39804,                 0.5913,                0.56483,                 0.3159,                0.48847,                      1
                     57,                0.66043,                0.41714,                 1.3592,                0.03309,                0.83902,                0.82763,                0.87183,                0.72258,                0.65689,                 0.3997,                 1.4553,                0.03318,               0.004456,               0.004456,               0.004456,                0.66754,                0.78486,                  1.636,                0.62444,                0.13676,                0.77944,                0.12552,                0.36396,                0.39625,                0.37556,                0.39798,                0.59041,                0.23448,                 0.4175,                0.59011,                0.10982,                 0.7606,                0.11883,                 1.5825,                0.40167,                0.40989,                0.40284,                0.58843,                 0.5672,                 0.3104,                 0.4914,                      1
                     58,                 0.6667,                 0.4208,                 1.3546,                0.03294,                0.83887,                0.83064,                0.87138,                0.72186,                0.65687,                0.39974,                 1.4557,                0.03318,               0.004357,               0.004357,               0.004357,                0.66968,                0.79325,                 1.6384,                0.62604,                0.13834,                0.78881,                0.12526,                0.36157,                0.39363,                0.37396,                0.39215,                0.59243,                0.22644,                0.41523,                 0.5917,                0.11118,                0.76767,                0.11843,                 1.5848,                0.39769,                 0.4083,                0.39723,                0.58803,                0.56597,                0.31504,                0.48555,                      1
                     59,                0.66523,                 0.4199,                 1.3664,                0.03305,                0.83781,                0.82913,                0.87091,                0.72189,                0.65702,                0.40036,                 1.4549,                0.03318,               0.004258,               0.004258,               0.004258,                0.66792,                0.78474,                 1.6363,                0.62679,                0.13945,                  0.779,                0.12462,                0.36366,                 0.3969,                0.37321,                0.39746,                0.58485,                0.23348,                0.42317,                0.58863,                0.10892,                0.75962,                0.11787,                 1.5768,                0.40213,                0.41136,                0.40187,                0.58946,                0.56714,                0.31267,                0.49009,                      1
                     60,                0.66497,                 0.4188,                 1.3603,                0.03302,                0.83594,                0.82985,                0.87106,                0.72217,                0.65683,                0.39995,                 1.4564,                0.03317,               0.004159,               0.004159,               0.004159,                0.66953,                 0.7861,                 1.6381,                0.62531,                0.13824,                0.78107,                0.12463,                0.36192,                0.39556,                0.37469,                0.39515,                0.59063,                0.23379,                0.41722,                0.59013,                0.10949,                0.76182,                0.11799,                 1.5828,                0.40082,                0.40987,                0.40003,                0.58466,                0.56737,                0.31214,                0.48455,                      1
                     61,                0.65817,                0.41265,                 1.3555,                0.03301,                0.83404,                0.83198,                0.87123,                0.72232,                0.65657,                0.40003,                 1.4565,                0.03317,                0.00406,                0.00406,                0.00406,                0.67003,                0.78835,                 1.6387,                0.62489,                0.13813,                0.78279,                 0.1246,                0.36127,                0.39602,                0.37511,                0.39553,                0.59071,                0.23174,                0.41723,                 0.5914,                0.11043,                0.76292,                0.11827,                 1.5828,                0.40042,                 0.4086,                0.40039,                0.58761,                0.56685,                0.31237,                0.48806,                      1
                     62,                0.65575,                0.41178,                 1.3635,                0.03302,                0.83583,                0.83253,                0.87169,                0.72272,                0.65641,                0.39955,                 1.4572,                0.03317,               0.003961,               0.003961,               0.003961,                0.66985,                0.78981,                 1.6385,                0.62896,                0.14203,                0.78429,                0.12428,                0.36152,                0.39451,                0.37104,                0.39556,                0.58933,                0.23001,                0.41849,                0.59028,                 0.1099,                0.76464,                0.11805,                 1.5815,                0.39858,                0.40972,                0.40019,                0.58659,                0.56625,                0.31378,                0.48565,                      1
                     63,                0.65799,                0.41251,                 1.3599,                0.03298,                0.83615,                0.83215,                 0.8713,                0.72283,                0.65634,                0.39978,                 1.4569,                0.03317,               0.003862,               0.003862,               0.003862,                0.67079,                 0.7895,                 1.6399,                0.62774,                0.14055,                0.78363,                0.12468,                0.36014,                0.39659,                0.37226,                0.39501,                0.59304,                 0.2309,                0.41463,                0.58918,                0.10834,                 0.7623,                0.11789,                 1.5854,                0.40115,                0.41082,                0.40008,                0.58616,                0.56756,                 0.3118,                0.48612,                      1
                     64,                0.65883,                0.41472,                 1.3595,                0.03299,                0.83995,                0.82842,                0.87086,                0.72228,                0.65626,                0.39981,                 1.4568,                0.03317,               0.003763,               0.003763,               0.003763,                0.66875,                0.78959,                 1.6371,                0.62817,                0.14118,                 0.7839,                0.12486,                0.36286,                0.39633,                0.37183,                0.39447,                 0.5908,                 0.2297,                0.41688,                0.59157,                0.10974,                0.76595,                0.11802,                 1.5831,                0.40006,                0.40843,                0.39916,                0.58899,                0.56728,                0.31396,                0.48693,                      1
                     65,                0.65191,                  0.407,                 1.3568,                0.03297,                0.83435,                0.83104,                0.87027,                 0.7224,                 0.6562,                 0.3999,                 1.4573,                0.03317,               0.003664,               0.003664,               0.003664,                 0.6724,                0.79215,                 1.6413,                0.62851,                0.14185,                0.78588,                0.12586,                0.35868,                0.39424,                0.37149,                0.39369,                0.58532,                0.22569,                0.42267,                0.58925,                0.10865,                0.76822,                0.11914,                 1.5773,                0.39881,                0.41075,                 0.3977,                 0.5905,                0.56444,                0.31793,                0.48545,                      1
                     66,                0.65123,                 0.4065,                 1.3592,                  0.033,                0.84145,                0.82634,                 0.8704,                0.72264,                 0.6561,                0.39987,                 1.4579,                0.03317,               0.003565,               0.003565,               0.003565,                0.67289,                0.78802,                 1.6419,                0.62877,                0.14226,                0.78141,                0.12454,                 0.3581,                0.39555,                0.37123,                0.39576,                0.58762,                0.23036,                0.42024,                 0.5879,                0.10696,                0.76501,                0.11748,                 1.5798,                0.40019,                 0.4121,                 0.3997,                0.59039,                0.56633,                0.31441,                0.48779,                      1
                     67,                0.65708,                0.40687,                 1.3497,                0.03296,                0.84741,                0.82009,                0.87016,                0.72245,                0.65607,                0.39975,                 1.4581,                0.03317,               0.003466,               0.003466,               0.003466,                0.67015,                0.78562,                 1.6388,                0.62901,                0.14265,                0.77835,                0.12461,                0.36118,                0.39652,                0.37099,                0.39536,                0.59261,                 0.2324,                0.41512,                0.58958,                 0.1086,                0.76416,                0.11786,                 1.5849,                0.40072,                0.41042,                0.39978,                0.58733,                0.56659,                0.31368,                0.48594,                      1
                     68,                0.64947,                0.40182,                 1.3573,                0.03299,                0.84404,                0.82427,                0.87021,                0.72255,                0.65598,                0.39992,                 1.4582,                0.03316,               0.003367,               0.003367,               0.003367,                0.67633,                0.78697,                 1.6461,                0.62952,                0.14288,                0.77941,                0.12434,                0.35388,                0.39609,                0.37048,                0.39554,                0.58958,                0.23268,                 0.4184,                0.58939,                 0.1084,                0.76168,                0.11749,                 1.5816,                0.40144,                0.41061,                0.40043,                0.59168,                0.56656,                 0.3128,                0.49148,                      1
                     69,                0.64918,                0.40134,                 1.3565,                0.03298,                0.83945,                0.82876,                0.86994,                0.72235,                 0.6559,                0.39984,                 1.4584,                0.03316,               0.003268,               0.003268,               0.003268,                0.67551,                0.78515,                 1.6452,                0.62995,                0.14314,                0.77898,                0.12514,                0.35476,                0.39607,                0.37005,                0.39608,                0.58646,                0.23502,                0.42166,                0.59016,                0.10932,                0.76178,                0.11782,                 1.5783,                0.40094,                0.40984,                0.40071,                0.58508,                0.56654,                0.31279,                0.48491,                      1
                     70,                0.64597,                0.39865,                 1.3486,                0.03297,                0.84056,                0.82558,                0.86952,                0.72235,                 0.6558,                0.39958,                 1.4589,                0.03316,               0.003169,               0.003169,               0.003169,                0.67398,                0.78678,                 1.6434,                 0.6291,                0.14297,                0.77992,                0.12441,                0.35665,                0.39644,                 0.3709,                0.39598,                0.58939,                0.23232,                0.41852,                0.59029,                0.10891,                0.76291,                0.11781,                 1.5815,                0.40017,                0.40971,                0.40033,                 0.5855,                0.56549,                0.31448,                0.48363,                      1
                     71,                0.64661,                0.40062,                 1.3513,                0.03296,                0.84187,                 0.8246,                0.86915,                0.72217,                 0.6557,                 0.3995,                 1.4592,                0.03316,                0.00307,                0.00307,                0.00307,                0.67796,                0.78717,                 1.6481,                0.62941,                0.14305,                0.78044,                0.12453,                0.35191,                0.39584,                0.37059,                0.39507,                0.59218,                0.23278,                0.41555,                0.59079,                0.11009,                0.76262,                0.11807,                 1.5845,                0.39992,                0.40921,                0.39999,                 0.5868,                0.56614,                 0.3146,                0.48625,                      1
                     72,                0.64475,                0.39682,                 1.3479,                0.03293,                0.84423,                0.82189,                0.86907,                0.72244,                0.65562,                0.39952,                 1.4594,                0.03316,               0.002971,               0.002971,               0.002971,                0.67625,                0.78856,                 1.6461,                 0.6286,                0.14253,                0.78185,                0.12456,                0.35394,                0.39547,                0.37139,                 0.3944,                0.59318,                0.23158,                0.41456,                0.58917,                0.10843,                0.76438,                0.11733,                 1.5854,                0.40094,                0.41083,                0.39971,                0.58638,                0.56686,                0.31301,                0.48727,                      1
                     73,                0.64097,                0.39427,                 1.3534,                0.03302,                0.84339,                0.82229,                0.86887,                0.72212,                0.65557,                0.39953,                 1.4596,                0.03316,               0.002872,               0.002872,               0.002872,                0.67732,                0.78555,                 1.6473,                0.62975,                0.14356,                0.77805,                 0.1239,                0.35266,                0.39589,                0.37025,                 0.3972,                0.59074,                0.23325,                0.41712,                0.58957,                 0.1091,                0.76143,                0.11698,                 1.5829,                0.40061,                0.41043,                0.40151,                0.58911,                0.56749,                0.31262,                0.48959,                      1
                     74,                0.63931,                0.39182,                 1.3517,                0.03297,                0.84184,                0.82391,                0.86869,                0.72239,                 0.6555,                0.39942,                 1.4598,                0.03316,               0.002773,               0.002773,               0.002773,                0.67581,                0.78646,                 1.6455,                0.63137,                0.14483,                0.78019,                0.12432,                0.35446,                0.39635,                0.36863,                0.39623,                0.59177,                0.23163,                0.41602,                0.59143,                0.11039,                0.76322,                0.11748,                  1.584,                 0.3996,                0.40857,                0.40067,                0.59113,                0.56685,                0.31354,                0.49052,                      1
                     75,                0.63907,                0.39126,                 1.3491,                0.03299,                0.84081,                0.82653,                0.86835,                0.72215,                0.65542,                0.39944,                 1.4603,                0.03316,               0.002674,               0.002674,               0.002674,                0.67601,                0.78638,                 1.6458,                0.63279,                0.14611,                0.77896,                0.12417,                0.35421,                 0.3968,                0.36721,                0.39633,                0.59415,                0.23196,                0.41351,                0.59028,                0.10871,                 0.7634,                0.11696,                 1.5865,                0.40191,                0.40972,                0.40087,                  0.589,                0.56719,                0.31222,                0.48933,                      1
                     76,                0.63695,                0.39053,                 1.3409,                0.03299,                0.84139,                0.82445,                0.86815,                0.72196,                0.65536,                0.39965,                 1.4602,                0.03316,               0.002575,               0.002575,               0.002575,                0.67809,                0.78516,                 1.6481,                0.63116,                0.14497,                0.77656,                0.12393,                0.35186,                0.39667,                0.36884,                0.39621,                0.59625,                0.23463,                0.41136,                0.58784,                0.10719,                0.75936,                0.11672,                 1.5886,                0.40157,                0.41216,                0.40099,                0.58675,                0.56777,                0.31094,                0.48739,                      1
                     77,                 0.6359,                0.38752,                 1.3427,                0.03292,                 0.8419,                0.82313,                0.86771,                0.72192,                0.65531,                0.39963,                 1.4605,                0.03316,               0.002476,               0.002476,               0.002476,                0.67723,                0.79266,                  1.647,                 0.6322,                 0.1457,                0.78608,                0.12581,                0.35304,                0.39555,                 0.3678,                0.39311,                0.59121,                 0.2268,                0.41662,                0.58979,                0.10879,                0.76742,                0.11796,                 1.5834,                0.40079,                0.41021,                0.39813,                0.58698,                0.56528,                0.31706,                 0.4845,                      1
                     78,                0.63546,                0.38683,                 1.3419,                0.03301,                 0.8419,                0.82421,                0.86736,                0.72135,                0.65528,                0.39982,                 1.4607,                0.03316,               0.002377,               0.002377,               0.002377,                 0.6761,                 0.7875,                 1.6458,                 0.6318,                0.14536,                0.78001,                0.12405,                0.35416,                0.39673,                 0.3682,                0.39637,                0.59229,                0.23211,                0.41559,                0.59074,                0.10925,                0.76381,                0.11685,                 1.5844,                0.40124,                0.40926,                0.40095,                0.58694,                  0.567,                0.31264,                0.48711,                      1
                     79,                0.63638,                0.38715,                 1.3446,                0.03301,                0.84692,                0.81803,                0.86714,                0.72112,                0.65517,                 0.3998,                  1.461,                0.03316,               0.002278,               0.002278,               0.002278,                0.67769,                0.78178,                 1.6478,                0.63218,                0.14566,                0.77491,                0.12452,                0.35215,                0.39715,                0.36782,                0.39753,                0.59212,                 0.2377,                0.41577,                 0.5901,                 0.1091,                0.75832,                0.11683,                 1.5842,                0.40103,                 0.4099,                0.40226,                0.58409,                0.56773,                0.31154,                0.48654,                      1
                     80,                0.63005,                0.38339,                 1.3438,                0.03295,                0.84011,                0.82608,                 0.8668,                0.72101,                0.65521,                0.39986,                  1.461,                0.03316,               0.002179,               0.002179,               0.002179,                0.67843,                0.78574,                 1.6488,                0.63332,                0.14688,                0.77791,                0.12502,                0.35123,                0.39634,                0.36668,                0.39543,                0.59105,                0.23246,                0.41681,                0.59282,                0.11122,                0.76216,                0.11756,                 1.5832,                0.40136,                0.40718,                0.39966,                0.58908,                0.56596,                0.31522,                0.48747,                      1
                     81,                   0.63,                0.38132,                 1.3463,                 0.0329,                0.84001,                0.82679,                0.86698,                0.72069,                0.65519,                0.39985,                 1.4612,                0.03315,                0.00208,                0.00208,                0.00208,                0.67877,                0.78259,                  1.649,                0.63281,                0.14651,                0.77543,                0.12569,                0.35102,                0.39587,                0.36719,                0.39499,                0.58864,                 0.2365,                0.41918,                0.59059,                0.11001,                0.75978,                0.11768,                 1.5808,                0.40093,                0.40941,                0.39999,                0.58486,                0.56555,                0.31401,                0.48536,                      1
                     82,                0.63265,                0.38229,                 1.3375,                0.03293,                0.83996,                0.82758,                0.86652,                0.72069,                0.65516,                0.39982,                 1.4614,                0.03315,               0.001981,               0.001981,               0.001981,                0.67844,                0.78422,                 1.6488,                 0.6329,                0.14631,                0.77673,                  0.126,                0.35119,                0.39619,                 0.3671,                0.39492,                0.58982,                 0.2345,                0.41795,                0.59067,                0.11024,                0.76118,                0.11812,                  1.582,                0.40102,                0.40933,                 0.3996,                0.58758,                0.56635,                0.31409,                 0.4877,                      1
                     83,                0.62638,                0.37687,                 1.3362,                0.03296,                0.84108,                0.82677,                0.86624,                 0.7207,                0.65514,                0.39979,                 1.4616,                0.03315,               0.001882,               0.001882,               0.001882,                0.67836,                0.78261,                 1.6486,                0.63337,                0.14686,                0.77514,                0.12564,                0.35142,                0.39546,                0.36663,                0.39616,                0.58693,                0.23614,                0.42098,                0.58993,                0.11018,                 0.7591,                0.11816,                  1.579,                0.40051,                0.41007,                0.40082,                0.58535,                0.56622,                0.31334,                0.48584,                      1
                     84,                0.62774,                0.37957,                 1.3436,                0.03294,                0.84042,                0.82718,                0.86574,                0.72019,                0.65502,                0.39996,                  1.462,                0.03315,               0.001783,               0.001783,               0.001783,                0.67743,                0.78818,                 1.6474,                0.63377,                0.14731,                0.78083,                0.12361,                0.35257,                0.39567,                0.36623,                0.39487,                0.59022,                0.23097,                0.41755,                0.58913,                0.10866,                0.76457,                0.11607,                 1.5825,                0.40092,                0.41087,                0.39985,                0.58983,                 0.5679,                0.31275,                0.48964,                      1
                     85,                 0.6285,                0.37758,                 1.3365,                0.03291,                0.84235,                0.82619,                 0.8654,                 0.7203,                0.65508,                0.40021,                 1.4621,                0.03315,               0.001684,               0.001684,               0.001684,                0.67996,                0.78757,                 1.6504,                0.63381,                0.14749,                0.77901,                0.12547,                0.34958,                0.39598,                0.36619,                0.39446,                0.58814,                0.23041,                0.41972,                 0.5916,                 0.1105,                0.76488,                0.11744,                 1.5803,                0.40046,                 0.4084,                0.39887,                0.58884,                0.56564,                0.31679,                0.48638,                      1
                     86,                0.62253,                0.37504,                  1.334,                0.03302,                0.84581,                0.82027,                0.86515,                0.71992,                 0.6551,                0.40043,                 1.4621,                0.03315,               0.001585,               0.001585,               0.001585,                0.67914,                0.78619,                 1.6496,                0.63516,                 0.1484,                0.77834,                0.12359,                 0.3504,                0.39592,                0.36484,                0.39796,                0.58725,                0.23248,                0.42058,                0.59235,                0.11148,                0.76481,                 0.1161,                 1.5794,                0.40018,                0.40765,                0.40219,                0.59053,                 0.5673,                0.31293,                0.49165,                      1
                     87,                0.62129,                0.37204,                 1.3316,                0.03294,                0.84679,                0.82176,                0.86491,                0.71985,                0.65502,                0.40064,                 1.4621,                0.03315,               0.001486,               0.001486,               0.001486,                0.67937,                0.78346,                 1.6498,                0.63501,                0.14833,                0.77625,                0.12493,                0.35015,                0.39574,                0.36499,                0.39611,                0.58975,                 0.2344,                0.41806,                0.59154,                0.11036,                0.76379,                0.11705,                 1.5819,                0.39982,                0.40846,                0.40035,                 0.5885,                0.56582,                0.31473,                0.48782,                      1
                     88,                0.62059,                0.37284,                 1.3377,                0.03297,                  0.847,                0.82136,                0.86448,                0.71916,                0.65501,                0.40084,                 1.4622,                0.03315,               0.001387,               0.001387,               0.001387,                0.68019,                 0.7844,                  1.651,                0.63511,                 0.1486,                0.77669,                0.12409,                0.34897,                0.39563,                0.36489,                0.39575,                 0.5906,                0.23431,                0.41718,                0.59144,                0.11032,                0.76183,                0.11669,                 1.5828,                 0.4006,                0.40856,                0.40045,                0.58652,                0.56795,                0.31188,                0.48687,                      1
                     89,                0.61875,                0.36937,                 1.3354,                0.03296,                0.84719,                0.81995,                0.86402,                0.71885,                0.65508,                0.40102,                 1.4623,                0.03315,               0.001288,               0.001288,               0.001288,                0.67914,                0.78887,                 1.6496,                0.63561,                0.14917,                0.78095,                0.12487,                0.35036,                0.39458,                0.36439,                0.39487,                0.58921,                0.23016,                 0.4186,                0.59051,                0.10985,                0.76691,                0.11735,                 1.5814,                0.39994,                0.40949,                0.39938,                0.58845,                0.56647,                0.31377,                0.48662,                      1
                     90,                  0.616,                0.36866,                 1.3315,                0.03293,                0.84714,                0.81991,                0.86364,                0.71882,                0.65506,                0.40104,                 1.4626,                0.03315,               0.001189,               0.001189,               0.001189,                0.68048,                0.78986,                 1.6512,                0.63516,                0.14848,                0.78238,                 0.1244,                0.34881,                0.39423,                0.36484,                0.39412,                0.59151,                0.22907,                0.41625,                0.59079,                0.10968,                0.76765,                0.11691,                 1.5837,                0.39977,                0.40921,                0.39896,                0.58993,                 0.5666,                0.31483,                0.48904,                      1
                     91,                0.61691,                0.36668,                  1.328,                0.03301,                0.84632,                0.82027,                0.86325,                0.71854,                0.65507,                0.40119,                  1.463,                0.03315,                0.00109,                0.00109,                0.00109,                 0.6792,                0.78819,                 1.6497,                0.63563,                0.14915,                0.78041,                 0.1243,                0.35025,                0.39594,                0.36437,                0.39726,                0.58798,                0.23103,                0.41989,                0.59135,                0.11113,                 0.7646,                0.11678,                 1.5801,                0.40055,                0.40865,                0.40178,                0.58715,                0.56709,                0.31261,                0.48871,                      1
                     92,                0.61452,                0.36323,                 1.3313,                0.03292,                0.84572,                0.82054,                0.86259,                0.71805,                0.65504,                0.40144,                 1.4635,                0.03315,               0.000991,               0.000991,               0.000991,                0.67943,                0.78743,                   1.65,                0.63453,                0.14827,                0.77895,                0.12443,                0.35003,                0.39583,                0.36547,                0.39529,                0.58762,                0.23133,                0.42029,                0.58978,                 0.1093,                0.76493,                0.11653,                 1.5797,                 0.4006,                0.41022,                0.39956,                0.58636,                0.56615,                0.31384,                 0.4841,                      1
                     93,                0.61217,                0.36046,                  1.334,                0.03287,                0.84435,                0.82211,                0.86211,                0.71768,                0.65497,                 0.4017,                 1.4639,                0.03315,               0.000892,               0.000892,               0.000892,                0.68237,                0.78533,                 1.6535,                0.63553,                0.14916,                0.77861,                0.12554,                0.34654,                0.39495,                0.36447,                0.39445,                0.58983,                0.23433,                0.41803,                0.59349,                0.11227,                0.76307,                0.11817,                  1.582,                0.39884,                0.40651,                0.39964,                0.58523,                0.56501,                0.31434,                0.48489,                      1
                     94,                0.61201,                0.36288,                  1.329,                0.03293,                0.84452,                0.82173,                0.86203,                0.71741,                0.65487,                0.40164,                 1.4644,                0.03315,               0.000793,               0.000793,               0.000793,                0.67955,                 0.7828,                 1.6502,                0.63536,                 0.1491,                0.77646,                0.12493,                0.34976,                0.39587,                0.36464,                0.39613,                0.58798,                0.23553,                0.41995,                0.59101,                0.11073,                0.76084,                0.11708,                 1.5801,                0.40102,                0.40899,                0.40054,                0.58474,                0.56554,                0.31549,                0.48418,                      1
                     95,                0.61079,                0.36311,                 1.3258,                0.03293,                0.84406,                0.82331,                0.86168,                0.71683,                 0.6548,                0.40176,                  1.465,                0.03315,               0.000694,               0.000694,               0.000694,                0.68095,                0.78864,                  1.652,                0.63667,                0.15007,                0.78159,                0.12449,                0.34801,                0.39475,                0.36333,                0.39458,                0.58694,                 0.2302,                0.42096,                0.59129,                0.11089,                0.76606,                0.11712,                  1.579,                0.39907,                0.40871,                0.39903,                0.58735,                0.56524,                0.31686,                 0.4844,                      1
