                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/reliability_prompt_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/reliability_prompt_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,         p2/P3_gate_std,p2/P3_gate_teacher_agreement,     p2/P3_ir_gate_mean,   p2/P3_ir_prompt_mean,       p2/P3_prompt_std,p2/P3_prompt_teacher_agreement,p2/P3_prompt_teacher_mae,    p2/P3_rgb_gate_mean,    p2/P3_rgb_prompt_fg,  p2/P3_rgb_prompt_mean,       p2/P3_target_rgb,         p2/P4_gate_std,p2/P4_gate_teacher_agreement,     p2/P4_ir_gate_mean,   p2/P4_ir_prompt_mean,       p2/P4_prompt_std,p2/P4_prompt_teacher_agreement,p2/P4_prompt_teacher_mae,    p2/P4_rgb_gate_mean,    p2/P4_rgb_prompt_fg,  p2/P4_rgb_prompt_mean,       p2/P4_target_rgb,  p2/teacher_ir_quality,p2/teacher_relative_entropy,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/reliability_warmup_factor
                     11,                 0.7549,                0.52711,                 1.3901,                0.03358,                0.74527,                0.75193,                0.78572,                0.62915,                0.71665,                0.49127,                 1.4718,                0.03367,                0.00901,                0.00901,                0.00901,                0.58955,                0.78748,                 1.5474,                 0.6046,                 0.1046,                0.78748,                0.13513,                0.45256,                0.39542,                 0.3954,                0.39602,                 0.5464,                0.23128,                 0.4638,                0.59758,               0.098151,                0.76872,                0.13629,                 1.5362,                0.39867,                0.40242,                 0.4006,                 0.5888,                0.56769,                0.31297,                0.48885,                      1
                     12,                0.74925,                0.52099,                 1.3861,                0.03357,                0.78578,                 0.7846,                0.81829,                0.65935,                0.70273,                0.46734,                 1.4617,                0.03367,               0.008911,               0.008911,               0.008911,                 0.5938,                0.78445,                 1.5526,                0.60476,                0.10477,                0.78445,                0.13628,                0.44737,                0.39526,                0.39524,                0.39595,                0.54089,                0.23558,                  0.469,                0.59767,               0.098538,                0.76442,                0.13707,                  1.531,                0.39767,                0.40233,                0.40074,                0.58292,                0.56659,                0.31274,                0.48336,                      1
                     13,                0.74579,                0.52044,                 1.3857,                0.03352,                0.77851,                0.75117,                 0.8026,                0.64443,                0.71048,                0.47347,                 1.4925,                0.03365,               0.008812,               0.008812,               0.008812,                0.59765,                0.78802,                 1.5572,                0.60544,                0.10544,                0.78802,                0.13696,                0.44284,                0.39458,                0.39456,                0.39396,                0.55137,                0.22993,                0.45718,                0.59594,               0.097232,                0.77007,                0.13677,                 1.5428,                0.39813,                0.40406,                 0.3982,                0.58542,                0.56442,                0.31681,                0.48053,                      1
                     14,                0.74316,                0.51595,                  1.383,                0.03355,                0.76429,                0.75292,                0.80462,                0.65197,                0.69622,                0.46741,                 1.4624,                0.03363,               0.008713,               0.008713,               0.008713,                0.60455,                0.78826,                 1.5652,                 0.6038,                 0.1038,                0.78826,                0.13365,                0.43481,                0.39623,                 0.3962,                0.39653,                0.55796,                0.23073,                0.45084,                 0.5941,               0.096155,                0.76927,                0.13304,                 1.5492,                0.39902,                 0.4059,                0.40082,                0.58555,                0.56714,                0.31321,                 0.4852,                      1
                     15,                0.74123,                0.51241,                 1.3822,                0.03352,                 0.7937,                0.78016,                0.81988,                0.66487,                0.69565,                0.45791,                  1.455,                0.03361,               0.008614,               0.008614,               0.008614,                0.60191,                0.78537,                 1.5619,                0.60482,                0.10482,                0.78537,                0.13668,                0.43814,                0.39521,                0.39518,                0.39508,                  0.545,                0.23336,                0.46372,                0.59318,               0.096203,                0.76662,                0.13425,                 1.5363,                0.39806,                0.40682,                0.40012,                 0.5858,                0.56714,                0.31383,                0.48642,                      1
                     16,                0.73818,                0.50753,                 1.3805,                0.03352,                0.76928,                0.78222,                0.82053,                0.66208,                0.69813,                0.46241,                 1.4793,                 0.0336,               0.008515,               0.008515,               0.008515,                 0.6107,                0.78006,                 1.5717,                0.60564,                0.10564,                0.78006,                0.13763,                0.42831,                0.39439,                0.39436,                0.39687,                0.55903,                 0.2386,                0.44918,                0.59061,               0.095402,                0.76135,                0.13312,                 1.5508,                 0.3975,                0.40939,                0.40141,                0.58306,                0.56584,                0.31314,                0.48284,                      1
                     17,                0.73462,                0.50447,                 1.3834,                0.03347,                0.77213,                0.78539,                0.82141,                0.66502,                0.69476,                0.46217,                 1.4726,                0.03356,               0.008416,               0.008416,               0.008416,                0.61558,                0.78863,                 1.5773,                0.60417,                0.10417,                0.78863,                0.13561,                0.42273,                0.39586,                0.39583,                 0.3957,                0.55612,                0.23024,                0.45238,                0.58793,               0.094999,                0.76898,                0.12958,                 1.5476,                0.39954,                0.41207,                0.39997,                 0.5871,                 0.5664,                0.31414,                0.48576,                      1
                     18,                0.73032,                0.50092,                 1.3741,                0.03342,                0.78103,                0.77644,                0.82308,                0.66697,                 0.6929,                0.45505,                 1.4516,                0.03354,               0.008317,               0.008317,               0.008317,                0.61555,                0.78494,                 1.5767,                0.60569,                0.10569,                0.78494,                0.13789,                0.42326,                0.39436,                0.39431,                0.39532,                0.55606,                0.23392,                0.45264,                0.58631,                0.09703,                0.76425,                0.12923,                 1.5474,                0.39828,                0.41369,                0.39971,                 0.5857,                0.56368,                0.31788,                0.48314,                      1
                     19,                0.72854,                0.49705,                 1.3858,                 0.0334,                0.82329,                0.77966,                0.83522,                0.67531,                0.69914,                0.45483,                 1.4669,                0.03355,               0.008218,               0.008218,               0.008218,                0.61724,                0.78899,                  1.579,                 0.6041,                 0.1041,                0.78899,                0.13555,                0.42104,                0.39595,                 0.3959,                0.39424,                0.55518,                0.23025,                0.45354,                0.58391,               0.097216,                0.76678,                0.12657,                 1.5465,                0.39982,                0.41609,                0.39913,                0.58616,                0.56641,                0.31312,                0.48563,                      1
                     20,                0.72892,                0.49886,                 1.3771,                 0.0334,                0.79118,                0.79767,                0.84032,                0.68457,                0.68179,                0.44427,                 1.4463,                0.03351,               0.008119,               0.008119,               0.008119,                0.61674,                0.78876,                 1.5787,                0.60449,                 0.1045,                0.78876,                0.13499,                 0.4213,                0.39555,                0.39551,                0.39501,                0.55903,                0.22959,                0.44979,                0.58509,               0.099487,                0.76625,                0.12534,                 1.5502,                0.40028,                0.41491,                 0.3992,                0.58762,                0.56661,                 0.3147,                0.48531,                      1
