                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/object_reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/object_reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_class0_prompt_accuracy,p2/P3_class0_prompt_correlation,p2/P3_class1_prompt_accuracy,p2/P3_class1_prompt_correlation,p2/P3_class2_prompt_accuracy,p2/P3_class2_prompt_correlation,p2/P3_class3_prompt_accuracy,p2/P3_class3_prompt_correlation,p2/P3_class4_prompt_accuracy,p2/P3_class4_prompt_correlation,p2/P3_gate_direction_loss,    p2/P3_ir_win_recall,p2/P3_object_balanced_loss,p2/P3_object_calibrated_loss,p2/P3_object_class_winner_balanced_loss,p2/P3_object_hard_winner_loss,p2/P3_object_prompt_accuracy,p2/P3_object_prompt_correlation,p2/P3_object_prompt_mae,p2/P3_object_prompt_rgb, p2/P3_object_rank_loss,p2/P3_object_target_rgb,   p2/P3_rgb_win_recall,p2/P4_class0_prompt_accuracy,p2/P4_class0_prompt_correlation,p2/P4_class1_prompt_accuracy,p2/P4_class1_prompt_correlation,p2/P4_class2_prompt_accuracy,p2/P4_class2_prompt_correlation,p2/P4_class3_prompt_accuracy,p2/P4_class3_prompt_correlation,p2/P4_class4_prompt_accuracy,p2/P4_class4_prompt_correlation,p2/P4_gate_direction_loss,    p2/P4_ir_win_recall,p2/P4_object_balanced_loss,p2/P4_object_calibrated_loss,p2/P4_object_class_winner_balanced_loss,p2/P4_object_hard_winner_loss,p2/P4_object_prompt_accuracy,p2/P4_object_prompt_correlation,p2/P4_object_prompt_mae,p2/P4_object_prompt_rgb, p2/P4_object_rank_loss,p2/P4_object_target_rgb,   p2/P4_rgb_win_recall,p2/object_cross_scale_consistency,p2/object_gate_raw_loss,p2/object_prompt_raw_loss,  p2/teacher_ir_quality,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/teacher_rgb_win_rate, p2/teacher_ir_win_rate,p2/teacher_majority_baseline,p2/object_reliability_warmup_factor
                     11,                 0.7539,                0.52762,                 1.3949,                0.08535,                0.79019,                0.75777,                0.79823,                0.64245,                0.70605,                 0.4765,                 1.4718,                0.09059,                0.00901,                0.00901,                0.00901,                0.65602,                0.37547,                 0.6056,                 0.4405,                 0.7169,                0.36829,                0.65316,                0.37503,                0.68124,                0.39713,                      0,                0.66299,                0.67671,                0.66256,                0.75166,                0.56729,                0.65658,                0.38212,                0.17582,                0.45866,                0.60405,                0.41128,                0.63906,                0.65242,                0.41696,                0.61495,                0.46204,                0.72552,                0.37334,                0.64878,                 0.4199,                0.67073,                0.40341,                      0,                0.63645,                0.67167,                0.65952,                0.73466,                0.53925,                0.65385,                0.41926,                0.18426,                0.46138,                0.57434,                0.41128,                0.70134,              0.0095539,                      0,                0.73466,                0.58568,                0.31684,                  0.484,                0.26814,                0.73186,                0.73186,                      1
                     12,                0.75134,                0.52264,                 1.3871,                0.08562,                0.74284,                0.75674,                0.76999,                0.61662,                0.71178,                0.49085,                 1.4677,                 0.0903,               0.008911,               0.008911,               0.008911,                0.65882,                0.37264,                0.59136,                0.42856,                0.69935,                0.33393,                0.62449,                0.35025,                 0.6739,                0.37902,                      0,                0.66373,                0.67954,                0.66587,                0.75616,                0.56604,                0.65666,                0.37513,                0.17656,                0.45867,                0.60406,                0.41254,                0.63755,                0.65368,                0.41326,                0.59862,                0.44987,                0.70577,                0.34269,                0.60695,                0.39516,                 0.6755,                0.41876,                      0,                0.63513,                 0.6736,                0.66181,                0.74004,                0.53874,                0.65258,                0.41359,                 0.1845,                0.46214,                0.58114,                0.41254,                0.69977,              0.0093834,                      0,                0.73693,                0.58096,                0.31278,                0.48099,                0.26996,                0.73004,                0.73004,                      1
                     13,                0.74545,                0.51769,                 1.3932,                0.08564,                0.78714,                0.76392,                 0.8153,                0.65484,                0.70519,                 0.4755,                 1.4567,                0.09021,               0.008812,               0.008812,               0.008812,                0.66434,                 0.3757,                0.60799,                0.43238,                0.70995,                0.37869,                0.65959,                0.36647,                0.69456,                0.37154,                      0,                0.67877,                0.67956,                0.66183,                0.75649,                0.56931,                0.66424,                0.38036,                0.17597,                0.45191,                0.60151,                0.40976,                0.62357,                0.65524,                0.41762,                 0.6113,                0.45749,                0.71016,                0.37965,                0.65165,                0.39736,                0.67873,                0.40381,                      0,                0.64481,                0.67302,                0.65771,                0.73845,                0.54139,                 0.6559,                0.41982,                0.18359,                0.45664,                0.57579,                0.40976,                0.68694,              0.0093121,                      0,                 0.7378,                 0.5842,                0.31812,                0.48102,                0.26312,                0.73688,                0.73688,                      1
                     14,                0.74349,                 0.5189,                 1.3817,                0.08432,                0.72433,                0.76576,                0.78158,                0.62732,                0.70849,                0.48041,                 1.5038,                0.08991,               0.008713,               0.008713,               0.008713,                0.66564,                0.38458,                0.60819,                0.46762,                0.71179,                 0.3783,                0.64924,                0.36906,                 0.6942,                0.39339,                      0,                0.67387,                0.67815,                0.66332,                0.74537,                0.55547,                 0.6652,                0.39128,                0.17589,                0.45419,                0.59153,                0.41092,                0.64108,                0.65864,                0.42268,                0.61634,                0.48666,                0.71366,                0.37549,                 0.6324,                0.38346,                0.69179,                0.42854,                      0,                0.64429,                0.67315,                0.66049,                 0.7303,                 0.5306,                0.65929,                0.42657,                0.18327,                0.45906,                0.56702,                0.41092,                0.70101,              0.0090701,                      0,                0.72656,                0.58655,                0.31289,                0.48549,                0.26434,                0.73566,                0.73566,                      1
                     15,                0.74056,                0.51158,                 1.3856,                0.08465,                0.77372,                0.76554,                0.80906,                0.65692,                0.69479,                0.46303,                 1.4536,                0.09021,               0.008614,               0.008614,               0.008614,                0.66942,                 0.3837,                0.61919,                0.42671,                 0.7093,                0.34798,                0.65725,                0.35083,                0.68963,                 0.3916,                      0,                0.68277,                0.67808,                0.66289,                0.75316,                0.55592,                0.66869,                0.38836,                0.17724,                0.45063,                0.58961,                 0.4106,                0.62939,                0.66156,                0.42281,                0.62613,                0.44994,                0.72255,                0.34826,                0.64259,                0.36809,                0.67968,                 0.4214,                      0,                 0.6504,                0.67361,                0.66031,                0.73675,                 0.5305,                0.66216,                0.42457,                 0.1853,                0.45578,                0.56411,                 0.4106,                0.69496,              0.0093368,                      0,                0.73032,                 0.5856,                0.31765,                0.48426,                0.26381,                0.73619,                0.73619,                      1
                     16,                0.74046,                0.51232,                 1.3811,                0.08474,                0.79764,                0.74221,                0.80905,                0.65463,                0.69937,                0.46771,                 1.4793,                0.08979,               0.008515,               0.008515,               0.008515,                0.66462,                0.38229,                0.61224,                0.43046,                0.70449,                0.38086,                0.64848,                 0.3899,                0.67215,                0.37171,                      0,                0.67576,                0.67849,                0.66346,                0.75367,                0.56004,                0.66335,                0.38483,                0.17772,                0.45286,                0.58679,                0.41236,                 0.6295,                0.65796,                0.42302,                0.61892,                0.46413,                 0.7169,                 0.3864,                0.63379,                0.40973,                0.67284,                0.38403,                      0,                0.64545,                0.67334,                0.66146,                0.73395,                0.53206,                0.65812,                0.42323,                0.18555,                0.45865,                0.56144,                0.41236,                0.69268,              0.0090661,                      0,                0.73175,                0.58123,                0.31533,                0.48155,                0.26825,                0.73175,                0.73175,                      1
                     17,                0.73746,                0.50525,                 1.3836,                0.08383,                0.80983,                0.78178,                0.83473,                0.67552,                0.68991,                0.45124,                 1.4523,                0.08944,               0.008416,               0.008416,               0.008416,                0.66944,                0.39233,                0.60988,                0.42728,                0.71985,                0.33817,                0.65171,                0.36301,                0.69538,                0.36992,                      0,                0.68223,                0.67452,                0.66022,                0.74666,                 0.5482,                0.66849,                0.39508,                0.17753,                0.45205,                0.59043,                0.41182,                0.63165,                0.66218,                0.43241,                0.61796,                0.45101,                0.71898,                0.35789,                0.63405,                 0.3895,                0.69495,                0.41507,                      0,                0.65001,                0.66955,                0.65699,                0.72574,                0.52334,                0.66231,                0.43319,                0.18482,                0.45652,                0.56071,                0.41182,                0.69533,              0.0090692,                      0,                0.72219,                0.58096,                0.31421,                0.47986,                0.27155,                0.72845,                0.72845,                      1
                     18,                0.73119,                0.49985,                 1.3717,                0.08319,                0.79743,                0.77105,                0.82176,                0.66714,                  0.695,                0.45661,                 1.4581,                0.08983,               0.008317,               0.008317,               0.008317,                0.67551,                0.39633,                0.62291,                0.47537,                0.71336,                0.39419,                0.64086,                 0.3764,                0.69873,                0.40382,                      0,                 0.6896,                0.67547,                0.65686,                0.73597,                0.54706,                0.67406,                0.40445,                 0.1779,                0.44694,                0.57658,                0.40969,                0.63095,                0.66736,                0.42792,                0.62474,                0.48739,                0.72371,                0.40564,                0.62722,                0.41147,                 0.6859,                0.41957,                      0,                0.65772,                0.67152,                0.65583,                0.72309,                0.52443,                0.66686,                0.43322,                0.18525,                0.45295,                0.56076,                0.40969,                 0.6922,              0.0088593,                      0,                0.71766,                 0.5827,                0.32068,                0.47864,                0.26495,                0.73505,                0.73505,                      1
                     19,                0.72971,                0.49829,                 1.3746,                0.08391,                0.76977,                0.76874,                0.79897,                0.65119,                0.69204,                0.45881,                 1.4543,                0.08917,               0.008218,               0.008218,               0.008218,                0.67626,                0.39719,                0.60285,                0.45185,                0.71736,                0.35168,                0.66469,                0.37559,                0.69203,                0.38431,                      0,                0.68887,                0.67623,                 0.6586,                0.74733,                0.54746,                0.67434,                0.39913,                0.17828,                0.44767,                0.58711,                0.41019,                0.63449,                0.66622,                0.43467,                0.60756,                0.48474,                0.72543,                0.35499,                0.65949,                0.40735,                0.68837,                0.40808,                      0,                0.65422,                0.67115,                0.65624,                0.73301,                0.52339,                0.66622,                0.43576,                0.18541,                0.45459,                0.56416,                0.41019,                0.69913,              0.0088359,                      0,                0.72322,                0.58532,                0.31768,                0.48241,                0.26725,                0.73275,                0.73275,                      1
                     20,                0.72801,                0.49783,                 1.3724,                0.08394,                0.77869,                0.78778,                 0.8199,                0.66679,                0.68641,                0.45033,                 1.4579,                 0.0891,               0.008119,               0.008119,               0.008119,                0.66755,                0.39017,                0.59594,                0.42694,                0.69621,                0.37043,                0.63751,                0.34225,                 0.6935,                0.39352,                      0,                0.67513,                0.67667,                0.66315,                0.74829,                0.54729,                0.66533,                0.39156,                0.17958,                0.45421,                0.58911,                0.41197,                0.63874,                 0.6622,                0.43214,                0.58656,                0.46465,                0.70371,                0.37957,                0.62926,                0.37583,                0.68125,                0.41436,                      0,                0.64461,                0.67175,                0.65995,                0.72994,                0.52205,                0.65995,                 0.4321,                0.18642,                0.45871,                0.56355,                0.41197,                0.70159,              0.0086309,                      0,                0.72329,                0.58195,                0.31557,                0.48117,                0.26921,                0.73079,                0.73079,                      1
