                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/object_reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/object_reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_gate_direction_loss,    p2/P3_ir_win_recall,p2/P3_object_balanced_loss,p2/P3_object_calibrated_loss,p2/P3_object_hard_winner_loss,p2/P3_object_prompt_accuracy,p2/P3_object_prompt_correlation,p2/P3_object_prompt_mae,p2/P3_object_prompt_rgb, p2/P3_object_rank_loss,p2/P3_object_target_rgb,p2/P3_prompt_residual_gain,   p2/P3_rgb_win_recall,p2/P4_gate_direction_loss,    p2/P4_ir_win_recall,p2/P4_object_balanced_loss,p2/P4_object_calibrated_loss,p2/P4_object_hard_winner_loss,p2/P4_object_prompt_accuracy,p2/P4_object_prompt_correlation,p2/P4_object_prompt_mae,p2/P4_object_prompt_rgb, p2/P4_object_rank_loss,p2/P4_object_target_rgb,p2/P4_prompt_residual_gain,   p2/P4_rgb_win_recall,p2/object_cross_scale_consistency,p2/object_gate_raw_loss,p2/object_prompt_raw_loss,  p2/teacher_ir_quality,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/teacher_rgb_win_rate, p2/teacher_ir_win_rate,p2/teacher_majority_baseline,p2/object_reliability_warmup_factor
                     31,                0.70695,                0.46882,                 1.3778,                0.08018,                0.81642,                 0.8252,                0.86152,                0.70919,                0.66884,                0.42083,                 1.4463,                0.08585,                0.00703,                0.00703,                0.00703,                      0,                0.69036,                 0.6858,                0.67283,                0.52777,                 0.6754,                  0.401,                 0.1863,                0.44791,                0.57908,                0.41219,                0.10447,                0.63469,                      0,                0.67464,                0.67922,                0.66734,                0.50254,                0.67653,                 0.4388,                0.18998,                 0.4513,                0.56153,                0.41219,               0.004061,                0.68166,              0.0087072,                      0,                0.68711,                0.58494,                0.31166,                0.48516,                0.26876,                0.73124,                0.73124,                      1
                     32,                0.70539,                0.46901,                  1.378,                0.08025,                 0.8059,                0.82198,                0.85686,                0.70513,                0.66756,                0.41912,                 1.4446,                0.08566,               0.006931,               0.006931,               0.006931,                      0,                0.69067,                0.68647,                0.67203,                 0.5287,                0.67529,                0.40343,                0.18634,                 0.4464,                0.57244,                0.41152,                 0.1053,                0.63347,                      0,                0.67612,                 0.6795,                0.66553,                0.50784,                0.67541,                0.43822,                0.18861,                0.44999,                0.55514,                0.41152,              0.0037717,                0.67349,              0.0083446,                      0,                0.68921,                0.58439,                0.31392,                 0.4837,                0.26886,                0.73114,                0.73114,                      1
                     33,                0.70023,                0.46556,                 1.3716,                 0.0795,                0.82316,                 0.8047,                0.85388,                0.70481,                 0.6668,                 0.4246,                 1.4439,                0.08564,               0.006832,               0.006832,               0.006832,                      0,                 0.6898,                0.68361,                0.67022,                0.52444,                0.67438,                0.40865,                0.18749,                0.44774,                0.56458,                0.41208,                0.10356,                0.63299,                      0,                0.67818,                0.67653,                0.66375,                0.50022,                0.67826,                0.44555,                0.19033,                0.45067,                0.54542,                0.41208,              0.0031736,                0.67848,              0.0085643,                      0,                0.68338,                0.58181,                0.31676,                0.48126,                0.27149,                0.72851,                0.72851,                      1
                     34,                0.69861,                0.46223,                 1.3733,                0.07991,                0.80794,                0.82585,                0.85794,                0.70653,                0.66691,                0.41771,                 1.4459,                0.08541,               0.006733,               0.006733,               0.006733,                      0,                0.69292,                0.68775,                0.67455,                0.52666,                0.67951,                0.40358,                0.18739,                0.44685,                0.56955,                0.41202,                0.10297,                0.64275,                      0,                0.68238,                0.67857,                0.66605,                 0.5023,                0.68262,                0.44192,                0.18945,                0.44898,                 0.5497,                0.41202,              0.0016665,                0.68328,              0.0085766,                      0,                0.68647,                0.58284,                0.31387,                0.48265,                0.26744,                0.73256,                0.73256,                      1
                     35,                0.69824,                0.45977,                 1.3686,                0.07868,                0.81477,                0.83499,                0.86295,                0.71099,                0.66511,                 0.4138,                 1.4451,                0.08534,               0.006634,               0.006634,               0.006634,                      0,                0.69019,                0.68113,                0.67003,                0.51721,                 0.6788,                0.41472,                0.18837,                0.44881,                0.55589,                 0.4133,                0.10439,                 0.6482,                      0,                0.67335,                0.67592,                0.66635,                0.49457,                0.67867,                0.44636,                0.19267,                0.45301,                0.53648,                 0.4133,            -0.00059019,                0.69296,              0.0086422,                      0,                0.67687,                0.58151,                0.31597,                 0.4826,                0.27132,                0.72868,                0.72868,                      1
                     36,                0.69905,                0.45639,                 1.3706,                 0.0782,                0.82962,                0.81712,                0.86077,                0.70925,                0.66423,                0.41549,                 1.4469,                0.08525,               0.006535,               0.006535,               0.006535,                      0,                0.68687,                0.68275,                0.67173,                0.51336,                 0.6763,                0.41873,                0.18836,                0.45004,                0.55456,                0.41522,                0.10599,                0.64863,                      0,                 0.6725,                0.67544,                0.66552,                 0.4889,                0.67785,                0.45255,                0.19238,                 0.4543,                 0.5319,                0.41522,            -0.00067882,                0.69187,              0.0087493,                      0,                0.67262,                0.57927,                0.31241,                0.48306,                 0.2765,                 0.7235,                 0.7235,                      1
                     37,                0.69299,                0.45644,                 1.3753,                0.07919,                0.80883,                0.83683,                0.86404,                0.71101,                0.66405,                0.41229,                 1.4485,                0.08521,               0.006436,               0.006436,               0.006436,                      0,                0.70147,                0.68404,                0.66827,                0.52323,                0.68502,                0.41273,                0.18695,                0.44431,                0.55965,                0.41099,                0.10639,                0.64025,                      0,                0.68149,                0.67513,                0.66131,                0.49827,                0.68391,                0.45053,                0.18949,                0.45002,                 0.5381,                0.41099,              0.0030261,                0.69049,              0.0082646,                      0,                 0.6814,                0.58454,                0.31817,                0.48243,                0.26862,                0.73138,                0.73138,                      1
                     38,                0.68999,                0.45416,                 1.3741,                0.07973,                0.82538,                0.82349,                0.86191,                0.71288,                0.66419,                0.41329,                 1.4476,                 0.0851,               0.006337,               0.006337,               0.006337,                      0,                0.69076,                0.68555,                0.67325,                0.52505,                 0.6759,                0.40491,                0.18635,                0.44807,                0.56672,                0.41328,                0.10479,                0.63609,                      0,                0.67366,                0.67903,                0.66791,                0.50189,                0.67765,                0.44226,                0.18938,                0.45299,                0.54745,                0.41328,            -0.00035776,                0.68835,              0.0084294,                      0,                0.68519,                0.58175,                0.31341,                0.48327,                 0.2717,                 0.7283,                 0.7283,                      1
                     39,                0.69172,                 0.4543,                 1.3769,                0.07956,                0.84057,                0.80857,                0.86668,                0.71704,                 0.6629,                0.41121,                 1.4457,                0.08515,               0.006238,               0.006238,               0.006238,                      0,                0.69054,                0.68844,                 0.6751,                0.52475,                0.67788,                0.40334,                0.18923,                0.44932,                0.56132,                0.41216,                0.10687,                0.64393,                      0,                0.67484,                0.67963,                0.66626,                0.50058,                0.67826,                0.44548,                0.19106,                 0.4514,                0.54049,                0.41216,              0.0015794,                0.68746,              0.0086447,                      0,                0.68473,                0.58372,                0.31466,                0.48334,                0.27146,                0.72854,                0.72854,                      1
                     40,                0.69195,                0.45506,                  1.373,                0.07943,                0.83995,                0.81145,                0.86558,                0.71563,                0.66342,                0.41044,                 1.4476,                0.08507,               0.006139,               0.006139,               0.006139,                      0,                0.69151,                 0.6859,                0.67184,                0.52305,                0.67827,                0.41092,                0.18759,                0.44629,                0.56454,                0.40986,                0.10826,                0.64143,                      0,                0.67464,                 0.6769,                0.66389,                0.49944,                0.67842,                0.45003,                0.18973,                0.45162,                0.54807,                0.40986,             0.00063477,                0.68892,              0.0087956,                      0,                0.68248,                0.58742,                0.31765,                0.48473,                0.26443,                0.73557,                0.73557,                      1
                     41,                0.68686,                 0.4466,                 1.3697,                0.07914,                 0.8318,                 0.8165,                0.86344,                0.71331,                0.66322,                0.41018,                  1.447,                0.08493,                0.00604,                0.00604,                0.00604,                      0,                0.69236,                0.68459,                0.67089,                0.52104,                0.67916,                0.41078,                0.18764,                0.44686,                0.56385,                0.41184,                0.10848,                0.64274,                      0,                0.67827,                0.67576,                0.66346,                0.49659,                0.68004,                0.44844,                0.19004,                0.45078,                0.54393,                0.41184,             0.00060387,                0.68491,              0.0085538,                      0,                0.67999,                0.58246,                0.31521,                0.48126,                0.26603,                0.73397,                0.73397,                      1
                     42,                0.68797,                0.44662,                 1.3731,                0.07916,                0.82991,                0.81711,                0.86437,                 0.7151,                0.66126,                0.40751,                 1.4504,                0.08497,               0.005941,               0.005941,               0.005941,                      0,                0.69262,                0.68398,                 0.6708,                0.52076,                0.67791,                0.41197,                0.18664,                0.44556,                 0.5646,                0.41187,                  0.113,                0.63792,                      0,                0.67713,                0.67685,                0.66486,                0.49627,                0.67907,                0.44811,                0.19052,                0.45081,                0.54776,                0.41187,             -0.0019024,                0.68435,              0.0083834,                      0,                 0.6798,                0.58544,                 0.3152,                0.48478,                0.26885,                0.73115,                0.73115,                      1
                     43,                0.68206,                 0.4445,                 1.3736,                0.07888,                0.82515,                0.83141,                0.86543,                0.71609,                 0.6601,                0.40663,                 1.4517,                0.08486,               0.005842,               0.005842,               0.005842,                      0,                 0.6939,                0.68595,                0.67178,                0.51919,                0.67891,                0.41281,                0.18761,                0.44666,                0.56073,                0.41344,                0.11262,                0.63935,                      0,                0.68089,                 0.6799,                0.66654,                0.49349,                0.68211,                0.44944,                0.19224,                0.45147,                0.53801,                0.41344,             -0.0018011,                0.68534,              0.0085603,                      0,                0.67813,                0.58142,                 0.3139,                0.48265,                0.27471,                0.72529,                0.72529,                      1
                     44,                0.68533,                0.44364,                 1.3684,                0.07949,                 0.8267,                0.83027,                0.86568,                0.71763,                0.65944,                 0.4065,                 1.4499,                0.08493,               0.005743,               0.005743,               0.005743,                      0,                0.69415,                0.68656,                0.67159,                0.52295,                0.67826,                0.41001,                0.18766,                0.44597,                0.57242,                0.41158,                0.11556,                0.63483,                      0,                0.68588,                0.67689,                0.66288,                0.49804,                 0.6829,                0.44763,                0.18944,                0.44664,                0.55145,                0.41158,             -0.0030817,                0.67476,              0.0082036,                      0,                0.68182,                0.58405,                0.31746,                0.48302,                0.26785,                0.73215,                0.73215,                      1
                     45,                0.68361,                0.44114,                 1.3691,                 0.0787,                0.82818,                0.83259,                0.86915,                0.71974,                0.65979,                0.40556,                 1.4486,                0.08489,               0.005644,               0.005644,               0.005644,                      0,                0.69087,                0.68417,                0.67113,                0.51709,                0.67724,                0.41476,                0.18797,                0.44622,                0.55822,                0.41241,                0.11482,                0.64033,                      0,                0.67743,                0.67533,                0.66353,                0.49372,                0.67881,                0.44888,                0.19114,                0.44998,                0.54191,                0.41241,             -0.0065162,                0.68254,              0.0082585,                      0,                0.67644,                0.57972,                0.31417,                0.48003,                 0.2696,                 0.7304,                 0.7304,                      1
                     46,                0.68177,                0.44244,                 1.3704,                0.07834,                0.82308,                 0.8408,                0.87124,                0.72106,                0.65921,                0.40439,                 1.4494,                0.08486,               0.005545,               0.005545,               0.005545,                      0,                0.69509,                0.68301,                0.67008,                 0.5133,                0.68204,                0.41873,                0.18806,                0.44537,                0.55584,                0.40972,                0.11184,                0.64577,                      0,                0.68405,                0.67621,                 0.6636,                0.49218,                0.68462,                0.45225,                0.19122,                0.44863,                 0.5407,                0.40972,             -0.0062054,                0.68622,              0.0083703,                      0,                0.67324,                0.58536,                0.31761,                0.48212,                 0.2646,                 0.7354,                 0.7354,                      1
                     47,                0.68486,                0.44027,                 1.3723,                0.07843,                0.82838,                0.83791,                 0.8715,                0.72134,                0.65929,                0.40267,                 1.4515,                0.08481,               0.005446,               0.005446,               0.005446,                      0,                0.69502,                0.68384,                0.67152,                0.51449,                 0.6816,                0.41633,                0.18849,                0.44614,                0.56011,                0.41094,                 0.1102,                0.64494,                      0,                 0.6839,                 0.6764,                0.66434,                0.48959,                 0.6855,                0.45315,                0.19196,                0.44901,                0.54257,                0.41094,              -0.006996,                0.68988,              0.0085787,                      0,                0.67347,                0.58102,                0.31865,                0.47974,                0.26805,                0.73195,                0.73195,                      1
                     48,                0.67989,                0.44013,                 1.3697,                 0.0786,                0.83315,                0.82504,                0.86902,                0.71887,                0.65919,                0.40282,                 1.4528,                0.08488,               0.005347,               0.005347,               0.005347,                      0,                0.69609,                0.68557,                0.67284,                0.51414,                0.68238,                0.41639,                 0.1873,                0.44649,                0.56542,                0.41295,                0.11023,                0.64552,                      0,                0.68405,                0.67828,                0.66541,                0.49159,                0.68498,                0.45147,                0.19045,                0.44971,                0.54639,                0.41295,             -0.0075464,                0.68748,              0.0082935,                      0,                0.67421,                0.58606,                0.31309,                  0.487,                0.27117,                0.72883,                0.72883,                      1
                     49,                 0.6788,                0.43592,                 1.3666,                0.07906,                0.82992,                 0.8245,                0.86658,                 0.7175,                 0.6592,                0.40361,                 1.4544,                0.08481,               0.005248,               0.005248,               0.005248,                      0,                0.69172,                 0.6842,                0.67113,                0.52025,                0.67925,                0.41434,                0.18849,                0.44723,                0.56283,                0.41161,                0.10891,                 0.6455,                      0,                0.67739,                0.67518,                0.66407,                0.49575,                0.68044,                0.44699,                0.19206,                0.45087,                0.54382,                0.41161,             -0.0066143,                0.68869,               0.007965,                      0,                0.67928,                0.58215,                0.31803,                0.48126,                0.26974,                0.73026,                0.73026,                      1
                     50,                0.67672,                0.43354,                 1.3687,                0.07889,                0.83707,                0.81676,                0.86567,                0.71725,                0.65914,                0.40382,                 1.4545,                 0.0848,               0.005149,               0.005149,               0.005149,                      0,                0.69187,                0.68704,                0.67337,                0.51732,                 0.6784,                0.41202,                0.18739,                0.44653,                0.56793,                0.41274,                0.10702,                0.64226,                      0,                0.68014,                0.68021,                0.66636,                0.49208,                0.68155,                0.44912,                0.19129,                0.45023,                0.54823,                0.41274,             -0.0052915,                0.68533,              0.0084932,                      0,                0.67667,                0.58418,                 0.3128,                0.48509,                0.27145,                0.72855,                0.72855,                      1
                     51,                0.67726,                0.43103,                 1.3642,                0.07935,                0.83546,                0.82046,                 0.8662,                0.71778,                0.65897,                0.40333,                  1.455,                0.08484,                0.00505,                0.00505,                0.00505,                      0,                 0.6932,                0.68706,                0.67292,                0.52287,                0.67848,                0.40698,                0.18813,                0.44367,                0.56101,                0.41012,                0.10635,                0.63785,                      0,                0.67666,                0.67789,                 0.6658,                0.49863,                0.67867,                0.44314,                0.19152,                0.44817,                0.54386,                0.41012,             -0.0060321,                0.68422,              0.0082354,                      0,                0.68243,                0.58263,                0.31591,                0.47968,                0.26602,                0.73398,                0.73398,                      1
                     52,                0.67235,                0.43011,                 1.3712,                0.07919,                0.82347,                0.83657,                0.86712,                0.71857,                0.65894,                0.40269,                 1.4544,                0.08482,               0.004951,               0.004951,               0.004951,                      0,                0.68915,                0.68602,                0.67226,                0.52032,                0.67505,                0.41051,                0.18706,                 0.4464,                0.56943,                0.41231,                  0.107,                0.63711,                      0,                0.67689,                 0.6784,                0.66436,                0.49583,                  0.679,                0.44842,                0.19057,                0.45123,                0.54585,                0.41231,             -0.0061657,                0.68467,              0.0085124,                      0,                0.67956,                0.58356,                0.31349,                0.48343,                0.27087,                0.72913,                0.72913,                      1
                     53,                0.67022,                0.42678,                 1.3653,                0.07863,                0.82128,                0.83933,                0.86709,                0.71888,                 0.6588,                0.40269,                 1.4553,                0.08479,               0.004852,               0.004852,               0.004852,                      0,                0.69362,                  0.686,                0.67447,                0.51572,                0.67935,                0.41229,                0.18738,                 0.4453,                0.56068,                 0.4119,                0.10639,                0.64026,                      0,                0.68304,                0.67885,                0.66755,                0.48991,                 0.6829,                0.44756,                0.19202,                0.44723,                0.54588,                 0.4119,             -0.0047987,                0.68251,              0.0084996,                      0,                0.67516,                0.58515,                0.31468,                0.48529,                0.26742,                0.73258,                0.73258,                      1
                     54,                0.66618,                0.42572,                 1.3726,                0.07813,                0.81831,                0.84332,                0.86765,                0.71878,                0.65862,                0.40219,                 1.4559,                0.08481,               0.004753,               0.004753,               0.004753,                      0,                 0.6982,                0.68562,                0.67075,                0.51168,                0.68328,                0.42053,                0.18863,                 0.4407,                0.55637,                0.41041,                0.10558,                0.64221,                      0,                 0.6854,                0.67737,                0.66396,                0.48762,                0.68521,                0.45371,                0.19222,                0.44516,                0.54566,                0.41041,             -0.0059713,                0.68469,              0.0083707,                      0,                0.67078,                0.58605,                0.31481,                0.48323,                0.26647,                0.73353,                0.73353,                      1
                     55,                 0.6718,                0.42639,                 1.3677,                0.07858,                0.82331,                0.83885,                0.86813,                0.71914,                0.65847,                0.40168,                 1.4569,                 0.0848,               0.004654,               0.004654,               0.004654,                      0,                0.69555,                0.68747,                0.67505,                0.51506,                0.68206,                0.41384,                0.18906,                0.44449,                0.55658,                0.41189,                0.10569,                0.64519,                      0,                0.68111,                0.67816,                0.66694,                0.49212,                0.68274,                0.45043,                0.19134,                0.44862,                0.54085,                0.41189,             -0.0065329,                 0.6872,              0.0081796,                      0,                 0.6755,                0.58596,                 0.3159,                  0.486,                0.26781,                0.73219,                0.73219,                      1
                     56,                0.66412,                0.42379,                 1.3628,                0.07799,                0.82091,                 0.8396,                0.86707,                0.71854,                0.65813,                0.40185,                 1.4566,                 0.0848,               0.004555,               0.004555,               0.004555,                      0,                 0.7009,                0.68329,                  0.668,                0.51234,                0.68474,                0.42566,                0.18623,                0.44076,                0.55579,                0.41029,                0.10481,                 0.6401,                      0,                0.68864,                0.67416,                0.65981,                0.48643,                0.68881,                0.46232,                 0.1893,                0.44498,                0.53701,                0.41029,             -0.0053801,                0.68928,              0.0081257,                      0,                0.67002,                 0.5877,                0.31877,                0.48535,                0.26589,                0.73411,                0.73411,                      1
                     57,                0.66608,                0.42242,                 1.3611,                0.07812,                0.82338,                0.84027,                0.86749,                0.71879,                0.65806,                0.40137,                 1.4567,                0.08481,               0.004456,               0.004456,               0.004456,                      0,                 0.6908,                0.68439,                 0.6737,                 0.5118,                0.67944,                0.41685,                0.18836,                0.44675,                0.55141,                0.41392,                0.10511,                 0.6487,                      0,                0.68004,                0.67637,                0.66678,                0.48922,                0.68133,                0.44784,                0.19249,                0.44939,                0.53375,                0.41392,             -0.0059623,                0.68483,              0.0081241,                      0,                0.67212,                0.58264,                 0.3135,                0.48492,                0.26971,                0.73029,                0.73029,                      1
                     58,                0.66481,                0.41953,                 1.3562,                0.07822,                0.82865,                0.83739,                0.86779,                0.71956,                0.65809,                0.40093,                 1.4566,                0.08483,               0.004357,               0.004357,               0.004357,                      0,                0.69539,                0.68709,                0.67418,                0.51176,                0.68306,                0.41952,                0.18789,                0.44437,                0.55866,                0.41047,                0.10521,                 0.6486,                      0,                0.68423,                0.67927,                0.66658,                0.48778,                0.68588,                0.45467,                0.19183,                0.44725,                0.54057,                0.41047,              -0.007468,                0.69049,              0.0083072,                      0,                0.67168,                0.58767,                0.31373,                0.48561,                0.26365,                0.73635,                0.73635,                      1
                     59,                0.66738,                0.41861,                 1.3675,                 0.0785,                0.83523,                0.83118,                0.86796,                0.72003,                0.65789,                 0.4003,                 1.4575,                0.08482,               0.004258,               0.004258,               0.004258,                      0,                0.69152,                0.68689,                0.67391,                0.51569,                0.67882,                0.41412,                0.18894,                0.44642,                0.56105,                 0.4131,                0.10606,                0.64487,                      0,                0.67713,                0.67721,                 0.6655,                0.48848,                0.68194,                 0.4546,                0.19207,                0.45152,                0.53758,                 0.4131,             -0.0075282,                 0.6948,              0.0085661,                      0,                 0.6744,                 0.5788,                0.31479,                0.47954,                0.27216,                0.72784,                0.72784,                      1
                     60,                 0.6584,                0.41535,                 1.3558,                0.07782,                0.83979,                0.82962,                0.86791,                0.72027,                0.65777,                0.39979,                 1.4578,                0.08481,               0.004159,               0.004159,               0.004159,                      0,                0.70217,                0.68681,                0.67095,                0.51047,                0.68392,                0.42154,                 0.1882,                0.44198,                 0.5528,                0.41206,                0.10766,                0.63505,                      0,                0.68554,                0.67681,                0.66221,                0.48521,                0.68479,                0.45716,                 0.1914,                0.44637,                0.53222,                0.41206,             -0.0065398,                0.68281,              0.0081887,                      0,                0.66906,                0.58194,                0.31442,                0.48119,                0.27199,                0.72801,                0.72801,                      1
                     61,                 0.6629,                0.41662,                 1.3581,                0.07817,                0.83622,                0.83241,                0.86771,                0.72025,                0.65765,                0.39963,                 1.4586,                0.08479,                0.00406,                0.00406,                0.00406,                      0,                0.69667,                0.68577,                0.67217,                0.51243,                0.68232,                0.41907,                0.18793,                0.44382,                0.55588,                0.41307,                 0.1081,                0.64338,                      0,                0.68458,                0.67821,                0.66527,                0.48837,                0.68422,                0.45291,                0.19204,                0.44722,                0.53524,                0.41307,             -0.0084113,                0.68323,              0.0082558,                      0,                0.67188,                0.58173,                0.31413,                0.48241,                0.26936,                0.73064,                0.73064,                      1
                     62,                0.66146,                0.41621,                  1.364,                0.07773,                0.83816,                0.83279,                0.86778,                0.72019,                0.65748,                0.39964,                 1.4594,                0.08477,               0.003961,               0.003961,               0.003961,                      0,                0.69866,                0.68604,                0.67182,                0.50904,                0.68433,                0.42435,                0.18864,                0.44393,                0.55562,                0.41245,                0.10579,                0.64593,                      0,                0.69116,                0.67868,                0.66525,                0.48189,                0.69057,                0.45816,                0.19301,                0.44622,                0.53773,                0.41245,             -0.0082297,                0.68899,              0.0081631,                      0,                 0.6674,                0.58422,                0.31564,                0.48421,                0.27182,                0.72818,                0.72818,                      1
                     63,                0.65978,                0.41383,                 1.3649,                0.07847,                0.83955,                0.82946,                0.86781,                0.72001,                0.65742,                0.39944,                 1.4601,                0.08477,               0.003862,               0.003862,               0.003862,                      0,                0.69286,                0.68626,                0.67184,                0.51453,                0.68067,                0.41966,                0.18806,                 0.4444,                 0.5565,                0.40987,                0.10674,                0.64677,                      0,                0.68014,                0.67872,                0.66528,                0.49162,                0.68207,                0.44958,                0.19289,                0.44679,                0.54358,                0.40987,             -0.0083386,                0.68745,              0.0080388,                      0,                0.67431,                0.58494,                0.31756,                0.48197,                0.26437,                0.73563,                0.73563,                      1
                     64,                 0.6599,                0.41489,                  1.363,                0.07827,                0.83922,                0.82983,                0.86795,                 0.7203,                0.65725,                0.39924,                 1.4601,                0.08476,               0.003763,               0.003763,               0.003763,                      0,                0.69983,                0.68694,                0.67406,                 0.5115,                0.68411,                0.41631,                0.18749,                0.44193,                 0.5619,                0.40959,                0.10707,                0.64033,                      0,                0.68977,                0.67856,                0.66562,                0.48867,                0.68851,                0.45329,                0.19074,                0.44529,                0.54055,                0.40959,             -0.0087272,                0.68501,              0.0082935,                      0,                 0.6717,                0.58672,                 0.3156,                0.48391,                0.26414,                0.73586,                0.73586,                      1
                     65,                0.65622,                0.40818,                  1.365,                0.07843,                0.84286,                0.82903,                0.86767,                0.72005,                0.65706,                0.39935,                 1.4609,                0.08476,               0.003664,               0.003664,               0.003664,                      0,                0.69501,                0.69011,                0.67388,                0.51577,                0.68154,                0.41918,                0.18855,                 0.4445,                0.55043,                0.41063,                0.10762,                0.64461,                      0,                0.68329,                0.68017,                0.66482,                0.49166,                0.68429,                 0.4553,                0.19198,                0.44753,                0.53217,                0.41063,              -0.010402,                0.68704,              0.0080427,                      0,                0.67545,                0.58161,                0.31629,                0.47945,                0.26726,                0.73274,                0.73274,                      1
                     66,                0.65473,                0.41005,                 1.3555,                0.07818,                0.84325,                0.82764,                0.86774,                0.72025,                0.65698,                0.39941,                 1.4608,                0.08474,               0.003565,               0.003565,               0.003565,                      0,                 0.6941,                0.68608,                0.67297,                0.51165,                0.68179,                 0.4184,                0.18828,                0.44451,                0.55832,                0.41116,                0.10712,                0.64803,                      0,                0.68409,                 0.6768,                 0.6644,                0.48802,                0.68566,                  0.454,                0.19158,                0.44908,                0.54043,                0.41116,             -0.0091032,                0.68996,              0.0080533,                      0,                0.67131,                0.58363,                0.31604,                0.48204,                0.26724,                0.73276,                0.73276,                      1
                     67,                0.65431,                0.40661,                 1.3524,                0.07769,                0.84063,                0.82979,                0.86788,                0.72066,                0.65679,                 0.3992,                 1.4608,                0.08473,               0.003466,               0.003466,               0.003466,                      0,                0.69494,                0.68469,                0.67108,                0.50759,                0.68247,                0.42458,                0.18961,                0.44456,                0.55779,                0.41054,                0.10981,                0.64849,                      0,                0.68316,                0.67579,                0.66314,                0.48368,                0.68495,                0.45747,                0.19337,                0.44824,                0.53656,                0.41054,              -0.010329,                0.68981,              0.0081542,                      0,                0.66673,                0.58249,                 0.3167,                0.47922,                0.26844,                0.73156,                0.73156,                      1
                     68,                0.65284,                0.40344,                 1.3551,                0.07745,                0.84145,                0.82774,                0.86786,                0.72095,                0.65671,                0.39897,                 1.4607,                0.08472,               0.003367,               0.003367,               0.003367,                      0,                0.69367,                0.68571,                0.67395,                0.50445,                  0.683,                0.42238,                0.19004,                0.44678,                0.55796,                 0.4119,                0.10971,                0.65403,                      0,                0.68714,                0.67672,                0.66522,                0.47965,                 0.6884,                0.45685,                0.19348,                0.44873,                0.54257,                 0.4119,              -0.011028,                0.69183,              0.0080329,                      0,                0.66395,                0.58515,                0.31703,                0.48456,                0.26925,                0.73075,                0.73075,                      1
                     69,                0.65131,                0.40396,                 1.3555,                0.07809,                0.84171,                0.82689,                0.86796,                0.72114,                0.65669,                0.39894,                 1.4607,                0.08472,               0.003268,               0.003268,               0.003268,                      0,                0.68961,                0.68537,                0.67432,                0.51048,                0.68004,                0.41607,                0.18886,                0.44677,                0.56208,                0.41241,                 0.1098,                0.65428,                      0,                0.68284,                0.67715,                0.66698,                0.48429,                0.68555,                 0.4519,                0.19337,                  0.449,                0.54331,                0.41241,              -0.012388,                0.69284,              0.0081706,                      0,                0.66972,                0.58145,                0.31426,                0.48176,                0.27094,                0.72906,                0.72906,                      1
                     70,                0.64907,                0.40196,                 1.3509,                0.07744,                 0.8412,                0.82788,                 0.8678,                0.72087,                0.65665,                0.39882,                  1.461,                0.08473,               0.003169,               0.003169,               0.003169,                      0,                0.69622,                 0.6856,                 0.6728,                0.50591,                0.68351,                0.42382,                0.18987,                0.44248,                0.54943,                0.41119,                0.11028,                0.64854,                      0,                  0.687,                0.67561,                0.66393,                0.48306,                0.68695,                0.45626,                  0.193,                0.44584,                0.53084,                0.41119,              -0.012784,                0.68681,              0.0079581,                      0,                0.66575,                0.58203,                0.31605,                0.48092,                0.26655,                0.73345,                0.73345,                      1
                     71,                0.64559,                 0.3974,                 1.3566,                 0.0778,                0.84144,                0.82784,                0.86788,                0.72181,                0.65653,                0.39858,                 1.4613,                0.08472,                0.00307,                0.00307,                0.00307,                      0,                0.69318,                0.68713,                0.67511,                0.50812,                0.68143,                0.42237,                0.18868,                0.44539,                0.55138,                0.41363,                0.10895,                0.64981,                      0,                 0.6867,                0.67903,                0.66701,                0.48579,                0.68586,                0.45406,                0.19235,                0.44656,                0.53542,                0.41363,              -0.013505,                0.68362,              0.0080211,                      0,                0.66878,                0.58362,                 0.3116,                0.48557,                0.27086,                0.72914,                0.72914,                      1
                     72,                0.64615,                0.39663,                 1.3569,                0.07695,                0.84231,                0.82732,                0.86758,                0.72152,                0.65651,                0.39857,                 1.4615,                0.08472,               0.002971,               0.002971,               0.002971,                      0,                0.69672,                0.68228,                0.67063,                0.50145,                0.68514,                0.43055,                 0.1882,                0.44475,                 0.5487,                0.41209,                0.10654,                0.65375,                      0,                0.68658,                0.67435,                 0.6635,                0.47885,                0.68719,                0.46066,                 0.1925,                0.44717,                 0.5297,                0.41209,              -0.014341,                0.68884,              0.0080946,                      0,                0.66098,                0.58005,                0.31622,                0.47982,                0.26942,                0.73058,                0.73058,                      1
