                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/object_reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/object_reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_gate_direction_loss,    p2/P3_ir_win_recall,p2/P3_object_balanced_loss,p2/P3_object_calibrated_loss,p2/P3_object_hard_winner_loss,p2/P3_object_prompt_accuracy,p2/P3_object_prompt_correlation,p2/P3_object_prompt_mae,p2/P3_object_prompt_rgb, p2/P3_object_rank_loss,p2/P3_object_target_rgb,p2/P3_prompt_residual_gain,   p2/P3_rgb_win_recall,p2/P4_gate_direction_loss,    p2/P4_ir_win_recall,p2/P4_object_balanced_loss,p2/P4_object_calibrated_loss,p2/P4_object_hard_winner_loss,p2/P4_object_prompt_accuracy,p2/P4_object_prompt_correlation,p2/P4_object_prompt_mae,p2/P4_object_prompt_rgb, p2/P4_object_rank_loss,p2/P4_object_target_rgb,p2/P4_prompt_residual_gain,   p2/P4_rgb_win_recall,p2/object_cross_scale_consistency,p2/object_gate_raw_loss,p2/object_prompt_raw_loss,  p2/teacher_ir_quality,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/teacher_rgb_win_rate, p2/teacher_ir_win_rate,p2/teacher_majority_baseline,p2/object_reliability_warmup_factor
                     11,                0.75342,                0.52762,                 1.3945,                0.08383,                0.76898,                0.77132,                0.80737,                0.64815,                0.70424,                 0.4763,                 1.4618,                0.08892,                0.00901,                0.00901,                0.00901,                      0,                0.66647,                0.68064,                0.66832,                0.56396,                0.65841,                0.37534,                0.17991,                0.45791,                0.60378,                0.41128,                0.02024,                0.63641,                      0,                0.65141,                 0.6731,                0.66132,                0.53226,                0.66106,                0.42306,                 0.1842,                0.45845,                0.56843,                0.41128,              0.0097066,                0.68739,                0.01012,                      0,                0.71989,                0.58568,                0.31684,                  0.484,                0.26814,                0.73186,                0.73186,                      1
                     12,                0.75114,                0.52311,                 1.3879,                0.08358,                0.70621,                0.72196,                0.73936,                0.58827,                0.73482,                0.51784,                 1.5307,                0.08838,               0.008911,               0.008911,               0.008911,                      0,                0.66177,                0.68432,                 0.6731,                0.55939,                0.65646,                0.37428,                0.18184,                0.46061,                 0.6027,                0.41254,               0.030307,                0.64208,                      0,                0.64693,                0.67684,                0.66644,                0.52923,                0.65934,                0.41785,                0.18716,                0.46215,                0.57526,                0.41254,               0.011264,                 0.6929,               0.010216,                      0,                0.71706,                0.58096,                0.31278,                0.48099,                0.26996,                0.73004,                0.73004,                      1
                     13,                0.74632,                0.51758,                 1.3941,                0.08355,                0.76606,                 0.7711,                 0.8155,                 0.6538,                0.70207,                0.47036,                 1.4702,                 0.0875,               0.008812,               0.008812,               0.008812,                      0,                0.67972,                0.68469,                0.66948,                0.56074,                0.66488,                 0.3788,                0.18173,                0.45226,                0.59848,                0.40976,               0.044841,                0.62333,                      0,                0.65572,                0.67543,                0.66185,                0.53135,                0.66286,                 0.4249,                0.18526,                0.45684,                0.57036,                0.40976,               0.011906,                0.68285,               0.010221,                      0,                0.71768,                 0.5842,                0.31812,                0.48102,                0.26312,                0.73688,                0.73688,                      1
                     14,                0.74359,                0.51859,                 1.3822,                0.08223,                0.74714,                0.78331,                0.79935,                0.64423,                0.70188,                0.47092,                  1.458,                0.08812,               0.008713,               0.008713,               0.008713,                      0,                0.67433,                0.68345,                0.67025,                0.54787,                0.66552,                0.39121,                0.18151,                0.45476,                0.58966,                0.41092,               0.051503,                  0.641,                      0,                0.65655,                0.67576,                0.66391,                0.52167,                0.66668,                0.43139,                0.18459,                0.45768,                0.56319,                0.41092,               0.013577,                0.69486,              0.0095584,                      0,                0.70617,                0.58655,                0.31289,                0.48549,                0.26434,                0.73566,                0.73566,                      1
                     15,                0.74097,                 0.5128,                 1.3868,                0.08206,                0.79326,                0.76384,                0.82333,                0.67051,                0.68961,                0.45454,                 1.4487,                0.08808,               0.008614,               0.008614,               0.008614,                      0,                0.68306,                0.68368,                0.67035,                0.54705,                0.66895,                 0.3882,                0.18349,                0.45055,                0.58527,                 0.4106,               0.061104,                0.62958,                      0,                0.65999,                0.67576,                0.66373,                0.52044,                0.66829,                0.43152,                0.18698,                0.45533,                0.56002,                 0.4106,               0.014876,                0.69146,              0.0098182,                      0,                0.70522,                 0.5856,                0.31765,                0.48426,                0.26381,                0.73619,                0.73619,                      1
                     16,                0.74091,                0.51231,                 1.3799,                0.08238,                0.78125,                0.77421,                0.81839,                0.66312,                0.69494,                0.45885,                 1.4783,                0.08718,               0.008515,               0.008515,               0.008515,                      0,                0.67594,                  0.684,                 0.6715,                0.55122,                0.66376,                0.38542,                 0.1837,                0.45452,                0.58076,                0.41236,               0.061128,                0.63051,                      0,                0.65471,                0.67538,                 0.6647,                0.52314,                0.66319,                0.42959,                0.18684,                0.45859,                0.55771,                0.41236,               0.011307,                0.68632,               0.009829,                      0,                0.70917,                0.58123,                0.31533,                0.48155,                0.26825,                0.73175,                0.73175,                      1
                     17,                 0.7375,                0.50541,                  1.382,                 0.0813,                0.77352,                0.80186,                0.83297,                0.67344,                0.69422,                0.45807,                 1.4426,                0.08668,               0.008416,               0.008416,               0.008416,                      0,                0.68339,                 0.6809,                0.66821,                0.53871,                0.66986,                0.39659,                0.18367,                0.45242,                0.58499,                0.41182,               0.067826,                0.63355,                      0,                0.66105,                 0.6733,                0.66104,                 0.5171,                0.66766,                0.43572,                0.18609,                0.45609,                0.55496,                0.41182,               0.012076,                0.68538,              0.0094937,                      0,                0.69796,                0.58096,                0.31421,                0.47986,                0.27155,                0.72845,                0.72845,                      1
                     18,                0.73055,                0.50016,                 1.3698,                0.08112,                0.78153,                0.78871,                0.83208,                0.67306,                0.69414,                0.45461,                 1.4589,                0.08672,               0.008317,               0.008317,               0.008317,                      0,                0.68963,                0.68073,                0.66442,                 0.5399,                0.67413,                0.40333,                0.18281,                0.44807,                0.57491,                0.40969,               0.073306,                0.63112,                      0,                0.66806,                0.67295,                 0.6581,                 0.5161,                 0.6725,                0.43943,                0.18598,                0.45402,                0.55533,                0.40969,               0.011597,                0.68481,              0.0091377,                      0,                0.69754,                 0.5827,                0.32068,                0.47864,                0.26495,                0.73505,                0.73505,                      1
                     19,                0.73035,                0.49903,                 1.3772,                 0.0811,                0.75519,                0.77912,                0.80464,                0.65218,                0.70007,                0.46714,                 1.4741,                0.08751,               0.008218,               0.008218,               0.008218,                      0,                0.68775,                0.68349,                0.66762,                 0.5379,                0.67382,                 0.4001,                0.18442,                0.44871,                0.58235,                0.41019,               0.080873,                0.63563,                      0,                 0.6683,                0.67448,                0.65978,                0.51364,                0.67372,                0.44207,                0.18606,                0.45413,                0.55931,                0.41019,               0.010591,                0.68859,              0.0093346,                      0,                0.69606,                0.58532,                0.31768,                0.48241,                0.26725,                0.73275,                0.73275,                      1
                     20,                0.72866,                0.49701,                 1.3739,                0.08122,                0.80601,                0.77019,                0.83317,                0.67711,                 0.6842,                0.44342,                 1.4649,                0.08667,               0.008119,               0.008119,               0.008119,                      0,                 0.6779,                0.68254,                 0.6709,                  0.538,                0.66711,                0.39353,                0.18511,                0.45375,                  0.584,                0.41197,               0.087844,                0.63782,                      0,                0.65716,                0.67471,                0.66342,                0.51407,                0.66636,                0.43845,                0.18715,                0.45898,                0.55745,                0.41197,              0.0085216,                0.69132,              0.0091511,                      0,                0.69713,                0.58195,                0.31557,                0.48117,                0.26921,                0.73079,                0.73079,                      1
