                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss,  train/rgb_prompt_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,    val/rgb_prompt_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,  p2/P3_rgb_prompt_mean,   p2/P3_rgb_prompt_mse,   p2/P3_rgb_prompt_std,p2/P4_gder_attention_weight,p2/P4_gder_modality_weight,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,  p2/P4_rgb_prompt_mean,   p2/P4_rgb_prompt_mse,   p2/P4_rgb_prompt_std,p2/P5_gder_attention_weight,p2/P5_gder_modality_weight,p2/prompt_warmup_factor
                     12,                 0.7399,                0.51764,                 1.3843,                0.03561,                0.00045,                0.78376,                0.76546,                0.81171,                0.66355,                0.69164,                0.47135,                 1.4563,                0.03368,                 0.0004,               0.008911,               0.008911,               0.008911,                0.09002,                0.35428,                 0.4443,                 0.1009,                0.13084,                  0.517,               0.045215,              0.0022671,                0.50001,                0.49999,                0.10506,                0.33744,                 0.4425,                0.11547,                  0.123,                0.51525,               0.045253,              0.0073062,                0.50002,                0.49998,                      1
                     13,                0.73539,                0.51701,                 1.3841,                0.03493,                0.00045,                0.77614,                0.77628,                0.81476,                0.66532,                0.69249,                0.46185,                 1.4617,                0.03305,                 0.0004,               0.008812,               0.008812,               0.008812,                0.07824,                0.37276,                  0.451,               0.089756,                0.13487,                0.51734,               0.045005,              0.0021098,                0.50001,                0.49999,               0.089258,                0.36654,                0.45579,                0.10064,                0.12827,                0.51493,               0.045057,              0.0068679,                0.50002,                0.49998,                      1
                     14,                0.73111,                0.51189,                 1.3811,                0.03418,                0.00045,                0.77101,                 0.7629,                 0.8001,                0.65777,                0.68535,                0.46438,                  1.471,                0.03244,                 0.0004,               0.008713,               0.008713,               0.008713,               0.069811,                 0.3873,                0.45711,               0.081706,                0.13722,                  0.518,                0.04507,              0.0019691,                0.50001,                0.49999,               0.077285,                 0.3895,                0.46678,               0.089317,                0.13242,                0.51493,               0.045105,               0.006424,                0.50002,                0.49998,                      1
                     15,                0.73099,                0.50803,                 1.3835,                0.03368,                0.00045,                0.81002,                 0.7691,                0.82731,                0.68076,                 0.6846,                0.45769,                 1.4626,                0.03206,                 0.0004,               0.008614,               0.008614,               0.008614,                0.06543,                0.39543,                0.46086,                 0.0775,                0.13885,                0.51804,               0.044705,              0.0018192,                0.50001,                0.49999,                0.06752,                0.40966,                0.47718,               0.080096,                0.13597,                0.51472,               0.044746,              0.0060107,                0.50002,                0.49998,                      1
                     16,                 0.7266,                0.50134,                 1.3774,                0.03311,                0.00045,                  0.799,                0.78461,                 0.8326,                0.68318,                0.67914,                0.45157,                 1.4443,                0.03138,                 0.0004,               0.008515,               0.008515,               0.008515,               0.061974,                 0.4035,                0.46547,               0.074318,                 0.1404,                0.51832,               0.044703,              0.0016835,                0.50001,                0.49999,               0.059278,                0.42651,                0.48578,                0.07239,                  0.139,                0.51473,                0.04476,              0.0056537,                0.50002,                0.49998,                      1
                     17,                 0.7242,                0.50064,                 1.3818,                0.03286,                0.00045,                0.73448,                0.78011,                0.79156,                0.64207,                0.70347,                0.47875,                 1.5031,                0.03134,                 0.0004,               0.008416,               0.008416,               0.008416,               0.058938,                0.40389,                0.46283,               0.071338,                0.14062,                 0.5188,               0.044656,              0.0015644,                0.50001,                0.49999,               0.050292,                0.43764,                0.48794,               0.063797,                0.14117,                0.51485,               0.044696,              0.0052656,                0.50002,                0.49998,                      1
                     18,                0.71862,                0.49576,                 1.3747,                0.03268,                0.00045,                0.75796,                0.78197,                0.81789,                0.66671,                 0.6909,                0.46469,                 1.4654,                0.03077,                 0.0004,               0.008317,               0.008317,               0.008317,               0.057094,                0.40539,                0.46249,               0.069709,                0.14101,                0.51874,               0.045313,              0.0014567,                0.50001,                0.49999,               0.045317,                 0.4464,                0.49172,               0.059291,                0.14353,                0.51477,               0.045301,              0.0049406,                0.50002,                0.49998,                      1
                     19,                0.71765,                0.49294,                 1.3814,                0.03253,                0.00045,                0.81563,                0.77208,                 0.8344,                0.68733,                0.68323,                0.44743,                  1.465,                0.03059,                 0.0004,               0.008218,               0.008218,               0.008218,               0.054985,                0.40652,                0.46151,               0.067561,                0.14139,                0.51874,               0.045096,               0.001366,                0.50001,                0.49999,               0.041273,                0.45384,                0.49511,               0.055393,                0.14395,                0.51473,               0.045084,              0.0045956,                0.50003,                0.49997,                      1
                     20,                0.71815,                0.49358,                 1.3748,                0.03194,                0.00045,                0.80357,                0.79028,                0.83839,                0.69063,                 0.6779,                0.44586,                 1.4314,                0.03024,                 0.0004,               0.008119,               0.008119,               0.008119,                0.05357,                0.41443,                  0.468,               0.066168,                 0.1418,                0.51912,               0.044675,              0.0012709,                0.50002,                0.49998,               0.038435,                0.46423,                0.50267,               0.052625,                 0.1441,                0.51496,               0.044682,              0.0043451,                0.50003,                0.49997,                      1
                     21,                0.71716,                0.48948,                 1.3769,                0.03164,                0.00045,                0.80561,                0.79759,                0.84505,                0.69466,                0.67742,                0.43632,                 1.4815,                0.02996,                 0.0004,                0.00802,                0.00802,                0.00802,               0.052033,                0.41519,                0.46722,               0.064521,                0.14067,                0.51909,               0.044846,              0.0011952,                0.50002,                0.49998,               0.037256,                0.46961,                0.50686,               0.051458,                0.14455,                0.51501,                0.04487,              0.0040925,                0.50003,                0.49997,                      1
                     22,                0.70873,                 0.4862,                  1.374,                0.03167,                0.00045,                0.81186,                0.79746,                 0.8403,                0.69582,                0.66853,                0.43234,                 1.4517,                0.02992,                 0.0004,               0.007921,               0.007921,               0.007921,               0.051427,                0.41883,                0.47026,                 0.0643,                0.14265,                0.51905,               0.044872,              0.0011224,                0.50002,                0.49998,               0.036594,                0.47404,                0.51063,                0.05124,                0.14605,                0.51508,                0.04488,              0.0038642,                0.50003,                0.49997,                      1
                     23,                0.71161,                0.48539,                 1.3841,                0.03144,                0.00045,                0.82486,                 0.8139,                0.85548,                 0.7092,                0.66753,                0.42993,                 1.4452,                0.02975,                 0.0004,               0.007822,               0.007822,               0.007822,               0.050142,                0.41829,                0.46843,               0.062739,                0.14151,                0.51865,                0.04478,              0.0010457,                0.50002,                0.49998,               0.035426,                0.47465,                0.51007,               0.049801,                0.14477,                0.51492,               0.044792,               0.003643,                0.50003,                0.49997,                      1
                     24,                0.70804,                0.48329,                 1.3769,                0.03148,                0.00045,                0.81054,                0.80137,                0.84614,                0.70077,                0.66729,                0.42969,                 1.4402,                0.02956,                 0.0004,               0.007723,               0.007723,               0.007723,                0.04912,                0.42112,                0.47024,               0.062066,                0.14258,                0.51851,               0.044994,             0.00098316,                0.50002,                0.49998,               0.034691,                0.47839,                0.51308,               0.049463,                0.14574,                0.51491,               0.045003,              0.0034325,                0.50003,                0.49997,                      1
                     25,                0.70505,                0.47376,                 1.3755,                0.03148,                0.00045,                0.82224,                0.81582,                0.85427,                0.70821,                0.66536,                0.42575,                 1.4382,                0.02934,                 0.0004,               0.007624,               0.007624,               0.007624,               0.048859,                0.42311,                0.47197,               0.061969,                0.14341,                0.51852,               0.044676,             0.00092045,                0.50002,                0.49998,                0.03428,                 0.4795,                0.51378,               0.049226,                0.14652,                0.51502,               0.044686,              0.0032335,                0.50003,                0.49997,                      1
                     26,                0.70176,                0.47238,                  1.377,                 0.0309,                0.00045,                0.80532,                0.81033,                0.84536,                  0.703,                0.66382,                0.42557,                 1.4405,                0.02935,                 0.0004,               0.007525,               0.007525,               0.007525,               0.047803,                0.42835,                0.47615,               0.060805,                0.14284,                0.51833,               0.044719,             0.00086855,                0.50003,                0.49997,               0.033838,                0.48622,                0.52006,                0.04868,                0.14623,                0.51503,                0.04471,               0.003003,                0.50003,                0.49997,                      1
                     27,                0.69687,                0.47156,                 1.3701,                0.03128,                0.00045,                0.80909,                0.79405,                0.84808,                0.70414,                0.66504,                0.42814,                 1.4643,                0.02928,                 0.0004,               0.007426,               0.007426,               0.007426,               0.047956,                0.42404,                  0.472,               0.061126,                0.14362,                0.51833,                0.04482,             0.00081027,                0.50003,                0.49997,               0.033676,                0.48265,                0.51632,               0.048756,                0.14658,                 0.5151,               0.044814,              0.0028269,                0.50003,                0.49997,                      1
                     28,                0.69802,                0.46892,                 1.3701,                0.03094,                0.00045,                0.82202,                0.82087,                0.86421,                  0.717,                0.66216,                 0.4216,                 1.4348,                0.02917,                 0.0004,               0.007327,               0.007327,               0.007327,                0.04705,                0.42749,                0.47454,               0.060097,                0.14319,                 0.5183,               0.044973,             0.00076804,                0.50003,                0.49997,                0.03324,                0.48887,                0.52211,               0.048241,                0.14657,                0.51515,               0.044961,              0.0026593,                0.50003,                0.49997,                      1
                     29,                0.69818,                0.46871,                 1.3772,                0.03082,                0.00045,                0.82269,                0.80656,                0.85454,                0.71058,                0.65968,                0.41757,                 1.4487,                 0.0291,                 0.0004,               0.007228,               0.007228,               0.007228,               0.046062,                 0.4293,                0.47536,               0.059105,                0.14278,                0.51801,               0.045002,             0.00072522,                0.50003,                0.49997,               0.032801,                0.48771,                0.52052,               0.047693,                0.14595,                0.51511,               0.044999,              0.0025023,                0.50004,                0.49996,                      1
                     30,                0.69544,                0.46654,                 1.3692,                0.03074,                0.00045,                0.81825,                0.81231,                0.85158,                0.70946,                0.65985,                0.41608,                  1.455,                0.02895,                 0.0004,               0.007129,               0.007129,               0.007129,               0.046135,                0.43135,                0.47748,               0.059252,                0.14315,                0.51788,               0.045107,             0.00068694,                0.50003,                0.49997,               0.032817,                0.48779,                0.52061,               0.047734,                0.14567,                0.51508,               0.045119,              0.0023543,                0.50004,                0.49996,                      1
                     31,                0.69902,                0.46806,                 1.3755,                0.03073,                0.00045,                 0.8171,                0.82643,                0.86238,                0.71584,                0.66009,                0.41686,                 1.4579,                0.02889,                 0.0004,                0.00703,                0.00703,                0.00703,               0.044897,                 0.4294,                 0.4743,               0.057963,                0.14296,                0.51811,               0.044935,              0.0006459,                0.50004,                0.49996,               0.031871,                0.48727,                0.51914,               0.046768,                0.14553,                0.51529,               0.044963,              0.0022103,                0.50004,                0.49996,                      1
                     32,                0.69287,                0.46133,                 1.3742,                0.03067,                0.00045,                0.81453,                0.82421,                0.86088,                0.71836,                0.65785,                0.41219,                 1.4433,                 0.0288,                 0.0004,               0.006931,               0.006931,               0.006931,                0.04606,                0.43185,                0.47791,               0.059258,                0.14385,                0.51821,               0.044821,             0.00060284,                0.50004,                0.49996,               0.032625,                0.49135,                0.52397,               0.047744,                0.14663,                0.51538,               0.044832,              0.0020892,                0.50004,                0.49996,                      1
