                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/object_reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/object_reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_gate_direction_loss,    p2/P3_ir_win_recall,p2/P3_object_balanced_loss,p2/P3_object_calibrated_loss,p2/P3_object_hard_winner_loss,p2/P3_object_prompt_accuracy,p2/P3_object_prompt_correlation,p2/P3_object_prompt_mae,p2/P3_object_prompt_rgb, p2/P3_object_rank_loss,p2/P3_object_target_rgb,   p2/P3_rgb_win_recall,p2/P4_gate_direction_loss,    p2/P4_ir_win_recall,p2/P4_object_balanced_loss,p2/P4_object_calibrated_loss,p2/P4_object_hard_winner_loss,p2/P4_object_prompt_accuracy,p2/P4_object_prompt_correlation,p2/P4_object_prompt_mae,p2/P4_object_prompt_rgb, p2/P4_object_rank_loss,p2/P4_object_target_rgb,   p2/P4_rgb_win_recall,p2/P5_gate_direction_loss,    p2/P5_ir_win_recall,p2/P5_object_balanced_loss,p2/P5_object_calibrated_loss,p2/P5_object_hard_winner_loss,p2/P5_object_prompt_accuracy,p2/P5_object_prompt_correlation,p2/P5_object_prompt_mae,p2/P5_object_prompt_rgb, p2/P5_object_rank_loss,p2/P5_object_target_rgb,   p2/P5_rgb_win_recall,p2/object_cross_scale_consistency,p2/object_gate_raw_loss,p2/object_prompt_raw_loss,  p2/teacher_ir_quality,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/teacher_rgb_win_rate, p2/teacher_ir_win_rate,p2/teacher_majority_baseline,p2/object_reliability_warmup_factor
                     11,                0.75299,                 0.5273,                 1.3956,                0.09801,                0.78095,                0.76282,                0.80459,                 0.6426,                0.70837,                0.47662,                 1.4797,                0.10411,                0.00901,                0.00901,                0.00901,                      0,                0.66929,                0.68041,                0.66814,                0.56466,                0.65818,                0.37495,                0.17968,                0.45698,                0.60485,                0.41128,                0.62786,                      0,                0.65292,                0.67359,                0.66188,                0.53165,                0.66216,                0.42272,                0.18488,                0.45822,                0.56913,                0.41128,                0.68736,                      0,                0.70881,                0.68077,                0.66622,                0.56272,                0.68138,                0.36453,                0.18165,                0.45881,                0.59418,                0.41128,                0.60651,               0.017078,                      0,                0.84171,                0.58568,                0.31684,                  0.484,                0.26814,                0.73186,                0.73186,                      1
                     12,                 0.7515,                 0.5227,                 1.3867,                0.09761,                 0.7516,                0.76453,                0.79044,                0.63283,                0.71058,                0.48288,                 1.4758,                0.10318,               0.008911,               0.008911,               0.008911,                      0,                0.66479,                0.68374,                0.67277,                0.55999,                0.65705,                0.37221,                0.18163,                0.45971,                0.60471,                0.41254,                0.63612,                      0,                0.64427,                 0.6768,                0.66646,                0.52847,                0.65859,                0.41848,                0.18732,                0.46247,                0.57349,                0.41254,                0.69731,                      0,                 0.7083,                0.68392,                0.67026,                0.55374,                0.68348,                0.36608,                0.18316,                0.46127,                0.59596,                0.41254,                0.61635,               0.017209,                      0,                0.83737,                0.58096,                0.31278,                0.48099,                0.26996,                0.73004,                0.73004,                      1
                     13,                 0.7459,                0.51782,                 1.3918,                0.09739,                  0.768,                0.77611,                0.81179,                0.65163,                0.70334,                0.47197,                 1.4802,                 0.1033,               0.008812,               0.008812,               0.008812,                      0,                0.68092,                0.68521,                0.67023,                0.55937,                0.66558,                0.37837,                0.18213,                 0.4516,                0.59875,                0.40976,                0.62263,                      0,                0.65361,                0.67564,                0.66271,                0.52996,                0.66221,                0.42352,                0.18669,                0.45677,                0.56802,                0.40976,                0.68629,                      0,                0.71514,                0.68454,                0.66893,                0.55267,                0.68803,                0.37144,                0.18522,                0.45562,                0.59223,                0.40976,                0.61209,               0.016872,                      0,                0.83648,                 0.5842,                0.31812,                0.48102,                0.26312,                0.73688,                0.73688,                      1
                     14,                0.74351,                 0.5178,                 1.3857,                0.09585,                0.75043,                0.77423,                0.79868,                0.64484,                0.69863,                0.46912,                 1.4534,                0.10237,               0.008713,               0.008713,               0.008713,                      0,                0.67793,                0.68322,                0.67045,                0.54639,                0.66773,                 0.3903,                0.18164,                0.45396,                0.58878,                0.41092,                0.63935,                      0,                0.65715,                0.67572,                0.66403,                0.52127,                0.66783,                 0.4304,                0.18512,                0.45757,                0.56318,                0.41092,                0.69757,                      0,                0.71525,                0.68515,                0.66982,                0.54043,                0.69052,                0.38667,                  0.184,                0.45646,                0.58121,                0.41092,                0.62167,               0.016356,                      0,                0.82308,                0.58655,                0.31289,                0.48549,                0.26434,                0.73566,                0.73566,                      1
                     15,                0.74093,                0.51207,                 1.3863,                0.09558,                0.78361,                0.78175,                 0.8251,                 0.6693,                0.68962,                0.45209,                 1.4765,                 0.1031,               0.008614,               0.008614,               0.008614,                      0,                0.68338,                0.68381,                0.67095,                0.54477,                 0.6694,                0.38996,                0.18357,                0.44996,                0.58542,                 0.4106,                0.63036,                      0,                0.65957,                0.67636,                0.66393,                0.52127,                0.66796,                0.43028,                0.18775,                0.45541,                0.55931,                 0.4106,                0.69137,                      0,                0.72054,                0.68601,                0.67069,                0.53541,                 0.6937,                0.38955,                0.18703,                0.45166,                0.57505,                 0.4106,                 0.6188,               0.016917,                      0,                0.82127,                 0.5856,                0.31765,                0.48426,                0.26381,                0.73619,                0.73619,                      1
                     16,                0.73968,                  0.511,                 1.3839,                0.09586,                0.76474,                 0.7697,                0.80086,                0.64901,                0.69709,                0.46481,                 1.4851,                0.10222,               0.008515,               0.008515,               0.008515,                      0,                0.67583,                0.68375,                0.67128,                0.54906,                0.66405,                0.38781,                0.18346,                0.45362,                 0.5804,                0.41236,                0.63193,                      0,                0.65704,                0.67608,                0.66505,                0.52145,                0.66484,                0.42983,                0.18769,                0.45799,                0.55674,                0.41236,                0.68614,                      0,                0.71452,                0.68801,                0.67504,                0.53837,                0.68964,                0.38528,                 0.1883,                0.45619,                0.57274,                0.41236,                0.62175,                0.01658,                      0,                0.82501,                0.58123,                0.31533,                0.48155,                0.26825,                0.73175,                0.73175,                      1
                     17,                0.73695,                0.50574,                 1.3869,                0.09461,                0.77165,                 0.8044,                0.83241,                0.67261,                0.69406,                  0.452,                 1.4832,                0.10147,               0.008416,               0.008416,               0.008416,                      0,                0.68308,                0.68054,                0.66849,                0.53682,                0.67005,                0.39717,                0.18405,                0.45222,                0.58442,                0.41182,                0.63509,                      0,                0.66143,                0.67325,                0.66135,                0.51476,                0.66889,                0.43647,                0.18734,                0.45631,                0.55513,                0.41182,                0.68889,                      0,                0.71414,                0.68447,                0.66959,                0.52991,                0.69127,                0.39621,                0.18888,                 0.4534,                0.56828,                0.41182,                0.62991,               0.015812,                      0,                0.81221,                0.58096,                0.31421,                0.47986,                0.27155,                0.72845,                0.72845,                      1
                     18,                0.73037,                0.49949,                 1.3732,                0.09439,                0.80201,                0.76905,                0.83184,                0.67291,                0.69171,                0.44782,                 1.4635,                0.10238,               0.008317,               0.008317,               0.008317,                      0,                0.68636,                0.68146,                0.66543,                0.53806,                0.67249,                0.40371,                0.18356,                0.44795,                0.57461,                0.40969,                  0.634,                      0,                0.66505,                0.67246,                0.65797,                0.51435,                0.67155,                 0.4413,                0.18674,                0.45421,                0.55418,                0.40969,                0.68961,                      0,                0.72151,                 0.6842,                0.66695,                0.52572,                0.69601,                0.40122,                0.18856,                0.44988,                0.57002,                0.40969,                0.62529,               0.015877,                      0,                 0.8113,                 0.5827,                0.32068,                0.47864,                0.26495,                0.73505,                0.73505,                      1
                     19,                0.72976,                0.49857,                 1.3784,                0.09441,                0.78821,                0.78266,                0.82541,                0.67118,                0.68904,                0.45103,                 1.4608,                0.10231,               0.008218,               0.008218,               0.008218,                      0,                0.68797,                0.68351,                0.66785,                0.53648,                0.67387,                0.39996,                0.18484,                0.44792,                0.58111,                0.41019,                0.63521,                      0,                0.66601,                0.67357,                0.65968,                0.51301,                0.67252,                0.44252,                0.18688,                0.45405,                0.55815,                0.41019,                0.69038,                      0,                0.71672,                0.68561,                0.66878,                0.52523,                0.69435,                0.40327,                0.19013,                0.45039,                0.57184,                0.41019,                0.63301,               0.015417,                      0,                0.81034,                0.58532,                0.31768,                0.48241,                0.26725,                0.73275,                0.73275,                      1
                     20,                0.72775,                 0.4963,                 1.3763,                0.09434,                0.77542,                0.79266,                0.82449,                0.67067,                0.68525,                0.44628,                 1.4882,                  0.102,               0.008119,               0.008119,               0.008119,                      0,                0.67854,                0.68181,                0.67076,                 0.5358,                0.66697,                0.39429,                0.18528,                0.45312,                0.58261,                0.41197,                0.63558,                      0,                0.65848,                0.67486,                0.66368,                 0.5119,                0.66763,                0.43827,                0.18806,                0.45841,                0.55461,                0.41197,                0.69244,                      0,                0.71191,                 0.6862,                0.67203,                0.52238,                0.69162,                0.40324,                0.19059,                0.45451,                0.56355,                0.41197,                0.63653,               0.015605,                      0,                   0.81,                0.58195,                0.31557,                0.48117,                0.26921,                0.73079,                0.73079,                      1
