                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/object_reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/object_reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_gate_direction_loss,    p2/P3_ir_win_recall,p2/P3_object_balanced_loss,p2/P3_object_calibrated_loss,p2/P3_object_hard_winner_loss,p2/P3_object_prompt_accuracy,p2/P3_object_prompt_correlation,p2/P3_object_prompt_mae,p2/P3_object_prompt_rgb, p2/P3_object_rank_loss,p2/P3_object_target_rgb,   p2/P3_rgb_win_recall,p2/P4_gate_direction_loss,    p2/P4_ir_win_recall,p2/P4_object_balanced_loss,p2/P4_object_calibrated_loss,p2/P4_object_hard_winner_loss,p2/P4_object_prompt_accuracy,p2/P4_object_prompt_correlation,p2/P4_object_prompt_mae,p2/P4_object_prompt_rgb, p2/P4_object_rank_loss,p2/P4_object_target_rgb,p2/P4_prompt_residual_gain,   p2/P4_rgb_win_recall,p2/object_cross_scale_consistency,p2/object_gate_raw_loss,p2/object_prompt_raw_loss,  p2/teacher_ir_quality,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/teacher_rgb_win_rate, p2/teacher_ir_win_rate,p2/teacher_majority_baseline,p2/object_reliability_warmup_factor
                     11,                0.75366,                0.52746,                 1.3923,                0.08357,                0.74104,                0.74239,                0.77082,                0.61237,                0.72592,                0.50859,                 1.4958,                0.08982,                0.00901,                0.00901,                0.00901,                      0,                0.66955,                0.68084,                0.66803,                0.56153,                0.65994,                0.37846,                0.18032,                0.45626,                0.59931,                0.41128,                0.63372,                      0,                0.64951,                0.67321,                0.66143,                 0.5314,                0.65941,                0.42437,                0.18429,                0.45882,                0.56803,                0.41128,              0.0094131,                0.68644,               0.010071,                      0,                0.71795,                0.58568,                0.31684,                  0.484,                0.26814,                0.73186,                0.73186,                      1
                     12,                 0.7513,                0.52341,                 1.3874,                0.08344,                0.75569,                0.76269,                0.80263,                0.64175,                0.70645,                0.47532,                 1.4688,                 0.0872,               0.008911,               0.008911,               0.008911,                      0,                0.66353,                0.68386,                0.67281,                0.55783,                0.65746,                0.37491,                0.18236,                0.46021,                0.59883,                0.41254,                0.64104,                      0,                0.64112,                0.67736,                0.66659,                0.52994,                0.65627,                0.41896,                0.18713,                 0.4631,                0.57436,                0.41254,              0.0086409,                0.69724,                0.01023,                      0,                0.71622,                0.58096,                0.31278,                0.48099,                0.26996,                0.73004,                0.73004,                      1
                     13,                  0.746,                0.51799,                 1.3926,                0.08331,                0.76138,                0.76842,                0.80733,                0.64853,                0.70418,                0.47325,                 1.4609,                0.08702,               0.008812,               0.008812,               0.008812,                      0,                0.68066,                0.68473,                0.66976,                0.55755,                0.66622,                0.38123,                0.18249,                0.45154,                 0.5948,                0.40976,                0.62581,                      0,                0.65214,                0.67697,                0.66348,                0.53159,                0.66144,                0.42369,                0.18665,                0.45703,                 0.5703,                0.40976,               0.010403,                0.68748,               0.010042,                      0,                0.71581,                 0.5842,                0.31812,                0.48102,                0.26312,                0.73688,                0.73688,                      1
                     14,                0.74358,                0.51917,                 1.3827,                0.08208,                 0.7701,                0.76357,                0.79541,                0.64424,                0.70008,                0.46978,                 1.4684,                 0.0876,               0.008713,               0.008713,               0.008713,                      0,                0.67422,                0.68356,                 0.6711,                0.54584,                0.66637,                0.39088,                0.18196,                0.45406,                0.58651,                0.41092,                0.64453,                      0,                0.65096,                0.67658,                0.66455,                0.52194,                0.66416,                0.43202,                0.18523,                0.45904,                0.56252,                0.41092,                0.01131,                0.70089,              0.0096011,                      0,                 0.7051,                0.58655,                0.31289,                0.48549,                0.26434,                0.73566,                0.73566,                      1
                     15,                0.74049,                0.51246,                 1.3855,                 0.0819,                0.76335,                0.78529,                0.81016,                0.65428,                0.69363,                0.46126,                 1.4725,                0.08761,               0.008614,               0.008614,               0.008614,                      0,                0.68131,                0.68386,                0.67099,                0.54422,                0.66842,                0.39065,                0.18394,                0.45012,                 0.5832,                 0.4106,                0.63244,                      0,                0.65684,                0.67662,                0.66449,                0.52187,                0.66638,                0.42996,                0.18773,                0.45612,                 0.5583,                 0.4106,               0.014127,                  0.693,              0.0098559,                      0,                0.70398,                 0.5856,                0.31765,                0.48426,                0.26381,                0.73619,                0.73619,                      1
                     16,                 0.7398,                0.51164,                 1.3824,                0.08212,                0.75146,                 0.7865,                 0.8074,                0.65261,                0.70078,                0.46389,                 1.5129,                0.08646,               0.008515,               0.008515,               0.008515,                      0,                 0.6742,                0.68415,                  0.672,                0.54835,                0.66368,                0.38744,                0.18444,                0.45377,                0.57823,                0.41236,                0.63498,                      0,                0.65066,                0.67572,                0.66508,                0.52181,                0.66186,                0.43067,                0.18772,                 0.4589,                0.55817,                0.41236,               0.012425,                0.69243,              0.0095923,                      0,                0.70693,                0.58123,                0.31533,                0.48155,                0.26825,                0.73175,                0.73175,                      1
                     17,                0.73725,                0.50607,                  1.384,                0.08109,                0.76946,                0.79497,                0.82406,                 0.6648,                0.69671,                0.46278,                 1.4541,                0.08719,               0.008416,               0.008416,               0.008416,                      0,                0.68031,                0.68135,                0.66945,                0.53576,                0.66896,                0.39751,                0.18497,                0.45215,                0.58296,                0.41182,                 0.6385,                      0,                0.65252,                0.67424,                0.66271,                0.51636,                0.66425,                0.43596,                0.18799,                0.45754,                0.55591,                0.41182,               0.015801,                0.69571,              0.0094784,                      0,                0.69609,                0.58096,                0.31421,                0.47986,                0.27155,                0.72845,                0.72845,                      1
                     18,                0.73209,                0.50162,                 1.3711,                0.08098,                0.79981,                0.78413,                 0.8339,                0.67647,                 0.6912,                0.45078,                 1.4603,                0.08727,               0.008317,               0.008317,               0.008317,                      0,                0.68478,                0.68084,                0.66504,                0.53787,                 0.6723,                0.40472,                0.18365,                0.44862,                0.57274,                0.40969,                0.63768,                      0,                0.66176,                0.67408,                0.65909,                0.51651,                0.66942,                0.43973,                0.18696,                0.45403,                0.55369,                0.40969,               0.016562,                0.69066,              0.0091155,                      0,                0.69651,                 0.5827,                0.32068,                0.47864,                0.26495,                0.73505,                0.73505,                      1
                     19,                 0.7301,                0.49857,                 1.3767,                0.08089,                0.79399,                0.78881,                0.82712,                0.67394,                0.69007,                 0.4484,                 1.4595,                0.08684,               0.008218,               0.008218,               0.008218,                      0,                0.68606,                 0.6831,                  0.668,                0.53494,                 0.6735,                0.40204,                0.18504,                0.44887,                0.57864,                0.41019,                0.63907,                      0,                0.66101,                0.67501,                0.66058,                0.51496,                0.67013,                0.44144,                0.18706,                0.45496,                0.55694,                0.41019,               0.016681,                0.69511,              0.0093306,                      0,                0.69466,                0.58532,                0.31768,                0.48241,                0.26725,                0.73275,                0.73275,                      1
                     20,                0.72849,                 0.4989,                 1.3722,                0.08106,                0.78651,                0.78221,                0.82231,                0.66763,                0.68869,                0.44739,                 1.4695,                0.08655,               0.008119,               0.008119,               0.008119,                      0,                0.67683,                0.68234,                0.67123,                0.53558,                0.66613,                0.39582,                0.18554,                0.45329,                0.58128,                0.41197,                0.63707,                      0,                0.64969,                0.67586,                0.66439,                0.51448,                0.66312,                 0.4384,                0.18829,                0.45989,                0.55921,                0.41197,               0.016808,                0.69958,               0.009075,                      0,                0.69578,                0.58195,                0.31557,                0.48117,                0.26921,                0.73079,                0.73079,                      1
                     21,                0.72833,                0.49385,                 1.3725,                 0.0805,                0.79799,                 0.7783,                0.83082,                0.67392,                0.69218,                0.45375,                 1.4829,                0.08663,                0.00802,                0.00802,                0.00802,                      0,                0.68412,                0.68271,                0.67015,                0.53206,                0.67177,                0.40314,                0.18647,                0.45116,                0.57173,                0.41286,                0.63895,                      0,                0.66019,                0.67626,                0.66384,                0.51144,                0.66944,                0.44023,                0.18914,                0.45631,                0.54881,                0.41286,               0.018647,                0.69401,              0.0088982,                      0,                 0.6922,                0.57717,                0.31643,                0.47805,                 0.2735,                 0.7265,                 0.7265,                      1
                     22,                 0.7228,                0.49184,                 1.3765,                0.08064,                0.77136,                0.78614,                 0.8186,                0.66743,                0.68219,                0.44549,                 1.4528,                0.08612,               0.007921,               0.007921,               0.007921,                      0,                 0.6836,                0.68268,                0.66963,                0.53294,                0.67354,                0.40509,                0.18336,                0.45052,                0.56962,                0.41166,                 0.6458,                      0,                0.66206,                0.67627,                0.66335,                0.51389,                 0.6711,                0.44056,                 0.1866,                0.45455,                0.55495,                0.41166,               0.018239,                0.69604,              0.0087678,                      0,                0.69347,                0.58783,                0.31497,                0.48757,                0.26605,                0.73395,                0.73395,                      1
                     23,                0.72398,                0.49038,                 1.3802,                0.08098,                0.80784,                0.80279,                0.84271,                0.68867,                 0.6812,                0.43694,                 1.4716,                0.08619,               0.007822,               0.007822,               0.007822,                      0,                0.68651,                0.68588,                0.67233,                0.53496,                 0.6732,                 0.3982,                0.18603,                0.44888,                0.58153,                0.41033,                0.63671,                      0,                 0.6656,                0.67822,                0.66526,                0.51251,                0.67251,                0.43491,                0.18887,                0.45281,                0.55966,                0.41033,               0.018676,                0.69143,              0.0091024,                      0,                0.69497,                0.58385,                0.31669,                 0.4814,                0.26724,                0.73276,                0.73276,                      1
                     24,                0.72087,                0.48775,                 1.3763,                0.08007,                0.81993,                0.77518,                0.84355,                0.69107,                 0.6777,                0.43603,                  1.456,                0.08604,               0.007723,               0.007723,               0.007723,                      0,                0.67915,                0.68424,                0.67368,                0.52538,                0.67011,                0.40445,                0.18713,                 0.4508,                0.57403,                0.41155,                0.64506,                      0,                0.65902,                0.67682,                0.66674,                 0.5061,                0.66865,                0.44034,                 0.1892,                0.45507,                0.56039,                0.41155,               0.018594,                0.69535,              0.0090889,                      0,                 0.6868,                0.58422,                 0.3137,                0.48391,                0.26505,                0.73495,                0.73495,                      1
