                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/object_reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/object_reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_gate_direction_loss,    p2/P3_ir_win_recall,p2/P3_object_balanced_loss,p2/P3_object_calibrated_loss,p2/P3_object_hard_winner_loss,p2/P3_object_prompt_accuracy,p2/P3_object_prompt_correlation,p2/P3_object_prompt_mae,p2/P3_object_prompt_rgb, p2/P3_object_rank_loss,p2/P3_object_target_rgb,p2/P3_prompt_residual_gain,   p2/P3_rgb_win_recall,p2/P4_gate_direction_loss,    p2/P4_ir_win_recall,p2/P4_object_balanced_loss,p2/P4_object_calibrated_loss,p2/P4_object_hard_winner_loss,p2/P4_object_prompt_accuracy,p2/P4_object_prompt_correlation,p2/P4_object_prompt_mae,p2/P4_object_prompt_rgb, p2/P4_object_rank_loss,p2/P4_object_target_rgb,p2/P4_prompt_residual_gain,   p2/P4_rgb_win_recall,p2/P5_gate_direction_loss,    p2/P5_ir_win_recall,p2/P5_object_balanced_loss,p2/P5_object_calibrated_loss,p2/P5_object_hard_winner_loss,p2/P5_object_prompt_accuracy,p2/P5_object_prompt_correlation,p2/P5_object_prompt_mae,p2/P5_object_prompt_rgb, p2/P5_object_rank_loss,p2/P5_object_target_rgb,   p2/P5_rgb_win_recall,p2/object_cross_scale_consistency,p2/object_gate_raw_loss,p2/object_prompt_raw_loss,  p2/teacher_ir_quality,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/teacher_rgb_win_rate, p2/teacher_ir_win_rate,p2/teacher_majority_baseline,p2/object_reliability_warmup_factor
                     11,                0.75254,                0.52689,                 1.3918,                0.09827,                0.75571,                 0.7624,                0.79618,                0.63781,                0.71382,                 0.4861,                 1.4739,                0.10556,                0.00901,                0.00901,                0.00901,                      0,                0.66279,                 0.6802,                0.66752,                0.57001,                0.65496,                0.37142,                0.17849,                0.45904,                0.60662,                0.41128,               0.018632,                0.63362,                      0,                0.64958,                0.67352,                0.66225,                0.53083,                0.66063,                0.42257,                0.18559,                0.45884,                0.56607,                0.41128,              0.0090535,                0.69078,                      0,                0.63586,                0.67782,                0.66546,                0.55923,                0.65033,                 0.3826,                0.18137,                0.46277,                0.59286,                0.41128,                0.68982,               0.018029,                      0,                0.84432,                0.58568,                0.31684,                  0.484,                0.26814,                0.73186,                0.73186,                      1
                     12,                0.75117,                0.52319,                 1.3864,                 0.0978,                0.77544,                 0.7667,                0.80895,                0.64848,                0.71676,                0.47886,                 1.5047,                0.10352,               0.008911,               0.008911,               0.008911,                      0,                0.66092,                0.68326,                0.67245,                0.56228,                0.65604,                 0.3705,                0.18137,                0.46089,                0.60338,                0.41254,               0.025967,                0.64282,                      0,                0.63925,                0.67657,                0.66659,                0.52916,                0.65614,                0.41908,                0.18799,                0.46377,                0.57425,                0.41254,              0.0093426,                0.70182,                      0,                0.62662,                0.68138,                0.67015,                0.55512,                0.64756,                0.38029,                0.18343,                 0.4644,                0.59809,                0.41254,                 0.7042,               0.017784,                      0,                0.83931,                0.58096,                0.31278,                0.48099,                0.26996,                0.73004,                0.73004,                      1
                     13,                 0.7458,                0.51742,                 1.3939,                0.09754,                 0.7386,                0.70954,                0.75375,                0.59433,                0.73428,                0.52471,                 1.5002,                0.10483,               0.008812,               0.008812,               0.008812,                      0,                0.67739,                0.68471,                0.67061,                0.56052,                0.66418,                0.37697,                0.18193,                0.45233,                0.59993,                0.40976,               0.037991,                0.62718,                      0,                0.64799,                0.67571,                0.66243,                 0.5314,                0.65894,                0.42602,                0.18662,                0.45774,                0.56894,                0.40976,                0.01124,                 0.6896,                      0,                0.64028,                 0.6824,                0.66898,                 0.5535,                0.65471,                0.38331,                0.18501,                0.45846,                0.58781,                0.40976,                0.69512,               0.017801,                      0,                0.83791,                 0.5842,                0.31812,                0.48102,                0.26312,                0.73688,                0.73688,                      1
                     14,                0.74279,                0.51839,                 1.3815,                0.09595,                0.76992,                0.76567,                0.79521,                0.64292,                0.69983,                0.46748,                 1.4562,                0.10216,               0.008713,               0.008713,               0.008713,                      0,                0.67409,                0.68337,                 0.6708,                0.54774,                0.66483,                0.38831,                0.18216,                0.45399,                0.58676,                0.41092,               0.044343,                0.63906,                      0,                0.65261,                 0.6763,                0.66477,                0.52145,                0.66489,                0.43006,                0.18611,                0.45831,                0.56177,                0.41092,               0.012437,                0.69905,                      0,                0.64185,                0.68222,                0.67043,                0.54244,                0.66033,                0.39602,                0.18375,                0.45869,                0.58011,                0.41092,                0.71177,               0.017026,                      0,                0.82452,                0.58655,                0.31289,                0.48549,                0.26434,                0.73566,                0.73566,                      1
                     15,                0.73994,                0.51263,                 1.3863,                0.09567,                0.78609,                 0.7795,                 0.8217,                0.66492,                0.69585,                0.46235,                 1.4592,                0.10228,               0.008614,               0.008614,               0.008614,                      0,                0.68118,                0.68377,                0.67104,                0.54643,                0.66776,                0.38855,                0.18371,                0.45035,                0.58544,                 0.4106,               0.053174,                0.63032,                      0,                0.65682,                0.67665,                0.66496,                0.52042,                0.66732,                0.42981,                0.18869,                0.45543,                0.55811,                 0.4106,               0.012508,                0.69662,                      0,                0.64854,                0.68269,                0.67159,                0.53642,                 0.6644,                0.40049,                0.18681,                0.45445,                0.57232,                 0.4106,                0.70868,               0.017415,                      0,                 0.8224,                 0.5856,                0.31765,                0.48426,                0.26381,                0.73619,                0.73619,                      1
                     16,                0.74019,                0.51182,                  1.381,                 0.0957,                0.78028,                0.78436,                0.82142,                0.66611,                0.69074,                0.45509,                 1.4567,                0.10192,               0.008515,               0.008515,               0.008515,                      0,                0.67512,                0.68349,                0.67115,                0.54875,                0.66385,                0.38789,                0.18399,                0.45369,                 0.5775,                0.41236,               0.058022,                 0.6331,                      0,                0.65118,                0.67525,                  0.665,                0.52109,                0.66153,                0.43148,                0.18823,                0.45907,                0.55367,                0.41236,               0.011547,                0.68976,                      0,                0.64053,                0.68385,                0.67496,                 0.5346,                0.65878,                0.39794,                0.18904,                0.45754,                0.57175,                0.41236,                0.70856,               0.017132,                      0,                0.82403,                0.58123,                0.31533,                0.48155,                0.26825,                0.73175,                0.73175,                      1
                     17,                0.73754,                0.50496,                 1.3818,                0.09459,                0.78472,                0.79244,                0.82601,                0.66718,                0.69334,                0.45682,                 1.4525,                0.10172,               0.008416,               0.008416,               0.008416,                      0,                0.68373,                0.68072,                0.66839,                0.53647,                0.67119,                 0.3985,                0.18435,                0.45183,                0.58322,                0.41182,               0.065936,                0.63756,                      0,                0.65914,                0.67368,                0.66201,                0.51443,                 0.6682,                 0.4364,                0.18793,                0.45624,                0.55448,                0.41182,               0.014097,                0.69248,                      0,                0.64375,                0.68105,                0.67092,                0.53111,                0.66394,                0.40559,                0.18787,                0.45728,                0.56933,                0.41182,                 0.7181,               0.016426,                      0,                0.81216,                0.58096,                0.31421,                0.47986,                0.27155,                0.72845,                0.72845,                      1
                     18,                0.73167,                0.50052,                 1.3712,                 0.0943,                0.81699,                0.76723,                0.83923,                0.68167,                0.68846,                 0.4489,                  1.452,                0.10132,               0.008317,               0.008317,               0.008317,                      0,                0.68713,                0.68061,                0.66451,                 0.5372,                0.67354,                 0.4064,                0.18322,                0.44808,                0.57071,                0.40969,               0.072103,                0.63581,                      0,                0.66396,                0.67303,                0.65863,                0.51455,                0.67181,                0.44134,                 0.1869,                 0.4546,                0.55327,                0.40969,               0.011961,                 0.6936,                      0,                0.64658,                0.68104,                0.66889,                0.52703,                0.66448,                0.40877,                0.18925,                0.45466,                0.57194,                0.40969,                0.71415,               0.016332,                      0,                  0.811,                 0.5827,                0.32068,                0.47864,                0.26495,                0.73505,                0.73505,                      1
                     19,                0.73007,                 0.4985,                 1.3761,                0.09434,                0.79048,                0.77954,                0.82232,                0.67056,                0.68958,                0.44837,                 1.4497,                0.10093,               0.008218,               0.008218,               0.008218,                      0,                0.68699,                 0.6829,                0.66769,                0.53631,                0.67345,                0.40054,                0.18504,                0.44873,                0.57972,                0.41019,               0.078966,                0.63632,                      0,                0.66366,                0.67414,                0.66046,                0.51115,                0.67267,                0.44337,                0.18794,                 0.4542,                0.55717,                0.41019,              0.0098307,                0.69735,                      0,                0.65156,                0.68302,                0.66995,                0.52578,                0.66917,                0.41294,                0.18866,                0.45237,                 0.5749,                0.41019,                0.71748,               0.016551,                      0,                0.80979,                0.58532,                0.31768,                0.48241,                0.26725,                0.73275,                0.73275,                      1
                     20,                0.72813,                  0.497,                 1.3728,                0.09444,                0.80774,                0.76708,                 0.8253,                0.67128,                 0.6849,                0.44825,                 1.4644,                0.10157,               0.008119,               0.008119,               0.008119,                      0,                0.67759,                0.68152,                0.67045,                 0.5361,                0.66679,                0.39536,                0.18512,                0.45323,                0.58244,                0.41197,               0.085876,                0.63746,                      0,                0.65379,                0.67452,                0.66389,                0.51179,                0.66523,                0.43862,                0.18826,                0.45901,                0.55527,                0.41197,               0.008609,                0.69628,                      0,                0.64248,                0.68272,                0.67179,                0.52604,                0.66331,                0.41308,                0.18829,                0.45691,                0.56918,                0.41197,                0.71984,               0.016087,                      0,                0.81073,                0.58195,                0.31557,                0.48117,                0.26921,                0.73079,                0.73079,                      1
