                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/object_reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/object_reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_gate_direction_loss,    p2/P3_ir_win_recall,p2/P3_object_balanced_loss,p2/P3_object_calibrated_loss,p2/P3_object_hard_winner_loss,p2/P3_object_prompt_accuracy,p2/P3_object_prompt_correlation,p2/P3_object_prompt_mae,p2/P3_object_prompt_rgb, p2/P3_object_rank_loss,p2/P3_object_target_rgb,p2/P3_prompt_residual_gain,   p2/P3_rgb_win_recall,p2/P4_gate_direction_loss,    p2/P4_ir_win_recall,p2/P4_object_balanced_loss,p2/P4_object_calibrated_loss,p2/P4_object_hard_winner_loss,p2/P4_object_prompt_accuracy,p2/P4_object_prompt_correlation,p2/P4_object_prompt_mae,p2/P4_object_prompt_rgb, p2/P4_object_rank_loss,p2/P4_object_target_rgb,p2/P4_prompt_residual_gain,   p2/P4_rgb_win_recall,p2/P5_gate_direction_loss,    p2/P5_ir_win_recall,p2/P5_object_balanced_loss,p2/P5_object_calibrated_loss,p2/P5_object_hard_winner_loss,p2/P5_object_prompt_accuracy,p2/P5_object_prompt_correlation,p2/P5_object_prompt_mae,p2/P5_object_prompt_rgb, p2/P5_object_rank_loss,p2/P5_object_target_rgb,   p2/P5_rgb_win_recall,p2/object_cross_scale_consistency,p2/object_gate_raw_loss,p2/object_prompt_raw_loss,  p2/teacher_ir_quality,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/teacher_rgb_win_rate, p2/teacher_ir_win_rate,p2/teacher_majority_baseline,p2/object_reliability_warmup_factor
                     21,                0.72878,                0.49446,                 1.3712,                0.09386,                0.76135,                0.76194,                0.79218,                0.63361,                0.71789,                0.48403,                 1.5175,                0.10346,                0.00802,                0.00802,                0.00802,                      0,                0.68755,                0.68297,                0.66968,                0.53253,                0.67325,                0.40275,                0.18636,                0.44964,                0.57149,                0.41286,               0.088597,                0.63526,                      0,                   0.66,                0.67585,                0.66376,                0.51086,                  0.669,                 0.4409,                0.18961,                0.45645,                0.54608,                0.41286,              0.0047651,                0.69289,                      0,                0.64256,                0.68337,                0.67386,                0.52116,                0.66468,                0.41356,                0.19076,                0.45682,                0.56501,                0.41286,                0.72344,               0.016223,                      0,                0.80717,                0.57717,                0.31643,                0.47805,                 0.2735,                 0.7265,                 0.7265,                      1
                     22,                0.72282,                0.49221,                 1.3786,                0.09392,                0.77484,                0.77359,                0.81673,                0.66406,                0.68393,                0.44576,                 1.4869,                0.10239,               0.007921,               0.007921,               0.007921,                      0,                0.68427,                0.68266,                0.66964,                0.53263,                0.67275,                0.40518,                0.18356,                0.45054,                0.57154,                0.41166,               0.088331,                0.64095,                      0,                0.66419,                0.67642,                0.66421,                0.51123,                0.67281,                0.44062,                0.18786,                0.45451,                0.55062,                0.41166,              0.0038336,                0.69661,                      0,                0.64785,                0.68523,                0.67519,                0.52054,                0.66929,                0.41095,                0.19109,                 0.4546,                0.56908,                0.41166,                0.72844,               0.016134,                      0,                0.80734,                0.58783,                0.31497,                0.48757,                0.26605,                0.73395,                0.73395,                      1
                     23,                0.72349,                 0.4888,                 1.3814,                0.09432,                0.78671,                0.78564,                0.83016,                0.67539,                0.69209,                0.45388,                 1.4762,                0.10207,               0.007822,               0.007822,               0.007822,                      0,                0.68779,                0.68597,                0.67215,                0.53508,                0.67351,                0.39728,                0.18677,                0.44827,                0.58169,                0.41033,               0.091814,                0.63436,                      0,                0.66746,                0.67717,                0.66483,                 0.5112,                0.67297,                0.43529,                0.18952,                0.45168,                0.55853,                0.41033,              0.0053111,                0.68807,                      0,                0.65398,                0.68617,                 0.6754,                0.51903,                0.67117,                0.40981,                0.19183,                0.45181,                0.57705,                0.41033,                 0.7183,               0.016529,                      0,                 0.8092,                0.58385,                0.31669,                 0.4814,                0.26724,                0.73276,                0.73276,                      1
                     24,                0.72074,                  0.489,                  1.378,                0.09321,                0.83026,                0.76914,                0.84494,                0.69372,                0.67781,                0.43744,                 1.4415,                0.10046,               0.007723,               0.007723,               0.007723,                      0,                0.68004,                0.68294,                0.67233,                0.52533,                0.67025,                0.40444,                0.18709,                0.45064,                0.57496,                0.41155,               0.093492,                0.64311,                      0,                0.66169,                0.67498,                0.66554,                0.50268,                0.67095,                0.44216,                0.18967,                0.45522,                0.55722,                0.41155,              0.0035883,                0.69664,                      0,                0.64603,                 0.6844,                0.67638,                0.51469,                0.66783,                0.41462,                0.19195,                0.45394,                0.57221,                0.41155,                0.72828,               0.016275,                      0,                0.79926,                0.58422,                 0.3137,                0.48391,                0.26505,                0.73495,                0.73495,                      1
                     25,                0.71776,                0.48424,                 1.3776,                 0.0938,                0.81576,                0.80955,                0.85646,                0.70244,                0.67675,                0.42856,                 1.4591,                0.10138,               0.007624,               0.007624,               0.007624,                      0,                0.68485,                0.68319,                0.67029,                0.53262,                 0.6733,                0.40313,                 0.1856,                0.45237,                0.57155,                0.41361,               0.093065,                0.64227,                      0,                0.65845,                0.67673,                0.66572,                0.50865,                0.67008,                0.44028,                0.19018,                0.45955,                0.54963,                0.41361,              0.0027748,                0.70132,                      0,                0.64672,                0.68554,                0.67598,                0.51825,                0.67025,                0.41412,                0.19165,                0.45716,                0.56318,                0.41361,                0.73346,                0.01601,                      0,                0.80636,                0.58057,                0.31345,                 0.4822,                 0.2713,                 0.7287,                 0.7287,                      1
                     26,                0.71293,                0.47932,                 1.3755,                0.09396,                0.81083,                0.80214,                0.85282,                0.69959,                0.67486,                0.42654,                 1.4626,                0.10126,               0.007525,               0.007525,               0.007525,                      0,                0.68945,                0.68496,                0.67075,                0.53148,                0.67455,                0.40256,                0.18647,                0.44615,                0.57551,                0.41039,               0.092001,                0.63286,                      0,                0.66723,                0.67821,                0.66523,                0.51128,                0.67144,                0.43732,                0.19058,                0.45137,                0.55281,                0.41039,              0.0036196,                0.68322,                      0,                0.64844,                0.68609,                0.67496,                0.52047,                0.66703,                0.41326,                 0.1924,                0.45192,                0.57599,                0.41039,                0.71905,               0.015821,                      0,                0.80684,                0.58507,                0.31619,                0.48268,                0.26328,                0.73672,                0.73672,                      1
                     27,                 0.7097,                0.47688,                 1.3796,                0.09257,                0.82241,                0.80398,                0.85666,                0.70304,                0.67241,                0.42366,                 1.4585,                0.10137,               0.007426,               0.007426,               0.007426,                      0,                0.69055,                0.68337,                0.67012,                0.52144,                0.67831,                 0.4131,                0.18531,                0.44839,                0.56985,                0.41328,               0.093427,                0.64559,                      0,                0.67399,                0.67689,                0.66478,                0.49969,                0.67975,                0.44541,                0.18944,                0.45213,                0.54993,                0.41328,              0.0035186,                0.69515,                      0,                0.65744,                0.68596,                0.67519,                0.50861,                0.67828,                0.42531,                0.19211,                0.45386,                0.56775,                0.41328,                  0.734,               0.016068,                      0,                0.79418,                0.58501,                 0.3114,                 0.4865,                0.27219,                0.72781,                0.72781,                      1
                     28,                0.71149,                0.47679,                 1.3751,                0.09338,                0.81157,                0.79103,                0.84208,                0.69291,                 0.6743,                0.42985,                 1.4464,                0.10023,               0.007327,               0.007327,               0.007327,                      0,                0.68893,                0.68533,                 0.6717,                0.52802,                0.67635,                0.40794,                0.18667,                0.44874,                0.56768,                0.41045,               0.096649,                 0.6418,                      0,                0.66786,                0.67976,                0.66656,                0.50715,                0.67419,                0.44131,                0.19136,                0.45319,                0.54828,                0.41045,              0.0021292,                0.69157,                      0,                0.65196,                0.68827,                 0.6767,                0.51603,                0.67296,                0.41841,                 0.1939,                0.45409,                0.56266,                0.41045,                0.73064,               0.015786,                      0,                0.80276,                0.58558,                 0.3148,                0.48364,                0.26691,                0.73309,                0.73309,                      1
                     29,                0.70734,                0.47416,                 1.3811,                0.09211,                0.82987,                0.81678,                0.86395,                0.71041,                0.67081,                0.42115,                 1.4531,                0.10025,               0.007228,               0.007228,               0.007228,                      0,                0.69344,                0.68113,                0.66853,                0.52003,                0.67984,                0.41604,                0.18652,                0.44861,                0.56463,                0.41262,                0.10162,                0.64334,                      0,                0.67109,                0.67384,                0.66264,                0.49589,                0.67697,                0.45088,                0.19012,                0.45341,                0.54363,                0.41262,             0.00038295,                0.69275,                      0,                0.65424,                0.68396,                0.67468,                0.50533,                0.67481,                0.42764,                0.19372,                0.45318,                0.55911,                0.41262,                0.73002,               0.015879,                      0,                0.79096,                0.58216,                0.31659,                0.48273,                0.27145,                0.72855,                0.72855,                      1
                     30,                0.70947,                0.47415,                 1.3735,                0.09358,                0.80862,                0.81475,                0.85399,                0.70408,                0.66884,                0.42311,                 1.4493,                0.10015,               0.007129,               0.007129,               0.007129,                      0,                 0.6902,                0.68384,                0.67022,                0.52931,                 0.6762,                0.40344,                0.18628,                 0.4471,                0.57899,                0.40999,                0.10435,                0.63716,                      0,                0.67057,                0.67686,                0.66445,                0.50562,                0.67594,                0.44279,                0.18933,                0.45192,                0.55922,                0.40999,              -0.002217,                 0.6909,                      0,                0.65099,                  0.685,                0.67498,                 0.5132,                0.67171,                0.42072,                0.19294,                 0.4523,                 0.5744,                0.40999,                 0.7295,               0.015559,                      0,                0.80215,                0.58696,                0.31641,                0.48447,                0.26393,                0.73607,                0.73607,                      1
                     31,                0.70676,                0.46862,                 1.3795,                0.09303,                0.80728,                0.82295,                0.85677,                0.70629,                0.66722,                0.41944,                 1.4467,                0.10022,                0.00703,                0.00703,                0.00703,                      0,                0.69277,                0.68497,                0.67227,                0.52438,                0.67726,                0.40366,                0.18636,                0.44753,                0.57685,                0.41219,                0.10769,                0.63507,                      0,                0.67137,                 0.6794,                0.66768,                0.50144,                0.67587,                0.44027,                0.19077,                0.45243,                0.55912,                0.41219,              -0.001597,                 0.6881,                      0,                0.65842,                0.68802,                0.67806,                0.50633,                0.67672,                 0.4231,                 0.1941,                0.45186,                0.57156,                0.41219,                0.72653,               0.016026,                      0,                0.79706,                0.58494,                0.31166,                0.48516,                0.26876,                0.73124,                0.73124,                      1
                     32,                0.70592,                0.46977,                 1.3773,                0.09325,                0.81751,                0.81775,                0.86159,                0.70928,                0.66828,                0.41755,                 1.4455,                0.09995,               0.006931,               0.006931,               0.006931,                      0,                0.69184,                0.68605,                0.67176,                0.52691,                0.67665,                0.40552,                0.18678,                0.44629,                0.57143,                0.41152,                0.10761,                0.63534,                      0,                0.66983,                0.67973,                0.66699,                0.50598,                0.67342,                 0.4387,                0.19026,                0.45091,                0.55513,                0.41152,             -0.0040106,                0.68317,                      0,                0.65911,                0.68709,                0.67646,                0.50858,                0.67524,                0.41954,                0.19371,                0.44856,                0.56739,                0.41152,                0.71911,               0.015437,                      0,                0.80043,                0.58439,                0.31392,                 0.4837,                0.26886,                0.73114,                0.73114,                      1
                     33,                0.70042,                0.46431,                 1.3782,                0.09236,                0.83839,                0.81122,                0.86898,                 0.7181,                0.66466,                0.41453,                 1.4545,                0.09968,               0.006832,               0.006832,               0.006832,                      0,                0.69082,                0.68219,                0.66935,                0.52208,                0.67571,                0.41001,                0.18765,                0.44721,                0.56278,                0.41208,                0.10468,                0.63516,                      0,                0.67337,                0.67761,                0.66557,                0.49983,                0.67702,                0.44341,                0.19177,                0.45122,                 0.5435,                0.41208,              -0.002009,                 0.6868,                      0,                0.65922,                0.68603,                0.67545,                0.50365,                0.67757,                0.42684,                0.19548,                0.45212,                0.55789,                0.41208,                0.72681,               0.015748,                      0,                0.79377,                0.58181,                0.31676,                0.48126,                0.27149,                0.72851,                0.72851,                      1
                     34,                 0.6973,                0.46097,                  1.379,                0.09303,                0.81211,                0.81953,                0.85825,                0.70697,                0.66722,                0.41612,                 1.4594,                0.09951,               0.006733,               0.006733,               0.006733,                      0,                0.69292,                0.68752,                0.67432,                0.52581,                 0.6794,                 0.4048,                0.18763,                0.44673,                0.56712,                0.41202,                0.10393,                0.64234,                      0,                0.67902,                0.68029,                0.66812,                0.50293,                0.68125,                0.43995,                0.19082,                0.44971,                0.54993,                0.41202,             -0.0043699,                0.68735,                      0,                0.66189,                0.68778,                0.67786,                0.50772,                0.67904,                0.42381,                0.19402,                0.44976,                0.56622,                0.41202,                0.72603,               0.015402,                      0,                0.79911,                0.58284,                0.31387,                0.48265,                0.26744,                0.73256,                0.73256,                      1
                     35,                0.69879,                0.45963,                 1.3751,                0.09141,                0.81203,                0.82875,                0.86262,                0.71181,                0.66515,                0.41422,                 1.4553,                 0.0995,               0.006634,               0.006634,               0.006634,                      0,                0.69008,                0.68112,                0.67011,                0.51563,                0.67927,                0.41576,                0.18899,                0.44862,                0.55355,                 0.4133,                0.10453,                0.65022,                      0,                 0.6687,                0.67556,                0.66693,                 0.4927,                0.67719,                0.44736,                  0.194,                0.45341,                0.53143,                 0.4133,             -0.0074799,                    0.7,                      0,                0.65446,                0.68282,                0.67593,                0.50018,                0.67633,                0.42765,                0.19629,                0.45285,                0.54144,                 0.4133,                0.73509,               0.015572,                      0,                0.78678,                0.58151,                0.31597,                 0.4826,                0.27132,                0.72868,                0.72868,                      1
                     36,                0.69902,                0.45631,                  1.373,                0.09079,                0.81946,                0.81547,                0.85685,                0.70775,                 0.6645,                0.41592,                 1.4524,                0.09929,               0.006535,               0.006535,               0.006535,                      0,                0.68429,                0.68083,                0.67024,                0.51082,                0.67576,                0.42172,                0.18823,                0.45095,                0.55154,                0.41522,                0.10299,                0.65344,                      0,                0.67012,                0.67512,                0.66619,                0.48737,                0.67775,                0.45283,                0.19315,                0.45413,                0.53077,                0.41522,             -0.0075823,                0.69772,                      0,                 0.6525,                0.68402,                0.67616,                0.49495,                0.67426,                0.43708,                0.19567,                0.45577,                 0.5435,                0.41522,                0.73121,               0.015703,                      0,                0.78089,                0.57927,                0.31241,                0.48306,                 0.2765,                 0.7235,                 0.7235,                      1
                     37,                0.69293,                0.45622,                 1.3786,                 0.0919,                0.81988,                0.82557,                0.86159,                0.71239,                0.66401,                0.41169,                 1.4602,                0.09923,               0.006436,               0.006436,               0.006436,                      0,                0.69804,                0.68314,                0.66829,                0.52045,                0.68262,                0.41427,                0.18752,                0.44455,                0.55678,                0.41099,                0.10422,                0.64066,                      0,                0.67773,                0.67543,                0.66261,                0.49612,                0.68209,                0.44974,                0.19158,                 0.4501,                0.53561,                0.41099,             -0.0077778,                0.69395,                      0,                 0.6617,                0.68572,                0.67445,                0.50229,                0.68044,                0.43238,                0.19531,                0.45156,                0.54932,                0.41099,                0.73147,               0.015465,                      0,                0.79075,                0.58454,                0.31817,                0.48243,                0.26862,                0.73138,                0.73138,                      1
                     38,                0.68939,                 0.4531,                 1.3774,                0.09265,                0.83127,                0.82139,                0.86333,                0.71447,                0.66304,                0.41012,                 1.4591,                0.09918,               0.006337,               0.006337,               0.006337,                      0,                0.69351,                0.68468,                 0.6726,                0.52307,                  0.678,                0.40481,                0.18664,                0.44686,                0.56583,                0.41328,                0.10335,                0.63642,                      0,                0.67152,                0.67965,                0.66928,                0.50101,                0.67692,                 0.4407,                0.19119,                0.45318,                0.54757,                0.41328,               -0.00651,                0.69141,                      0,                0.65574,                0.68756,                0.67867,                0.50457,                0.67516,                0.42717,                0.19489,                0.45259,                0.55639,                0.41328,                0.72723,               0.015592,                      0,                0.79596,                0.58175,                0.31341,                0.48327,                 0.2717,                 0.7283,                 0.7283,                      1
                     39,                0.69157,                0.45328,                 1.3779,                0.09226,                0.83531,                0.82118,                  0.871,                0.72151,                0.66244,                0.40791,                 1.4575,                0.09936,               0.006238,               0.006238,               0.006238,                      0,                0.69183,                0.68729,                0.67418,                0.52148,                0.67931,                 0.4072,                0.18893,                0.44853,                0.55994,                0.41216,                0.10471,                0.64572,                      0,                0.67533,                0.67945,                0.66662,                0.49922,                0.68014,                 0.4459,                0.19207,                0.45087,                0.53766,                0.41216,             -0.0060032,                0.69306,                      0,                0.66872,                0.68922,                0.67734,                0.50184,                0.68376,                0.43144,                0.19509,                0.44986,                0.54715,                0.41216,                0.72415,               0.015606,                      0,                0.79383,                0.58372,                0.31466,                0.48334,                0.27146,                0.72854,                0.72854,                      1
                     40,                0.69115,                 0.4537,                 1.3752,                0.09222,                 0.8277,                0.82279,                0.86557,                0.71707,                0.66254,                  0.409,                  1.457,                0.09912,               0.006139,               0.006139,               0.006139,                      0,                0.69245,                0.68545,                0.67162,                0.52134,                0.67915,                 0.4124,                0.18798,                 0.4457,                0.56273,                0.40986,                0.10474,                0.64217,                      0,                0.67377,                0.67724,                0.66479,                0.49771,                0.67899,                0.45016,                0.19093,                0.45133,                0.54519,                0.40986,             -0.0073651,                0.69352,                      0,                0.66475,                0.68683,                0.67743,                0.50004,                0.68122,                0.42977,                0.19675,                0.44926,                0.55516,                0.40986,                0.72701,               0.015601,                      0,                0.79237,                0.58742,                0.31765,                0.48473,                0.26443,                0.73557,                0.73557,                      1
                     41,                0.68677,                0.44669,                 1.3688,                 0.0918,                0.82595,                0.82508,                 0.8634,                0.71449,                0.66163,                0.40884,                 1.4567,                0.09901,                0.00604,                0.00604,                0.00604,                      0,                0.69159,                0.68344,                0.67046,                 0.5179,                0.67962,                0.41312,                 0.1881,                0.44683,                 0.5605,                0.41184,                0.10439,                0.64659,                      0,                0.67468,                0.67551,                0.66429,                0.49493,                0.67855,                0.44785,                0.19127,                0.45053,                0.54197,                0.41184,             -0.0092617,                0.68923,                      0,                0.66226,                  0.684,                0.67434,                0.49933,                 0.6798,                0.43144,                0.19487,                0.44989,                0.55276,                0.41184,                0.72817,               0.015333,                      0,                0.78866,                0.58246,                0.31521,                0.48126,                0.26603,                0.73397,                0.73397,                      1
                     42,                0.68907,                0.44931,                 1.3691,                0.09207,                0.83326,                0.82517,                0.86856,                0.71885,                0.66126,                0.40701,                 1.4494,                0.09911,               0.005941,               0.005941,               0.005941,                      0,                 0.6921,                0.68363,                0.67044,                0.52017,                0.67775,                0.41301,                0.18701,                0.44549,                0.56143,                0.41187,                0.10663,                0.63872,                      0,                0.67665,                 0.6782,                0.66657,                0.49586,                   0.68,                0.44737,                0.19179,                 0.4505,                0.54642,                0.41187,             -0.0082549,                0.68912,                      0,                0.66491,                0.68641,                0.67577,                0.50009,                0.68138,                 0.4326,                0.19483,                0.44983,                0.55618,                0.41187,                 0.7262,               0.015285,                      0,                0.79086,                0.58544,                 0.3152,                0.48478,                0.26885,                0.73115,                0.73115,                      1
                     43,                0.68243,                0.44405,                 1.3734,                 0.0916,                0.82965,                0.83123,                0.86827,                0.71957,                 0.6599,                0.40631,                 1.4516,                 0.0991,               0.005842,               0.005842,               0.005842,                      0,                0.69275,                0.68478,                0.67147,                0.51691,                0.67842,                 0.4148,                0.18768,                0.44696,                0.56136,                0.41344,                0.10744,                0.64059,                      0,                0.67316,                0.67831,                0.66676,                0.49311,                0.67886,                0.45046,                0.19311,                 0.4526,                0.53932,                0.41344,             -0.0078796,                 0.6939,                      0,                0.66442,                0.68695,                0.67647,                0.49433,                0.68123,                0.43722,                0.19574,                0.45111,                 0.5464,                0.41344,                0.72563,               0.015309,                      0,                0.78703,                0.58142,                 0.3139,                0.48265,                0.27471,                0.72529,                0.72529,                      1
                     44,                0.68401,                0.44285,                 1.3675,                0.09224,                0.84207,                0.82532,                0.87118,                0.72371,                0.65936,                0.40554,                 1.4506,                0.09907,               0.005743,               0.005743,               0.005743,                      0,                0.69336,                0.68529,                0.67087,                0.52026,                 0.6795,                0.41372,                0.18751,                0.44645,                0.57125,                0.41158,                0.10756,                0.64162,                      0,                0.68281,                0.67741,                0.66407,                0.49675,                0.68299,                0.44702,                0.19099,                0.44724,                0.55092,                0.41158,             -0.0075282,                0.68347,                      0,                0.66886,                0.68566,                0.67453,                0.49867,                0.68192,                0.43318,                0.19459,                0.44576,                0.56198,                0.41158,                0.71763,               0.014893,                      0,                0.79079,                0.58405,                0.31746,                0.48302,                0.26785,                0.73215,                0.73215,                      1
                     45,                0.68415,                0.44146,                 1.3727,                0.09146,                0.84151,                0.82673,                0.87285,                0.72429,                0.65954,                0.40426,                 1.4536,                0.09901,               0.005644,               0.005644,               0.005644,                      0,                0.69014,                0.68363,                0.67084,                0.51537,                0.67676,                0.41635,                0.18841,                 0.4465,                0.55702,                0.41241,                0.10621,                0.64053,                      0,                0.67671,                0.67679,                0.66503,                0.49312,                 0.6796,                0.44859,                0.19233,                0.45041,                0.53952,                0.41241,              -0.010177,                0.68744,                      0,                0.66566,                0.68419,                0.67464,                0.49686,                0.68049,                 0.4347,                0.19436,                0.44957,                0.54874,                0.41241,                0.72066,               0.015133,                      0,                 0.7861,                0.57972,                0.31417,                0.48003,                 0.2696,                 0.7304,                 0.7304,                      1
                     46,                0.68259,                0.44313,                 1.3722,                 0.0911,                0.84206,                0.82467,                 0.8725,                0.72495,                 0.6594,                0.40397,                 1.4557,                0.09904,               0.005545,               0.005545,               0.005545,                      0,                0.69543,                0.68243,                0.66975,                0.51218,                0.68212,                0.42063,                0.18799,                0.44551,                0.55715,                0.40972,                0.10816,                 0.6451,                      0,                0.68181,                0.67524,                0.66307,                0.49079,                0.68451,                0.45396,                 0.1913,                0.44933,                0.53882,                0.40972,             -0.0094012,                0.69202,                      0,                0.66759,                0.68565,                0.67565,                 0.4938,                0.68482,                0.43776,                0.19566,                0.44945,                0.55239,                0.40972,                0.73268,               0.015326,                      0,                0.78238,                0.58536,                0.31761,                0.48212,                 0.2646,                 0.7354,                 0.7354,                      1
                     47,                0.68493,                 0.4407,                 1.3735,                0.09098,                 0.8341,                0.82854,                0.87043,                0.72301,                0.65975,                0.40409,                 1.4587,                0.09907,               0.005446,               0.005446,               0.005446,                      0,                0.69685,                0.68164,                0.66971,                0.51176,                  0.683,                0.41996,                0.18789,                0.44496,                0.55955,                0.41094,                0.10834,                0.64518,                      0,                0.68257,                0.67622,                0.66468,                0.48841,                0.68535,                0.45375,                0.19258,                 0.4489,                0.53907,                0.41094,              -0.010075,                0.69295,                      0,                0.67123,                0.68587,                0.67674,                0.49039,                0.68638,                 0.4378,                0.19779,                0.44805,                0.54932,                0.41094,                0.72775,               0.015514,                      0,                0.78091,                0.58102,                0.31865,                0.47974,                0.26805,                0.73195,                0.73195,                      1
                     48,                 0.6796,                 0.4391,                 1.3737,                0.09112,                0.83005,                0.83038,                0.86715,                 0.7207,                0.65929,                0.40479,                 1.4584,                0.09902,               0.005347,               0.005347,               0.005347,                      0,                0.69607,                0.68528,                 0.6727,                0.51166,                0.68287,                 0.4186,                0.18763,                0.44618,                0.56262,                0.41295,                0.10736,                 0.6474,                      0,                0.68121,                0.67822,                0.66635,                0.48874,                0.68372,                0.45279,                0.19104,                0.44917,                0.54437,                0.41295,              -0.010769,                0.69045,                      0,                0.67191,                0.68844,                0.67834,                0.48984,                0.68595,                0.43772,                0.19709,                 0.4491,                0.54837,                0.41295,                0.72369,                0.01562,                      0,                0.78157,                0.58606,                0.31309,                  0.487,                0.27117,                0.72883,                0.72883,                      1
                     49,                 0.6796,                0.43627,                 1.3664,                0.09185,                0.83014,                0.82849,                0.86642,                0.72035,                0.65914,                0.40444,                 1.4583,                0.09895,               0.005248,               0.005248,               0.005248,                      0,                 0.6907,                0.68432,                 0.6713,                0.51865,                0.67959,                0.41615,                0.18928,                0.44739,                0.56168,                0.41161,                0.10783,                0.64953,                      0,                0.67444,                0.67631,                0.66549,                0.49455,                0.67885,                0.44796,                0.19336,                0.45073,                0.54625,                0.41161,              -0.011629,                0.69078,                      0,                0.66405,                0.68543,                0.67672,                0.49512,                0.68161,                0.43539,                0.19754,                0.45053,                0.55473,                0.41161,                0.72917,               0.015214,                      0,                0.78867,                0.58215,                0.31803,                0.48126,                0.26974,                0.73026,                0.73026,                      1
                     50,                0.67711,                0.43351,                 1.3696,                0.09165,                0.82765,                0.82957,                0.86584,                0.71944,                 0.6592,                0.40425,                 1.4596,                0.09895,               0.005149,               0.005149,               0.005149,                      0,                0.69185,                0.68633,                0.67253,                0.51626,                0.67831,                0.41425,                0.18729,                 0.4466,                0.56725,                0.41274,                0.10854,                0.64198,                      0,                0.67753,                 0.6796,                 0.6669,                0.49023,                0.68038,                0.45142,                0.19164,                0.45062,                0.54735,                0.41274,              -0.013387,                0.68803,                      0,                0.67024,                0.69009,                0.67941,                0.49355,                0.68536,                0.43404,                0.19639,                0.44967,                0.55626,                0.41274,                0.72594,               0.015592,                      0,                0.78581,                0.58418,                 0.3128,                0.48509,                0.27145,                0.72855,                0.72855,                      1
                     51,                0.67682,                0.43225,                  1.365,                0.09215,                0.83048,                0.83046,                0.86665,                0.72084,                0.65893,                0.40363,                 1.4585,                0.09893,                0.00505,                0.00505,                0.00505,                      0,                0.69173,                0.68614,                0.67259,                0.52137,                0.67786,                0.40884,                0.18836,                0.44454,                0.56025,                0.41012,                0.10799,                0.63959,                      0,                0.67717,                0.67767,                0.66617,                0.49705,                0.67939,                0.44379,                0.19218,                 0.4477,                0.54353,                0.41012,              -0.012554,                0.68552,                      0,                0.67005,                0.68637,                0.67608,                0.49899,                0.68258,                0.43077,                0.19573,                 0.4458,                0.54994,                0.41012,                0.71715,               0.015322,                      0,                0.79221,                0.58263,                0.31591,                0.47968,                0.26602,                0.73398,                0.73398,                      1
                     52,                0.67188,                0.42868,                 1.3762,                0.09176,                0.83255,                0.83088,                0.86784,                0.72144,                0.65887,                0.40302,                   1.46,                0.09886,               0.004951,               0.004951,               0.004951,                      0,                0.68722,                0.68415,                0.67122,                0.51732,                 0.6759,                0.41431,                  0.187,                 0.4473,                 0.5657,                0.41231,                0.10703,                0.64541,                      0,                 0.6759,                0.67869,                0.66517,                0.49367,                0.67874,                0.44988,                 0.1913,                0.45099,                0.54426,                0.41231,              -0.010401,                0.68639,                      0,                0.66657,                0.68775,                0.67665,                0.49545,                0.68144,                0.43664,                0.19576,                0.45063,                0.55155,                0.41231,                0.72148,               0.015516,                      0,                0.78751,                0.58356,                0.31349,                0.48343,                0.27087,                0.72913,                0.72913,                      1
                     53,                0.66987,                0.42527,                 1.3684,                0.09131,                0.82929,                0.83438,                0.86971,                0.72316,                0.65849,                0.40231,                 1.4603,                0.09887,               0.004852,               0.004852,               0.004852,                      0,                0.69315,                0.68424,                0.67271,                0.51452,                0.67909,                0.41434,                0.18699,                0.44503,                0.56009,                 0.4119,                0.10657,                 0.6406,                      0,                0.68324,                  0.678,                 0.6671,                0.48877,                0.68307,                0.45005,                0.19157,                0.44709,                 0.5451,                 0.4119,              -0.011873,                0.68263,                      0,                 0.6725,                0.68939,                0.67934,                0.49019,                0.68484,                0.43607,                0.19674,                0.44687,                0.55282,                 0.4119,                0.71864,               0.015698,                      0,                0.78365,                0.58515,                0.31468,                0.48529,                0.26742,                0.73258,                0.73258,                      1
                     54,                0.66686,                0.42621,                 1.3711,                0.09079,                0.82962,                0.83544,                0.87075,                0.72416,                0.65823,                0.40186,                 1.4604,                0.09886,               0.004753,               0.004753,               0.004753,                      0,                0.69722,                0.68389,                0.66936,                0.51032,                0.68278,                0.42301,                0.18804,                0.44158,                0.55635,                0.41041,                0.10455,                0.64305,                      0,                0.68047,                0.67798,                0.66544,                0.48654,                0.68365,                0.45423,                 0.1934,                0.44638,                0.54458,                0.41041,              -0.011738,                0.69241,                      0,                0.67082,                0.68743,                0.67619,                0.48831,                0.68498,                0.44226,                0.19722,                0.44502,                 0.5531,                0.41041,                0.72394,               0.015232,                      0,                0.77897,                0.58605,                0.31481,                0.48323,                0.26647,                0.73353,                0.73353,                      1
