                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/object_reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/object_reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_gate_direction_loss,    p2/P3_ir_win_recall,p2/P3_object_balanced_loss,p2/P3_object_calibrated_loss,p2/P3_object_hard_winner_loss,p2/P3_object_prompt_accuracy,p2/P3_object_prompt_correlation,p2/P3_object_prompt_mae,p2/P3_object_prompt_rgb, p2/P3_object_rank_loss,p2/P3_object_target_rgb,p2/P3_prompt_residual_gain,   p2/P3_rgb_win_recall,p2/P4_gate_direction_loss,    p2/P4_ir_win_recall,p2/P4_object_balanced_loss,p2/P4_object_calibrated_loss,p2/P4_object_hard_winner_loss,p2/P4_object_prompt_accuracy,p2/P4_object_prompt_correlation,p2/P4_object_prompt_mae,p2/P4_object_prompt_rgb, p2/P4_object_rank_loss,p2/P4_object_target_rgb,p2/P4_prompt_residual_gain,   p2/P4_rgb_win_recall,p2/P5_gate_direction_loss,    p2/P5_ir_win_recall,p2/P5_object_balanced_loss,p2/P5_object_calibrated_loss,p2/P5_object_hard_winner_loss,p2/P5_object_prompt_accuracy,p2/P5_object_prompt_correlation,p2/P5_object_prompt_mae,p2/P5_object_prompt_rgb, p2/P5_object_rank_loss,p2/P5_object_target_rgb,p2/P5_prompt_residual_gain,   p2/P5_rgb_win_recall,p2/object_cross_scale_consistency,p2/object_gate_raw_loss,p2/object_prompt_raw_loss,  p2/teacher_ir_quality,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/teacher_rgb_win_rate, p2/teacher_ir_win_rate,p2/teacher_majority_baseline,p2/object_reliability_warmup_factor
                     11,                0.75441,                0.52698,                 1.3957,                0.09759,                0.75316,                0.75252,                0.78478,                0.62576,                0.72117,                0.49026,                 1.5012,                0.10611,                0.00901,                0.00901,                0.00901,                      0,                0.66989,                0.68129,                0.66878,                0.56113,                0.65988,                0.37613,                0.18083,                 0.4564,                0.60128,                0.41128,               0.019156,                0.63259,                      0,                0.64521,                0.67364,                0.66213,                0.53231,                0.65802,                0.42383,                0.18527,                 0.4602,                 0.5676,                0.41128,               0.010302,                0.69299,                      0,                 0.7167,                0.68155,                0.66734,                0.55398,                0.68737,                0.37124,                0.18436,                0.45776,                0.58851,                0.41128,              -0.011571,                0.60733,               0.016818,                      0,                 0.8383,                0.58568,                0.31684,                  0.484,                0.26814,                0.73186,                0.73186,                      1
                     12,                0.75178,                0.52319,                  1.391,                0.09742,                0.73558,                0.73199,                0.76273,                0.60796,                0.73208,                0.51991,                 1.4968,                0.10525,               0.008911,               0.008911,               0.008911,                      0,                0.66441,                0.68469,                 0.6736,                0.55864,                 0.6581,                 0.3727,                0.18282,                0.46002,                0.59995,                0.41254,               0.029572,                0.64104,                      0,                 0.6373,                0.67673,                0.66712,                0.52915,                0.65495,                0.41819,                0.18835,                0.46355,                0.57493,                0.41254,               0.012057,                0.70268,                      0,                0.71035,                0.68675,                0.67343,                0.54869,                0.68408,                 0.3684,                0.18636,                0.46049,                 0.5911,                0.41254,              -0.012422,                0.61304,               0.017068,                      0,                0.83618,                0.58096,                0.31278,                0.48099,                0.26996,                0.73004,                0.73004,                      1
                     13,                0.74581,                0.51682,                 1.3954,                0.09721,                0.73914,                0.73883,                0.76954,                0.61379,                0.71996,                0.50444,                 1.4887,                  0.104,               0.008812,               0.008812,               0.008812,                      0,                0.68083,                0.68533,                 0.6705,                0.55805,                0.66617,                 0.3792,                0.18294,                0.45154,                0.59619,                0.40976,               0.042798,                 0.6251,                      0,                0.64998,                0.67594,                0.66265,                0.53052,                0.66018,                0.42521,                0.18677,                 0.4571,                0.56945,                0.40976,               0.013837,                0.68872,                      0,                0.71506,                0.68779,                0.67247,                 0.5474,                0.68688,                0.37453,                0.18848,                0.45471,                0.58587,                0.40976,              -0.012644,                0.60798,               0.016755,                      0,                0.83509,                 0.5842,                0.31812,                0.48102,                0.26312,                0.73688,                0.73688,                      1
                     14,                0.74366,                0.51809,                 1.3858,                0.09575,                0.73032,                0.78148,                0.78761,                0.63365,                0.70783,                0.47592,                  1.475,                0.10326,               0.008713,               0.008713,               0.008713,                      0,                0.67588,                0.68369,                0.67074,                0.54611,                0.66697,                0.39132,                0.18199,                0.45384,                0.58727,                0.41092,               0.049744,                0.64218,                      0,                0.65368,                0.67648,                0.66471,                0.52101,                 0.6654,                0.43178,                0.18585,                0.45844,                0.56155,                0.41092,               0.015473,                0.69801,                      0,                0.71685,                0.68866,                0.67409,                0.53727,                0.69151,                0.38453,                0.18771,                0.45593,                0.57715,                0.41092,              -0.012554,                0.62101,               0.016316,                      0,                0.82256,                0.58655,                0.31289,                0.48549,                0.26434,                0.73566,                0.73566,                      1
                     15,                0.73942,                0.51094,                 1.3873,                0.09547,                0.78233,                0.75132,                0.80514,                0.65125,                 0.6942,                0.46195,                 1.4489,                0.10225,               0.008614,               0.008614,               0.008614,                      0,                 0.6811,                0.68385,                0.67095,                0.54519,                0.66825,                0.38935,                0.18381,                0.44994,                0.58522,                 0.4106,               0.057879,                0.63238,                      0,                0.65624,                0.67667,                0.66475,                0.52013,                0.66677,                0.43088,                0.18881,                 0.4556,                0.55598,                 0.4106,               0.016737,                0.69616,                      0,                0.72239,                0.68839,                 0.6733,                0.53131,                0.69397,                0.39028,                0.18968,                0.45012,                0.56885,                 0.4106,              -0.012934,                0.61466,               0.016957,                      0,                0.82067,                 0.5856,                0.31765,                0.48426,                0.26381,                0.73619,                0.73619,                      1
                     16,                0.74003,                0.51017,                 1.3851,                0.09582,                0.76819,                0.74291,                0.78599,                0.63515,                0.69579,                0.47737,                 1.4842,                0.10197,               0.008515,               0.008515,               0.008515,                      0,                 0.6735,                0.68439,                0.67222,                0.54905,                 0.6634,                0.38647,                0.18458,                0.45387,                0.58037,                0.41236,               0.061175,                0.63582,                      0,                0.64954,                0.67558,                0.66527,                0.52174,                0.66104,                0.43005,                0.18828,                0.45892,                0.55587,                0.41236,                0.01498,                0.69243,                      0,                0.71131,                0.69068,                0.67815,                0.53427,                0.68813,                0.38684,                0.19141,                0.45622,                0.57026,                0.41236,              -0.012678,                0.62487,               0.016367,                      0,                0.82473,                0.58123,                0.31533,                0.48155,                0.26825,                0.73175,                0.73175,                      1
                     17,                0.73756,                0.50517,                 1.3841,                0.09458,                0.78781,                0.77269,                0.82069,                0.66057,                0.70162,                0.46735,                 1.4714,                0.10359,               0.008416,               0.008416,               0.008416,                      0,                0.68143,                0.68127,                0.66913,                0.53736,                0.66919,                0.39514,                0.18487,                0.45215,                0.58383,                0.41182,               0.065817,                0.63633,                      0,                0.65492,                0.67345,                0.66208,                 0.5149,                0.66528,                0.43647,                 0.1882,                0.45687,                0.55481,                0.41182,               0.014753,                0.69307,                      0,                0.71884,                0.68626,                0.67106,                0.52624,                 0.6928,                 0.3966,                0.19012,                0.45186,                0.56322,                0.41182,              -0.012755,                0.62296,               0.015872,                      0,                0.81223,                0.58096,                0.31421,                0.47986,                0.27155,                0.72845,                0.72845,                      1
                     18,                0.73117,                0.50047,                 1.3724,                0.09431,                0.82159,                0.77063,                0.84173,                0.68336,                0.68966,                0.44151,                 1.4601,                0.10152,               0.008317,               0.008317,               0.008317,                      0,                0.68517,                0.68099,                0.66532,                0.53771,                0.67209,                0.40375,                0.18378,                0.44814,                0.57359,                0.40969,               0.066384,                 0.6358,                      0,                0.66096,                0.67307,                0.65903,                0.51414,                0.66957,                0.44026,                0.18731,                0.45411,                 0.5538,                0.40969,                0.01746,                0.69346,                      0,                0.71944,                0.68752,                0.67094,                 0.5228,                0.69445,                0.39735,                 0.1926,                0.44926,                0.56936,                0.40969,               -0.01212,                0.62512,               0.016089,                      0,                0.81074,                 0.5827,                0.32068,                0.47864,                0.26495,                0.73505,                0.73505,                      1
                     19,                0.73028,                0.49845,                 1.3777,                0.09434,                0.79666,                0.78328,                0.82839,                0.67478,                0.68771,                0.44954,                 1.4595,                0.10161,               0.008218,               0.008218,               0.008218,                      0,                0.68658,                0.68334,                0.66779,                0.53649,                0.67425,                0.40044,                0.18492,                0.44829,                0.58235,                0.41019,               0.069331,                0.64045,                      0,                0.66118,                0.67393,                0.66015,                0.51236,                0.67104,                0.44226,                0.18789,                0.45474,                0.55724,                0.41019,               0.018875,                0.69807,                      0,                0.71934,                0.68829,                0.67114,                0.52123,                0.69563,                 0.4038,                0.19256,                0.44835,                0.57026,                0.41019,               -0.01149,                0.63061,                0.01563,                      0,                0.80959,                0.58532,                0.31768,                0.48241,                0.26725,                0.73275,                0.73275,                      1
                     20,                0.72791,                0.49614,                  1.377,                 0.0944,                0.73503,                0.74411,                0.77301,                0.61887,                0.71359,                0.48713,                 1.5061,                0.10335,               0.008119,               0.008119,               0.008119,                      0,                0.67786,                0.68285,                0.67167,                0.53651,                0.66672,                0.39333,                0.18542,                0.45266,                0.58261,                0.41197,               0.076754,                0.63649,                      0,                0.65206,                0.67506,                0.66433,                 0.5127,                0.66388,                0.43678,                0.18864,                0.45866,                0.55652,                0.41197,               0.017976,                0.69598,                      0,                0.71215,                0.68769,                0.67398,                 0.5192,                0.69188,                0.40294,                 0.1921,                0.45381,                0.56258,                0.41197,              -0.012156,                0.63686,               0.015542,                      0,                 0.8105,                0.58195,                0.31557,                0.48117,                0.26921,                0.73079,                0.73079,                      1
