                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss, train/rgb_spatial_loss,  train/rgb_global_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,   val/rgb_spatial_loss,    val/rgb_global_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,p2/prompt_warmup_factor
                     16,                0.72646,                0.50114,                 1.3757,                0.03439,                      0,                      0,                0.77423,                0.77981,                0.81984,                0.67078,                0.68665,                 0.4587,                 1.4517,                0.03282,                      0,                      0,               0.008515,               0.008515,               0.008515,                0.06245,                 0.4011,                0.46355,               0.074717,                0.13947,                 0.1114,                0.33664,                0.44804,                0.12174,                0.11997,                      1
                     17,                0.72462,                0.50091,                  1.382,                0.03405,                      0,                      0,                0.79244,                0.79031,                0.83133,                  0.685,                0.68021,                0.45533,                 1.4421,                0.03235,                      0,                      0,               0.008416,               0.008416,               0.008416,               0.058699,                0.40323,                0.46193,               0.071077,                0.14014,               0.097221,                0.36078,                  0.458,                0.10836,                0.12507,                      1
                     18,                 0.7201,                0.49589,                 1.3738,                0.03384,                      0,                      0,                0.79197,                0.77662,                0.82675,                0.67739,                0.68475,                0.45317,                 1.4823,                0.03201,                      0,                      0,               0.008317,               0.008317,               0.008317,               0.056682,                 0.4046,                0.46128,                0.06927,                0.14059,               0.086804,                0.37825,                0.46505,               0.098647,                0.12972,                      1
                     19,                0.71734,                0.49247,                 1.3837,                 0.0336,                      0,                      0,                0.75922,                0.73752,                0.78649,                0.63389,                0.71578,                0.48907,                 1.5026,                0.03203,                      0,                      0,               0.008218,               0.008218,               0.008218,               0.054198,                0.40653,                0.46073,               0.066779,                0.14127,               0.076901,                 0.3951,                  0.472,                 0.0892,                0.13322,                      1
                     20,                0.71855,                0.49365,                 1.3771,                0.03295,                      0,                      0,                0.80546,                 0.8021,                0.84535,                0.69807,                0.67174,                0.43925,                 1.4417,                0.03122,                      0,                      0,               0.008119,               0.008119,               0.008119,               0.052004,                0.41451,                0.46652,                 0.0646,                0.14152,               0.069705,                0.41118,                0.48088,               0.082281,                0.13532,                      1
                     21,                 0.7169,                0.48839,                 1.3799,                0.03252,                      0,                      0,                0.79691,                0.81777,                0.85075,                0.70417,                0.67025,                0.43184,                 1.4552,                 0.0309,                      0,                      0,                0.00802,                0.00802,                0.00802,               0.049854,                0.41595,                0.46581,               0.062361,                0.14052,               0.063148,                0.42497,                0.48812,               0.076009,                0.13742,                      1
                     22,                 0.7084,                0.48486,                 1.3781,                0.03242,                      0,                      0,                0.79055,                0.80755,                0.83712,                0.69202,                0.66852,                0.43166,                 1.4626,                 0.0306,                      0,                      0,               0.007921,               0.007921,               0.007921,               0.049083,                0.42204,                0.47112,               0.062052,                0.14321,               0.058199,                0.43343,                0.49163,               0.071603,                0.14027,                      1
                     23,                0.71108,                 0.4845,                 1.3876,                0.03208,                      0,                      0,                0.80294,                0.80559,                0.84836,                0.70206,                0.66901,                0.42688,                 1.4725,                0.03046,                      0,                      0,               0.007822,               0.007822,               0.007822,               0.047716,                0.42026,                0.46798,               0.060375,                0.14165,               0.051532,                0.43995,                0.49148,                0.06485,                0.14106,                      1
                     24,                0.70787,                0.48129,                 1.3816,                  0.032,                      0,                      0,                0.83175,                 0.7747,                0.84886,                0.70528,                0.66569,                0.42666,                 1.4636,                0.03009,                      0,                      0,               0.007723,               0.007723,               0.007723,               0.046547,                0.42386,                0.47041,               0.059581,                0.14268,               0.046221,                0.44974,                0.49596,               0.060114,                0.14318,                      1
                     25,                0.70399,                0.47276,                 1.3791,                0.03197,                      0,                      0,                0.81368,                0.81423,                0.85281,                 0.7079,                0.66201,                0.42524,                  1.446,                0.02981,                      0,                      0,               0.007624,               0.007624,               0.007624,               0.046967,                0.42546,                0.47242,               0.060149,                0.14372,               0.043597,                0.45379,                0.49739,               0.057746,                0.14439,                      1
                     26,                0.70069,                0.47066,                 1.3796,                0.03132,                      0,                      0,                 0.8125,                0.80684,                0.84743,                0.70477,                0.66329,                0.42228,                 1.4527,                0.02972,                      0,                      0,               0.007525,               0.007525,               0.007525,               0.045951,                0.43109,                0.47704,               0.059036,                0.14328,               0.040542,                0.46524,                0.50578,               0.054749,                0.14486,                      1
                     27,                0.69661,                0.47146,                 1.3709,                0.03165,                      0,                      0,                0.79766,                0.81489,                 0.8547,                0.71229,                0.66151,                0.42112,                 1.4491,                0.02961,                      0,                      0,               0.007426,               0.007426,               0.007426,                0.04592,                0.42693,                0.47285,               0.059174,                0.14386,               0.039539,                0.46437,                0.50391,               0.054053,                0.14574,                      1
